time,angle1,velocity1,acceleration1,angle2,velocity2,acceleration2
0.000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000
0.002,0.000000,0.000000,0.000000,0.000000,0.000188,0.187271
0.004,0.000000,0.000000,0.000000,0.000001,0.000748,0.372290
0.006,0.000000,0.000000,0.000000,0.000003,0.001675,0.555067
0.008,0.000000,0.000000,0.000000,0.000008,0.002966,0.735610
0.010,0.000000,0.000000,0.000000,0.000015,0.004616,0.913928
0.012,0.000000,0.000000,0.000000,0.000027,0.006621,1.090031
0.014,0.000000,0.000000,0.000000,0.000042,0.008975,1.263927
0.016,0.000000,0.000000,0.000000,0.000063,0.011675,1.435626
0.018,0.000000,0.000000,0.000000,0.000089,0.014716,1.605136
0.020,0.000000,0.000000,0.000000,0.000122,0.018094,1.772467
0.022,0.000000,0.000000,0.000000,0.000162,0.021804,1.937628
0.024,0.000000,0.000000,0.000000,0.000209,0.025843,2.100627
0.026,0.000000,0.000000,0.000000,0.000265,0.030205,2.261474
0.028,0.000000,0.000000,0.000000,0.000330,0.034887,2.420177
0.030,0.000000,0.000000,0.000000,0.000405,0.039885,2.576747
0.032,0.000000,0.000000,0.000000,0.000490,0.045193,2.731191
0.034,0.000000,0.000000,0.000000,0.000586,0.050808,2.883519
0.036,0.000000,0.000000,0.000000,0.000694,0.056726,3.033740
0.038,0.000000,0.000000,0.000000,0.000813,0.062942,3.181863
0.040,0.000000,0.000000,0.000000,0.000945,0.069452,3.327898
0.042,0.000000,0.000000,0.000000,0.001091,0.076252,3.471852
0.044,0.000000,0.000000,0.000000,0.001251,0.083338,3.613735
0.046,0.000000,0.000000,0.000000,0.001425,0.090705,3.753557
0.048,0.000000,0.000000,0.000000,0.001614,0.098351,3.891325
0.050,0.000000,0.000000,0.000000,0.001818,0.106269,4.027050
0.052,0.000000,0.000000,0.000000,0.002039,0.114458,4.160740
0.054,0.000000,0.000000,0.000000,0.002276,0.122911,4.292405
0.056,0.000000,0.000000,0.000000,0.002531,0.131626,4.422052
0.058,0.000000,0.000000,0.000000,0.002803,0.140598,4.549693
0.060,0.000000,0.000000,0.000000,0.003093,0.149823,4.675334
0.062,0.000000,0.000000,0.000000,0.003402,0.159298,4.798987
0.064,0.000000,0.000000,0.000000,0.003731,0.169018,4.920658
0.066,0.000000,0.000000,0.000000,0.004079,0.178979,5.040359
0.068,0.000000,0.000000,0.000000,0.004447,0.189178,5.158097
0.070,0.000000,0.000000,0.000000,0.004835,0.199610,5.273881
0.072,0.000000,0.000000,0.000000,0.005245,0.210272,5.387722
0.074,0.000000,0.000000,0.000000,0.005677,0.221160,5.499627
0.076,0.000000,0.000000,0.000000,0.006130,0.232269,5.609605
0.078,0.000000,0.000000,0.000000,0.006606,0.243597,5.717667
0.080,0.000000,0.000000,0.000000,0.007105,0.255139,5.823821
0.082,0.000000,0.000000,0.000000,0.007627,0.266891,5.928075
0.084,0.000000,0.000000,0.000000,0.008172,0.278850,6.030440
0.086,0.000000,0.000000,0.000000,0.008742,0.291012,6.130923
0.088,0.000000,0.000000,0.000000,0.009337,0.303372,6.229535
0.090,0.000000,0.000000,0.000000,0.009956,0.315928,6.326284
0.092,0.000000,0.000000,0.000000,0.010600,0.328676,6.421178
0.094,0.000000,0.000000,0.000000,0.011271,0.341612,6.514228
0.096,0.000000,0.000000,0.000000,0.011967,0.354732,6.605443
0.098,0.000000,0.000000,0.000000,0.012690,0.368032,6.694830
0.100,0.000000,0.000000,0.000000,0.013439,0.381510,6.782400
0.102,0.000000,0.000000,0.000000,0.014216,0.395161,6.868161
0.104,0.000000,0.000000,0.000000,0.015020,0.408981,6.952123
0.106,0.000000,0.000000,0.000000,0.015852,0.422968,7.034294
0.108,0.000000,0.000000,0.000000,0.016712,0.437117,7.114683
0.110,0.000000,0.000000,0.000000,0.017600,0.451426,7.193300
0.112,0.000000,0.000000,0.000000,0.018518,0.465889,7.270154
0.114,0.000000,0.000000,0.000000,0.019464,0.480505,7.345253
0.116,0.000000,0.000000,0.000000,0.020440,0.495269,7.418607
0.118,0.000000,0.000000,0.000000,0.021445,0.510178,7.490225
0.120,0.000000,0.000000,0.000000,0.022481,0.525229,7.560115
0.122,0.000000,0.000000,0.000000,0.023546,0.540418,7.628287
0.124,0.000000,0.000000,0.000000,0.024642,0.555741,7.694750
0.126,0.000000,0.000000,0.000000,0.025769,0.571196,7.759513
0.128,0.000000,0.000000,0.000000,0.026927,0.586778,7.822585
0.130,0.000000,0.000000,0.000000,0.028117,0.602485,7.883975
0.132,0.000000,0.000000,0.000000,0.029337,0.618313,7.943692
0.134,0.000000,0.000000,0.000000,0.030590,0.634258,8.001744
0.136,0.000000,0.000000,0.000000,0.031874,0.650319,8.058142
0.138,0.000000,0.000000,0.000000,0.033191,0.666490,8.112894
0.140,0.000000,0.000000,0.000000,0.034540,0.682769,8.166010
0.142,0.000000,0.000000,0.000000,0.035922,0.699153,8.217497
0.144,0.000000,0.000000,0.000000,0.037337,0.715638,8.267366
0.146,0.000000,0.000000,0.000000,0.038785,0.732221,8.315625
0.148,0.000000,0.000000,0.000000,0.040266,0.748899,8.362283
0.150,0.000000,0.000000,0.000000,0.041781,0.765669,8.407350
0.152,0.000000,0.000000,0.000000,0.043329,0.782528,8.450834
0.154,0.000000,0.000000,0.000000,0.044911,0.799472,8.492745
0.156,0.000000,0.000000,0.000000,0.046527,0.816498,8.533091
0.158,0.000000,0.000000,0.000000,0.048177,0.833603,8.571882
