time,angle,velocity,acceleration
0.000,0.000000,0.000000,0.000000
0.002,0.000000,0.000239,0.238562
0.004,0.000001,0.000952,0.474255
0.006,0.000004,0.002134,0.707092
0.008,0.000010,0.003779,0.937083
0.010,0.000020,0.005881,1.164240
0.012,0.000034,0.008434,1.388575
0.014,0.000054,0.011433,1.610099
0.016,0.000080,0.014872,1.828823
0.018,0.000114,0.018746,2.044760
0.020,0.000155,0.023050,2.257920
0.022,0.000206,0.027776,2.468316
0.024,0.000267,0.032921,2.675958
0.026,0.000338,0.038478,2.880858
0.028,0.000421,0.044443,3.083028
0.030,0.000516,0.050809,3.282480
0.032,0.000624,0.057571,3.479224
0.034,0.000747,0.064724,3.673273
0.036,0.000883,0.072262,3.864637
0.038,0.001036,0.080180,4.053329
0.040,0.001204,0.088474,4.239360
0.042,0.001390,0.097136,4.422741
0.044,0.001593,0.106163,4.603484
0.046,0.001815,0.115548,4.781601
0.048,0.002056,0.125287,4.957102
0.050,0.002316,0.135375,5.130000
0.052,0.002597,0.145806,5.300306
0.054,0.002900,0.156575,5.468031
0.056,0.003224,0.167676,5.633188
0.058,0.003571,0.179106,5.795787
0.060,0.003941,0.190858,5.955840
0.062,0.004334,0.202927,6.113359
0.064,0.004752,0.215309,6.268355
0.066,0.005196,0.227999,6.420839
0.068,0.005665,0.240991,6.570824
0.070,0.006160,0.254281,6.718320
0.072,0.006682,0.267863,6.863340
0.074,0.007232,0.281732,7.005894
0.076,0.007809,0.295885,7.145994
0.078,0.008415,0.310315,7.283652
0.080,0.009051,0.325018,7.418880
0.082,0.009715,0.339989,7.551688
0.084,0.010411,0.355223,7.682089
0.086,0.011137,0.370715,7.810093
0.088,0.011894,0.386462,7.935713
0.090,0.012683,0.402457,8.058960
0.092,0.013504,0.418696,8.179845
0.094,0.014358,0.435174,8.298380
0.096,0.015245,0.451888,8.414577
0.098,0.016165,0.468831,8.528446
0.100,0.017120,0.486000,8.640000
0.102,0.018109,0.503390,8.749250
0.104,0.019134,0.520995,8.856207
0.106,0.020193,0.538813,8.960884
0.108,0.021289,0.556837,9.063291
0.110,0.022421,0.575065,9.163440
0.112,0.023589,0.593490,9.261343
0.114,0.024795,0.612108,9.357011
0.116,0.026038,0.630916,9.450455
0.118,0.027319,0.649909,9.541688
0.120,0.028638,0.669082,9.630720
0.122,0.029995,0.688430,9.717564
0.124,0.031392,0.707950,9.802230
0.126,0.032827,0.727638,9.884730
0.128,0.034302,0.747488,9.965076
0.130,0.035817,0.767497,10.043280
0.132,0.037372,0.787660,10.119352
0.134,0.038968,0.807973,10.193305
0.136,0.040604,0.828431,10.265149
0.138,0.042282,0.849032,10.334897
0.140,0.044001,0.869770,10.402560
0.142,0.045761,0.890641,10.468149
0.144,0.047563,0.911641,10.531676
0.146,0.049408,0.932766,10.593153
0.148,0.051294,0.954012,10.652590
0.150,0.053224,0.975375,10.710000
0.152,0.055196,0.996851,10.765394
0.154,0.057211,1.018435,10.818783
0.156,0.059270,1.040125,10.870180
0.158,0.061372,1.061915,10.919595
0.160,0.063517,1.083802,10.967040
0.162,0.065707,1.105781,11.012527
0.164,0.067941,1.127850,11.056067
0.166,0.070219,1.150004,11.097671
0.168,0.072541,1.172240,11.137352
0.170,0.074908,1.194553,11.175120
0.172,0.077319,1.216939,11.210988
0.174,0.079775,1.239395,11.244966
0.176,0.082277,1.261918,11.277066
0.178,0.084823,1.284502,11.307300
0.180,0.087415,1.307146,11.335680
0.182,0.090052,1.329844,11.362216
0.184,0.092734,1.352593,11.386921
0.186,0.095462,1.375390,11.409805
0.188,0.098236,1.398231,11.430881
0.190,0.101055,1.421113,11.450160
0.192,0.103920,1.444031,11.467653
0.194,0.106831,1.466982,11.483372
0.196,0.109788,1.489963,11.497329
0.198,0.112791,1.512970,11.509534
0.200,0.115840,1.536000,11.520000
0.202,0.118935,1.559049,11.528738
0.204,0.122076,1.582114,11.535759
0.206,0.125264,1.605191,11.541076
0.208,0.128497,1.628277,11.544699
0.210,0.131777,1.651369,11.546640
0.212,0.135102,1.674462,11.546911
0.214,0.138474,1.697555,11.545523
0.216,0.141893,1.720643,11.542487
0.218,0.145357,1.743724,11.537816
0.220,0.148868,1.766794,11.531520
0.222,0.152424,1.789849,11.523612
0.224,0.156027,1.812887,11.514102
0.226,0.159676,1.835904,11.503002
0.228,0.163371,1.858898,11.490324
0.230,0.167111,1.881865,11.476080
0.232,0.170898,1.904801,11.460280
0.234,0.174730,1.927705,11.442937
0.236,0.178609,1.950572,11.424061
0.238,0.182533,1.973400,11.403665
0.240,0.186502,1.996186,11.381760
0.242,0.190517,2.018926,11.358357
0.244,0.194578,2.041618,11.333468
0.246,0.198684,2.064259,11.307105
0.248,0.202835,2.086845,11.279278
0.250,0.207031,2.109375,11.250000
0.252,0.211272,2.131845,11.219282
0.254,0.215559,2.154251,11.187135
0.256,0.219889,2.176592,11.153572
0.258,0.224265,2.198865,11.118603
0.260,0.228685,2.221066,11.082240
0.262,0.233149,2.243193,11.044495
0.264,0.237658,2.265243,11.005379
0.266,0.242210,2.287213,10.964903
0.268,0.246806,2.309101,10.923080
0.270,0.251446,2.330905,10.879920
0.272,0.256130,2.352620,10.835436
0.274,0.260857,2.374245,10.789638
0.276,0.265627,2.395778,10.742538
0.278,0.270440,2.417215,10.694148
0.280,0.275296,2.438554,10.644480
0.282,0.280194,2.459792,10.593544
0.284,0.285135,2.480927,10.541353
0.286,0.290118,2.501956,10.487917
0.288,0.295142,2.522878,10.433249
0.290,0.300209,2.543689,10.377360
0.292,0.305317,2.564386,10.320261
0.294,0.310467,2.584969,10.261964
0.296,0.315657,2.605433,10.202481
0.298,0.320888,2.625778,10.141822
0.300,0.326160,2.646000,10.080000
0.302,0.331472,2.666097,10.017026
0.304,0.336824,2.686067,9.952911
0.306,0.342216,2.705908,9.887668
0.308,0.347648,2.725617,9.821307
0.310,0.353119,2.745193,9.753840
0.312,0.358629,2.764632,9.685279
0.314,0.364177,2.783933,9.615635
0.316,0.369764,2.803094,9.544919
0.318,0.375389,2.822112,9.473144
0.320,0.381053,2.840986,9.400320
0.322,0.386753,2.859713,9.326460
0.324,0.392491,2.878291,9.251574
0.326,0.398266,2.896718,9.175674
0.328,0.404078,2.914993,9.098772
0.330,0.409926,2.933113,9.020880
0.332,0.415810,2.951076,8.942008
0.334,0.421730,2.968880,8.862169
0.336,0.427686,2.986524,8.781373
0.338,0.433676,3.004005,8.699633
0.340,0.439702,3.021322,8.616960
0.342,0.445762,3.038472,8.533365
0.344,0.451855,3.055454,8.448860
0.346,0.457983,3.072267,8.363457
0.348,0.464144,3.088908,8.277166
0.350,0.470339,3.105375,8.190000
0.352,0.476566,3.121667,8.101970
0.354,0.482825,3.137782,8.013087
0.356,0.489117,3.153719,7.923364
0.358,0.495440,3.169475,7.832811
0.360,0.501795,3.185050,7.741440
0.362,0.508180,3.200440,7.649263
0.364,0.514596,3.215646,7.556291
0.366,0.521043,3.230665,7.462535
0.368,0.527519,3.245496,7.368008
0.370,0.534024,3.260137,7.272720
0.372,0.540559,3.274586,7.176684
0.374,0.547123,3.288843,7.079910
0.376,0.553714,3.302905,6.982410
0.378,0.560334,3.316772,6.884196
0.380,0.566981,3.330442,6.785280
0.382,0.573656,3.343913,6.685672
0.384,0.580357,3.357184,6.585385
0.386,0.587084,3.370254,6.484429
0.388,0.593838,3.383121,6.382817
0.390,0.600617,3.395785,6.280560
0.392,0.607421,3.408243,6.177669
0.394,0.614250,3.420495,6.074156
0.396,0.621103,3.432539,5.970033
0.398,0.627980,3.444375,5.865310
0.400,0.634880,3.456000,5.760000
0.402,0.641803,3.467414,5.654114
0.404,0.648750,3.478616,5.547663
0.406,0.655718,3.489604,5.440660
0.408,0.662708,3.500378,5.333115
0.410,0.669719,3.510937,5.225040
0.412,0.676751,3.521278,5.116447
0.414,0.683804,3.531402,5.007347
0.416,0.690877,3.541307,4.897751
0.418,0.697969,3.550993,4.787672
0.420,0.705081,3.560458,4.677120
0.422,0.712211,3.569701,4.566108
0.424,0.719359,3.578722,4.454646
0.426,0.726526,3.587519,4.342746
0.428,0.733709,3.596092,4.230420
0.430,0.740910,3.604441,4.117680
0.432,0.748127,3.612563,4.004536
0.434,0.755360,3.620458,3.891001
0.436,0.762609,3.628127,3.777085
0.438,0.769872,3.635567,3.662801
0.440,0.777151,3.642778,3.548160
0.442,0.784443,3.649759,3.433173
0.444,0.791750,3.656510,3.317852
0.446,0.799069,3.663030,3.202209
0.448,0.806402,3.669319,3.086254
0.450,0.813746,3.675375,2.970000
0.452,0.821103,3.681199,2.853458
0.454,0.828471,3.686789,2.736639
0.456,0.835850,3.692145,2.619556
0.458,0.843239,3.697267,2.502219
0.460,0.850639,3.702154,2.384640
0.462,0.858048,3.706805,2.266831
0.464,0.865466,3.711221,2.148803
0.466,0.872892,3.715400,2.030567
0.468,0.880327,3.719343,1.912136
0.470,0.887770,3.723049,1.793520
0.472,0.895219,3.726517,1.674732
0.474,0.902676,3.729747,1.555782
0.476,0.910138,3.732740,1.436682
0.478,0.917606,3.735494,1.317444
