time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
3,51,10,-13.0639062,190,19.0,,,,,,
8,43,20,-12.680277550000001,367,18.35,,,,,,
13,40,30,-12.454374233333331,541,18.033333333333335,,,,,,
18,39,40,-12.632185575,720,18.0,,,,,,
23,38,50,-12.254392400000002,894,17.88,,,,,,
27,38,60,-12.358479366666666,1077,17.95,,,,,,
32,38,70,-12.620438871428572,1267,18.1,,,,,,
37,38,80,-12.358187025000001,1447,18.0875,,,,,,
42,38,90,-12.237207211111114,1627,18.07777777777778,,,,,,
47,38,100,-12.294602080000002,1833,18.33,,,,,,
52,38,110,-12.13356796,2012,18.22,,,,,,
57,38,120,-11.85439371,2189,18.22,,,,,,
62,37,130,-11.829235029999998,2359,18.18,,,,,,
66,38,140,-11.589482450000002,2533,18.13,,,,,,
71,38,150,-11.6755099,2717,18.23,,,,,,
75,38,160,-11.616142969999999,2899,18.22,,,,,,
88,34,170,-11.275454139999999,3079,18.12,0.00073,-3.6563007831573486,0.945338785648346,78,57.41241455078125,-58.091094970703125
111,29,180,-11.324279590000002,3252,18.05,0.00073,-11.659903526306152,0.834072470664978,251,13.569942474365234,-105.94102478027344
135,25,190,-11.580032689999998,3435,18.08,0.00073,-20.083881378173828,0.7301273941993713,434,11.446109771728516,-133.13441467285156
157,22,200,-11.62935198,3607,17.74,0.00073,-27.253143310546875,0.6453548669815063,606,11.446337699890137,-144.19564819335938
180,20,210,-11.739899669999998,3787,17.75,0.00073,-33.684574127197266,0.5688153505325317,786,16.106348037719727,-143.48866271972656
208,19,220,-12.30140127,4005,18.16,0.00073,-40.176231384277344,0.49025991559028625,1004,38.46488952636719,-137.81935119628906
237,17,230,-12.406960779999997,4229,18.7,0.00073,-42.6220817565918,0.42502978444099426,1228,23.846534729003906,-131.6555633544922
269,16,240,-12.63769546,4473,19.4,0.00073,-44.50157165527344,0.36696505546569824,1472,18.817466735839844,-144.70880126953125
298,15,250,-12.80912455,4701,19.84,0.00073,-46.19551086425781,0.3220093250274658,1700,25.44477081298828,-138.87059020996094
324,15,260,-12.751504070000001,4894,19.95,0.00073,-49.31154251098633,0.2884546220302582,1893,27.823482513427734,-137.05953979492188
351,14,270,-12.800320120000004,5101,20.22,0.00073,-51.224090576171875,0.25715744495391846,2100,26.408096313476562,-138.104248046875
378,14,280,-13.203342359999999,5309,20.57,0.00073,-55.235435485839844,0.22947260737419128,2308,29.910476684570312,-122.28221130371094
404,13,290,-13.093270650000001,5514,20.79,0.00073,-52.18730163574219,0.2053510844707489,2513,38.094608306884766,-111.49746704101562
433,13,300,-13.602041980000001,5735,21.28,0.00073,-45.73810577392578,0.18373915553092957,2734,19.571144104003906,-113.00655364990234
462,12,310,-14.01535446,5951,21.64,0.00073,-41.115196228027344,0.16601671278476715,2950,25.930206298828125,-110.18231964111328
486,12,320,-13.779847410000002,6129,21.24,0.00073,-40.20341491699219,0.15356236696243286,3128,29.276493072509766,-113.5923843383789
519,12,330,-14.001751979999996,6379,21.5,0.00073,-31.290409088134766,0.14011749625205994,3378,29.35103416442871,-125.57950592041016
