time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/n_updates
10,3,17.6,176,-11.450616100000001,48,,,,,,
20,8,17.25,345,-11.29183585,39,,,,,,
30,14,17.666666666666668,530,-11.784439299999999,37,,,,,,
40,18,17.575,703,-11.65624955,37,,,,,,
50,23,17.68,884,-11.345009480000002,36,,,,,,
60,28,17.516666666666666,1051,-11.156762200000001,36,,,,,,
70,33,17.514285714285716,1226,-11.26364124285714,36,,,,,,
80,39,17.5375,1403,-11.300253575,35,,,,,,
90,44,17.544444444444444,1579,-11.444019766666667,35,,,,,,
100,50,17.6,1760,-11.459499759999998,35,,,,,,
110,55,17.59,1935,-11.421948340000002,35,,,,,,
120,59,17.64,2109,-11.411838889999999,35,,,,,,
130,65,17.57,2287,-11.250686709999998,35,,,,,,
140,70,17.65,2468,-11.395642119999998,34,,,,,,
150,76,17.68,2652,-11.734812749999998,34,,,,,,
160,81,17.78,2829,-11.97876089,34,,,,,,
170,87,17.86,3012,-11.910328869999999,34,0.9927228689193726,506.85418701171875,0.00073,-28.580442428588867,-0.47787925601005554,11
180,111,17.9,3193,-11.911981239999998,28,0.8706514835357666,32.55137634277344,0.00073,-90.5045166015625,-8.85786247253418,192
190,135,17.94,3373,-11.903112020000002,24,0.7637583613395691,12.087624549865723,0.00073,-122.77313232421875,-17.22205352783203,372
200,158,17.9,3550,-12.165552489999998,22,0.671917736530304,11.377344131469727,0.00073,-139.2680206298828,-24.783512115478516,549
210,182,18.04,3739,-12.386719589999998,20,0.5875384211540222,11.495644569396973,0.00073,-147.50148010253906,-32.21595764160156,738
220,210,18.44,3953,-12.650990310000003,18,0.5064286589622498,14.613822937011719,0.00073,-136.1715545654297,-39.98096466064453,952
230,238,18.77,4164,-12.736012969999999,17,0.4386647641658783,14.151510238647461,0.00073,-131.1812744140625,-44.886268615722656,1163
240,266,19.14,4382,-12.793855640000002,16,0.380085825920105,8.528783798217773,0.00073,-121.21424102783203,-52.36152648925781,1381
250,302,20.0,4652,-12.77987289,15,0.31856271624565125,13.021912574768066,0.00073,-108.32923126220703,-57.47937774658203,1651
260,328,20.28,4857,-12.76281847,14,0.27891239523887634,6.262280464172363,0.00073,-102.00638580322266,-62.75738525390625,1856
270,358,20.74,5086,-12.977703070000002,14,0.2402516007423401,6.966887474060059,0.00073,-86.81438446044922,-69.0826644897461,2085
280,387,21.17,5310,-13.07550559,13,0.2070983499288559,5.400851249694824,0.00073,-76.90689849853516,-74.11502075195312,2309
290,417,21.64,5537,-13.025106320000003,13,0.17874644696712494,3.432986259460449,0.00073,-61.581024169921875,-80.43265533447266,2536
300,445,22.04,5754,-12.90816425,12,0.1549871563911438,4.770862579345703,0.00073,-57.666603088378906,-87.00054931640625,2753
310,471,22.06,5945,-12.596307720000002,12,0.1367870420217514,2.830324172973633,0.00073,-52.02177810668945,-93.16781616210938,2944
320,498,21.98,6151,-12.40417919,12,0.11917003244161606,3.2795257568359375,0.00073,-44.05204772949219,-96.33482360839844,3150
330,522,21.73,6337,-12.617753000000002,12,0.10503710806369781,2.5259976387023926,0.00073,-36.39468765258789,-101.19242858886719,3336
340,558,22.22,6604,-12.658429139999999,11,0.08808610588312149,1.941633939743042,0.00073,-30.30903434753418,-101.24668884277344,3603
350,587,21.74,6826,-12.616263659999998,11,0.076470747590065,1.993278980255127,0.00073,-29.226383209228516,-101.28192901611328,3825
360,612,21.54,7011,-12.554647389999998,11,0.06811121851205826,1.6123971939086914,0.00073,-26.219600677490234,-105.49409484863281,4010
370,638,21.13,7199,-12.596143790000001,11,0.06030278280377388,2.00270938873291,0.00073,-22.261045455932617,-108.36972045898438,4198
