time/time_elapsed,time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/n_updates
4,42,176,10,17.6,-11.810263199999998,,,,,,
10,33,353,20,17.65,-11.34632285,,,,,,
15,32,522,30,17.4,-11.593894599999999,,,,,,
21,32,697,40,17.425,-12.083340475,,,,,,
28,31,886,50,17.72,-12.135995320000001,,,,,,
34,31,1059,60,17.65,-11.910960833333332,,,,,,
40,30,1235,70,17.642857142857142,-11.9263022,,,,,,
48,29,1416,80,17.7,-11.9950341375,,,,,,
55,28,1589,90,17.655555555555555,-11.900485933333332,,,,,,
64,27,1764,100,17.64,-11.877620709999999,,,,,,
70,27,1933,110,17.57,-11.910063360000002,,,,,,
77,27,2110,120,17.57,-12.017851850000001,,,,,,
83,27,2290,130,17.68,-12.01579807,,,,,,
89,27,2465,140,17.68,-11.854292150000001,,,,,,
97,27,2632,150,17.46,-11.703658100000002,,,,,,
103,27,2802,160,17.43,-11.749974479999997,,,,,,
109,27,2973,170,17.38,-11.46722716,,,,,,
131,23,3147,180,17.31,-11.42758634,0.00073,-76.60572814941406,37.89418029785156,-6.795993804931641,0.8997777700424194,146
155,21,3325,190,17.36,-11.601252559999999,0.00073,-114.79045867919922,14.63668155670166,-15.11816692352295,0.7910560965538025,324
180,19,3497,200,17.33,-11.675217830000001,0.00073,-135.0093536376953,10.257342338562012,-22.688573837280273,0.6985775828361511,496
204,17,3681,210,17.48,-11.97420958,0.00073,-146.00494384765625,11.717527389526367,-29.847103118896484,0.6129509210586548,680
231,16,3883,220,17.73,-12.10572761,0.00073,-151.3872528076172,10.761842727661133,-37.608341217041016,0.5322742462158203,882
258,15,4082,230,17.92,-12.0282231,0.00073,-120.343017578125,11.58023452758789,-44.44961166381836,0.4643000364303589,1081
288,14,4306,240,18.41,-11.907478830000002,0.00073,-124.82139587402344,12.662410736083984,-48.81572723388672,0.40016791224479675,1305
319,14,4538,250,19.06,-11.970587449999998,0.00073,-104.91648864746094,11.051508903503418,-54.64459228515625,0.3445495665073395,1537
348,13,4749,260,19.47,-11.97954954,0.00073,-104.07350158691406,10.628864288330078,-57.105186462402344,0.30146288871765137,1748
375,13,4953,270,19.8,-12.35269768,0.00073,-92.95349884033203,12.695971488952637,-61.45222473144531,0.2655153274536133,1952
