rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates
-10.626744599999999,10,3,179,48,17.9,,,,,,
-11.281305799999998,20,8,356,42,17.8,,,,,,
-11.387723166666667,30,12,527,40,17.566666666666666,,,,,,
-11.612843625,40,17,710,40,17.75,,,,,,
-11.3086106,50,22,889,39,17.78,,,,,,
-11.337808483333335,60,27,1073,39,17.883333333333333,,,,,,
-11.463258542857142,70,32,1255,38,17.928571428571427,,,,,,
-11.4060397375,80,37,1432,38,17.9,,,,,,
-11.353927822222222,90,41,1610,38,17.88888888888889,,,,,,
-11.218566469999999,100,46,1786,38,17.86,,,,,,
-11.222433160000003,110,51,1965,38,17.86,,,,,,
-11.269430190000003,120,56,2140,37,17.84,,,,,,
-11.365600059999998,130,61,2322,37,17.95,,,,,,
-11.298967420000002,140,66,2495,37,17.85,,,,,,
-11.50897006,150,71,2670,37,17.81,,,,,,
-11.42764841,160,76,2849,37,17.76,,,,,,
-11.445479630000001,170,84,3027,35,17.72,0.00073,-1.1946184635162354,0.9818968176841736,-36.17894744873047,255.38003540039062,26
-11.646867929999999,180,106,3195,29,17.63,0.00073,-9.048867225646973,0.8690823912620544,-88.430419921875,25.770597457885742,194
-11.808584450000001,190,129,3367,26,17.57,0.00073,-16.953386306762695,0.766994833946228,-122.09313201904297,13.820499420166016,366
-12.12422964,200,151,3540,23,17.54,0.00073,-24.543750762939453,0.6766778230667114,-139.8280792236328,12.115123748779297,539
-12.500785059999998,210,175,3722,21,17.57,0.00073,-32.05106735229492,0.5945549607276917,-137.29092407226562,11.711118698120117,721
-12.53746729,220,199,3912,19,17.72,0.00073,-38.13203811645508,0.5214155316352844,-128.6690216064453,12.848344802856445,911
-12.442597910000002,230,222,4090,18,17.68,0.00073,-44.33397674560547,0.4624846875667572,-127.78946685791016,7.788816452026367,1089
-12.69666421,240,249,4303,17,18.08,0.00073,-49.52737808227539,0.40096813440322876,-117.47298431396484,11.462431907653809,1302
-12.709704890000001,250,278,4519,16,18.49,0.00073,-54.20515441894531,0.34802210330963135,-110.45024871826172,9.997415542602539,1518
-12.75192831,260,305,4731,15,18.82,0.00073,-59.43647003173828,0.3028050661087036,-98.46017456054688,8.442028045654297,1730
-12.567012300000002,270,331,4927,14,19.0,0.00073,-67.30029296875,0.26596760749816895,-86.95710754394531,8.406787872314453,1926
-12.502070400000003,280,357,5127,14,19.32,0.00073,-72.573486328125,0.232581228017807,-79.25201416015625,6.500882625579834,2126
-12.50822803,290,385,5341,13,19.74,0.00073,-75.76930236816406,0.20154327154159546,-68.72798919677734,4.536407470703125,2340
-12.543990410000001,300,414,5564,13,20.24,0.00073,-83.5911865234375,0.1739337146282196,-60.76625061035156,3.9095585346221924,2563
-12.313137689999998,310,440,5765,13,20.43,0.00073,-87.28290557861328,0.15229317545890808,-57.70042419433594,5.193796157836914,2764
-12.12065639,320,468,5980,12,20.68,0.00073,-95.58598327636719,0.1318870335817337,-46.753292083740234,4.163006782531738,2979
-12.26479455,330,501,6229,12,21.39,0.00073,-91.71375274658203,0.11192218214273453,-37.52574157714844,2.5867960453033447,3228
-12.130335189999998,340,531,6462,12,21.59,0.00073,-101.78956604003906,0.09609301388263702,-32.15685272216797,2.6853837966918945,3461
-11.999052200000001,350,559,6667,11,21.48,0.00073,-105.9367904663086,0.08399216830730438,-26.762714385986328,1.8918161392211914,3666
