time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss
10,-10.9602669,18.5,185,48,3,,,,,,
20,-11.64615985,17.9,358,43,8,,,,,,
30,-11.473722699999998,17.633333333333333,529,39,13,,,,,,
40,-11.43414285,17.675,707,38,18,,,,,,
50,-11.396336960000001,17.9,895,38,23,,,,,,
60,-11.315515650000002,17.95,1077,38,28,,,,,,
70,-11.30598027142857,18.114285714285714,1268,37,33,,,,,,
80,-11.365765074999999,18.0125,1441,37,38,,,,,,
90,-11.48874003333333,17.933333333333334,1614,37,43,,,,,,
100,-11.461014260000002,17.99,1799,37,48,,,,,,
110,-11.571217709999999,17.92,1977,37,52,,,,,,
120,-11.60243137,17.99,2157,37,57,,,,,,
130,-11.576491650000001,18.02,2331,37,62,,,,,,
140,-11.523751030000001,17.97,2504,37,67,,,,,,
150,-11.7345203,17.89,2684,36,72,,,,,,
160,-11.70228513,17.8,2857,37,77,,,,,,
170,-11.677813559999999,17.56,3024,35,84,0.00073,-35.394344329833984,0.9840542674064636,23,-1.0528905391693115,287.9225158691406
180,-11.706688560000002,17.57,3198,29,107,0.00073,-90.10569763183594,0.8674184679985046,197,-9.175113677978516,31.333560943603516
190,-11.55294674,17.58,3372,25,129,0.00073,-124.62456512451172,0.7643558382987976,371,-17.176755905151367,14.422479629516602
200,-11.67473573,17.43,3542,23,151,0.00073,-141.0902557373047,0.6762703657150269,541,-24.39762306213379,11.499597549438477
210,-11.707975049999998,17.42,3719,21,175,0.00073,-142.25436401367188,0.5967410206794739,718,-31.424213409423828,19.59304428100586
220,-11.76331625,17.54,3911,19,200,0.00073,-131.2828369140625,0.5232813954353333,910,-37.3870735168457,16.29132080078125
230,-11.87540297,17.68,4099,18,224,0.00073,-136.12301635742188,0.4613771438598633,1098,-41.627357482910156,16.098556518554688
240,-12.02847277,17.97,4301,17,251,0.00073,-126.14884185791016,0.4041695296764374,1300,-46.43513870239258,21.527996063232422
250,-11.982744789999996,18.27,4511,16,278,0.00073,-126.96127319335938,0.35458317399024963,1510,-48.91716384887695,12.703896522521973
260,-12.143438020000001,18.48,4705,15,304,0.00073,-114.47032165527344,0.3140840530395508,1704,-56.491336822509766,15.766109466552734
270,-12.485180150000001,18.94,4918,14,332,0.00073,-104.2629623413086,0.27530598640441895,1917,-55.950279235839844,17.00417137145996
280,-12.470023740000002,19.24,5122,14,358,0.00073,-103.237060546875,0.2429254800081253,2121,-62.79228973388672,11.956454277038574
290,-12.580900549999997,19.63,5335,13,386,0.00073,-92.0665054321289,0.21347731351852417,2334,-62.01774597167969,13.70250415802002
300,-12.864359480000001,19.81,5523,13,411,0.00073,-88.19676208496094,0.19064553081989288,2522,-66.47489929199219,12.031558990478516
310,-13.06056993,20.37,5756,13,441,0.00073,-76.58937072753906,0.16573208570480347,2755,-67.58544921875,9.178260803222656
320,-13.038949970000001,20.6,5971,12,469,0.00073,-75.28164672851562,0.1461753249168396,2970,-70.2499008178711,8.392147064208984
330,-13.06654521,20.74,6173,12,496,0.00073,-69.54371643066406,0.1296636015176773,3172,-70.97563171386719,7.074159145355225
340,-13.095228819999997,20.87,6388,12,524,0.00073,-58.310462951660156,0.11432025581598282,3387,-65.17393493652344,6.255352973937988
350,-13.32845216,21.08,6619,11,554,0.00073,-62.36968231201172,0.10100674629211426,3618,-61.473411560058594,6.893442153930664
