rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef
17.2,42,172,-11.220500099999999,10,4,,,,,,
17.35,35,347,-10.896709699999999,20,9,,,,,,
17.233333333333334,33,517,-11.137567700000002,30,15,,,,,,
17.35,32,694,-11.021359975,40,21,,,,,,
17.32,32,866,-11.196661040000002,50,27,,,,,,
17.4,31,1044,-11.151534999999999,60,32,,,,,,
17.37142857142857,32,1216,-11.133807728571426,70,37,,,,,,
17.3875,31,1391,-11.041022900000002,80,43,,,,,,
17.477777777777778,31,1573,-11.184455922222222,90,49,,,,,,
17.48,31,1748,-11.266824589999999,100,55,,,,,,
17.49,31,1921,-11.29756881,110,60,,,,,,
17.53,31,2100,-11.234576179999998,120,66,,,,,,
17.56,31,2273,-11.30439892,130,72,,,,,,
17.49,31,2443,-11.3284689,140,78,,,,,,
17.49,31,2615,-11.190327410000002,150,84,,,,,,
17.52,31,2796,-11.28115345,160,89,,,,,,
17.59,31,2975,-11.33488104,170,95,,,,,,
17.64,27,3155,-11.399472509999999,180,116,47.08063507080078,-78.51736450195312,0.00073,154,-7.161139488220215,0.8946255445480347
17.5,23,3323,-11.452735530000002,190,138,15.924488067626953,-115.47250366210938,0.00073,322,-15.122093200683594,0.7920008897781372
17.39,21,3487,-11.721852790000003,200,160,12.2579984664917,-138.4569091796875,0.00073,486,-22.498504638671875,0.7030048370361328
17.43,19,3664,-12.258110070000003,210,184,8.910140991210938,-134.8082275390625,0.00073,663,-29.856792449951172,0.6192581653594971
17.65,18,3865,-12.638274880000004,220,210,8.612346649169922,-137.57081604003906,0.00073,864,-37.406646728515625,0.5378726124763489
18.24,17,4097,-12.651026439999999,230,240,49.423194885253906,-118.58124542236328,0.00073,1096,-45.0223388671875,0.4587579071521759
19.43,15,4386,-12.97208329,240,279,11.213656425476074,-112.09640502929688,0.00073,1385,-51.979854583740234,0.378174751996994
19.96,14,4611,-12.967180459999998,250,308,9.225491523742676,-104.31135559082031,0.00073,1610,-58.219608306884766,0.32640308141708374
20.46,14,4842,-13.13613719,260,337,6.9103240966796875,-95.0273208618164,0.00073,1841,-64.00880432128906,0.28033506870269775
20.38,13,5013,-12.881448420000002,270,360,8.169623374938965,-86.015625,0.00073,2012,-68.66663360595703,0.2504881024360657
20.5,13,5205,-12.837170549999998,280,386,7.426226615905762,-79.04031372070312,0.00073,2204,-72.7900619506836,0.22097788751125336
21.14,13,5437,-12.72681773,290,418,5.85175895690918,-67.08486938476562,0.00073,2436,-76.43699645996094,0.18974706530570984
21.68,12,5655,-12.414414260000001,300,447,4.797908306121826,-60.761722564697266,0.00073,2654,-75.33228302001953,0.165268212556839
21.88,12,5852,-11.86607567,310,476,5.332409381866455,-55.19801330566406,0.00073,2851,-80.86054229736328,0.1462353616952896
21.74,12,6039,-11.534797669999998,320,502,4.929917335510254,-52.01124572753906,0.00073,3038,-76.89457702636719,0.13085541129112244
21.96,11,6293,-11.64250789,330,538,4.184752941131592,-54.973304748535156,0.00073,3292,-75.48075866699219,0.11337156593799591
20.94,11,6480,-11.326627079999998,340,563,4.530547142028809,-50.709964752197266,0.00073,3479,-73.27033996582031,0.10221672803163528
20.53,11,6664,-11.285209410000002,350,587,5.839391708374023,-48.99103546142578,0.00073,3663,-80.65013122558594,0.09238345921039581
20.84,11,6926,-11.397667130000002,360,621,4.04713249206543,-46.489112854003906,0.00073,3925,-72.01062774658203,0.08009807765483856
21.12,10,7125,-11.848323310000001,370,647,3.6598386764526367,-41.23643112182617,0.00073,4124,-75.11978149414062,0.07228696346282959
20.94,10,7299,-11.901990410000002,380,671,3.428149461746216,-40.0732307434082,0.00073,4298,-65.23953247070312,0.06624358147382736
21.26,10,7563,-12.0303693,390,705,3.559922218322754,-41.54084014892578,0.00073,4562,-55.82865524291992,0.05911262705922127
21.21,10,7776,-12.139091089999999,400,734,4.070735931396484,-44.39491271972656,0.00073,4775,-34.750244140625,0.05420272797346115
21.21,10,7973,-12.2215822,410,760,3.7957077026367188,-39.682491302490234,0.00073,4972,-34.65660858154297,0.050624579191207886
21.27,10,8166,-12.37472179,420,785,3.881028175354004,-41.21628952026367,0.00073,5165,-41.14523696899414,0.047696761786937714
21.45,10,8438,-12.67835894,430,822,2.914016008377075,-43.23896408081055,0.00073,5437,-33.087215423583984,0.04407135024666786
21.75,10,8655,-12.781915549999999,440,850,4.126100540161133,-39.86119842529297,0.00073,5654,-25.838294982910156,0.04218067228794098
22.07,10,8871,-13.029693310000003,450,879,4.8213090896606445,-44.147300720214844,0.00073,5870,-6.252227783203125,0.04088353365659714
21.43,10,9069,-12.851685159999999,460,905,4.961939811706543,-42.94485855102539,0.00073,6068,-10.327302932739258,0.039938122034072876
21.0,9,9225,-13.189201719999998,470,926,3.7850747108459473,-41.008506774902344,0.00073,6224,-8.494210243225098,0.039229366928339005
20.85,9,9384,-13.281556980000003,480,947,5.983294486999512,-36.69076156616211,0.00073,6383,-14.266170501708984,0.03835274651646614
20.39,9,9602,-13.321847300000002,490,976,3.7408318519592285,-41.689537048339844,0.00073,6601,-14.429590225219727,0.03719847649335861
21.21,9,9897,-13.624726059999999,500,1014,3.9409477710723877,-44.12042999267578,0.00073,6896,8.518280982971191,0.03652120754122734
22.56,9,10229,-14.1749565,510,1059,4.008923053741455,-42.33469772338867,0.00073,7228,1.8862690925598145,0.03621731325984001
23.28,9,10494,-14.322069529999997,520,1095,3.8540005683898926,-40.69140625,0.00073,7493,4.5756330490112305,0.03539463132619858
23.19,9,10757,-13.938774290000001,530,1132,2.8150458335876465,-38.7131462097168,0.00073,7756,-11.817026138305664,0.034328848123550415
23.38,9,10993,-14.129528570000002,540,1167,3.482954978942871,-40.16969299316406,0.00073,7992,4.636451721191406,0.032935742288827896
23.63,9,11234,-14.17696218,550,1201,7.533193588256836,-40.98490905761719,0.00073,8233,16.949817657470703,0.03317014500498772
23.67,9,11436,-14.044086870000001,560,1228,3.5970916748046875,-32.647159576416016,0.00073,8435,-12.569995880126953,0.031994909048080444
24.79,9,11704,-13.932598989999997,570,1264,3.546149253845215,-30.31673812866211,0.00073,8703,-7.345023155212402,0.030691606923937798
25.23,9,11907,-13.869095189999998,580,1292,4.826503753662109,-33.34682846069336,0.00073,8906,0.6528894901275635,0.030203497037291527
26.52,9,12254,-14.216802039999997,590,1338,4.094076633453369,-32.80293273925781,0.00073,9253,3.6161842346191406,0.03083520196378231
26.44,9,12541,-14.09199741,600,1376,3.799010753631592,-34.43911361694336,0.00073,9540,1.758406162261963,0.03000381775200367
26.06,9,12835,-13.87101169,610,1416,2.9585397243499756,-31.445816040039062,0.00073,9834,-2.4839258193969727,0.029586516320705414
25.19,9,13013,-13.774713660000002,620,1440,3.183980941772461,-30.77432632446289,0.00073,10012,-10.186807632446289,0.029307285323739052
24.51,9,13208,-13.67659835,630,1466,3.4052181243896484,-29.78011131286621,0.00073,10207,-11.978937149047852,0.029013147577643394
24.4,8,13433,-13.542211780000002,640,1496,2.5408315658569336,-29.428009033203125,0.00073,10432,-12.231355667114258,0.028295176103711128
23.87,8,13621,-13.371206240000001,650,1521,2.8865959644317627,-29.24458122253418,0.00073,10620,19.724899291992188,0.02771713212132454
23.69,8,13805,-13.31480254,660,1546,2.819296360015869,-27.229469299316406,0.00073,10804,-2.144679069519043,0.028229424729943275
24.31,8,14135,-13.36084292,670,1590,3.850625514984131,-29.056156158447266,0.00073,11134,2.485567092895508,0.028488386422395706
25.17,8,14424,-13.86729905,680,1629,4.098017692565918,-28.888547897338867,0.00073,11423,-0.8289847373962402,0.028672803193330765
24.05,8,14659,-13.49365771,690,1660,2.791998863220215,-28.051103591918945,0.00073,11658,-9.642681121826172,0.026953626424074173
23.41,8,14882,-13.264331530000002,700,1690,2.9465792179107666,-27.342010498046875,0.00073,11881,1.1555893421173096,0.02682633511722088
22.08,8,15043,-12.644930409999999,710,1712,3.0263478755950928,-25.651777267456055,0.00073,12042,-13.63986587524414,0.026711327955126762
22.18,8,15231,-12.571030499999999,720,1737,2.8755030632019043,-29.096233367919922,0.00073,12230,8.866143226623535,0.026906967163085938
22.99,8,15507,-13.066360769999996,730,1773,4.310922622680664,-27.422191619873047,0.00073,12506,-4.681285858154297,0.027632299810647964
23.2,8,15753,-13.166496930000001,740,1806,3.017430543899536,-27.72256088256836,0.00073,12752,-6.659278869628906,0.026785284280776978
23.43,8,15964,-13.435150770000002,750,1834,3.951158046722412,-30.815338134765625,0.00073,12963,6.469422817230225,0.027964260429143906
23.39,8,16144,-13.34646172,760,1858,4.101118087768555,-27.230669021606445,0.00073,13143,-4.499594211578369,0.028927529230713844
22.68,8,16403,-13.1430971,770,1893,3.578543186187744,-27.269184112548828,0.00073,13402,4.1156816482543945,0.028419725596904755
22.71,8,16695,-13.012307709999998,780,1936,4.461673736572266,-29.99912452697754,0.00073,13694,-0.9492632746696472,0.027727944776415825
22.36,8,16895,-12.862258100000002,790,1965,3.892302989959717,-28.571247100830078,0.00073,13894,-10.105928421020508,0.026730548590421677
23.18,8,17200,-13.449282189999998,800,2007,3.483447313308716,-27.881942749023438,0.00073,14199,10.511679649353027,0.02693495713174343
24.13,8,17456,-13.914949479999997,810,2042,4.479052543640137,-28.392745971679688,0.00073,14455,10.086185455322266,0.027146179229021072
25.4,8,17771,-14.406576990000001,820,2085,3.365079879760742,-29.422836303710938,0.00073,14770,14.059643745422363,0.026327865198254585
25.28,8,18035,-14.28153325,830,2120,3.5325164794921875,-28.848735809326172,0.00073,15034,-3.7052230834960938,0.02555234171450138
25.72,8,18325,-14.472334380000001,840,2159,2.770914077758789,-26.289920806884766,0.00073,15324,-6.526704788208008,0.024687476456165314
26.44,8,18608,-14.604157990000001,850,2197,2.704500436782837,-25.457523345947266,0.00073,15607,1.8641480207443237,0.024570683017373085
28.68,8,19012,-15.6121206,860,2251,3.4325547218322754,-23.48614501953125,0.00073,16011,-20.64763641357422,0.02493474632501602
28.29,8,19232,-15.344227460000003,870,2281,2.721132516860962,-21.332244873046875,0.00073,16231,-5.627474784851074,0.023990124464035034
27.24,8,19419,-14.826839469999998,880,2306,3.749542713165283,-23.682321548461914,0.00073,16418,0.9461475610733032,0.023850081488490105
28.3,8,19725,-15.14127142,890,2348,3.4569129943847656,-21.075241088867188,0.00073,16724,-16.528179168701172,0.02333771623671055
28.22,8,20022,-14.816111369999998,900,2387,3.468097448348999,-20.670875549316406,0.00073,17021,-11.585976600646973,0.02327113226056099
28.57,8,20313,-14.867145790000002,910,2426,3.087495803833008,-22.972360610961914,0.00073,17312,7.272304534912109,0.02226804941892624
28.21,8,20592,-14.59995803,920,2463,2.6239943504333496,-20.050722122192383,0.00073,17591,7.106044769287109,0.022281108424067497
28.81,8,20916,-14.795250720000002,930,2507,2.4107131958007812,-18.20992660522461,0.00073,17915,-10.001901626586914,0.022189438343048096
28.91,8,21216,-14.854067840000003,940,2547,2.6313371658325195,-21.300790786743164,0.00073,18215,2.069807529449463,0.020981697365641594
28.9,8,21498,-15.108093899999997,950,2584,2.486737012863159,-17.508041381835938,0.00073,18497,-10.101672172546387,0.020662588998675346
26.55,8,21667,-14.339583529999997,960,2607,3.302957057952881,-17.49686622619629,0.00073,18666,6.009796619415283,0.020903456956148148
26.35,8,21867,-14.13634995,970,2634,3.4181623458862305,-19.19168472290039,0.00073,18866,3.3881826400756836,0.020853320136666298
26.78,8,22097,-14.386658569999998,980,2665,2.6787774562835693,-17.081565856933594,0.00073,19096,-8.278650283813477,0.02038721553981304
26.33,8,22358,-14.403629699999996,990,2700,2.4998297691345215,-18.292316436767578,0.00073,19357,1.2379496097564697,0.01975364051759243
26.06,8,22628,-14.448775939999997,1000,2737,2.2441205978393555,-16.283388137817383,0.00073,19627,-6.0697712898254395,0.019475027918815613
26.06,8,22919,-14.445075700000002,1010,2776,2.3766636848449707,-16.84224510192871,0.00073,19918,9.93576431274414,0.02014429308474064
25.94,8,23186,-14.577307769999999,1020,2813,2.3818602561950684,-16.789690017700195,0.00073,20185,6.692983627319336,0.02023935690522194
25.93,8,23509,-14.450031130000003,1030,2856,1.964132308959961,-17.256315231323242,0.00073,20508,-4.213413715362549,0.019540248438715935
24.98,8,23714,-14.36767165,1040,2884,2.1199288368225098,-15.525693893432617,0.00073,20713,-6.421078681945801,0.019006045535206795
25.28,8,24026,-14.15744049,1050,2925,2.302971601486206,-16.117460250854492,0.00073,21025,-9.061782836914062,0.019144602119922638
25.78,8,24245,-14.187312339999998,1060,2954,1.8479148149490356,-14.083311080932617,0.00073,21244,-10.192387580871582,0.019032791256904602
26.05,8,24472,-14.566464840000002,1070,2985,2.451141119003296,-16.741748809814453,0.00073,21471,2.5685458183288574,0.01926725171506405
26.26,8,24723,-14.682820220000002,1080,3019,2.2618463039398193,-13.407883644104004,0.00073,21722,-6.842917442321777,0.018009623512625694
26.76,8,25034,-14.85177163,1090,3062,1.8043904304504395,-14.499415397644043,0.00073,22033,-7.855573654174805,0.017495373263955116
26.36,8,25264,-14.52464182,1100,3093,1.8048282861709595,-13.697558403015137,0.00073,22263,-12.404711723327637,0.017208058387041092
25.65,8,25484,-14.19962126,1110,3123,1.6025822162628174,-15.385771751403809,0.00073,22483,6.715841293334961,0.016341280192136765
25.67,8,25753,-14.156611759999999,1120,3160,1.8792579174041748,-13.528900146484375,0.00073,22752,3.328248977661133,0.01699516735970974
25.02,8,26011,-14.06276166,1130,3196,1.6275684833526611,-12.983926773071289,0.00073,23010,11.04916763305664,0.016525015234947205
25.71,8,26285,-13.9727069,1140,3232,1.7556349039077759,-11.774755477905273,0.00073,23284,-4.736605644226074,0.016263248398900032
25.14,8,26540,-13.772702459999998,1150,3266,1.7789106369018555,-11.639415740966797,0.00073,23539,4.493645668029785,0.015407290309667587
25.7,8,26815,-13.787953880000002,1160,3303,1.9541454315185547,-9.941049575805664,0.00073,23814,6.005115032196045,0.01576329581439495
25.85,8,27057,-14.04013369,1170,3336,1.6461186408996582,-11.74280834197998,0.00073,24056,2.938325881958008,0.01594088040292263
25.85,8,27308,-14.315187919999998,1180,3370,1.4979887008666992,-11.111204147338867,0.00073,24307,-5.522268295288086,0.01591748744249344
26.01,8,27635,-14.23892891,1190,3414,1.7591363191604614,-12.940437316894531,0.00073,24634,9.376120567321777,0.016558459028601646
27.08,8,27972,-14.729687249999998,1200,3459,1.3703391551971436,-10.972031593322754,0.00073,24971,-14.620502471923828,0.01600637100636959
27.15,8,28199,-14.81787754,1210,3490,1.5823240280151367,-11.060295104980469,0.00073,25198,-15.004633903503418,0.01589328423142433
28.33,8,28586,-15.262459219999998,1220,3542,1.7065716981887817,-11.425213813781738,0.00073,25585,0.31216907501220703,0.015204846858978271
29.29,8,28940,-15.478227180000003,1230,3590,1.618544101715088,-10.760178565979004,0.00073,25939,1.469245433807373,0.014934631995856762
29.41,8,29226,-15.587252560000001,1240,3628,1.5276219844818115,-9.289703369140625,0.00073,26225,-9.020472526550293,0.014282194897532463
29.2,8,29460,-15.44578769,1250,3659,1.4250893592834473,-8.9110107421875,0.00073,26459,-10.713371276855469,0.01384677179157734
30.14,8,29829,-16.2652259,1260,3708,1.315629482269287,-8.834390640258789,0.00073,26828,-14.804056167602539,0.013423215597867966
30.81,8,30138,-16.32464959,1270,3749,1.0048017501831055,-6.590792655944824,0.00073,27137,-25.887794494628906,0.012865559197962284
31.66,8,30474,-16.32872468,1280,3795,1.3234367370605469,-6.400583744049072,0.00073,27473,-1.3726825714111328,0.012156849727034569
30.78,8,30713,-16.12305354,1290,3828,1.0739140510559082,-6.142909049987793,0.00073,27712,-8.450242042541504,0.011803871020674706
30.01,8,30973,-15.742792029999999,1300,3863,0.9754987955093384,-8.012862205505371,0.00073,27972,-10.826919555664062,0.011853319592773914
30.01,8,31200,-15.869728719999996,1310,3894,0.9974827766418457,-4.98875093460083,0.00073,28199,-11.039095878601074,0.011524053290486336
28.55,8,31441,-15.05940384,1320,3927,1.1349530220031738,-5.74525785446167,0.00073,28440,-13.935185432434082,0.011201444081962109
27.14,8,31654,-14.224632960000001,1330,3956,0.983473539352417,-5.407417297363281,0.00073,28653,11.606332778930664,0.010579015128314495
26.34,7,31860,-13.852623399999997,1340,3984,0.861656665802002,-5.677407264709473,0.00073,28859,-10.440620422363281,0.0112313786521554
26.85,7,32145,-14.111101879999996,1350,4023,1.2091443538665771,-6.170609474182129,0.00073,29144,1.4792957305908203,0.010310783982276917
26.04,7,32433,-13.572172759999999,1360,4062,1.0395934581756592,-5.589709758758545,0.00073,29432,-2.8292899131774902,0.01005649659782648
25.17,7,32655,-13.337016030000003,1370,4092,1.084355354309082,-4.381709098815918,0.00073,29654,-0.5043008327484131,0.010089653544127941
25.2,7,32994,-13.486882900000001,1380,4138,0.8059045076370239,-5.347243309020996,0.00073,29993,11.96931266784668,0.010153379291296005
26.16,7,33329,-13.495086549999998,1390,4183,0.731719970703125,-4.090746879577637,0.00073,30328,4.270275115966797,0.009498839266598225
26.45,7,33618,-13.778479350000003,1400,4223,0.7317923903465271,-3.428898572921753,0.00073,30617,-16.704076766967773,0.00937612634152174
26.22,7,33822,-13.645788220000002,1410,4250,0.7972058057785034,-4.343908309936523,0.00073,30821,1.8264899253845215,0.009325634688138962
25.93,7,34034,-13.822696579999999,1420,4279,0.9356318116188049,-3.2951483726501465,0.00073,31033,-4.45842981338501,0.009015324525535107
26.38,7,34292,-14.236787279999998,1430,4314,0.7843970060348511,-2.8949148654937744,0.00073,31291,-9.528142929077148,0.009070760570466518
27.05,7,34565,-14.383896699999998,1440,4351,0.6845384836196899,-3.736949920654297,0.00073,31564,4.630019664764404,0.008895019069314003
29.94,7,35139,-15.89937356,1450,4430,0.6320598721504211,-3.1222681999206543,0.00073,32138,14.811796188354492,0.008506267331540585
29.88,7,35421,-15.587463620000001,1460,4469,0.5496076345443726,-3.1127066612243652,0.00073,32420,-17.518352508544922,0.007961798459291458
29.77,7,35632,-15.99588441,1470,4497,0.605016827583313,-2.6898536682128906,0.00073,32631,-0.4321727752685547,0.0078873997554183
28.29,7,35823,-15.601430340000002,1480,4523,0.573496401309967,-1.8666399717330933,0.00073,32822,-16.564895629882812,0.007880576886236668
