rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
31.8,8,10,39,318,-372.3308586,,,,,,
30.8,16,20,37,616,-344.32048599999996,,,,,,
30.566666666666666,24,30,36,917,-336.16674780000005,,,,,,
31.325,34,40,36,1253,-351.25854534999996,,,,,,
31.04,42,50,36,1552,-342.17134696,,,,,,
31.0,50,60,36,1860,-340.09472565000004,,,,,,
30.9,58,70,37,2163,-337.6292772714286,,,,,,
30.9125,66,80,37,2473,-337.63593089999995,,,,,,
30.8,74,90,37,2772,-333.9955265111111,,,,,,
31.03,93,100,33,3103,-339.08402688999996,0.00073,0.9288805723190308,-4.8180413246154785,21.895732879638672,-50.61959457397461,102
30.82,132,110,25,3400,-332.9106888400001,0.00073,0.7481598854064941,-18.782310485839844,2.6360063552856445,-80.1308364868164,399
31.14,174,120,21,3730,-333.10683458000005,0.00073,0.5895918607711792,-33.272884368896484,4.593534469604492,-71.9259033203125,729
31.9,223,130,18,4107,-332.39862338,0.00073,0.4527777135372162,-47.00419616699219,6.952763557434082,-45.828086853027344,1106
31.71,264,140,16,4424,-322.33951047000005,0.00073,0.3663924038410187,-52.291465759277344,5.936834812164307,-20.64968490600586,1423
33.14,322,150,15,4866,-328.31927799000005,0.00073,0.2757240831851959,-64.32181549072266,7.053684234619141,1.1603220701217651,1865
34.78,383,160,13,5338,-333.44019697,0.00073,0.20475932955741882,-72.06584167480469,4.885770797729492,28.68683624267578,2337
35.65,434,170,13,5728,-334.68003182,0.00073,0.16023412346839905,-77.85610961914062,4.814230918884277,36.15788269042969,2727
36.14,481,180,12,6087,-329.37327258,0.00073,0.12842941284179688,-80.1911849975586,4.562997817993164,50.748069763183594,3086
36.79,529,190,12,6451,-331.68889828,0.00073,0.10308363288640976,-84.00565338134766,4.924625396728516,57.075897216796875,3450
37.87,586,200,11,6890,-328.0203038,0.00073,0.0801653265953064,-79.47311401367188,3.8348116874694824,64.74028015136719,3889
39.19,642,210,11,7319,-334.95557269000005,0.00073,0.0635264590382576,-69.57868194580078,3.7417521476745605,73.62102508544922,4318
39.34,687,220,11,7664,-333.87633728000003,0.00073,0.05357670038938522,-70.18309020996094,5.461982727050781,72.31475067138672,4663
39.58,740,230,10,8065,-340.77782805000004,0.00073,0.04437873885035515,-64.31353759765625,3.8838469982147217,75.36482238769531,5064
40.11,789,240,10,8435,-343.69098648000005,0.00073,0.03761829063296318,-60.03963088989258,3.3351030349731445,76.7953872680664,5434
39.6,840,250,10,8826,-338.08502982,0.00073,0.032461222261190414,-29.731081008911133,2.6477556228637695,79.29425811767578,5825
38.8,892,260,10,9218,-333.86023112,0.00073,0.028523823246359825,-18.65679359436035,4.455410003662109,81.79100036621094,6217
39.16,947,270,10,9644,-333.3550798,0.00073,0.025047823786735535,-30.500682830810547,3.4169602394104004,82.32569885253906,6643
38.78,989,280,10,9965,-331.09382473000005,0.00073,0.02315836027264595,-27.250585556030273,3.822192668914795,80.41511535644531,6964
38.86,1038,290,9,10337,-330.91961214,0.00073,0.021375691518187523,-22.292728424072266,3.8254261016845703,79.5912857055664,7336
38.1,1087,300,9,10700,-328.22697017999997,0.00073,0.020205723121762276,-11.511667251586914,3.3545918464660645,81.80760192871094,7699
37.68,1138,310,9,11087,-324.81519946000003,0.00073,0.01969495601952076,-4.387834072113037,3.2846603393554688,80.80022430419922,8086
38.21,1191,320,9,11485,-329.29017389,0.00073,0.018724316731095314,-1.2958648204803467,4.0088911056518555,87.96334838867188,8484
38.58,1250,330,9,11923,-326.02403705999996,0.00073,0.01881987974047661,6.606112480163574,3.959378719329834,84.13380432128906,8922
38.52,1298,340,9,12287,-321.92742250000003,0.00073,0.019615788012742996,-6.565679550170898,3.362593650817871,87.30278778076172,9286
38.59,1350,350,9,12685,-321.85312193000004,0.00073,0.019401725381612778,-9.295414924621582,4.443414211273193,84.14608764648438,9684
38.26,1397,360,9,13044,-316.30349911,0.00073,0.018734373152256012,1.2717478275299072,4.760716438293457,82.64994812011719,10043
37.9,1448,370,9,13434,-310.91641760000005,0.00073,0.018474586308002472,-3.311398983001709,3.0908164978027344,90.46351623535156,10433
39.43,1511,380,9,13908,-310.31116827,0.00073,0.017899148166179657,-3.482530117034912,2.587405204772949,88.8997802734375,10907
40.16,1569,390,9,14353,-316.49241012000005,0.00073,0.01805756241083145,-7.730345726013184,3.5252957344055176,91.04422760009766,11352
40.56,1623,400,9,14756,-313.34687086,0.00073,0.017713069915771484,-3.6952104568481445,5.107997417449951,92.70779418945312,11755
40.7,1676,410,9,15157,-309.69348277999995,0.00073,0.0167673509567976,-5.072744846343994,3.417057991027832,92.24800872802734,12156
40.7,1728,420,9,15555,-304.0686909500001,0.00073,0.016976749524474144,-9.618185043334961,2.829857349395752,90.22914123535156,12554
40.51,1782,430,8,15974,-300.36709123,0.00073,0.016808168962597847,3.8017959594726562,3.322997808456421,93.10276794433594,12973
40.7,1832,440,8,16357,-303.02866295999996,0.00073,0.016452860087156296,-4.71914529800415,3.286965847015381,93.21532440185547,13356
41.09,1889,450,8,16794,-301.83345919,0.00073,0.016031019389629364,5.347779750823975,4.076056003570557,97.89202880859375,13793
42.02,1950,460,8,17246,-303.66307274999997,0.00073,0.016503579914569855,-1.9164704084396362,2.3521509170532227,93.99867248535156,14245
42.44,2007,470,8,17678,-307.92038606,0.00073,0.016214389353990555,-2.6945717334747314,3.9364821910858154,97.65532684326172,14677
41.82,2062,480,8,18090,-314.60623835,0.00073,0.01613307185471058,-7.486230850219727,3.425159454345703,99.12779235839844,15089
40.95,2109,490,8,18448,-305.83684363,0.00073,0.016170069575309753,9.84025764465332,4.6150712966918945,96.98165893554688,15447
40.92,2162,500,8,18848,-308.51162299,0.00073,0.015791326761245728,1.274376630783081,2.463870048522949,96.47282409667969,15847
41.18,2218,510,8,19275,-306.58097759,0.00073,0.016107074916362762,-4.937126159667969,3.2996628284454346,96.98265075683594,16274
40.89,2266,520,8,19644,-307.91364138,0.00073,0.015949776396155357,-4.811559677124023,2.953977108001709,97.43937683105469,16643
41.12,2324,530,8,20086,-310.47423712,0.00073,0.01560890767723322,18.90311050415039,3.163365364074707,97.78590393066406,17085
41.22,2376,540,8,20479,-307.50792151999997,0.00073,0.01565506123006344,-0.08298611640930176,3.3337488174438477,100.34586334228516,17478
40.88,2429,550,8,20882,-311.54083056,0.00073,0.015520180575549603,-4.816705703735352,3.463226795196533,100.08527374267578,17881
40.6,2484,560,8,21306,-314.36659711,0.00073,0.015729041770100594,-0.8067708015441895,3.9331212043762207,97.66194152832031,18305
40.88,2545,570,8,21766,-314.92211564,0.00073,0.016130894422531128,5.671028137207031,3.555485725402832,97.21431732177734,18765
41.08,2602,580,8,22198,-314.91548565000005,0.00073,0.016769150272011757,7.7525787353515625,3.862640380859375,99.43218994140625,19197
41.86,2659,590,8,22634,-311.97269504,0.00073,0.015974324196577072,6.111816883087158,3.7203896045684814,96.88690185546875,19633
41.32,2705,600,8,22980,-311.09411162,0.00073,0.016128094866871834,-8.613227844238281,3.7391903400421143,99.4671401977539,19979
40.91,2757,610,8,23366,-310.37798886,0.00073,0.016148310154676437,-1.7152819633483887,4.417254447937012,98.873046875,20365
41.67,2819,620,8,23811,-306.70177043999996,0.00073,0.0163408350199461,3.8607635498046875,3.0553715229034424,102.53096008300781,20810
42.05,2884,630,8,24291,-301.58234871,0.00073,0.016000235453248024,-0.3116765022277832,3.1202774047851562,100.91886901855469,21290
41.59,2936,640,8,24638,-299.61218039,0.00073,0.015461714938282967,2.8891615867614746,2.9913487434387207,100.66297149658203,21637
41.23,2991,650,8,25005,-295.723957,0.00073,0.015585264191031456,3.9051263332366943,3.246307373046875,101.11296081542969,22004
40.79,3042,660,8,25385,-294.50345214000004,0.00073,0.015345561318099499,-8.886651992797852,3.400341510772705,99.11365509033203,22384
40.64,3102,670,8,25830,-291.46071721,0.00073,0.014683992601931095,-6.0693793296813965,3.1098036766052246,102.24547576904297,22829
40.64,3159,680,8,26262,-287.23788843999995,0.00073,0.015012606978416443,-2.570528030395508,3.2142348289489746,103.24246215820312,23261
40.63,3218,690,8,26697,-292.47086772999995,0.00073,0.014995171688497066,-5.639825820922852,4.162128925323486,102.81820678710938,23696
41.34,3273,700,8,27114,-292.33488034999993,0.00073,0.014513382688164711,-5.806528091430664,3.306612491607666,101.27701568603516,24113
41.57,3328,710,8,27523,-296.22334817999996,0.00073,0.014149301685392857,-7.691380500793457,3.1381125450134277,106.52507781982422,24522
41.41,3385,720,8,27952,-301.04981391,0.00073,0.013910859823226929,-2.3138718605041504,3.2572102546691895,104.62112426757812,24951
41.05,3445,730,8,28396,-304.00036289,0.00073,0.014568150974810123,-5.374574184417725,4.078074932098389,107.08845520019531,25395
41.74,3500,740,8,28812,-306.88743158000005,0.00073,0.0148776201531291,-10.520475387573242,3.354523181915283,107.22282409667969,25811
42.32,3557,750,8,29237,-307.63476854000004,0.00073,0.014506934210658073,4.701587677001953,3.0855984687805176,100.58860778808594,26236
42.44,3611,760,8,29629,-307.44565468,0.00073,0.014385168440639973,-3.132516384124756,2.8982412815093994,102.47566223144531,26628
42.19,3670,770,8,30049,-306.30746672000004,0.00073,0.014229614287614822,3.2600467205047607,4.911177635192871,105.20164489746094,27048
41.7,3723,780,8,30432,-307.62654004,0.00073,0.014800465665757656,7.723353862762451,3.8426859378814697,107.23561096191406,27431
41.77,3783,790,8,30874,-306.81661348,0.00073,0.015226025134325027,2.5900189876556396,4.5530571937561035,108.93283081054688,27873
41.78,3839,800,8,31292,-302.20078175000003,0.00073,0.014720994979143143,3.040010929107666,8.615705490112305,104.43927764892578,28291
41.8,3896,810,8,31703,-298.86419039,0.00073,0.014998683705925941,10.968286514282227,3.4233322143554688,104.98860931396484,28702
41.92,3956,820,8,32144,-294.69110426,0.00073,0.01474123913794756,2.875986337661743,3.632189989089966,103.67863464355469,29143
41.72,4013,830,8,32568,-294.16137961000004,0.00073,0.014659653417766094,-4.120477676391602,3.57489013671875,106.4469223022461,29567
42.01,4073,840,8,33013,-296.38852404000005,0.00073,0.014644498936831951,-2.9428372383117676,3.9753808975219727,105.67464447021484,30012
41.79,4128,850,8,33416,-298.45015778,0.00073,0.014450190588831902,0.523406982421875,3.8571043014526367,103.39856719970703,30415
42.14,4185,860,8,33843,-297.91649166999997,0.00073,0.01479511708021164,5.881392002105713,4.270275592803955,106.66100311279297,30842
42.11,4241,870,8,34260,-299.75699811000004,0.00073,0.014826524071395397,-0.26526254415512085,3.163595676422119,102.6172103881836,31259
41.97,4291,880,8,34629,-298.4095496,0.00073,0.014596235007047653,8.441400527954102,4.215790748596191,107.04743957519531,31628
41.76,4347,890,8,35050,-295.69782997999994,0.00073,0.014282556250691414,3.976686477661133,3.4439001083374023,107.1018295288086,32049
42.37,4409,900,8,35529,-299.75776838999997,0.00073,0.014586306177079678,-5.399197578430176,4.535146236419678,107.70124816894531,32528
42.84,4471,910,8,35987,-297.77167399,0.00073,0.014811422675848007,-0.5189247131347656,3.349134922027588,106.59761810302734,32986
43.23,4535,920,8,36467,-302.36620275000007,0.00073,0.014473264105618,2.1333916187286377,6.567407608032227,105.990234375,33466
43.02,4589,930,8,36870,-301.28761113,0.00073,0.014792746864259243,-3.964806318283081,4.348494529724121,106.42022705078125,33869
42.56,4644,940,8,37269,-299.17321447,0.00073,0.014445113018155098,-3.580143451690674,3.823594331741333,107.64522552490234,34268
42.89,4703,950,8,37705,-295.03950917000003,0.00073,0.014281697571277618,-3.0737836360931396,3.3782777786254883,106.75425720214844,34704
43.2,4764,960,8,38163,-293.0658432999999,0.00073,0.014655563980340958,1.641655683517456,3.0290238857269287,108.16546630859375,35162
43.56,4825,970,8,38616,-294.4439672,0.00073,0.014347497373819351,10.958749771118164,4.8564887046813965,107.08405303955078,35615
44.2,4883,980,7,39049,-296.02481144999996,0.00073,0.014216911047697067,2.86820650100708,4.643459320068359,105.00236511230469,36048
44.54,4945,990,7,39504,-293.1041022200001,0.00073,0.01392672210931778,3.2199292182922363,4.314621925354004,107.46578216552734,36503
44.32,5007,1000,7,39961,-289.86564214000003,0.00073,0.014122002758085728,-16.036514282226562,3.5230677127838135,107.83257293701172,36960
44.45,5070,1010,7,40432,-295.24882395000003,0.00073,0.013975124806165695,2.2466540336608887,3.3197414875030518,107.89022064208984,37431
43.87,5127,1020,7,40854,-295.78113236,0.00073,0.014351719059050083,-3.4338748455047607,3.158297538757324,112.29801940917969,37853
44.13,5185,1030,7,41283,-297.38198204,0.00073,0.013955466449260712,2.1235790252685547,4.4323506355285645,106.78638458251953,38282
43.91,5235,1040,7,41660,-298.14025458,0.00073,0.013791907578706741,-2.1122632026672363,4.250873565673828,108.93711853027344,38659
43.3,5286,1050,7,42035,-298.16835454,0.00073,0.01414070837199688,3.2589681148529053,4.461025714874268,105.63987731933594,39034
42.56,5338,1060,7,42419,-297.3883525,0.00073,0.013930507935583591,3.087883949279785,3.894807815551758,105.64077758789062,39418
42.73,5401,1070,7,42889,-291.07168842000004,0.00073,0.013743490912020206,-6.53411865234375,3.324601650238037,110.88184356689453,39888
43.02,5463,1080,7,43351,-287.60946047,0.00073,0.01419046986848116,-5.323126316070557,3.7113564014434814,109.81140899658203,40350
42.92,5525,1090,7,43796,-291.04464377000005,0.00073,0.014096873812377453,4.623204231262207,4.700211524963379,109.91354370117188,40795
42.82,5586,1100,7,44243,-290.48689006000006,0.00073,0.013559598475694656,4.372908592224121,4.070775032043457,108.3727035522461,41242
42.6,5649,1110,7,44692,-283.31566203,0.00073,0.013728995807468891,0.48268818855285645,3.659362316131592,111.78644561767578,41691
43.02,5713,1120,7,45156,-280.53966614,0.00073,0.013610747642815113,-3.2886877059936523,3.3828067779541016,109.78791809082031,42155
43.06,5772,1130,7,45589,-276.84294263,0.00073,0.013535941950976849,1.9297393560409546,3.423966407775879,109.13687133789062,42588
43.78,5834,1140,7,46038,-274.21346972,0.00073,0.013889716006815434,3.585554838180542,3.6203250885009766,111.5430679321289,43037
44.41,5893,1150,7,46476,-274.01772381,0.00073,0.013276234269142151,1.6679556369781494,3.9220504760742188,109.49407196044922,43475
44.93,5953,1160,7,46912,-273.92969362,0.00073,0.013832530938088894,2.659640312194824,4.334832191467285,106.05835723876953,43911
44.8,6016,1170,7,47369,-275.73606769,0.00073,0.013755935244262218,14.596861839294434,3.440225124359131,113.93858337402344,44368
44.75,6078,1180,7,47826,-275.25769550999996,0.00073,0.013728877529501915,-8.896699905395508,4.61911678314209,109.44134521484375,44825
44.17,6130,1190,7,48213,-271.94381197999996,0.00073,0.013497823849320412,5.949124336242676,3.8961563110351562,111.03863525390625,45212
44.39,6194,1200,7,48682,-272.01268089,0.00073,0.013379245065152645,-0.8033061027526855,3.7039170265197754,109.40538787841797,45681
44.43,6256,1210,7,49135,-271.87804495000006,0.00073,0.01342974603176117,2.108945369720459,3.65705943107605,111.14762115478516,46134
44.02,6313,1220,7,49558,-270.77665146,0.00073,0.013396059162914753,10.421805381774902,4.381687641143799,107.12250518798828,46557
44.18,6373,1230,7,50007,-268.61325219,0.00073,0.013536045327782631,1.7202599048614502,3.314183235168457,111.16000366210938,47006
44.12,6433,1240,7,50450,-270.58752746,0.00073,0.013050595298409462,0.48064374923706055,3.777822494506836,111.24252319335938,47449
44.05,6492,1250,7,50881,-269.02079826,0.00073,0.013961443677544594,-9.056503295898438,3.0539026260375977,112.41291046142578,47880
44.0,6552,1260,7,51312,-269.5157138,0.00073,0.01332582626491785,-6.323922157287598,4.437840461730957,112.63616180419922,48311
44.16,6616,1270,7,51785,-270.7648235,0.00073,0.013549276627600193,9.751144409179688,3.853438138961792,112.15100860595703,48784
43.62,6669,1280,7,52188,-274.53461357,0.00073,0.013869477435946465,-9.199766159057617,3.8155932426452637,114.2258529663086,49187
