time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef
6,-334.56970120000005,29.9,43,299,10,,,,,,
15,-350.7216913000001,31.4,40,628,20,,,,,,
23,-342.64246153333346,30.866666666666667,39,926,30,,,,,,
31,-339.296763,30.8,38,1232,40,,,,,,
39,-334.10690805999997,30.62,38,1531,50,,,,,,
49,-340.7779733500001,30.916666666666668,37,1855,60,,,,,,
57,-341.74208092857134,31.1,37,2177,70,,,,,,
66,-345.99322528749997,31.3125,37,2505,80,,,,,,
73,-344.54680842222217,31.27777777777778,38,2815,90,,,,,,
94,-342.46127577,31.2,33,3120,100,119,-5.640200138092041,15.689373016357422,0.00073,-52.018192291259766,0.9174010157585144
131,-339.97752109999993,31.14,25,3413,110,412,-19.464679718017578,3.5423457622528076,0.00073,-77.7431411743164,0.7411031126976013
175,-335.6204836,31.26,21,3754,120,753,-34.45873260498047,5.063084602355957,0.00073,-72.4162368774414,0.5792833566665649
231,-337.81017167,32.65,18,4191,130,1190,-49.37358474731445,5.288978099822998,0.00073,-35.55698776245117,0.42760801315307617
289,-336.32367699,34.1,16,4642,140,1641,-57.75714111328125,4.030073642730713,0.00073,-20.81562042236328,0.3196563720703125
349,-334.71477026,35.79,14,5110,150,2109,-70.6791000366211,3.7864627838134766,0.00073,7.8868632316589355,0.2365933209657669
413,-327.2445698700001,37.45,13,5600,160,2599,-77.0751724243164,4.118645668029785,0.00073,29.557878494262695,0.1735544353723526
464,-322.71562106000005,38.18,12,5995,170,2994,-77.31576538085938,5.448943614959717,0.00073,38.53479766845703,0.13646821677684784
517,-318.62293358000005,38.99,12,6404,180,3403,-85.93190002441406,3.1661243438720703,0.00073,47.63847732543945,0.1065758541226387
579,-317.40011029000004,40.67,11,6882,190,3881,-82.71296691894531,2.6626546382904053,0.00073,56.26780700683594,0.08057615160942078
636,-321.41743405,42.01,11,7321,200,4320,-79.16778564453125,3.000230312347412,0.00073,65.07427978515625,0.06301715970039368
693,-325.00578534,43.51,11,7764,210,4763,-64.34539031982422,4.644198417663574,0.00073,67.25213623046875,0.05023154988884926
750,-326.19093928999996,44.46,10,8200,220,5199,-53.27363204956055,3.020359516143799,0.00073,69.83735656738281,0.04090217500925064
806,-324.23059467,44.38,10,8629,230,5628,-46.510074615478516,3.675412178039551,0.00073,73.37057495117188,0.03419661894440651
867,-326.87812185999996,44.53,10,9095,240,6094,-31.104848861694336,3.010667324066162,0.00073,77.14305877685547,0.028615130111575127
926,-328.28135933000004,44.29,10,9539,250,6538,-13.594231605529785,3.130936622619629,0.00073,77.94081115722656,0.025461791083216667
981,-331.37616045000004,43.63,10,9963,260,6962,-17.654037475585938,3.7108426094055176,0.00073,80.00988006591797,0.0234154611825943
1035,-331.05186426,43.84,10,10379,270,7378,-9.285482406616211,3.1390888690948486,0.00073,81.68877410888672,0.021768469363451004
1098,-326.85214126000005,44.51,9,10855,280,7854,3.6353302001953125,2.434979200363159,0.00073,82.912109375,0.02076767198741436
1152,-322.94288115,43.79,9,11261,290,8260,-8.555379867553711,5.209068775177002,0.00073,83.72797393798828,0.0200369693338871
1204,-318.15779711999994,43.38,9,11659,300,8658,7.396012306213379,3.1967403888702393,0.00073,84.91140747070312,0.019409511238336563
1266,-318.19661539000003,43.72,9,12136,310,9135,3.2441248893737793,2.8567428588867188,0.00073,83.62141418457031,0.019321633502840996
1320,-313.59067605999996,43.41,9,12541,320,9540,14.069408416748047,3.72845458984375,0.00073,85.24476623535156,0.0188754852861166
1370,-310.14291362000006,42.94,9,12923,330,9922,-7.697556495666504,3.41262149810791,0.00073,86.89373779296875,0.018472233787178993
1426,-307.22663173000007,42.59,9,13354,340,10353,-1.818462610244751,3.1640419960021973,0.00073,87.51486206054688,0.01823367550969124
1486,-312.02823207,42.72,9,13811,350,10810,7.959476947784424,2.7676985263824463,0.00073,85.95015716552734,0.01827341690659523
1549,-307.18344603,43.21,9,14284,360,11283,8.152091979980469,3.377035617828369,0.00073,88.75746154785156,0.018043292686343193
1601,-306.25375422,43.01,9,14680,370,11679,-1.4206701517105103,2.912224769592285,0.00073,91.45083618164062,0.018061937764286995
1664,-300.81547271000005,43.06,9,15161,380,12160,4.412456035614014,3.0133752822875977,0.00073,90.43000030517578,0.01807618886232376
1719,-299.49415939000005,43.2,9,15581,390,12580,-0.20415210723876953,2.697734832763672,0.00073,93.18356323242188,0.01818268373608589
1779,-293.24306880999995,43.84,9,16043,400,13042,2.567545175552368,2.679861307144165,0.00073,95.02992248535156,0.01784854754805565
1832,-288.74318516999995,43.07,8,16443,410,13442,-6.531380653381348,3.5916082859039307,0.00073,88.81977844238281,0.017967652529478073
1891,-292.03159097,43.48,8,16889,420,13888,3.0966968536376953,3.218562126159668,0.00073,92.71266174316406,0.01759536750614643
1951,-290.07870853,44.22,8,17345,430,14344,3.1170361042022705,3.9381895065307617,0.00073,96.21359252929688,0.017352230846881866
2014,-287.20349108,44.66,8,17820,440,14819,-0.41793084144592285,3.670745849609375,0.00073,96.14388275146484,0.01719178631901741
2066,-276.41001639000007,44.04,8,18215,450,15214,3.180992603302002,3.623276710510254,0.00073,93.96125030517578,0.017322616651654243
2126,-277.38878037,43.87,8,18671,460,15670,6.221536159515381,2.7568020820617676,0.00073,94.78945922851562,0.016718769446015358
2187,-276.28879821,44.41,8,19121,470,16120,11.916875839233398,2.8540358543395996,0.00073,96.01207733154297,0.0172268096357584
2241,-282.67303489,43.59,8,19520,480,16519,5.0544562339782715,2.774893283843994,0.00073,96.10415649414062,0.01731262542307377
2306,-280.13152342,44.21,8,20002,490,17001,2.052032709121704,2.377110481262207,0.00073,94.33855438232422,0.017304660752415657
2360,-284.40722449,43.76,8,20419,500,17418,8.916634559631348,2.954319477081299,0.00073,94.06517028808594,0.01717759482562542
2421,-279.6871,44.26,8,20869,510,17868,-5.411791801452637,2.8719890117645264,0.00073,92.12646484375,0.017985310405492783
2483,-278.87226543,44.46,8,21335,520,18334,-6.193838119506836,2.893984317779541,0.00073,92.31404876708984,0.017948094755411148
2545,-282.08505461,44.6,8,21805,530,18804,1.8744311332702637,3.0668420791625977,0.00073,95.73410034179688,0.016736604273319244
2607,-285.80286116999997,44.51,8,22271,540,19270,-12.209922790527344,3.7703003883361816,0.00073,96.03363037109375,0.017136933282017708
