time/fps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
35,-344.3766805,10,32.1,321,8,,,,,,
30,-336.46537140000004,20,31.6,632,20,,,,,,
28,-327.0849889333333,30,31.033333333333335,931,32,,,,,,
28,-329.186036675,40,31.25,1250,43,,,,,,
27,-327.5581828,50,31.02,1551,55,,,,,,
27,-326.82247146666674,60,30.933333333333334,1856,67,,,,,,
27,-326.75004714285717,70,30.97142857142857,2168,79,,,,,,
27,-326.38353975,80,31.0375,2483,90,,,,,,
27,-325.5267257777778,90,31.066666666666666,2796,102,,,,,,
25,-324.17507428,100,30.84,3084,120,-3.921431303024292,0.00073,0.9418388605117798,83,32.67276382446289,-47.6634407043457
20,-320.42438050000004,110,30.5,3371,160,-17.505455017089844,0.00073,0.7641458511352539,370,5.285595893859863,-79.53240966796875
17,-321.42768567999997,120,30.82,3714,207,-32.85203170776367,0.00073,0.5961353778839111,713,4.462498664855957,-74.48021697998047
15,-324.1621961900001,130,32.25,4156,268,-48.302589416503906,0.00073,0.437452495098114,1155,6.949350357055664,-42.940650939941406
14,-322.8932488,140,32.84,4534,320,-57.65647506713867,0.00073,0.34072649478912354,1533,10.543070793151855,-27.07288932800293
13,-326.56738896999997,150,34.19,4970,380,-64.67721557617188,0.00073,0.25829264521598816,1969,5.423550128936768,2.3919448852539062
12,-324.7684938,160,35.48,5404,440,-72.51863861083984,0.00073,0.1978428214788437,2403,5.140096664428711,13.390364646911621
11,-325.15133229,170,36.53,5821,497,-76.68051147460938,0.00073,0.1527787446975708,2820,7.554415702819824,31.688526153564453
11,-328.53173047999996,180,37.6,6243,555,-77.04248046875,0.00073,0.11833365261554718,3242,5.603400230407715,40.23611068725586
10,-327.72541476000004,190,38.92,6688,617,-79.97338104248047,0.00073,0.09131111949682236,3687,5.881921291351318,47.99981689453125
10,-328.03216099,200,40.56,7140,678,-77.6317138671875,0.00073,0.0711405798792839,4139,4.000027179718018,55.90126037597656
10,-329.68312374,210,41.9,7561,736,-68.12214660644531,0.00073,0.05707107111811638,4560,3.3619234561920166,61.01793670654297
10,-329.14403956999996,220,42.41,7955,791,-62.0540771484375,0.00073,0.04689621552824974,4954,3.2733774185180664,65.2201919555664
9,-335.67988405999995,230,42.13,8369,847,-53.24085235595703,0.00073,0.03878774493932724,5368,3.027827262878418,68.96399688720703
9,-338.57084867000003,240,42.7,8804,907,-37.94328308105469,0.00073,0.033051274716854095,5803,4.04853630065918,65.15406036376953
9,-338.96764590000004,250,42.86,9256,969,-28.36685562133789,0.00073,0.02858687937259674,6255,3.2457127571105957,69.18310546875
9,-343.3478911899999,260,42.61,9665,1026,-12.92900276184082,0.00073,0.025373388081789017,6664,3.832711696624756,71.1292724609375
9,-342.90131654,270,42.23,10044,1078,-10.387405395507812,0.00073,0.022973477840423584,7043,2.6895461082458496,73.42400360107422
9,-339.66615823000006,280,42.07,10450,1134,-11.903853416442871,0.00073,0.021158862859010696,7449,3.310835838317871,72.75153350830078
9,-341.23141287,290,42.19,10907,1198,6.708307266235352,0.00073,0.02011628821492195,7906,2.6417675018310547,75.3492660522461
9,-344.8955917199999,300,41.72,11312,1255,-0.781519889831543,0.00073,0.01953217200934887,8311,4.232336044311523,74.21338653564453
8,-346.56997649,310,41.66,11727,1311,-7.503256320953369,0.00073,0.01885412074625492,8726,2.419769287109375,80.27088928222656
8,-349.59247493999993,320,41.81,12136,1366,-5.852545261383057,0.00073,0.01896599866449833,9135,2.6506710052490234,79.2989730834961
8,-344.9316033,330,41.96,12565,1425,-3.9543333053588867,0.00073,0.018640151247382164,9564,3.511432647705078,81.24427795410156
8,-345.00233509,340,42.17,13021,1487,-3.349294424057007,0.00073,0.018787015229463577,10020,3.351604700088501,80.64385223388672
8,-343.50680379,350,41.95,13451,1545,0.9893237948417664,0.00073,0.019175861030817032,10450,2.5290842056274414,82.16155242919922
8,-341.05031696,360,41.51,13816,1596,-2.1507720947265625,0.00073,0.018500173464417458,10815,4.876340389251709,85.91426086425781
8,-342.58036036,370,42.18,14262,1656,1.1270482540130615,0.00073,0.018284041434526443,11261,4.260662078857422,83.84793090820312
8,-342.8038928300001,380,42.25,14675,1713,17.00105857849121,0.00073,0.017788469791412354,11674,2.8782835006713867,87.22843170166016
8,-341.56968177999994,390,41.89,15096,1771,-0.6972736120223999,0.00073,0.01714283414185047,12095,4.222358703613281,89.91572570800781
8,-338.45395591,400,42.06,15518,1828,3.6693410873413086,0.00073,0.017132947221398354,12517,2.8299813270568848,90.87767028808594
8,-334.02236012000003,410,42.02,15929,1885,3.7184200286865234,0.00073,0.017690641805529594,12928,3.75087833404541,92.56056213378906
8,-328.16044824,420,42.52,16388,1949,11.417279243469238,0.00073,0.0173011627048254,13387,3.25034236907959,87.68133544921875
8,-324.47340179,430,42.29,16794,2010,4.508563041687012,0.00073,0.017184197902679443,13793,3.164619207382202,89.88562774658203
8,-320.47704268999996,440,41.61,17182,2062,-2.248600482940674,0.00073,0.016769390553236008,14181,2.594407320022583,91.3785629272461
8,-316.3087524,450,41.53,17604,2118,-2.5355679988861084,0.00073,0.016730021685361862,14603,3.340003728866577,93.45951080322266
8,-315.5241716,460,42.54,18070,2204,-8.020334243774414,0.00073,0.016382286325097084,15069,2.682011842727661,91.37303161621094
8,-313.08293458,470,42.59,18521,2272,0.8596730828285217,0.00073,0.01674652099609375,15520,2.4751272201538086,93.60274505615234
8,-311.21669241,480,42.41,18916,2326,-0.7894744873046875,0.00073,0.015938639640808105,15915,3.036193370819092,89.68312072753906
