time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/learning_rate
32,302,-364.099559,9,10,30.2,,,,,,
30,618,-376.44658130000005,20,20,30.9,,,,,,
29,943,-381.56184099999996,31,30,31.433333333333334,,,,,,
29,1255,-378.2705347,42,40,31.375,,,,,,
29,1551,-370.17112807999996,52,50,31.02,,,,,,
29,1850,-369.9686461,63,60,30.833333333333332,,,,,,
29,2160,-366.8972273571428,73,70,30.857142857142858,,,,,,
29,2464,-365.690944225,84,80,30.8,,,,,,
29,2761,-364.8541566111111,94,90,30.677777777777777,,,,,,
27,3065,-364.69322253999997,112,100,30.65,23.931184768676758,-42.50395965576172,-3.0177624225616455,0.9549893736839294,64,0.00073
22,3366,-364.29769274000006,152,110,30.64,3.1172292232513428,-68.47225952148438,-17.269580841064453,0.7670515179634094,365,0.00073
18,3697,-361.47511511000005,196,120,30.79,5.993250846862793,-64.5905990600586,-31.9345645904541,0.6037994027137756,696,0.00073
16,4103,-358.96880813999996,250,130,31.6,5.556758403778076,-33.66326141357422,-46.60389709472656,0.45372986793518066,1102,0.00073
14,4574,-358.39079329,314,140,33.19,4.733777046203613,-0.5499435663223267,-57.46320724487305,0.3327961266040802,1573,0.00073
13,5049,-364.26394929,379,150,34.98,4.5331220626831055,8.409567832946777,-65.74506378173828,0.24664148688316345,2048,0.00073
12,5436,-364.00361699000007,430,160,35.86,6.084043502807617,31.936838150024414,-76.70606231689453,0.19273266196250916,2435,0.00073
12,5840,-366.60324799999995,484,170,36.8,4.253679275512695,46.11906051635742,-81.09416961669922,0.1486339271068573,2839,0.00073
11,6285,-370.2746697,544,180,38.21,3.707101821899414,60.284332275390625,-79.9876480102539,0.11297467350959778,3284,0.00073
11,6649,-373.06476557,593,190,38.88,7.259005546569824,64.44523620605469,-80.2410888671875,0.09130774438381195,3648,0.00073
10,7047,-374.84077873,646,200,39.82,4.887408256530762,68.96772766113281,-70.87405395507812,0.07331373542547226,4046,0.00073
10,7490,-376.39238049000005,706,210,41.24,2.810347080230713,73.21092987060547,-74.8404312133789,0.0582086443901062,4489,0.00073
10,7869,-380.3626585,757,220,41.72,5.317987442016602,78.9603042602539,-68.40682983398438,0.04814896732568741,4868,0.00073
10,8269,-379.37167626,812,230,41.66,3.347559928894043,81.13156127929688,-46.20744323730469,0.04009316489100456,5268,0.00073
9,8704,-381.75760997,873,240,41.3,4.089883327484131,80.73892211914062,-47.598419189453125,0.033848006278276443,5703,0.00073
9,9114,-380.91764881999995,929,250,40.65,3.937887191772461,83.58441925048828,-27.85904884338379,0.029025837779045105,6113,0.00073
9,9552,-382.62294037,989,260,41.16,3.0132925510406494,82.3013687133789,-25.42538833618164,0.02579103782773018,6551,0.00073
9,9936,-382.3356103500001,1043,270,40.96,3.642294406890869,82.09164428710938,-5.8899970054626465,0.024097062647342682,6935,0.00073
9,10349,-377.14828598,1101,280,40.64,3.4854934215545654,81.5604019165039,-5.373345375061035,0.02268659695982933,7348,0.00073
9,10787,-376.10437744,1162,290,41.38,2.9001288414001465,84.07417297363281,-10.317095756530762,0.02170269377529621,7786,0.00073
9,11145,-373.75174464,1212,300,40.98,3.1242282390594482,88.56976318359375,-11.509467124938965,0.02104119025170803,8144,0.00073
9,11534,-372.76848968999997,1265,310,40.44,5.137293815612793,87.46601104736328,-5.793650150299072,0.021035844460129738,8533,0.00073
9,11958,-370.1171077000001,1324,320,40.89,4.009026050567627,89.04696655273438,3.9839136600494385,0.020642966032028198,8957,0.00073
8,12344,-371.51118446,1377,330,40.75,3.756781578063965,91.34767150878906,-12.629866600036621,0.020389888435602188,9343,0.00073
8,12771,-370.4350348,1435,340,40.67,3.1624341011047363,93.92019653320312,3.189805507659912,0.020415445789694786,9770,0.00073
8,13201,-371.77465047,1495,350,40.87,3.4302899837493896,91.41627502441406,-12.360891342163086,0.02064131759107113,10200,0.00073
8,13590,-371.5519798699999,1547,360,40.38,3.4689722061157227,90.27970123291016,-2.6151678562164307,0.02071559987962246,10589,0.00073
8,14024,-369.46379903,1606,370,40.88,3.818608283996582,90.93152618408203,2.841313362121582,0.02071388065814972,11023,0.00073
8,14471,-373.75787300999997,1665,380,41.22,3.8483495712280273,90.9639892578125,1.828015923500061,0.021118920296430588,11470,0.00073
8,14867,-371.6390342599999,1718,390,40.8,3.1735470294952393,92.03740692138672,5.07246732711792,0.02107597514986992,11866,0.00073
8,15335,-372.47892961,1782,400,41.9,3.9015321731567383,94.49987030029297,3.2096941471099854,0.020404832437634468,12334,0.00073
8,15747,-370.39784665999997,1836,410,42.13,3.820431709289551,96.61267852783203,12.199393272399902,0.019826548174023628,12746,0.00073
8,16156,-370.79587725000005,1892,420,41.98,6.021883964538574,95.50602722167969,-9.450800895690918,0.02045404724776745,13155,0.00073
8,16589,-373.1290784,1951,430,42.45,3.7268524169921875,98.50579833984375,-2.4590959548950195,0.019999630749225616,13588,0.00073
8,16942,-369.92307594,1999,440,41.71,3.961085319519043,95.7439956665039,5.51543664932251,0.02011374570429325,13941,0.00073
8,17354,-365.9930472099999,2056,450,41.53,3.2318906784057617,97.85043334960938,-11.568861961364746,0.020215990021824837,14353,0.00073
8,17773,-364.9837720300001,2114,460,41.83,3.6083874702453613,97.29185485839844,-3.579488754272461,0.01984325982630253,14772,0.00073
8,18217,-365.7430256900001,2174,470,41.93,4.141045093536377,97.0391616821289,1.5936181545257568,0.019094135612249374,15216,0.00073
8,18648,-363.65454151,2233,480,41.77,5.283459663391113,96.9758071899414,8.007283210754395,0.019331015646457672,15647,0.00073
8,19073,-365.58354038000004,2290,490,42.06,4.232909202575684,99.50642395019531,0.6082490086555481,0.019897760823369026,16072,0.00073
8,19443,-364.99685481,2341,500,41.08,4.583376884460449,98.8399658203125,-3.7112650871276855,0.019105365499854088,16442,0.00073
8,19891,-367.84934245000005,2402,510,41.44,3.582350969314575,101.82220458984375,11.041391372680664,0.019338520243763924,16890,0.00073
8,20336,-370.25992534000005,2462,520,41.8,4.062015533447266,99.43090057373047,4.842585563659668,0.019877964630723,17335,0.00073
8,20773,-366.67306269999995,2522,530,41.84,3.9548864364624023,99.81876373291016,-2.265686511993408,0.02020619437098503,17772,0.00073
8,21216,-361.08904585,2583,540,42.74,4.710009574890137,101.30238342285156,6.362133026123047,0.019358867779374123,18215,0.00073
8,21648,-357.3484161900001,2642,550,42.94,3.785292148590088,100.92825317382812,6.427571773529053,0.01975185051560402,18647,0.00073
8,22043,-354.1050185,2696,560,42.7,6.552737236022949,101.92158508300781,-13.332332611083984,0.01987781748175621,19042,0.00073
8,22511,-350.48655758,2760,570,42.94,3.0391688346862793,101.99440002441406,-0.5982352495193481,0.01909203641116619,19510,0.00073
8,22940,-347.6666889899999,2819,580,42.92,3.5184741020202637,98.18241119384766,-2.0157337188720703,0.019409049302339554,19939,0.00073
8,23354,-350.78292235000004,2875,590,42.81,5.154726982116699,103.85215759277344,-0.33151888847351074,0.018919188529253006,20353,0.00073
8,23798,-348.74546467,2936,600,43.55,5.051717758178711,107.34170532226562,-12.117976188659668,0.018707508221268654,20797,0.00073
8,24214,-345.11488469000005,2992,610,43.23,4.04789924621582,102.90383911132812,1.412898063659668,0.018417632207274437,21213,0.00073
8,24627,-339.10571550000003,3048,620,42.91,4.0023088455200195,100.4685287475586,-2.40222430229187,0.019161775708198547,21626,0.00073
8,25001,-339.30284707,3098,630,42.28,4.278922080993652,107.21127319335938,-0.1776435375213623,0.01839178241789341,22000,0.00073
8,25447,-346.4245010600001,3159,640,42.31,4.583225250244141,103.11890411376953,6.876080513000488,0.01827062852680683,22446,0.00073
8,25874,-351.41210419000004,3218,650,42.26,4.351263046264648,104.96282958984375,2.7664361000061035,0.018431400880217552,22873,0.00073
8,26234,-353.81091379,3267,660,41.91,4.704517364501953,105.63702392578125,7.006091117858887,0.018849773332476616,23233,0.00073
8,26599,-355.85828021000003,3316,670,40.88,4.121196269989014,107.75537872314453,2.390702247619629,0.019105246290564537,23598,0.00073
8,26981,-356.90371102999995,3367,680,40.41,3.893275499343872,107.38984680175781,0.6647429466247559,0.019169321283698082,23980,0.00073
7,27382,-352.3713609299999,3423,690,40.28,4.902072906494141,109.1358642578125,4.8696393966674805,0.01879001595079899,24381,0.00073
7,27814,-352.4506880900001,3484,700,40.16,3.859757900238037,107.75572204589844,8.430658340454102,0.018436357378959656,24813,0.00073
7,28250,-356.11872612,3545,710,40.36,4.268162250518799,112.1885986328125,10.45711898803711,0.01812201552093029,25249,0.00073
7,28638,-356.66186202999995,3599,720,40.11,3.624321937561035,106.56171417236328,11.117084503173828,0.018501270562410355,25637,0.00073
7,29082,-355.38427944,3660,730,40.81,3.7725400924682617,108.74498748779297,-3.9657983779907227,0.018064875155687332,26081,0.00073
7,29456,-352.99301463000006,3711,740,40.09,4.294284820556641,114.711669921875,3.1155266761779785,0.0183833260089159,26455,0.00073
7,29918,-354.5812099,3775,750,40.44,4.580911636352539,108.83943939208984,2.900437831878662,0.018148720264434814,26917,0.00073
7,30372,-355.18823981,3837,760,41.38,4.953145503997803,110.55464172363281,6.269827365875244,0.019127652049064636,27371,0.00073
7,30810,-353.04608315999997,3897,770,42.11,5.050546646118164,110.3596420288086,4.023616313934326,0.018705643713474274,27809,0.00073
7,31234,-348.16117561,3954,780,42.53,4.6467766761779785,106.91702270507812,0.812369167804718,0.0190416369587183,28233,0.00073
7,31640,-344.51628960999994,4010,790,42.58,5.334408760070801,112.93114471435547,3.001005172729492,0.018755212426185608,28639,0.00073
7,32015,-342.57379114,4062,800,42.01,3.9744625091552734,107.75470733642578,-1.7249687910079956,0.01919451914727688,29014,0.00073
7,32362,-339.02965028000006,4108,810,41.12,4.7800445556640625,109.01432800292969,2.7677788734436035,0.019367672502994537,29361,0.00073
7,32809,-338.06158235000004,4168,820,41.71,5.104217052459717,110.14625549316406,-4.739299774169922,0.019301876425743103,29808,0.00073
7,33270,-342.51618004999995,4230,830,41.88,5.059566497802734,106.4407958984375,-0.010103762149810791,0.019883599132299423,30269,0.00073
7,33726,-342.39797930000003,4291,840,42.7,4.892602920532227,104.65725708007812,-4.392149925231934,0.02024059183895588,30725,0.00073
7,34179,-337.95971753,4353,850,42.61,5.667431831359863,107.99205017089844,3.8833189010620117,0.02029409259557724,31178,0.00073
7,34594,-333.40893408000005,4410,860,42.22,5.983217716217041,107.2904052734375,6.845928192138672,0.019933419302105904,31593,0.00073
7,35046,-333.83763364,4472,870,42.36,4.0064849853515625,110.41365051269531,-3.3354930877685547,0.019283132627606392,32045,0.00073
7,35394,-338.89476559999986,4520,880,41.6,5.15067195892334,105.58543395996094,-4.346426010131836,0.019065581262111664,32393,0.00073
7,35778,-343.56438807,4571,890,41.38,4.368925094604492,102.91026306152344,3.500596523284912,0.019912922754883766,32777,0.00073
7,36209,-348.6537181599999,4631,900,41.94,5.081932544708252,105.85372924804688,-4.512596607208252,0.01913388818502426,33208,0.00073
7,36637,-348.5550681699999,4690,910,42.75,7.36112117767334,106.11566162109375,-1.1136115789413452,0.01945221610367298,33636,0.00073
7,37067,-350.6984745200001,4748,920,42.58,5.036106109619141,112.18860626220703,-5.616816520690918,0.020062156021595,34066,0.00073
