rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss
31.1,7,10,311,44,-356.00444989999994,,,,,,
31.45,14,20,629,41,-366.12815185000005,,,,,,
31.133333333333333,23,30,934,39,-362.05305289999995,,,,,,
31.4,31,40,1256,39,-370.24930867499995,,,,,,
31.16,40,50,1558,38,-371.46681557999995,,,,,,
30.95,49,60,1857,37,-366.6737271333333,,,,,,
30.942857142857143,57,70,2166,37,-368.0480391,,,,,,
30.725,65,80,2458,37,-366.44705335000003,,,,,,
30.566666666666666,72,90,2751,37,-363.96122975555556,,,,,,
30.63,87,100,3063,34,-363.95251484,-2.921384334564209,18.940330505371094,0.9564125537872314,0.00073,62,-43.47320556640625
30.8,128,110,3391,26,-367.15442129999997,-18.401790618896484,3.5536417961120605,0.7531911730766296,0.00073,390,-74.4654541015625
30.94,170,120,3723,21,-366.34270289000006,-33.57556915283203,4.127434253692627,0.5921830534934998,0.00073,722,-67.11337280273438
31.84,220,130,4118,18,-369.79728952,-48.333740234375,5.536959648132324,0.4481743276119232,0.00073,1117,-28.235136032104492
33.2,278,140,4576,16,-372.2688967099999,-58.2158088684082,6.73254919052124,0.3320446312427521,0.00073,1575,-7.718772888183594
34.72,335,150,5030,14,-375.3839648099999,-66.83283996582031,5.741006851196289,0.24985428154468536,0.00073,2029,8.670856475830078
35.62,385,160,5419,14,-380.4166702899999,-76.27509307861328,5.56865119934082,0.1953631043434143,0.00073,2418,28.009119033813477
36.86,440,170,5852,13,-382.5924365799999,-72.8709487915039,5.4959635734558105,0.1493179053068161,0.00073,2851,43.23777770996094
38.7,502,180,6328,12,-396.4074481400001,-77.27421569824219,4.916712284088135,0.11280215531587601,0.00073,3327,55.31269836425781
40.03,556,190,6754,12,-403.74865678000003,-78.86846160888672,5.341825485229492,0.08815404772758484,0.00073,3753,64.20323181152344
41.19,611,200,7182,11,-406.24731004000006,-69.7710952758789,4.278584003448486,0.07001587003469467,0.00073,4181,70.83155822753906
41.94,663,210,7585,11,-409.3452940899999,-67.40570831298828,3.4677786827087402,0.05675576627254486,0.00073,4584,74.10450744628906
42.64,715,220,7987,11,-408.1022110800001,-62.461822509765625,4.990692615509033,0.04701092839241028,0.00073,4986,76.5008316040039
42.74,768,230,8392,10,-413.01505193,-52.862571716308594,3.6955273151397705,0.0396622009575367,0.00073,5391,79.34671020507812
42.13,820,240,8789,10,-409.63656964999996,-34.018096923828125,5.24196720123291,0.03427604213356972,0.00073,5788,78.43379974365234
41.77,875,250,9207,10,-410.60411541,-15.202406883239746,3.675503730773926,0.030234845355153084,0.00073,6206,83.94805145263672
42.25,932,260,9644,10,-409.43986318000003,-18.80803108215332,3.421790599822998,0.027352429926395416,0.00073,6643,84.14463806152344
41.21,975,270,9973,10,-404.7073214500001,-10.78192138671875,4.583592414855957,0.025434112176299095,0.00073,6972,87.59333801269531
40.7,1030,280,10398,10,-394.71017164000006,-11.472265243530273,6.081640243530273,0.02342565730214119,0.00073,7397,88.05723571777344
41.22,1093,290,10876,9,-391.91651263,0.6026080846786499,3.3429555892944336,0.022974206134676933,0.00073,7875,88.3537368774414
41.18,1148,300,11300,9,-394.23943116999993,1.4924273490905762,3.7371697425842285,0.02310972847044468,0.00073,8299,87.79601287841797
41.46,1206,310,11731,9,-388.8965796,-7.1387176513671875,3.038256883621216,0.023021547123789787,0.00073,8730,90.2818603515625
41.51,1258,320,12138,9,-392.02990621,8.212990760803223,4.331173896789551,0.022985706105828285,0.00073,9137,91.9648208618164
41.64,1314,330,12556,9,-386.40452892999997,5.586432456970215,3.106921672821045,0.022524388507008553,0.00073,9555,92.09475708007812
41.77,1367,340,12966,9,-385.03147905000003,-7.668441295623779,3.776773452758789,0.021796265617012978,0.00073,9965,93.72539520263672
41.21,1414,350,13328,9,-380.96363451999997,-9.528288841247559,4.241398334503174,0.021492568776011467,0.00073,10327,97.25013732910156
40.39,1461,360,13683,9,-377.5648914800001,3.739654064178467,3.598726749420166,0.0212680883705616,0.00073,10682,97.98601531982422
41.29,1516,370,14102,9,-383.7406588,-7.662692070007324,4.5221052169799805,0.020818937569856644,0.00073,11101,98.83755493164062
41.32,1573,380,14530,9,-381.2873009699999,-11.206358909606934,5.27902889251709,0.02150464430451393,0.00073,11529,103.90457153320312
40.72,1628,390,14948,9,-379.35630401000003,6.876640796661377,4.380529403686523,0.021794596686959267,0.00073,11947,101.00785064697266
40.63,1683,400,15363,9,-377.01621898999997,-5.728106498718262,3.5391411781311035,0.021544158458709717,0.00073,12362,102.63329315185547
40.25,1735,410,15756,9,-375.19749676999993,-16.866172790527344,3.908900022506714,0.021401887759566307,0.00073,12755,102.56916809082031
40.33,1790,420,16171,9,-370.6378757800001,-6.832633972167969,3.113773822784424,0.02155188098549843,0.00073,13170,104.07443237304688
40.46,1847,430,16602,8,-371.53607565999994,4.187230110168457,3.7136449813842773,0.02120826207101345,0.00073,13601,102.49896240234375
40.17,1898,440,16983,8,-372.34378328999986,-7.169787406921387,3.7289352416992188,0.02088344655930996,0.00073,13982,103.7896728515625
40.55,1951,450,17383,8,-369.71260363999994,6.74923038482666,4.349717140197754,0.021006479859352112,0.00073,14382,104.1006851196289
41.01,2004,460,17784,8,-372.23281736999996,6.160846710205078,3.9669137001037598,0.020093457773327827,0.00073,14783,109.21971893310547
40.92,2058,470,18194,8,-367.50030791000006,11.424178123474121,3.9276843070983887,0.02067442424595356,0.00073,15193,105.09062194824219
40.74,2113,480,18604,8,-366.5933827700001,1.1449774503707886,5.040396690368652,0.019712036475539207,0.00073,15603,107.12388610839844
40.68,2168,490,19016,8,-364.07073643999996,7.3205180168151855,4.140542984008789,0.02008131705224514,0.00073,16015,102.6050033569336
40.26,2217,500,19389,8,-362.24598375,-0.03341233730316162,4.343525409698486,0.01956036686897278,0.00073,16388,110.39320373535156
40.37,2271,510,19793,8,-363.27542766000005,-8.262096405029297,4.020255088806152,0.020130984485149384,0.00073,16792,106.44156646728516
40.6,2329,520,20231,8,-367.6688519,0.5017316341400146,3.6776113510131836,0.01989225298166275,0.00073,17230,108.78858947753906
40.14,2380,530,20616,8,-365.4506278399999,-12.590813636779785,4.5486297607421875,0.01928979717195034,0.00073,17615,109.53621673583984
40.21,2432,540,21004,8,-365.45972478999994,1.286628007888794,5.414679050445557,0.019468890503048897,0.00073,18003,107.02342987060547
39.83,2480,550,21366,8,-367.31415671,-0.28504428267478943,5.27698278427124,0.019390694797039032,0.00073,18365,109.51213073730469
40.61,2544,560,21845,8,-365.84113174,2.834562301635742,3.5497446060180664,0.02067207358777523,0.00073,18844,104.3640365600586
41.16,2607,570,22310,8,-366.19500926,7.8307976722717285,3.330043315887451,0.020981542766094208,0.00073,19309,104.60232543945312
41.29,2663,580,22733,8,-371.06004507000006,-0.2906625270843506,5.615877151489258,0.02029203251004219,0.00073,19732,106.65487670898438
40.96,2713,590,23112,8,-366.09422638999996,-8.052513122558594,3.838554620742798,0.02063440904021263,0.00073,20111,107.58454895019531
40.6,2759,600,23449,8,-362.65524634999997,-9.106801986694336,4.416273593902588,0.020551811903715134,0.00073,20448,105.72450256347656
40.34,2809,610,23827,8,-362.02571084000004,0.7489306926727295,4.395589828491211,0.020251085981726646,0.00073,20826,106.84136199951172
40.15,2864,620,24246,8,-359.61806470999994,2.3889408111572266,5.237653732299805,0.020197659730911255,0.00073,21245,105.68724822998047
40.81,2925,630,24697,8,-365.70472076,2.0388991832733154,4.126134872436523,0.02032153122127056,0.00073,21696,107.00453186035156
41.21,2982,640,25125,8,-364.36155607999996,-4.167365074157715,3.7767724990844727,0.01996695250272751,0.00073,22124,110.18562316894531
42.01,3041,650,25567,8,-368.24714476,-4.482809543609619,4.722449779510498,0.019660014659166336,0.00073,22566,108.41567993164062
40.98,3091,660,25943,8,-366.75815381,-5.822322845458984,4.5395965576171875,0.02070854790508747,0.00073,22942,112.57237243652344
40.47,3146,670,26357,8,-365.0633808699999,3.746321439743042,8.055410385131836,0.020435091108083725,0.00073,23356,108.56988525390625
39.68,3193,680,26701,8,-357.66970745000003,4.518763065338135,4.549468517303467,0.019615739583969116,0.00073,23700,112.9745864868164
40.05,3248,690,27117,8,-364.70983965999994,7.001474380493164,3.9398252964019775,0.019887525588274002,0.00073,24116,112.27877807617188
41.03,3306,700,27552,8,-368.13308932,-1.2431919574737549,4.117274284362793,0.020062830299139023,0.00073,24551,113.68450164794922
41.85,3368,710,28012,8,-369.52577084000006,0.6707642078399658,4.069947242736816,0.020138615742325783,0.00073,25011,109.8408203125
41.58,3421,720,28404,8,-365.61270927000004,-6.495343208312988,3.5891942977905273,0.019656052812933922,0.00073,25403,112.21005249023438
41.12,3475,730,28809,8,-358.80914476,4.314611911773682,4.78368616104126,0.018865613266825676,0.00073,25808,111.36360168457031
41.21,3534,740,29246,8,-360.0442959100001,-5.888941764831543,4.47816801071167,0.018514173105359077,0.00073,26245,113.96533203125
41.0,3591,750,29667,8,-356.51195467,1.31044602394104,5.4831390380859375,0.0188556257635355,0.00073,26666,111.29647827148438
41.77,3652,760,30120,8,-359.62876104000003,4.6995530128479,3.916783332824707,0.019138412550091743,0.00073,27119,114.73307800292969
41.49,3704,770,30506,8,-361.1039666699999,5.655868053436279,4.832305908203125,0.019384261220693588,0.00073,27505,115.03125
42.22,3760,780,30923,8,-365.39241381999994,2.3580477237701416,3.927617311477661,0.019148509949445724,0.00073,27922,111.54927825927734
42.43,3819,790,31360,8,-364.74113859000005,3.0609216690063477,3.9936938285827637,0.018663955852389336,0.00073,28359,111.612060546875
42.16,3874,800,31768,8,-361.06896971000003,11.761446952819824,4.713608741760254,0.01834827847778797,0.00073,28767,112.46569061279297
41.81,3931,810,32193,8,-362.59415866999996,7.76847505569458,7.018473148345947,0.018501227721571922,0.00073,29192,115.6285629272461
41.88,3985,820,32592,8,-367.03054617999993,-3.94834566116333,5.5633087158203125,0.018749669194221497,0.00073,29591,114.82469940185547
41.72,4037,830,32981,8,-365.92687076000004,-2.3843846321105957,4.1649169921875,0.01863633468747139,0.00073,29980,116.85804748535156
41.35,4090,840,33381,8,-362.74103203,-2.6394872665405273,3.4431803226470947,0.01817762851715088,0.00073,30380,112.95161437988281
40.84,4143,850,33751,8,-361.93657205000005,-5.7708024978637695,5.979001998901367,0.018568284809589386,0.00073,30750,117.3825912475586
40.97,4212,860,34217,8,-362.22943900999996,-1.7772749662399292,5.17685079574585,0.019018515944480896,0.00073,31216,117.73848724365234
41.48,4275,870,34654,8,-361.2005717900001,-3.0488717555999756,4.8262434005737305,0.018761925399303436,0.00073,31653,117.50394439697266
41.29,4331,880,35052,8,-356.4672814600001,-3.8626880645751953,3.6629366874694824,0.018400277942419052,0.00073,32051,120.38692474365234
41.03,4390,890,35463,8,-354.31891097999994,0.10124945640563965,4.664092063903809,0.018690727651119232,0.00073,32462,115.2818374633789
41.43,4454,900,35911,8,-360.91884757,6.155296802520752,4.502537727355957,0.017713449895381927,0.00073,32910,116.81661987304688
41.33,4514,910,36326,8,-356.35573493,-11.837240219116211,4.822859764099121,0.01816764660179615,0.00073,33325,119.44418334960938
41.29,4570,920,36721,8,-355.03387001999994,8.423179626464844,5.143302917480469,0.017853843048214912,0.00073,33720,115.87140655517578
40.85,4620,930,37066,8,-357.45210009000004,-0.10046672821044922,5.940052509307861,0.017486823722720146,0.00073,34065,114.2550277709961
40.9,4678,940,37471,8,-355.56434647000003,-0.9656403064727783,5.236468315124512,0.01750027947127819,0.00073,34470,120.65035247802734
41.58,4741,950,37909,7,-352.51016430999994,5.584468364715576,4.646233558654785,0.017150528728961945,0.00073,34908,114.66324615478516
40.71,4795,960,38288,7,-352.33911387999996,-5.694725036621094,5.369119644165039,0.018102582544088364,0.00073,35287,118.02140808105469
40.42,4853,970,38696,7,-351.79142804,1.2388479709625244,3.978520393371582,0.018029771745204926,0.00073,35695,114.9349365234375
40.06,4904,980,39058,7,-355.32347415000004,-4.181501388549805,5.164513111114502,0.018622098490595818,0.00073,36057,118.77961730957031
39.78,4958,990,39441,7,-355.82127218999995,-7.114558219909668,4.634486198425293,0.01855672150850296,0.00073,36440,121.46504974365234
38.78,5008,1000,39789,7,-349.7948708800001,1.9217174053192139,4.749696731567383,0.01764841377735138,0.00073,36788,120.75784301757812
38.53,5063,1010,40179,7,-348.50544979000006,-1.1174551248550415,4.057836532592773,0.017605790868401527,0.00073,37178,116.26912689208984
38.38,5118,1020,40559,7,-350.3810242900001,-7.29797887802124,4.848004341125488,0.018445726484060287,0.00073,37558,118.44354248046875
39.41,5182,1030,41007,7,-348.43952342999995,-2.6659364700317383,5.354342937469482,0.018194330856204033,0.00073,38006,115.4326171875
39.4,5242,1040,41411,7,-351.98743992000004,-0.4383361339569092,4.950752258300781,0.01793280802667141,0.00073,38410,117.83259582519531
39.39,5304,1050,41848,7,-353.67248269,1.8796231746673584,5.350706100463867,0.01794419251382351,0.00073,38847,118.67765808105469
39.91,5364,1060,42279,7,-353.33017709,-1.2430998086929321,4.456305027008057,0.017627984285354614,0.00073,39278,115.88907623291016
39.99,5424,1070,42695,7,-356.17315731,0.33986330032348633,4.082892417907715,0.01766623742878437,0.00073,39694,116.504638671875
40.17,5478,1080,43075,7,-357.09857939999995,2.2938694953918457,5.2340288162231445,0.017549557611346245,0.00073,40074,117.71675872802734
40.44,5538,1090,43485,7,-356.74770263,-0.36218035221099854,5.097380638122559,0.01753728650510311,0.00073,40484,118.29882049560547
41.39,5601,1100,43928,7,-354.4860215700001,-0.7323541641235352,5.612143516540527,0.018135543912649155,0.00073,40927,118.71231079101562
41.69,5661,1110,44348,7,-359.0538245,-1.3974132537841797,5.337176322937012,0.017927447333931923,0.00073,41347,121.74333190917969
41.72,5715,1120,44731,7,-353.93478467,-1.6722272634506226,5.175868988037109,0.017829902470111847,0.00073,41730,121.25177001953125
40.91,5768,1130,45098,7,-354.9975265400001,-0.7501506805419922,4.45887565612793,0.01742391660809517,0.00073,42097,120.39080047607422
40.83,5825,1140,45494,7,-351.83638303999993,5.152870178222656,4.556326866149902,0.01768587715923786,0.00073,42493,120.04345703125
40.68,5885,1150,45916,7,-352.36291129,10.737101554870605,4.904416084289551,0.01836906187236309,0.00073,42915,118.140380859375
