time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/critic_loss
22,43,34.4084186,100.0,1000,10,,,,,,
47,42,23.626760250000004,100.0,2000,20,,,,,,
71,42,19.797421866666664,100.0,3000,30,,,,,,
204,19,172.26311335,100.0,4000,40,-126.05577850341797,0.00073,999,-2.790076971054077,0.5682852268218994,3.1204895973205566
337,14,279.83162311999996,100.0,5000,50,-211.7855224609375,0.00073,1999,-4.686922073364258,0.3164947032928467,3.1196041107177734
472,12,356.4153972666666,100.0,6000,60,-267.8186950683594,0.00073,2999,-3.264054298400879,0.18473799526691437,1.7666845321655273
608,11,412.3033509142857,100.0,7000,70,-308.80517578125,0.00073,3999,-3.4468696117401123,0.11670480668544769,1.6021560430526733
744,10,454.75241323750004,100.0,8000,80,-334.35028076171875,0.00073,4999,-0.7720268368721008,0.08453550189733505,1.3098728656768799
881,10,487.5985234222221,100.0,9000,90,-352.9012451171875,0.00073,5999,-1.1206575632095337,0.07012936472892761,1.0904722213745117
1017,9,515.0788422,100.0,10000,100,-365.6874084472656,0.00073,6999,-2.2798707485198975,0.05834437906742096,1.0756672620773315
1154,9,587.6370003799999,100.0,11000,110,-371.74005126953125,0.00073,7999,-1.8899791240692139,0.05403197556734085,0.971276044845581
1293,9,662.36034661,100.0,12000,120,-376.1468200683594,0.00073,8999,0.6104143857955933,0.05276249721646309,0.9099242091178894
1433,9,736.65626052,100.0,13000,130,-380.3135070800781,0.00073,9999,-0.7038577795028687,0.045483507215976715,0.768020510673523
1570,8,750.2484699300002,100.0,14000,140,-381.0012512207031,0.00073,10999,1.6965250968933105,0.03985412418842316,0.509067952632904
1708,8,755.04298437,100.0,15000,150,-384.00238037109375,0.00073,11999,-1.2400474548339844,0.033902522176504135,0.4428308308124542
1846,8,756.1041000499999,100.0,16000,160,-384.86956787109375,0.00073,12999,1.2578907012939453,0.03129758685827255,0.43443602323532104
1984,8,756.93339302,100.0,17000,170,-385.3639221191406,0.00073,13999,-2.806544780731201,0.02873409353196621,0.4101601243019104
2122,8,757.79817912,100.0,18000,180,-386.328857421875,0.00073,14999,-2.2614028453826904,0.024566780775785446,0.35699114203453064
2260,8,758.4268005899997,100.0,19000,190,-386.12420654296875,0.00073,15999,-0.7894021272659302,0.023366162553429604,0.42384636402130127
2399,8,758.32387922,100.0,20000,200,-384.97943115234375,0.00073,16999,0.7028736472129822,0.02082216553390026,0.32452017068862915
2537,8,758.1649456100001,100.0,21000,210,-385.48931884765625,0.00073,17999,3.517441749572754,0.019275208935141563,0.32740795612335205
2675,8,758.24726564,100.0,22000,220,-385.638916015625,0.00073,18999,0.663565456867218,0.01814139075577259,0.3198729157447815
2814,8,758.6875405500002,100.0,23000,230,-387.7908020019531,0.00073,19999,-3.7796037197113037,0.01787899062037468,0.2753511369228363
2951,8,758.1583384400001,100.0,24000,240,-386.99835205078125,0.00073,20999,1.8084732294082642,0.016294796019792557,0.3004460632801056
3090,8,758.2629095,100.0,25000,250,-386.2008056640625,0.00073,21999,4.325774192810059,0.01722097024321556,0.22551986575126648
3228,8,759.1419820999998,100.0,26000,260,-387.8427429199219,0.00073,22999,-0.8232197761535645,0.016535498201847076,0.2119400054216385
3368,8,760.40681683,100.0,27000,270,-387.87005615234375,0.00073,23999,-1.3221945762634277,0.014623048715293407,0.22055268287658691
3507,7,759.5404059200002,100.0,28000,280,-388.3597106933594,0.00073,24999,0.5729851126670837,0.012958287261426449,0.1836378425359726
3645,7,760.5898446199999,100.0,29000,290,-388.38580322265625,0.00073,25999,1.0036076307296753,0.012444054707884789,0.24636201560497284
3784,7,761.3054688600001,100.0,30000,300,-388.4304504394531,0.00073,26999,-2.760279655456543,0.014833956025540829,0.1925671100616455
3923,7,761.3514660000001,100.0,31000,310,-388.31884765625,0.00073,27999,2.5620317459106445,0.011311083100736141,0.2597348392009735
4062,7,761.76672232,100.0,32000,320,-390.01519775390625,0.00073,28999,-3.639267921447754,0.011586409993469715,0.20372304320335388
4201,7,761.48022825,100.0,33000,330,-389.66058349609375,0.00073,29999,-1.3381891250610352,0.010271859355270863,0.14390972256660461
4341,7,761.45737626,100.0,34000,340,-390.66058349609375,0.00073,30999,-3.0500967502593994,0.010972847230732441,0.1856883466243744
4481,7,761.09232684,100.0,35000,350,-390.3326416015625,0.00073,31999,-1.2178605794906616,0.011645914986729622,0.27515512704849243
4620,7,761.0808907999999,100.0,36000,360,-390.658447265625,0.00073,32999,0.4086644649505615,0.010449480265378952,0.350191593170166
4760,7,760.21647641,100.0,37000,370,-389.16876220703125,0.00073,33999,-0.4580311179161072,0.010044582188129425,0.154514342546463
4899,7,760.71846069,100.0,38000,380,-389.77679443359375,0.00073,34999,-2.4350247383117676,0.009882958605885506,0.18753305077552795
5039,7,760.09526853,100.0,39000,390,-390.2937316894531,0.00073,35999,-1.003373622894287,0.008576740510761738,0.2860953211784363
5177,7,759.0367614100002,100.0,40000,400,-390.558349609375,0.00073,36999,-0.7850803136825562,0.00775263411924243,0.14642025530338287
5319,7,759.77819948,100.0,41000,410,-390.08624267578125,0.00073,37999,0.31710177659988403,0.007265915162861347,0.13926202058792114
5458,7,759.4926941599999,100.0,42000,420,-391.1527099609375,0.00073,38999,-0.2847021818161011,0.007019197102636099,0.19679886102676392
5597,7,760.8173112899999,100.0,43000,430,-390.2621765136719,0.00073,39999,0.43842899799346924,0.007445950526744127,0.10897813737392426
5737,7,760.4035496600002,100.0,44000,440,-391.2597351074219,0.00073,40999,1.3080406188964844,0.006313820369541645,0.1336582750082016
5877,7,760.8123339400001,100.0,45000,450,-391.1589660644531,0.00073,41999,-1.249699354171753,0.006480194162577391,0.09164382517337799
6018,7,761.6023553300001,100.0,46000,460,-390.3002014160156,0.00073,42999,2.5211856365203857,0.005991882644593716,0.15570363402366638
6156,7,761.74729882,100.0,47000,470,-391.3593444824219,0.00073,43999,1.0142806768417358,0.006051223259419203,0.10827617347240448
6296,7,762.8265345899999,100.0,48000,480,-391.33258056640625,0.00073,44999,-0.9318149089813232,0.005613876972347498,0.1695626825094223
6438,7,762.9351458500001,100.0,49000,490,-390.82958984375,0.00073,45999,0.5595383644104004,0.005312856752425432,0.12972837686538696
6576,7,763.4415337100003,100.0,50000,500,-391.1009826660156,0.00073,46999,-2.7394561767578125,0.004945436958223581,0.11215106397867203
6716,7,763.0537193299999,100.0,51000,510,-391.3286437988281,0.00073,47999,2.0765199661254883,0.0052842614240944386,0.14065171778202057
6855,7,762.85669431,100.0,52000,520,-391.826171875,0.00073,48999,1.3638297319412231,0.005030622705817223,0.14093457162380219
6995,7,762.0454648699998,100.0,53000,530,-391.3118591308594,0.00073,49999,-0.5180391073226929,0.004846332129091024,0.17000703513622284
7135,7,763.5315772099999,100.0,54000,540,-391.5650634765625,0.00073,50999,-0.729427695274353,0.005146448966115713,0.13430649042129517
7276,7,764.47696975,100.0,55000,550,-392.2087097167969,0.00073,51999,0.8643002510070801,0.004829450510442257,0.07595053315162659
7416,7,764.5157327899999,100.0,56000,560,-392.27374267578125,0.00073,52999,-2.646289825439453,0.005011609755456448,0.11424319446086884
7556,7,765.74675372,100.0,57000,570,-391.72406005859375,0.00073,53999,0.08037454634904861,0.00420557614415884,0.1404990255832672
7696,7,765.2942867799998,100.0,58000,580,-392.3384094238281,0.00073,54999,-1.5918270349502563,0.004296688828617334,0.15566270053386688
7837,7,766.3987482499999,100.0,59000,590,-391.5284729003906,0.00073,55999,4.68587589263916,0.004201545380055904,0.16121110320091248
7976,7,765.9168912,100.0,60000,600,-391.4739074707031,0.00073,56999,1.4046924114227295,0.008298885077238083,0.15630504488945007
8117,7,765.5193765800001,100.0,61000,610,-392.7026062011719,0.00073,57999,-7.503412246704102,0.005757374223321676,0.13713672757148743
8258,7,766.2120873599998,100.0,62000,620,-392.3570861816406,0.00073,58999,-0.481880784034729,0.0038576105143874884,0.12276948988437653
8398,7,766.1300778699998,100.0,63000,630,-392.18536376953125,0.00073,59999,-0.686433732509613,0.003666897304356098,0.09560975432395935
8539,7,764.9931457499998,100.0,64000,640,-392.3164978027344,0.00073,60999,-1.3033366203308105,0.0037922936026006937,0.282353013753891
8680,7,763.9282088999998,100.0,65000,650,-392.0944519042969,0.00073,61999,3.5518853664398193,0.0034796888940036297,0.1921403408050537
8821,7,762.77424578,100.0,66000,660,-393.0567626953125,0.00073,62999,-6.0464301109313965,0.0035940702073276043,0.14898201823234558
8960,7,761.83879808,100.0,67000,670,-392.0238037109375,0.00073,63999,-3.443814277648926,0.003399561857804656,0.3800755441188812
9101,7,761.62628097,100.0,68000,680,-392.7947998046875,0.00073,64999,-5.847774982452393,0.0033454811200499535,0.05782231315970421
9241,7,760.87890566,100.0,69000,690,-393.05712890625,0.00073,65999,-0.09861695766448975,0.0033049997873604298,0.10770648717880249
9386,7,761.33943944,100.0,70000,700,-391.9284973144531,0.00073,66999,3.4751784801483154,0.00315529084764421,0.12481927871704102
9534,7,762.1311820300001,100.0,71000,710,-392.08404541015625,0.00073,67999,1.4866641759872437,0.003301419550552964,0.16083642840385437
9685,7,761.18379567,100.0,72000,720,-392.3615417480469,0.00073,68999,-3.8053128719329834,0.0032016143668442965,0.08172349631786346
9836,7,760.5672192899999,100.0,73000,730,-393.2729797363281,0.00073,69999,-5.248813629150391,0.003167075337842107,0.062099553644657135
9986,7,760.34556816,100.0,74000,740,-392.1610412597656,0.00073,70999,2.401482105255127,0.0030220113694667816,0.09132951498031616
10134,7,760.76400016,100.0,75000,750,-392.71575927734375,0.00073,71999,3.2871322631835938,0.0030057071708142757,0.09232960641384125
