time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss
1000,10,26,38,190.19281,100.0,,,,,,
2000,20,52,37,140.21147195000003,100.0,,,,,,
3000,30,79,37,114.62081363333333,100.0,,,,,,
4000,40,214,18,167.2467532,100.0,0.00073,999,-3.8946735858917236,-88.25469207763672,0.5172951221466064,6.040416717529297
5000,50,351,14,284.84092058,100.0,0.00073,1999,-3.4575424194335938,-189.309326171875,0.3299293518066406,4.794834136962891
6000,60,488,12,361.4714109333334,100.0,0.00073,2999,-2.9961154460906982,-257.72955322265625,0.21947939693927765,4.541075706481934
7000,70,627,11,416.2805173714286,100.0,0.00073,3999,-2.158430576324463,-303.7996826171875,0.15859615802764893,4.270591735839844
8000,80,765,10,459.0596009125,100.0,0.00073,4999,-1.6275262832641602,-332.9951477050781,0.12624958157539368,4.0259599685668945
9000,90,904,9,491.53027587777785,100.0,0.00073,5999,-1.2059354782104492,-351.6656188964844,0.11216770857572556,3.434363842010498
10000,100,1044,9,518.0145402799999,100.0,0.00073,6999,0.5199934244155884,-361.3743591308594,0.0931485965847969,3.4586095809936523
11000,110,1184,9,573.0032439000001,100.0,0.00073,7999,0.6269434690475464,-373.59228515625,0.08267989754676819,2.798229455947876
12000,120,1325,9,638.90636818,100.0,0.00073,8999,-0.4355956017971039,-377.7172546386719,0.06888481974601746,2.200195550918579
13000,130,1465,8,707.8951412900001,100.0,0.00073,9999,-0.03226824104785919,-378.4378356933594,0.06478910893201828,1.9523980617523193
14000,140,1603,8,751.05841406,100.0,0.00073,10999,-0.24231654405593872,-380.4344482421875,0.05567312613129616,1.9348801374435425
15000,150,1745,8,751.83387571,100.0,0.00073,11999,-1.5178656578063965,-381.7767333984375,0.04874128848314285,1.5813019275665283
16000,160,1885,8,753.7354846700001,100.0,0.00073,12999,0.9473909735679626,-379.615966796875,0.043927695602178574,1.5413408279418945
17000,170,2025,8,755.1204440399998,100.0,0.00073,13999,-2.6134426593780518,-382.60650634765625,0.03945796191692352,1.244673490524292
18000,180,2165,8,755.2880325599998,100.0,0.00073,14999,0.4337281584739685,-382.2369384765625,0.03712078928947449,1.0795652866363525
19000,190,2307,8,756.0343794900001,100.0,0.00073,15999,-2.521977424621582,-384.859619140625,0.03487928584218025,1.1439075469970703
20000,200,2448,8,755.8123026899999,100.0,0.00073,16999,0.5245869159698486,-382.6622314453125,0.031789109110832214,1.129641056060791
21000,210,2588,8,758.6854199500002,100.0,0.00073,17999,0.9619699716567993,-382.63323974609375,0.032345715910196304,1.0169763565063477
22000,220,2729,8,758.2444627700002,100.0,0.00073,18999,-1.5970911979675293,-385.285400390625,0.030318761244416237,0.9868469834327698
23000,230,2868,8,759.28954533,100.0,0.00073,19999,0.7266170978546143,-385.1170654296875,0.028904516249895096,0.8843066692352295
24000,240,3011,7,758.80833628,100.0,0.00073,20999,0.13071966171264648,-384.4609375,0.02516847662627697,1.185482144355774
25000,250,3152,7,758.8746907999999,100.0,0.00073,21999,-0.694320797920227,-385.1484375,0.023392995819449425,0.6254382133483887
26000,260,3294,7,757.7025602200001,100.0,0.00073,22999,0.16895070672035217,-385.4495849609375,0.02207202836871147,0.880562961101532
27000,270,3438,7,757.9976192,100.0,0.00073,23999,-1.2669109106063843,-386.906005859375,0.020925825461745262,0.6751956939697266
28000,280,3579,7,758.6673515499999,100.0,0.00073,24999,-1.1959645748138428,-386.2641296386719,0.020332347601652145,0.5726352334022522
29000,290,3721,7,759.9817393900001,100.0,0.00073,25999,1.0600481033325195,-386.9946594238281,0.01885506883263588,0.5566169023513794
30000,300,3863,7,760.1637704399999,100.0,0.00073,26999,0.619574785232544,-387.05218505859375,0.017831100150942802,0.6091195940971375
31000,310,4005,7,759.0651908,100.0,0.00073,27999,-0.4980316162109375,-387.477783203125,0.017463434487581253,0.4539945125579834
32000,320,4148,7,760.29925005,100.0,0.00073,28999,-0.8362439870834351,-388.2978515625,0.01757872849702835,0.5703603029251099
33000,330,4289,7,759.47951822,100.0,0.00073,29999,1.6765613555908203,-388.783203125,0.017777912318706512,0.5643157958984375
34000,340,4430,7,760.0017960499999,100.0,0.00073,30999,-0.2803022265434265,-388.24139404296875,0.016246940940618515,0.45401668548583984
35000,350,4570,7,759.09700565,100.0,0.00073,31999,0.9212592244148254,-388.296875,0.0155379893258214,0.5353135466575623
36000,360,4711,7,760.2947111099999,100.0,0.00073,32999,-0.9712929129600525,-389.0658264160156,0.014938549138605595,0.8159364461898804
37000,370,4852,7,761.5146465099999,100.0,0.00073,33999,1.0977609157562256,-388.7877502441406,0.014367365278303623,0.5317251682281494
38000,380,4994,7,761.44120417,100.0,0.00073,34999,1.0826129913330078,-389.27410888671875,0.013597605749964714,0.3833627700805664
39000,390,5137,7,760.68315069,100.0,0.00073,35999,1.0312029123306274,-389.2759094238281,0.012636343948543072,0.3854977786540985
40000,400,5280,7,760.99348505,100.0,0.00073,36999,0.3946688175201416,-389.3408508300781,0.012231823988258839,0.3410840630531311
41000,410,5426,7,761.13789221,100.0,0.00073,37999,-0.7393361330032349,-389.2764587402344,0.012271830812096596,0.3765503168106079
42000,420,5572,7,762.1327239799998,100.0,0.00073,38999,-2.079817295074463,-390.65032958984375,0.0121393958106637,0.39263275265693665
43000,430,5716,7,763.24641018,100.0,0.00073,39999,-2.484189033508301,-390.20526123046875,0.011580582708120346,0.4165576100349426
44000,440,5859,7,763.72341751,100.0,0.00073,40999,-0.9485778212547302,-391.1160888671875,0.011198453605175018,0.3207477629184723
45000,450,6004,7,764.9707158699999,100.0,0.00073,41999,1.687147617340088,-390.0648193359375,0.011049183085560799,0.32815638184547424
46000,460,6146,7,764.76134447,100.0,0.00073,42999,0.39264512062072754,-391.1103210449219,0.010818853974342346,0.24821370840072632
47000,470,6290,7,764.3093781099998,100.0,0.00073,43999,0.5840153694152832,-390.0858459472656,0.010164899751543999,0.3822338581085205
48000,480,6433,7,763.89546105,100.0,0.00073,44999,-2.9262166023254395,-391.09197998046875,0.010360417887568474,0.3315122127532959
49000,490,6574,7,763.06117283,100.0,0.00073,45999,0.5225154161453247,-390.6314697265625,0.008719160221517086,0.4034167528152466
50000,500,6715,7,764.16316152,100.0,0.00073,46999,4.008954048156738,-391.12335205078125,0.008385526947677135,0.24288681149482727
51000,510,6857,7,765.2297643200001,100.0,0.00073,47999,2.43208384513855,-391.4801025390625,0.00893713440746069,0.2581338584423065
52000,520,7001,7,766.5415156500002,100.0,0.00073,48999,-0.44422826170921326,-391.7342529296875,0.00879877433180809,0.28564226627349854
53000,530,7144,7,767.3488353500001,100.0,0.00073,49999,-2.2369625568389893,-391.5411682128906,0.008224410004913807,0.21278056502342224
54000,540,7286,7,767.50039979,100.0,0.00073,50999,-1.955420732498169,-391.75048828125,0.007977672852575779,0.22525227069854736
55000,550,7429,7,767.2687193300002,100.0,0.00073,51999,1.2627618312835693,-391.5465087890625,0.00807972438633442,0.22363214194774628
56000,560,7571,7,767.10111559,100.0,0.00073,52999,2.033369302749634,-391.874755859375,0.007659229915589094,0.3024842143058777
57000,570,7713,7,765.96778412,100.0,0.00073,53999,0.39818495512008667,-391.8057861328125,0.007362287491559982,0.381258487701416
58000,580,7855,7,766.9635893999999,100.0,0.00073,54999,1.7020026445388794,-390.60003662109375,0.006986735854297876,0.21137520670890808
59000,590,7998,7,767.3887395199998,100.0,0.00073,55999,1.606924057006836,-390.71722412109375,0.008024423383176327,0.36399346590042114
60000,600,8142,7,767.1623967099999,100.0,0.00073,56999,1.5787379741668701,-392.8194580078125,0.007660329341888428,0.201438307762146
61000,610,8287,7,765.83406615,100.0,0.00073,57999,-0.8854174613952637,-391.99151611328125,0.0067893750965595245,0.23737645149230957
62000,620,8430,7,765.1490505,100.0,0.00073,58999,0.6840959787368774,-391.82647705078125,0.007124931085854769,0.24943330883979797
63000,630,8572,7,763.9383159400002,100.0,0.00073,59999,0.2531217634677887,-392.38690185546875,0.007878370583057404,0.17127513885498047
64000,640,8715,7,764.33589397,100.0,0.00073,60999,1.2789108753204346,-391.9772033691406,0.0067510781809687614,0.2230803668498993
65000,650,8856,7,764.3885308600001,100.0,0.00073,61999,-1.1209605932235718,-392.61920166015625,0.0065893144346773624,0.23808874189853668
66000,660,8998,7,765.34763157,100.0,0.00073,62999,-2.364351511001587,-392.8272399902344,0.006657653488218784,0.27020424604415894
67000,670,9140,7,766.1411978400001,100.0,0.00073,63999,0.7118708491325378,-392.0906677246094,0.007034932263195515,0.32473212480545044
