time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/actor_loss,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/ent_coef_loss
40,1000,100.0,115.58380580000002,24,10,,,,,,
40,2000,100.0,67.51076629999999,49,20,,,,,,
39,3000,100.0,47.99461386666667,75,30,,,,,,
19,4000,100.0,106.791862625,209,40,-76.71282196044922,0.00073,0.5181252360343933,5.137777805328369,999,-4.4910125732421875
14,5000,100.0,231.97476042000002,344,50,-167.71780395507812,0.00073,0.32714569568634033,5.369650840759277,1999,-3.492340087890625
12,6000,100.0,317.5204621,480,60,-238.99151611328125,0.00073,0.22267232835292816,4.536068916320801,2999,-2.2932229042053223
11,7000,100.0,380.87839085714285,617,70,-283.201416015625,0.00073,0.16276706755161285,4.444239616394043,3999,-1.2668935060501099
10,8000,100.0,428.71607082500003,754,80,-319.1268310546875,0.00073,0.13192756474018097,4.367361068725586,4999,-1.57185959815979
10,9000,100.0,463.64182715555546,892,90,-340.06121826171875,0.00073,0.11584512144327164,4.699455261230469,5999,0.4091222286224365
9,10000,100.0,493.4269242100001,1028,100,-353.5076904296875,0.00073,0.10504865646362305,3.9845831394195557,6999,-0.49128398299217224
9,11000,100.0,556.78941527,1167,110,-364.9573669433594,0.00073,0.08740142732858658,3.2730953693389893,7999,0.5369036197662354
9,12000,100.0,630.6274063200001,1304,120,-371.24310302734375,0.00073,0.0769738107919693,2.757166624069214,8999,-0.5133987665176392
9,13000,100.0,705.6092924799999,1442,130,-375.5587158203125,0.00073,0.06998978555202484,2.6483640670776367,9999,0.004595279693603516
8,14000,100.0,752.7825437599998,1581,140,-376.1865539550781,0.00073,0.060113027691841125,1.912426471710205,10999,-0.9266033172607422
8,15000,100.0,755.1291379500002,1719,150,-376.96331787109375,0.00073,0.05349348112940788,1.8015215396881104,11999,1.1847221851348877
8,16000,100.0,756.89812239,1858,160,-380.162109375,0.00073,0.05023111775517464,1.9041012525558472,12999,-3.4478302001953125
8,17000,100.0,755.4978159500001,1999,170,-380.864013671875,0.00073,0.04447684809565544,1.7791821956634521,13999,-1.021958827972412
8,18000,100.0,754.8233452999999,2138,180,-380.1856384277344,0.00073,0.04157717525959015,1.761007308959961,14999,2.157742977142334
8,19000,100.0,756.8195768700002,2277,190,-381.66046142578125,0.00073,0.03880109265446663,1.2898597717285156,15999,1.84477961063385
8,20000,100.0,756.4326893799998,2418,200,-382.59326171875,0.00073,0.035338349640369415,1.0341036319732666,16999,-1.7917461395263672
8,21000,100.0,756.9718676400001,2558,210,-382.5910339355469,0.00073,0.03361859545111656,1.2446160316467285,17999,2.3244760036468506
8,22000,100.0,757.1341822800001,2697,220,-385.00732421875,0.00073,0.030371973291039467,1.158461332321167,18999,-0.5214510560035706
8,23000,100.0,757.04292304,2835,230,-384.6515197753906,0.00073,0.030326148495078087,0.8991740942001343,19999,2.2967312335968018
8,24000,100.0,758.0504459399999,2975,240,-385.3312072753906,0.00073,0.02632763981819153,1.0739612579345703,20999,-1.0243446826934814
8,25000,100.0,757.5203031300001,3115,250,-385.10772705078125,0.00073,0.02547965757548809,0.9250301122665405,21999,-1.8938252925872803
7,26000,100.0,756.27679689,3255,260,-383.8795471191406,0.00073,0.024245906621217728,0.7192875742912292,22999,1.7362494468688965
7,27000,100.0,757.0517034000001,3394,270,-383.6753845214844,0.00073,0.023509936407208443,0.9823406934738159,23999,1.0512906312942505
7,28000,100.0,757.3768612300003,3533,280,-384.57000732421875,0.00073,0.022978030145168304,0.9285461902618408,24999,2.836846113204956
7,29000,100.0,757.4306492799999,3674,290,-385.88568115234375,0.00073,0.02202613092958927,0.6884264349937439,25999,1.5698437690734863
7,30000,100.0,757.5546265399997,3815,300,-386.2078552246094,0.00073,0.021136904135346413,0.5956531763076782,26999,-0.06913259625434875
7,31000,100.0,758.5418484100001,3953,310,-386.6682434082031,0.00073,0.01996435411274433,0.5126661062240601,27999,0.28001540899276733
7,32000,100.0,758.6159369800001,4093,320,-385.20941162109375,0.00073,0.018829170614480972,0.5930767059326172,28999,2.2107486724853516
7,33000,100.0,760.0508236999999,4234,330,-387.7684326171875,0.00073,0.018876636400818825,0.5457750558853149,29999,-0.8005959987640381
7,34000,100.0,759.19026543,4373,340,-385.25885009765625,0.00073,0.017889874055981636,0.5951010584831238,30999,4.19148063659668
7,35000,100.0,760.4306578000001,4514,350,-387.32098388671875,0.00073,0.01706777885556221,0.5171048045158386,31999,0.09924212098121643
7,36000,100.0,760.9469783000001,4654,360,-388.0673828125,0.00073,0.015917068347334862,0.6830130815505981,32999,-1.4354641437530518
7,37000,100.0,762.3807986600001,4794,370,-386.4239501953125,0.00073,0.015197627246379852,0.5607166886329651,33999,-0.1494680941104889
7,38000,100.0,762.38893405,4934,380,-388.5141906738281,0.00073,0.014668400399386883,0.5054013133049011,34999,-1.1698074340820312
7,39000,100.0,762.28284766,5074,390,-387.47100830078125,0.00073,0.014462598599493504,0.506717324256897,35999,1.1350809335708618
7,40000,100.0,763.51861453,5216,400,-387.2114562988281,0.00073,0.014391569420695305,0.7738898992538452,36999,0.09181666374206543
7,41000,100.0,761.80408691,5356,410,-388.23846435546875,0.00073,0.014008142985403538,0.5853475332260132,37999,3.0270204544067383
7,42000,100.0,761.0667171000001,5496,420,-388.0470275878906,0.00073,0.013664201833307743,0.5075072050094604,38999,0.25505679845809937
7,43000,100.0,760.5153312300004,5636,430,-388.8704528808594,0.00073,0.013589775189757347,0.38748639822006226,39999,-2.3216280937194824
7,44000,100.0,761.2550978300001,5778,440,-388.57928466796875,0.00073,0.012747329659759998,0.356412410736084,40999,2.4199485778808594e-05
7,45000,100.0,761.83377625,5920,450,-390.9081726074219,0.00073,0.012647291645407677,0.27907484769821167,41999,-2.6435015201568604
7,46000,100.0,761.0924419800001,6062,460,-390.7666015625,0.00073,0.011792102828621864,0.40975886583328247,42999,-2.8489363193511963
7,47000,100.0,761.3995407799998,6204,470,-390.0418395996094,0.00073,0.01160121988505125,0.3855917453765869,43999,0.27866435050964355
7,48000,100.0,761.7012459999999,6345,480,-390.2676086425781,0.00073,0.011739970184862614,0.39192867279052734,44999,2.045584201812744
7,49000,100.0,760.7930925900001,6486,490,-389.5137634277344,0.00073,0.011864369735121727,0.355602502822876,45999,2.5859615802764893
7,50000,100.0,760.3803154699999,6626,500,-390.3792724609375,0.00073,0.011606481857597828,0.423651784658432,46999,1.8349825143814087
7,51000,100.0,762.6246464000001,6766,510,-390.3293151855469,0.00073,0.011625169776380062,0.3234128952026367,47999,0.8064572811126709
7,52000,100.0,764.5106720399998,6907,520,-391.57635498046875,0.00073,0.011097787879407406,0.3581086993217468,48999,-1.2928552627563477
7,53000,100.0,763.85267007,7047,530,-390.9646911621094,0.00073,0.010956649668514729,0.26778092980384827,49999,1.7651679515838623
7,54000,100.0,763.67715618,7189,540,-391.4979248046875,0.00073,0.010148554109036922,0.37196773290634155,50999,-2.1970174312591553
7,55000,100.0,763.1788489500001,7330,550,-390.330078125,0.00073,0.00989762507379055,0.3393952250480652,51999,2.3525092601776123
7,56000,100.0,764.4262868700002,7470,560,-391.01666259765625,0.00073,0.00940854661166668,0.5600979924201965,52999,2.784679651260376
7,57000,100.0,763.5379592099999,7611,570,-390.5299072265625,0.00073,0.009775870479643345,0.3778766691684723,53999,1.1426130533218384
7,58000,100.0,764.0023405500002,7753,580,-391.8716125488281,0.00073,0.00910594966262579,0.26882556080818176,54999,0.7036154866218567
7,59000,100.0,766.1084923,7895,590,-391.6675720214844,0.00073,0.00875322800129652,0.31329959630966187,55999,-0.6176735758781433
7,60000,100.0,766.89873685,8036,600,-391.1556396484375,0.00073,0.008466687053442001,0.20021045207977295,56999,0.0741720199584961
7,61000,100.0,766.25286431,8180,610,-390.4184875488281,0.00073,0.009535934776067734,0.26252245903015137,57999,1.176843523979187
7,62000,100.0,766.28082785,8322,620,-392.03839111328125,0.00073,0.009128769859671593,0.4164247214794159,58999,-0.5351786613464355
7,63000,100.0,766.6105368299999,8464,630,-391.7005615234375,0.00073,0.00953384768217802,0.29711219668388367,59999,0.31031811237335205
7,64000,100.0,766.56244224,8605,640,-391.6692810058594,0.00073,0.00862809643149376,0.38742056488990784,60999,0.3010053038597107
7,65000,100.0,765.8139916899999,8745,650,-391.97735595703125,0.00073,0.008401271887123585,0.3309224247932434,61999,1.6470682621002197
7,66000,100.0,766.1669392700001,8887,660,-392.3840637207031,0.00073,0.008416696451604366,0.3512745797634125,62999,-0.6471052169799805
7,67000,100.0,766.6465545199999,9030,670,-392.1527099609375,0.00073,0.008386158384382725,0.16518953442573547,63999,-2.220489263534546
7,68000,100.0,767.47657363,9172,680,-391.6844482421875,0.00073,0.008126209490001202,0.25493180751800537,64999,0.2663224935531616
7,69000,100.0,766.5878002299999,9314,690,-392.4241027832031,0.00073,0.008160843513906002,0.155935138463974,65999,1.6486178636550903
7,70000,100.0,765.0861767500002,9456,700,-391.3445129394531,0.00073,0.008330424316227436,0.2392713576555252,66999,1.6994624137878418
7,71000,100.0,765.74765296,9600,710,-390.9486999511719,0.00073,0.0076935021206736565,0.2439095824956894,67999,1.7522714138031006
