time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate,train/n_updates
10,47.785805100000005,100.0,40,1000,24,,,,,,
20,32.99151425,100.0,39,2000,50,,,,,,
30,20.153773533333332,100.0,39,3000,76,,,,,,
40,104.41536855,100.0,19,4000,209,-4.575528144836426,5.287010669708252,0.5148438811302185,-70.8277816772461,0.00073,999
50,215.85815331999999,100.0,14,5000,343,-3.8445868492126465,5.0449113845825195,0.321218341588974,-162.15296936035156,0.00073,1999
60,304.91377615000005,100.0,12,6000,478,-3.0113027095794678,4.577043056488037,0.21136723458766937,-231.22381591796875,0.00073,2999
70,364.52058477142856,100.0,11,7000,612,-3.671332359313965,3.285310745239258,0.1447751373052597,-283.25274658203125,0.00073,3999
80,412.37488985,100.0,10,8000,753,-0.8810499906539917,3.3735744953155518,0.108042411506176,-313.9947814941406,0.00073,4999
90,448.5858138444445,100.0,10,9000,886,-1.1043816804885864,4.133181095123291,0.09766261279582977,-340.0466613769531,0.00073,5999
100,479.2714808900001,100.0,9,10000,1022,0.33717069029808044,3.1743922233581543,0.08518128097057343,-352.7662658691406,0.00073,6999
110,549.4840422,100.0,9,11000,1158,-0.502410352230072,2.9024205207824707,0.08272828906774521,-363.2392272949219,0.00073,7999
120,622.74930489,100.0,9,12000,1295,-1.0913758277893066,2.086061954498291,0.06545934826135635,-368.3321838378906,0.00073,8999
130,697.3516185999999,100.0,9,13000,1432,0.8813167810440063,2.797140121459961,0.060284871608018875,-371.126220703125,0.00073,9999
140,736.8174383,100.0,8,14000,1570,0.6683441400527954,2.330624580383301,0.05871183052659035,-375.45196533203125,0.00073,10999
150,744.9245577500001,100.0,8,15000,1707,-1.242275357246399,2.046663522720337,0.05156689137220383,-377.31903076171875,0.00073,11999
160,745.52440126,100.0,8,16000,1844,-1.1467734575271606,1.9117066860198975,0.04605010151863098,-379.5414123535156,0.00073,12999
170,749.4873176999998,100.0,8,17000,1984,-0.12344204634428024,1.6628994941711426,0.04462762549519539,-379.9325866699219,0.00073,13999
180,749.7462714499999,100.0,8,18000,2122,1.2447822093963623,1.5493371486663818,0.04016139730811119,-379.8970947265625,0.00073,14999
190,752.1572874000001,100.0,8,19000,2259,1.1635901927947998,1.2461283206939697,0.03714669123291969,-380.6445007324219,0.00073,15999
200,753.1292225700001,100.0,8,20000,2398,1.1670334339141846,1.4364709854125977,0.03531899303197861,-381.78179931640625,0.00073,16999
210,752.7986532900002,100.0,8,21000,2536,0.7982249855995178,1.7047085762023926,0.03348619118332863,-383.3445129394531,0.00073,17999
220,752.8665668200003,100.0,8,22000,2674,0.11991120874881744,1.3257451057434082,0.030255252495408058,-384.73822021484375,0.00073,18999
230,756.0004476699997,100.0,8,23000,2811,-0.4477849006652832,1.2216079235076904,0.028871621936559677,-384.650390625,0.00073,19999
240,757.22357978,100.0,8,24000,2949,-1.7251198291778564,0.8207544088363647,0.028282711282372475,-386.3326110839844,0.00073,20999
250,759.0835783199999,100.0,8,25000,3087,-1.6788508892059326,1.0870916843414307,0.02756955474615097,-385.7385559082031,0.00073,21999
260,759.5513144700001,100.0,8,26000,3224,-1.3498523235321045,0.8014102578163147,0.026140505447983742,-386.0935974121094,0.00073,22999
270,759.2272176600001,100.0,8,27000,3362,1.786573886871338,1.1147569417953491,0.02394052781164646,-386.67578125,0.00073,23999
280,758.41779553,100.0,7,28000,3500,1.4318742752075195,0.6178611516952515,0.023600388318300247,-388.06793212890625,0.00073,24999
290,758.97271729,100.0,7,29000,3638,-0.29857802391052246,0.6864240169525146,0.021792637184262276,-385.744384765625,0.00073,25999
300,758.7148260399999,100.0,7,30000,3777,-0.15371954441070557,0.7636594176292419,0.02206520363688469,-387.42919921875,0.00073,26999
310,759.86926238,100.0,7,31000,3916,0.2611432671546936,0.6702752113342285,0.020750850439071655,-387.7892761230469,0.00073,27999
320,759.5558114800001,100.0,7,32000,4053,-0.1413981318473816,1.0521457195281982,0.019967276602983475,-387.0221862792969,0.00073,28999
330,758.5856298099998,100.0,7,33000,4192,0.11530900001525879,0.5919700264930725,0.01983407512307167,-387.13250732421875,0.00073,29999
340,757.3184809300001,100.0,7,34000,4330,3.824644088745117,0.7200026512145996,0.019487345591187477,-386.0333251953125,0.00073,30999
350,757.3097698500001,100.0,7,35000,4468,2.679370641708374,0.9752413034439087,0.01818094030022621,-386.962890625,0.00073,31999
360,756.5626696400001,100.0,7,36000,4606,-0.4057527482509613,0.5786357522010803,0.01759364642202854,-387.4537048339844,0.00073,32999
370,755.8165803499999,100.0,7,37000,4745,-2.7737317085266113,0.4083344042301178,0.015823708847165108,-388.285888671875,0.00073,33999
380,757.88550701,100.0,7,38000,4882,-1.692604899406433,0.6258286833763123,0.01503076497465372,-388.4515380859375,0.00073,34999
390,756.2021005500002,100.0,7,39000,5022,1.2045820951461792,0.4612608253955841,0.014385792426764965,-388.32354736328125,0.00073,35999
400,756.2242385799999,100.0,7,40000,5160,-2.395211935043335,0.4564118981361389,0.014775609597563744,-389.74169921875,0.00073,36999
410,756.3341729799998,100.0,7,41000,5299,-1.4235789775848389,0.47635525465011597,0.013889437541365623,-388.6769714355469,0.00073,37999
420,758.0715708799997,100.0,7,42000,5439,0.520219087600708,0.5080363750457764,0.013392438180744648,-388.6097717285156,0.00073,38999
430,757.46465636,100.0,7,43000,5581,0.036871835589408875,0.595115602016449,0.013219828717410564,-389.34539794921875,0.00073,39999
440,759.42350906,100.0,7,44000,5722,-2.442080497741699,0.3404615521430969,0.01311770174652338,-390.3800354003906,0.00073,40999
450,759.1608518300001,100.0,7,45000,5863,-1.3395004272460938,0.39360693097114563,0.012854747474193573,-390.364501953125,0.00073,41999
460,759.3528626399999,100.0,7,46000,6004,0.23440960049629211,0.30559003353118896,0.012289604172110558,-389.6375427246094,0.00073,42999
470,760.6352708000002,100.0,7,47000,6143,-2.433694839477539,0.36374127864837646,0.012587673962116241,-390.02569580078125,0.00073,43999
480,761.03880862,100.0,7,48000,6283,-0.6646344065666199,0.37703993916511536,0.011267543770372868,-389.4176025390625,0.00073,44999
490,763.14892825,100.0,7,49000,6422,3.3993587493896484,0.3655441999435425,0.011062731966376305,-388.58282470703125,0.00073,45999
500,762.6917976499999,100.0,7,50000,6561,2.0521693229675293,0.42106401920318604,0.010746445506811142,-389.0860290527344,0.00073,46999
510,763.11874345,100.0,7,51000,6699,1.9547812938690186,0.2479073703289032,0.01042567566037178,-389.4287109375,0.00073,47999
520,762.2678768799997,100.0,7,52000,6837,1.500221610069275,0.2699611186981201,0.010290464386343956,-389.3875732421875,0.00073,48999
530,763.3876557399999,100.0,7,53000,6977,3.495743989944458,0.4215437173843384,0.009742867201566696,-388.8678283691406,0.00073,49999
540,763.11957227,100.0,7,54000,7116,1.1984034776687622,0.25951147079467773,0.009747532196342945,-389.90386962890625,0.00073,50999
550,762.66015854,100.0,7,55000,7255,0.22579887509346008,0.354550302028656,0.009351029060781002,-390.906982421875,0.00073,51999
560,764.00648686,100.0,7,56000,7395,-1.6572566032409668,0.45391303300857544,0.009256146848201752,-391.70172119140625,0.00073,52999
570,763.8087383099999,100.0,7,57000,7533,-1.2314671277999878,0.2796633243560791,0.009253260679543018,-391.14752197265625,0.00073,53999
580,763.92238468,100.0,7,58000,7671,-2.232123851776123,0.23942145705223083,0.009055552072823048,-390.87408447265625,0.00073,54999
590,764.2061094800001,100.0,7,59000,7810,-1.4361155033111572,0.18098416924476624,0.00921296700835228,-391.4749450683594,0.00073,55999
600,765.2879650600001,100.0,7,60000,7949,1.3339297771453857,0.4438653588294983,0.009310256689786911,-391.5780334472656,0.00073,56999
610,765.8131647199999,100.0,7,61000,8089,0.7370243668556213,0.368556410074234,0.008500080555677414,-391.0567932128906,0.00073,57999
620,767.24695165,100.0,7,62000,8230,1.1054754257202148,0.3104960322380066,0.0086038364097476,-390.9169616699219,0.00073,58999
630,766.8134328300001,100.0,7,63000,8370,0.5485738515853882,0.1754869520664215,0.008252750150859356,-391.28851318359375,0.00073,59999
640,766.4928667399998,100.0,7,64000,8512,1.6816442012786865,0.22183778882026672,0.007893558591604233,-391.23468017578125,0.00073,60999
650,767.1988124399999,100.0,7,65000,8651,-0.430683970451355,0.2135808765888214,0.007907773368060589,-391.55316162109375,0.00073,61999
660,767.0607355400002,100.0,7,66000,8789,2.0282583236694336,0.343911349773407,0.007354301866143942,-391.45391845703125,0.00073,62999
670,767.8706976999998,100.0,7,67000,8928,0.4417276382446289,0.234561026096344,0.007159252651035786,-391.9476623535156,0.00073,63999
680,767.4903210400001,100.0,7,68000,9066,0.490901380777359,0.2742082476615906,0.007049936335533857,-391.7194519042969,0.00073,64999
690,766.70829219,100.0,7,69000,9204,-2.509765863418579,0.2894420027732849,0.006928984075784683,-391.94879150390625,0.00073,65999
700,766.8014580199998,100.0,7,70000,9342,-1.6565577983856201,0.2195296585559845,0.006867608055472374,-392.6196594238281,0.00073,66999
710,766.8233779599999,100.0,7,71000,9483,1.4139437675476074,0.19361600279808044,0.00707452604547143,-392.54779052734375,0.00073,67999
720,765.34442094,100.0,7,72000,9622,2.052730083465576,0.26077187061309814,0.006554179824888706,-391.23095703125,0.00073,68999
730,765.36965422,100.0,7,73000,9763,-0.30712392926216125,0.20869240164756775,0.006583422422409058,-392.36248779296875,0.00073,69999
740,765.44146284,100.0,7,74000,9902,0.1447952389717102,0.30192792415618896,0.006609233561903238,-392.0694274902344,0.00073,70999
750,765.89880227,100.0,7,75000,10041,3.9893240928649902,0.2221461683511734,0.0061657847836613655,-391.65740966796875,0.00073,71999
760,766.58173623,100.0,7,76000,10181,1.0038425922393799,0.13263124227523804,0.006312185432761908,-392.19415283203125,0.00073,72999
