time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef
1000,-120.0918336,43,100.0,10,23,,,,,,
2000,-117.26148350000001,41,100.0,20,47,,,,,,
3000,-118.45110720000001,41,100.0,30,71,,,,,,
4000,-117.6425824,19,100.0,40,205,-18.323436737060547,-5.708642959594727,0.611545205116272,999,0.00073,0.4855998754501343
5000,-71.51755052,14,100.0,50,339,-16.887683868408203,-6.735966682434082,1.378070592880249,1999,0.00073,0.2506663203239441
6000,10.484650216666667,12,100.0,60,476,-58.20215606689453,-3.840303421020508,2.6902570724487305,2999,0.00073,0.17287519574165344
7000,85.0530198142857,11,100.0,70,611,-105.57498168945312,-1.016984462738037,3.412412166595459,3999,0.00073,0.13986638188362122
8000,155.88622924999999,10,100.0,80,747,-160.6237335205078,1.5157405138015747,3.916264533996582,4999,0.00073,0.13579405844211578
9000,215.32508776666666,10,100.0,90,885,-208.72314453125,-0.01900188997387886,4.947345733642578,5999,0.00073,0.15793870389461517
10000,262.00415431,9,100.0,100,1023,-238.01449584960938,0.08689077943563461,5.049496650695801,6999,0.00073,0.17242155969142914
11000,344.5621473399999,9,100.0,110,1163,-259.8521728515625,-0.2272612452507019,4.758499622344971,7999,0.00073,0.17406758666038513
12000,425.29884726999995,9,100.0,120,1302,-279.6582946777344,-0.0990731418132782,3.503873825073242,8999,0.00073,0.17141404747962952
13000,508.87226028,9,100.0,130,1441,-289.5004577636719,-0.4791717827320099,3.6992313861846924,9999,0.00073,0.16539528965950012
14000,591.89854306,8,100.0,140,1580,-298.53594970703125,0.21243490278720856,3.9161317348480225,10999,0.00073,0.1618724912405014
15000,652.4415670699999,8,100.0,150,1722,-307.09765625,0.11541856825351715,3.720959186553955,11999,0.00073,0.15724162757396698
16000,682.2527109899999,8,100.0,160,1862,-315.62261962890625,-0.12814125418663025,2.926684856414795,12999,0.00073,0.15396694839000702
17000,700.6038828699999,8,100.0,170,2002,-315.9928283691406,0.661525547504425,2.746870517730713,13999,0.00073,0.151114359498024
18000,707.6417958200001,8,100.0,180,2146,-321.408447265625,-0.18458868563175201,3.6152045726776123,14999,0.00073,0.15120361745357513
19000,710.87672926,8,100.0,190,2287,-325.42840576171875,0.16373556852340698,2.8680639266967773,15999,0.00073,0.14608025550842285
20000,714.20561519,8,100.0,200,2427,-335.8309631347656,-0.29208993911743164,5.138868808746338,16999,0.00073,0.15882036089897156
21000,683.8433230799998,8,100.0,210,2567,-346.11181640625,-0.9739292860031128,8.96788215637207,17999,0.00073,0.17366284132003784
22000,674.9293990299999,8,100.0,220,2707,-334.0656433105469,0.4517157971858978,3.5684969425201416,18999,0.00073,0.12287896126508713
23000,676.2828776599999,8,100.0,230,2847,-336.5776062011719,-0.009811334311962128,2.7125027179718018,19999,0.00073,0.1308329850435257
24000,677.9731581799999,8,100.0,240,2987,-335.5688781738281,0.31283387541770935,3.036564826965332,20999,0.00073,0.12348015606403351
25000,679.6433759500001,7,100.0,250,3129,-339.589111328125,-0.47656333446502686,2.1141879558563232,21999,0.00073,0.12411841005086899
26000,681.0719666299999,7,100.0,260,3269,-342.04620361328125,0.2880179286003113,2.522935152053833,22999,0.00073,0.11632631719112396
27000,683.0184596800002,7,100.0,270,3411,-341.50128173828125,1.1728447675704956,2.3937230110168457,23999,0.00073,0.11162268370389938
28000,684.3904293299998,7,100.0,280,3551,-343.31005859375,-0.5476722717285156,2.3720510005950928,24999,0.00073,0.10621015727519989
29000,685.61098405,7,100.0,290,3691,-346.20703125,-0.2980520725250244,2.2125720977783203,25999,0.00073,0.10302874445915222
