time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef
10,43,22,-125.670824,1000,100.0,,,,,,
20,41,48,-115.76723855,2000,100.0,,,,,,
30,41,72,-119.0095829,3000,100.0,,,,,,
40,19,207,-118.1001731,4000,100.0,999,-5.696166038513184,1.0174994468688965,0.00073,-19.123008728027344,0.48684316873550415
50,14,340,-72.74173906,5000,100.0,1999,-7.047328948974609,1.737170934677124,0.00073,-20.44290542602539,0.25234222412109375
60,12,474,20.961930866666663,6000,100.0,2999,-3.2188215255737305,3.6544349193573,0.00073,-71.04608154296875,0.18101605772972107
70,11,608,110.52235249999998,7000,100.0,3999,-0.23307164013385773,3.9568166732788086,0.00073,-133.41177368164062,0.15455389022827148
80,10,744,179.65398317499998,8000,100.0,4999,0.4776027798652649,3.244213104248047,0.00073,-185.10565185546875,0.15414051711559296
90,10,879,234.79343762222226,9000,100.0,5999,-0.5275285243988037,4.261740207672119,0.00073,-221.83364868164062,0.17133066058158875
100,9,1017,276.75454252,10000,100.0,6999,-0.3676935136318207,5.476505279541016,0.00073,-244.1004638671875,0.1796797662973404
110,9,1155,357.16275486,11000,100.0,7999,-0.5113083720207214,5.004599571228027,0.00073,-257.21142578125,0.1752566248178482
120,9,1291,436.38197145,12000,100.0,8999,-0.053082942962646484,3.8592581748962402,0.00073,-276.38958740234375,0.16047291457653046
130,9,1431,517.49244558,13000,100.0,9999,-0.46595922112464905,4.952669143676758,0.00073,-289.7898254394531,0.1725499927997589
140,8,1569,596.92528572,14000,100.0,10999,0.4372418522834778,3.354212760925293,0.00073,-301.080322265625,0.1562051922082901
150,8,1706,656.2366485300001,15000,100.0,11999,-0.4737807512283325,4.596001625061035,0.00073,-308.35052490234375,0.1472635269165039
160,8,1846,676.9505419300002,16000,100.0,12999,-0.9128257632255554,3.7898671627044678,0.00073,-317.2886962890625,0.15038669109344482
170,8,1985,681.9036993400001,17000,100.0,13999,-1.5657212734222412,4.790308952331543,0.00073,-314.52154541015625,0.12512952089309692
180,8,2123,684.5654489200002,18000,100.0,14999,-0.1213899627327919,4.544170379638672,0.00073,-327.5909118652344,0.13771361112594604
190,8,2262,685.3703340100001,19000,100.0,15999,-0.7111202478408813,4.128083229064941,0.00073,-329.5924377441406,0.1320643424987793
200,8,2402,689.9463216300002,20000,100.0,16999,-0.08613331615924835,4.6486968994140625,0.00073,-332.7861633300781,0.12615814805030823
210,8,2541,675.37690608,21000,100.0,17999,1.3639148473739624,14.141505241394043,0.00073,-368.7560119628906,0.19400654733181
220,8,2680,618.82275036,22000,100.0,18999,-0.8644105195999146,7.032793998718262,0.00073,-391.25823974609375,0.19038711488246918
230,8,2818,617.36898787,23000,100.0,19999,-0.969698965549469,5.424232482910156,0.00073,-366.5417785644531,0.14331737160682678
240,8,2958,619.7353637299999,24000,100.0,20999,-0.21599671244621277,3.557382583618164,0.00073,-359.8429870605469,0.13126593828201294
250,8,3096,619.04225887,25000,100.0,21999,-0.5916701555252075,3.8079559803009033,0.00073,-352.52679443359375,0.11845723539590836
260,8,3235,619.7815277100001,26000,100.0,22999,-0.505538284778595,3.450833797454834,0.00073,-349.8212890625,0.10984893888235092
270,7,3375,620.59636307,27000,100.0,23999,0.02541680634021759,3.412982225418091,0.00073,-349.4474182128906,0.10222698748111725
280,7,3516,621.92420407,28000,100.0,24999,-0.4867958128452301,2.973639488220215,0.00073,-351.5257263183594,0.0994214341044426
290,7,3654,623.7601898300001,29000,100.0,25999,0.21828565001487732,2.550544261932373,0.00073,-349.7075500488281,0.0966002494096756
300,7,3793,624.2412344600001,30000,100.0,26999,-0.03463736176490784,2.9083175659179688,0.00073,-347.7484130859375,0.09376506507396698
310,7,3932,641.4156734300001,31000,100.0,27999,-0.8537796139717102,2.317572593688965,0.00073,-348.4572448730469,0.09490135312080383
320,7,4072,699.89817216,32000,100.0,28999,0.0010098740458488464,2.376305103302002,0.00073,-349.0938415527344,0.09014218300580978
330,7,4210,701.9578620800002,33000,100.0,29999,0.13924017548561096,1.9019975662231445,0.00073,-348.4031066894531,0.08961999416351318
340,7,4351,701.49566589,34000,100.0,30999,-0.2953806221485138,2.056114435195923,0.00073,-350.2465515136719,0.08592095226049423
350,7,4489,702.8245915599998,35000,100.0,31999,0.3600255250930786,2.2332215309143066,0.00073,-349.5128173828125,0.08262761682271957
360,7,4629,703.0736353399999,36000,100.0,32999,0.5995035171508789,2.025730609893799,0.00073,-352.92413330078125,0.0827302560210228
370,7,4769,702.83077005,37000,100.0,33999,-0.4816432595252991,1.9908912181854248,0.00073,-353.3675842285156,0.08033517003059387
380,7,4908,703.2417853200002,38000,100.0,34999,0.09321844577789307,2.399744987487793,0.00073,-352.2932434082031,0.0759357437491417
390,7,5048,703.49330976,39000,100.0,35999,0.7128187417984009,2.310757637023926,0.00073,-354.6883850097656,0.07301212102174759
400,7,5189,703.5123834499999,40000,100.0,36999,1.0116784572601318,1.2452337741851807,0.00073,-358.1352844238281,0.07209184020757675
410,7,5327,703.51088045,41000,100.0,37999,-0.3732154071331024,1.496950387954712,0.00073,-358.1092224121094,0.07280544191598892
420,7,5467,703.54806893,42000,100.0,38999,-0.6664236783981323,1.797459602355957,0.00073,-358.60931396484375,0.07553762197494507
430,7,5607,705.1491198800001,43000,100.0,39999,0.3824678659439087,2.131678819656372,0.00073,-359.3305969238281,0.07226844131946564
440,7,5746,705.9810946800001,44000,100.0,40999,0.06688598543405533,1.4617905616760254,0.00073,-360.1191101074219,0.06770120561122894
450,7,5886,705.7709869400001,45000,100.0,41999,-1.1867870092391968,1.3266856670379639,0.00073,-360.3055725097656,0.0642624944448471
460,7,6024,705.9231339199999,46000,100.0,42999,-0.04055872559547424,1.1087017059326172,0.00073,-360.3155517578125,0.06436297297477722
470,7,6166,706.46980434,47000,100.0,43999,0.7805638909339905,1.3349146842956543,0.00073,-361.54931640625,0.06136928126215935
480,7,6305,706.28852773,48000,100.0,44999,0.0120372474193573,1.0777814388275146,0.00073,-361.98651123046875,0.059578072279691696
490,7,6445,706.2855344200001,49000,100.0,45999,1.3251826763153076,1.6882619857788086,0.00073,-360.9743957519531,0.05762447416782379
500,7,6585,706.5639095500001,50000,100.0,46999,0.3928598463535309,1.94920015335083,0.00073,-362.8746337890625,0.05834166705608368
510,7,6726,706.6103733899998,51000,100.0,47999,-0.6473546624183655,1.5945978164672852,0.00073,-364.8907775878906,0.05912672355771065
520,7,6868,706.76995413,52000,100.0,48999,-0.5285288095474243,1.219024419784546,0.00073,-362.31683349609375,0.05538850277662277
530,7,7009,706.8008989799999,53000,100.0,49999,0.9097370505332947,1.0874969959259033,0.00073,-363.33953857421875,0.056425850838422775
540,7,7148,707.0179733699999,54000,100.0,50999,0.06997975707054138,1.1548871994018555,0.00073,-365.8926696777344,0.054663073271512985
550,7,7288,707.2315234299998,55000,100.0,51999,0.10928991436958313,0.8580851554870605,0.00073,-366.96734619140625,0.052811089903116226
