time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates
1000,100.0,-113.3186037,10,23,43,,,,,,
2000,100.0,-117.89864949999996,20,48,40,,,,,,
3000,100.0,-116.30193426666668,30,73,40,,,,,,
4000,100.0,-110.59166432500001,40,209,19,0.8779861927032471,-18.281768798828125,0.00073,-5.725640296936035,0.4861900806427002,999
5000,100.0,-97.43629388000001,50,344,14,1.063651204109192,-11.945243835449219,0.00073,-9.317306518554688,0.24504044651985168,1999
6000,100.0,-78.74672721666667,60,479,12,2.675585985183716,-15.970005989074707,0.00073,-6.414544105529785,0.14419710636138916,2999
7000,100.0,-55.851704500000004,70,617,11,7.424597263336182,-44.28939437866211,0.00073,-1.7961355447769165,0.11757073551416397,3999
8000,100.0,-17.329848075,80,754,10,10.092144966125488,-78.85721588134766,0.00073,0.5807909965515137,0.11574079841375351,4999
9000,100.0,28.96588065555555,90,897,10,13.705541610717773,-109.86212158203125,0.00073,0.8477644324302673,0.12658540904521942,5999
10000,100.0,58.17934728000001,100,1035,9,14.16252326965332,-135.72402954101562,0.00073,0.657170832157135,0.16864144802093506,6999
11000,100.0,108.18244700999999,110,1174,9,14.951154708862305,-162.96400451660156,0.00073,-0.6709686517715454,0.16126041114330292,7999
12000,100.0,164.81864827,120,1313,9,20.12872314453125,-177.28936767578125,0.00073,-0.35063934326171875,0.1890162229537964,8999
13000,100.0,218.10213804,130,1455,8,26.295066833496094,-192.96165466308594,0.00073,0.31588026881217957,0.18669180572032928,9999
14000,100.0,283.7245491,140,1594,8,25.683013916015625,-209.81341552734375,0.00073,-0.32053348422050476,0.20092329382896423,10999
15000,100.0,346.34361129999996,150,1734,8,17.229997634887695,-210.26788330078125,0.00073,-0.0028323158621788025,0.20212151110172272,11999
16000,100.0,404.88463213,160,1874,8,16.793546676635742,-237.14234924316406,0.00073,-0.11271017789840698,0.20152629911899567,12999
17000,100.0,438.78953793999995,170,2014,8,14.64918327331543,-238.17372131347656,0.00073,0.38418543338775635,0.1913233995437622,13999
18000,100.0,467.34705583000004,180,2154,8,19.606861114501953,-247.45323181152344,0.00073,-0.4267914891242981,0.19551251828670502,14999
19000,100.0,490.61796682,190,2293,8,17.483678817749023,-254.1167449951172,0.00073,-0.4377667009830475,0.20564498007297516,15999
20000,100.0,521.5053291199999,200,2433,8,16.72011947631836,-262.4081726074219,0.00073,-0.03506971895694733,0.1967507153749466,16999
21000,100.0,546.5529621300001,210,2573,8,15.371414184570312,-268.17022705078125,0.00073,-0.16657841205596924,0.20154531300067902,17999
22000,100.0,564.4105904300001,220,2711,8,15.789134979248047,-269.9836120605469,0.00073,-0.07650679349899292,0.1864032745361328,18999
23000,100.0,589.2903541300001,230,2854,8,17.450393676757812,-278.69342041015625,0.00073,0.3576579689979553,0.19441138207912445,19999
24000,100.0,600.7956134199999,240,2994,8,14.318225860595703,-294.0511474609375,0.00073,-0.2790970206260681,0.19193877279758453,20999
25000,100.0,610.1021905599999,250,3134,7,13.27055549621582,-289.25244140625,0.00073,-0.47364312410354614,0.18925246596336365,21999
26000,100.0,618.4234711600001,260,3279,7,13.49744701385498,-298.0390625,0.00073,0.0358627624809742,0.19769753515720367,22999
