time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss
1000,27,10,100.0,36,-19.9623559,,,,,,
2000,56,20,100.0,35,-20.115949399999998,,,,,,
3000,85,30,100.0,35,-20.703573933333335,,,,,,
4000,223,40,100.0,17,-19.138803425000003,0.28643232583999634,0.4831989109516144,0.00073,999,-6.04625940322876,-34.72378158569336
5000,365,50,100.0,13,-11.073765020000002,0.3689071536064148,0.23474515974521637,0.00073,1999,-10.923345565795898,-37.66563415527344
6000,507,60,100.0,11,49.94653183333333,2.825509548187256,0.13168707489967346,0.00073,2999,-6.936812400817871,-46.28923416137695
7000,650,70,100.0,10,145.3340333857143,2.713923931121826,0.11376314610242844,0.00073,3999,0.7753601670265198,-97.43745422363281
8000,791,80,100.0,10,221.0164631,2.352778434753418,0.14457732439041138,0.00073,4999,1.4370357990264893,-169.03817749023438
9000,934,90,100.0,9,279.92201555555556,1.610785722732544,0.16101646423339844,0.00073,5999,-0.2923514246940613,-219.02825927734375
10000,1077,100,100.0,9,327.17558627,1.7557361125946045,0.15231388807296753,0.00073,6999,-0.5912941098213196,-245.4181365966797
11000,1219,110,100.0,9,403.76962248,1.4708991050720215,0.14389371871948242,0.00073,7999,-0.4810763895511627,-269.7419128417969
12000,1358,120,100.0,8,480.4354790499999,1.913661241531372,0.1358829140663147,0.00073,8999,-0.6223070025444031,-281.097900390625
13000,1498,130,100.0,8,557.43154592,1.8330583572387695,0.1304382085800171,0.00073,9999,0.7824323177337646,-295.8995056152344
14000,1638,140,100.0,8,633.92253892,1.8157587051391602,0.12697754800319672,0.00073,10999,-0.10857187211513519,-307.5167541503906
15000,1778,150,100.0,8,706.35604737,2.333949089050293,0.13468167185783386,0.00073,11999,0.5818448662757874,-321.565185546875
16000,1918,160,100.0,8,727.4184616599999,2.7885756492614746,0.11163649708032608,0.00073,12999,0.01100553572177887,-327.29730224609375
17000,2057,170,100.0,8,730.6531269600001,3.0080153942108154,0.11561503261327744,0.00073,13999,0.5453066825866699,-327.73455810546875
18000,2196,180,100.0,8,731.46763977,2.815518379211426,0.11735358089208603,0.00073,14999,0.47975078225135803,-343.1624450683594
19000,2336,190,100.0,8,732.5677831600001,1.672562837600708,0.0913841500878334,0.00073,15999,1.3459523916244507,-339.92767333984375
20000,2479,200,100.0,8,733.4569933800001,2.548295736312866,0.11426655203104019,0.00073,16999,-0.7784464359283447,-340.4739990234375
21000,2623,210,100.0,8,734.8320029099999,1.7123037576675415,0.09489744156599045,0.00073,17999,1.2371877431869507,-346.1647033691406
22000,2769,220,100.0,7,736.72978296,1.5275561809539795,0.09190259128808975,0.00073,18999,0.485232412815094,-350.9258728027344
23000,2913,230,100.0,7,738.4611939100001,1.2232820987701416,0.0897826999425888,0.00073,19999,0.6446692943572998,-355.4867248535156
24000,3058,240,100.0,7,739.9110180099998,1.915801763534546,0.09679501503705978,0.00073,20999,-0.723861813545227,-355.5769958496094
25000,3208,250,100.0,7,741.8956826199999,1.2007832527160645,0.08497215062379837,0.00073,21999,-1.457639455795288,-354.21246337890625
26000,3351,260,100.0,7,762.2254865,1.6198039054870605,0.08447913080453873,0.00073,22999,1.6678502559661865,-360.37060546875
27000,3495,270,100.0,7,764.0031929700001,1.4723474979400635,0.08215930312871933,0.00073,23999,-0.3063317835330963,-359.5565490722656
28000,3639,280,100.0,7,764.8084603,1.179442048072815,0.07634539157152176,0.00073,24999,-0.14234790205955505,-362.7637634277344
29000,3787,290,100.0,7,765.1704840900001,1.1609715223312378,0.07958102226257324,0.00073,25999,-0.2557751536369324,-364.6657409667969
30000,3956,300,100.0,7,765.57516486,1.1742546558380127,0.07584411650896072,0.00073,26999,-0.4791501760482788,-366.4402160644531
31000,4102,310,100.0,7,766.26029576,0.8336187601089478,0.07340751588344574,0.00073,27999,-0.4828711748123169,-367.1502990722656
32000,4248,320,100.0,7,766.42303673,0.8635151386260986,0.07682495564222336,0.00073,28999,0.18547943234443665,-369.4654541015625
33000,4392,330,100.0,7,766.66335818,1.0009065866470337,0.06987892091274261,0.00073,29999,-1.0792311429977417,-368.19146728515625
34000,4536,340,100.0,7,767.1076794999999,0.9704737663269043,0.06985834985971451,0.00073,30999,-0.21265444159507751,-369.18707275390625
35000,4681,350,100.0,7,767.0682192799998,1.349461317062378,0.06661856919527054,0.00073,31999,-0.5391299724578857,-370.4119567871094
36000,4825,360,100.0,7,767.15059947,0.8508098125457764,0.06798884272575378,0.00073,32999,1.0971120595932007,-373.5536193847656
37000,4975,370,100.0,7,767.1116909699999,0.7039679288864136,0.06540228426456451,0.00073,33999,-1.6995855569839478,-371.6759948730469
38000,5125,380,100.0,7,767.2717677400001,0.7907025814056396,0.06299690902233124,0.00073,34999,-0.19175365567207336,-373.3851318359375
39000,5271,390,100.0,7,767.7127929900001,0.9770457744598389,0.062412455677986145,0.00073,35999,0.17348776757717133,-373.3837890625
40000,5416,400,100.0,7,768.23431973,1.5289862155914307,0.05992560088634491,0.00073,36999,2.5505290031433105,-372.6181335449219
41000,5562,410,100.0,7,768.51617814,0.9542110562324524,0.06224210187792778,0.00073,37999,0.7112444639205933,-373.8983459472656
42000,5730,420,100.0,7,768.7175233,0.9004700183868408,0.05874915048480034,0.00073,38999,0.09516052901744843,-374.7364501953125
43000,5876,430,100.0,7,768.9189447799998,0.6721733808517456,0.06011735647916794,0.00073,39999,0.3208874464035034,-375.8373718261719
44000,6022,440,100.0,7,769.0400884600002,0.7690449953079224,0.05731194093823433,0.00073,40999,0.2785106897354126,-375.54876708984375
45000,6164,450,100.0,7,769.6048770399998,0.6421370506286621,0.05664592608809471,0.00073,41999,1.8629474639892578,-375.41363525390625
46000,6306,460,100.0,7,769.6861765400001,0.7173378467559814,0.055605802685022354,0.00073,42999,1.2217388153076172,-373.8289794921875
47000,6450,470,100.0,7,770.0483236199997,0.9588050842285156,0.05517028644680977,0.00073,43999,0.1678350567817688,-373.64752197265625
48000,6592,480,100.0,7,770.2908744100001,0.8232451677322388,0.05309835448861122,0.00073,44999,1.0953712463378906,-373.54541015625
49000,6736,490,100.0,7,770.3326388700001,1.0122826099395752,0.05338926985859871,0.00073,45999,1.0417160987854004,-376.5619201660156
50000,6879,500,100.0,7,770.33235638,1.6843135356903076,0.05147157236933708,0.00073,46999,0.8704326152801514,-375.1692199707031
51000,7019,510,100.0,7,770.3336763899999,0.8467787504196167,0.05139412358403206,0.00073,47999,0.36246219277381897,-378.0794372558594
52000,7161,520,100.0,7,770.45572343,0.8416874408721924,0.05314643308520317,0.00073,48999,-0.6083803176879883,-379.8092041015625
53000,7305,530,100.0,7,770.5366000299999,0.8478267192840576,0.05221688374876976,0.00073,49999,-0.24483031034469604,-380.9609069824219
54000,7446,540,100.0,7,770.4983750899999,0.556695818901062,0.051244042813777924,0.00073,50999,0.5100388526916504,-378.8735656738281
55000,7593,550,100.0,7,770.4590455800001,0.5908862352371216,0.05011538416147232,0.00073,51999,0.9329993724822998,-378.2795104980469
56000,7740,560,100.0,7,770.46092231,0.8310410976409912,0.04887866601347923,0.00073,52999,-0.5091323256492615,-379.8525390625
57000,7889,570,100.0,7,770.42187791,0.6347295045852661,0.04840237647294998,0.00073,53999,-1.1759254932403564,-381.50152587890625
58000,8036,580,100.0,7,770.3425465199999,1.0506513118743896,0.05004957690834999,0.00073,54999,-0.40798527002334595,-379.6376647949219
59000,8184,590,100.0,7,770.3432559699999,1.4403222799301147,0.04633632302284241,0.00073,55999,0.20808270573616028,-378.2682800292969
60000,8330,600,100.0,7,770.3845754199999,0.7992123961448669,0.04541950672864914,0.00073,56999,-1.958414077758789,-382.4464111328125
61000,8477,610,100.0,7,770.5470730299999,0.6642314195632935,0.04469624534249306,0.00073,57999,-0.8687228560447693,-380.0435485839844
62000,8624,620,100.0,7,770.5458441700002,0.6463449001312256,0.04595400020480156,0.00073,58999,-0.6384282112121582,-383.2784423828125
63000,8768,630,100.0,7,770.5469861399998,0.7866222858428955,0.04333674535155296,0.00073,59999,-0.6734316349029541,-383.3143615722656
64000,8913,640,100.0,7,770.6265694899998,0.719409704208374,0.042721670120954514,0.00073,60999,0.39177462458610535,-382.02606201171875
65000,9058,650,100.0,7,770.74656468,0.4389982223510742,0.04227424040436745,0.00073,61999,1.3742725849151611,-383.1561279296875
66000,9202,660,100.0,7,770.8272725399999,0.5630788207054138,0.041687801480293274,0.00073,62999,-1.3584511280059814,-382.184814453125
67000,9348,670,100.0,7,770.9070280499998,0.695837140083313,0.04178757965564728,0.00073,63999,0.23336662352085114,-383.70751953125
68000,9491,680,100.0,7,770.98815274,0.6403870582580566,0.04226640984416008,0.00073,64999,-0.9551628232002258,-383.02850341796875
69000,9640,690,100.0,7,771.0699051799999,0.6183990240097046,0.04246939718723297,0.00073,65999,0.5762078762054443,-383.30291748046875
70000,9786,700,100.0,7,770.9505172499998,0.8535894155502319,0.041770000010728836,0.00073,66999,1.4732062816619873,-383.3749084472656
71000,9932,710,100.0,7,770.9508865300002,0.8025166988372803,0.040960416197776794,0.00073,67999,-1.52960205078125,-382.80767822265625
72000,10077,720,100.0,7,770.9932039699999,1.0077089071273804,0.04141094535589218,0.00073,68999,-0.5724328756332397,-383.3462829589844
73000,10225,730,100.0,7,771.0329557199999,0.5681478977203369,0.038317687809467316,0.00073,69999,-0.1799582690000534,-386.058837890625
74000,10375,740,100.0,7,771.07427951,1.2781035900115967,0.03737758845090866,0.00073,70999,-1.6814569234848022,-385.5017395019531
