time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
1000,10,23,100.0,-21.0931761,41,,,,,,
2000,20,49,100.0,-22.57432905,40,,,,,,
3000,30,74,100.0,-21.245800433333336,40,,,,,,
4000,40,209,100.0,-20.28647155,19,0.48375073075294495,0.00073,-6.038787841796875,0.2127835899591446,-34.82756423950195,999
5000,50,345,100.0,-15.255560840000001,14,0.23450997471809387,0.00073,-11.694356918334961,0.22504527866840363,-37.27510452270508,1999
6000,60,480,100.0,27.046734766666667,12,0.1243288442492485,0.00073,-9.220182418823242,1.9205539226531982,-40.22008514404297,2999
7000,70,614,100.0,111.60615504285714,11,0.09729742258787155,0.00073,1.4296307563781738,2.651543140411377,-79.07225799560547,3999
8000,80,748,100.0,188.57472888750002,10,0.10351739078760147,0.00073,0.7153170108795166,3.074284076690674,-136.32901000976562,4999
9000,90,880,100.0,249.82442389999997,10,0.12237871438264847,0.00073,1.5556870698928833,2.2556824684143066,-194.17098999023438,5999
10000,100,1013,100.0,299.66651354000004,9,0.13155348598957062,0.00073,0.3142123520374298,2.4573113918304443,-234.64414978027344,6999
11000,110,1148,100.0,376.96672015,9,0.16251328587532043,0.00073,-0.3456493020057678,4.427364349365234,-276.34063720703125,7999
12000,120,1281,100.0,454.44272176,9,0.10425931960344315,0.00073,-0.545534610748291,2.336791515350342,-280.7157897949219,8999
13000,130,1416,100.0,531.56844373,9,0.11492215096950531,0.00073,-0.11532407999038696,2.2760000228881836,-303.03204345703125,9999
14000,140,1550,100.0,609.1450912399999,9,0.09917101263999939,0.00073,-0.10330814123153687,2.0206236839294434,-306.3875732421875,10999
15000,150,1685,100.0,684.2550224800001,8,0.11503196507692337,0.00073,-0.5070030093193054,3.066138744354248,-320.04608154296875,11999
16000,160,1819,100.0,736.1170093699999,8,0.10029286891222,0.00073,-0.7625501155853271,1.9979827404022217,-328.84539794921875,12999
17000,170,1955,100.0,750.2589838200001,8,0.09826986491680145,0.00073,0.023277409374713898,2.4173147678375244,-340.0852966308594,13999
18000,180,2092,100.0,753.6042350800002,8,0.09753153473138809,0.00073,-1.1397833824157715,1.799178123474121,-340.0154113769531,14999
19000,190,2226,100.0,755.3402893699998,8,0.08245184272527695,0.00073,1.317505121231079,2.254528045654297,-334.17626953125,15999
20000,200,2362,100.0,756.59731571,8,0.0903291180729866,0.00073,-0.8045951128005981,1.698878526687622,-355.3371887207031,16999
21000,210,2497,100.0,756.60463774,8,0.07215610146522522,0.00073,-0.18933680653572083,1.4937567710876465,-352.7381286621094,17999
22000,220,2633,100.0,757.6928684500001,8,0.09734106808900833,0.00073,-0.04109199345111847,2.342052936553955,-359.4524230957031,18999
23000,230,2770,100.0,734.8270494800001,8,0.09232035279273987,0.00073,-1.1644304990768433,1.8604483604431152,-363.7639465332031,19999
24000,240,2905,100.0,734.7047439,8,0.06553223729133606,0.00073,-1.0508922338485718,1.5790910720825195,-353.837646484375,20999
25000,250,3041,100.0,735.1498520799998,8,0.09082522243261337,0.00073,0.949390172958374,2.7164223194122314,-361.8009033203125,21999
26000,260,3178,100.0,735.91724913,8,0.07090266793966293,0.00073,-0.9234758019447327,2.1251065731048584,-362.8838195800781,22999
27000,270,3315,100.0,736.2029235400001,8,0.06740067899227142,0.00073,-0.2492900937795639,1.2019970417022705,-367.0262451171875,23999
28000,280,3452,100.0,736.5671959799998,8,0.07053747773170471,0.00073,-1.1857993602752686,1.1967980861663818,-363.28143310546875,24999
29000,290,3589,100.0,737.2954826699997,8,0.06721332669258118,0.00073,1.18000066280365,1.236788272857666,-367.831787109375,25999
