rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss
98.9,989,23,-26.128486699999996,10,41,,,,,,
95.7,1914,47,-24.04651345,20,40,,,,,,
97.13333333333334,2914,72,-22.23146876666667,30,40,,,,,,
97.85,3914,196,-21.75732745,40,19,913,-33.49504089355469,0.5178112387657166,-5.311080455780029,0.00073,0.6324079036712646
98.28,4914,330,-20.24901394,50,14,1913,-35.70711135864258,0.2532222867012024,-10.470909118652344,0.00073,0.6008570194244385
98.56666666666666,5914,465,-19.484416716666665,60,12,2913,-27.818763732910156,0.12448355555534363,-15.884405136108398,0.00073,0.24010053277015686
98.77142857142857,6914,599,-18.14587025714286,70,11,3913,-19.013111114501953,0.062143243849277496,-19.81916046142578,0.00073,0.09486258029937744
98.925,7914,732,-13.96586125,80,10,4913,-13.20770263671875,0.033187635242938995,-17.309967041015625,0.00073,0.19695936143398285
99.04444444444445,8914,864,-9.861888355555559,90,10,5913,-11.598220825195312,0.021501250565052032,-7.7781829833984375,0.00073,0.22505415976047516
99.14,9914,999,-9.69175396,100,9,6913,-15.584541320800781,0.018372604623436928,0.175577774643898,0.00073,0.3666480779647827
99.25,10914,1134,-6.839630199999999,110,9,7913,-17.539348602294922,0.017949678003787994,0.4826807975769043,0.00073,0.6106362342834473
100.0,11914,1271,-4.72670617,120,9,8913,-20.29027557373047,0.01907857321202755,1.1945621967315674,0.00073,0.4901561439037323
100.0,12914,1410,-0.18007398999999993,130,9,9913,-22.19765281677246,0.019596949219703674,-0.5498058199882507,0.00073,0.7706904411315918
100.0,13914,1548,7.82441781,140,8,10913,-25.57915687561035,0.024505112320184708,0.028296053409576416,0.00073,1.0166808366775513
100.0,14914,1686,18.018072,150,8,11913,-35.444488525390625,0.03271443024277687,-0.22247609496116638,0.00073,1.9354405403137207
100.0,15914,1822,25.01640177,160,8,12913,-40.03859329223633,0.032272614538669586,1.1301361322402954,0.00073,1.9256317615509033
100.0,16914,1959,26.738575440000005,170,8,13913,-50.401268005371094,0.04295852780342102,-0.20753838121891022,0.00073,1.956061601638794
100.0,17914,2098,32.7963996,180,8,14913,-52.479835510253906,0.04081439599394798,-1.0403883457183838,0.00073,2.9526174068450928
100.0,18914,2238,32.61626276,190,8,15913,-55.11973571777344,0.042206112295389175,-0.23944872617721558,0.00073,2.756068468093872
100.0,19914,2374,37.82795975999999,200,8,16913,-56.006202697753906,0.039597686380147934,0.5780246257781982,0.00073,2.0774455070495605
100.0,20914,2509,40.75474652,210,8,17913,-55.513145446777344,0.04506460204720497,-0.6182503700256348,0.00073,2.4704103469848633
100.0,21914,2647,54.302820430000004,220,8,18913,-59.151039123535156,0.04383901506662369,-0.5934996604919434,0.00073,2.8187003135681152
100.0,22914,2783,55.133456919999986,230,8,19913,-58.31712341308594,0.0449623242020607,-0.4912348687648773,0.00073,2.9028122425079346
100.0,23914,2919,48.81830173,240,8,20913,-58.522342681884766,0.052965037524700165,-0.08273535966873169,0.00073,3.3343544006347656
100.0,24914,3056,45.29056619,250,8,21913,-63.36180114746094,0.05321809649467468,-0.1101638674736023,0.00073,3.5758652687072754
100.0,25914,3192,53.52893714,260,8,22913,-65.8995132446289,0.053996432572603226,0.13403230905532837,0.00073,3.8863062858581543
100.0,26914,3328,69.71085507,270,8,23913,-65.07585144042969,0.0612514354288578,-0.857042133808136,0.00073,4.279326915740967
100.0,27914,3465,64.71826898,280,8,24913,-75.01510620117188,0.06268279254436493,0.6825417876243591,0.00073,3.5263781547546387
100.0,28914,3602,69.40944302000001,290,8,25913,-76.4433822631836,0.06404219567775726,-0.366016149520874,0.00073,4.975203514099121
100.0,29914,3739,73.20214594,300,7,26913,-85.08879089355469,0.06543208658695221,0.33444616198539734,0.00073,4.390964984893799
100.0,30914,3876,77.13433104,310,7,27913,-80.763916015625,0.06259916722774506,-0.32659289240837097,0.00073,5.1359992027282715
100.0,31914,4011,71.20856473,320,7,28913,-87.78845977783203,0.0632743388414383,-0.044774144887924194,0.00073,6.042314529418945
100.0,32914,4150,77.58177564,330,7,29913,-84.45891571044922,0.059304285794496536,0.4744946360588074,0.00073,6.1048126220703125
100.0,33914,4290,85.87839429,340,7,30913,-90.48445892333984,0.06045851856470108,-0.04997819662094116,0.00073,5.268745422363281
100.0,34914,4427,92.08811553999998,350,7,31913,-82.38688659667969,0.06104716658592224,-0.04690142720937729,0.00073,6.567054748535156
100.0,35914,4566,87.73419162999998,360,7,32913,-79.76121520996094,0.06487535685300827,-1.1379116773605347,0.00073,6.3232741355896
100.0,36914,4703,100.08662797000001,370,7,33913,-94.46969604492188,0.06984271109104156,0.5053181052207947,0.00073,6.788409233093262
100.0,37914,4842,107.05054303000001,380,7,34913,-102.31808471679688,0.0696542039513588,-0.6850618720054626,0.00073,6.340832710266113
100.0,38914,4980,114.29521176999998,390,7,35913,-101.52849578857422,0.06694669276475906,-0.21700680255889893,0.00073,8.026554107666016
100.0,39914,5118,119.43684246999999,400,7,36913,-97.0084228515625,0.07273001968860626,0.012722723186016083,0.00073,8.51228141784668
100.0,40914,5257,115.45101855000001,410,7,37913,-111.17817687988281,0.0750679075717926,0.24915027618408203,0.00073,7.7210259437561035
99.46,41860,5390,123.37042390999999,420,7,38859,-105.57113647460938,0.0775439590215683,-1.5798354148864746,0.00073,7.187718868255615
99.46,42860,5531,132.01854315999998,430,7,39859,-108.2656478881836,0.0738726407289505,-0.40812140703201294,0.00073,42.02825927734375
99.46,43860,5671,134.43668993999998,440,7,40859,-111.43551635742188,0.07383543252944946,0.13752353191375732,0.00073,9.078895568847656
99.46,44860,5809,140.24640037999998,450,7,41859,-109.81047058105469,0.07026083767414093,0.7266085743904114,0.00073,7.305976867675781
99.46,45860,5949,138.38516288000002,460,7,42859,-119.82483673095703,0.07118666172027588,0.1637030392885208,0.00073,7.732295989990234
99.46,46860,6087,121.63937208000003,470,7,43859,-119.61225128173828,0.07193323224782944,0.5343270301818848,0.00073,7.9002766609191895
99.46,47860,6226,133.77903561000002,480,7,44859,-103.00065612792969,0.07454078644514084,-0.6008210182189941,0.00073,8.000577926635742
99.46,48860,6365,133.79941909000001,490,7,45859,-114.98738098144531,0.07266140729188919,-0.31365132331848145,0.00073,7.60603666305542
99.29,49843,6501,136.49522470000002,500,7,46842,-113.94640350341797,0.07366961985826492,0.06208658218383789,0.00073,8.820173263549805
99.29,50843,6640,159.46602640999998,510,7,47842,-117.30978393554688,0.07299026101827621,-0.09691029787063599,0.00073,8.243864059448242
99.83,51843,6778,170.74388562000001,520,7,48842,-123.60118103027344,0.07562639564275742,-0.5129863619804382,0.00073,7.357765197753906
99.83,52843,6916,167.75118099999997,530,7,49842,-108.1382827758789,0.07613696902990341,-0.11880940198898315,0.00073,8.40170669555664
99.83,53843,7054,168.26983625,540,7,50842,-113.1565170288086,0.0722716674208641,1.1240477561950684,0.00073,8.268156051635742
99.83,54843,7193,161.73721299,550,7,51842,-114.37661743164062,0.06850553303956985,-0.13845069706439972,0.00073,8.337401390075684
99.83,55843,7334,184.06580978999997,560,7,52842,-119.96369934082031,0.07199860364198685,-2.025440216064453,0.00073,7.252584934234619
99.83,56843,7476,192.08424834000002,570,7,53842,-115.53504180908203,0.06954256445169449,0.04558597877621651,0.00073,8.426267623901367
99.83,57843,7614,188.07767255,580,7,54842,-116.208984375,0.07226992398500443,-0.3500854969024658,0.00073,10.616981506347656
99.83,58843,7750,203.33500330999996,590,7,55842,-114.67897033691406,0.07163183391094208,-0.3757062256336212,0.00073,10.49128532409668
100.0,59843,7888,197.00126409000003,600,7,56842,-120.84721374511719,0.07408864051103592,0.6655830144882202,0.00073,12.335746765136719
100.0,60843,8027,204.80930701,610,7,57842,-131.90992736816406,0.07339359074831009,-0.21972742676734924,0.00073,10.180727005004883
100.0,61843,8164,203.70124350999998,620,7,58842,-128.55184936523438,0.07559623569250107,0.4664793014526367,0.00073,10.936929702758789
100.0,62843,8302,191.91105849,630,7,59842,-124.8251724243164,0.07502170652151108,-1.2589818239212036,0.00073,10.241012573242188
