time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef_loss
52,30,160.3,10,1603,-3749.8417937,,,,,,
144,23,166.7,20,3334,-3906.8297231999995,0.7875382304191589,15.972585678100586,333,0.00073,-18.223514556884766,-14.430051803588867
402,12,173.46666666666667,30,5204,-2885.0408162333333,0.325329452753067,70.59305572509766,2203,0.00073,-498.95770263671875,-10.308850288391113
667,10,178.35,40,7134,-2762.426364075,0.4634510278701782,432.638427734375,4133,0.00073,-1479.4141845703125,6.962892055511475
928,9,180.24,50,9012,-2672.7811996600003,0.9241676926612854,1852.02734375,6011,0.00073,-3266.757080078125,0.13835175335407257
1203,9,183.53333333333333,60,11012,-3019.2369210666666,1.4065678119659424,3662.89794921875,8011,0.00073,-5709.23876953125,-1.4548527002334595
1437,8,181.22857142857143,70,12686,-3071.3656242857137,1.5517698526382446,6182.15625,9685,0.00073,-7263.63818359375,-0.958128809928894
1691,8,181.625,80,14530,-3273.1088963750003,1.6083906888961792,6848.73583984375,11529,0.00073,-8380.90234375,0.4037740230560303
1968,8,183.66666666666666,90,16530,-3182.2013524999998,1.6922603845596313,8594.06640625,13529,0.00073,-9447.515625,1.161999225616455
2151,8,178.65,100,17865,-3079.64989686,1.6604340076446533,13107.9072265625,14864,0.00073,-9541.71875,-1.2252187728881836
2372,8,178.55,110,19458,-3142.6226845,1.6357048749923706,12019.1396484375,16457,0.00073,-9754.48046875,0.40055784583091736
2629,8,179.92,120,21326,-2987.92113364,1.3905692100524902,8450.84375,18325,0.00073,-8844.2333984375,0.7061384320259094
2906,8,181.22,130,23326,-3124.207530310001,1.132485270500183,5007.9169921875,20325,0.00073,-7521.53515625,0.08235269784927368
3184,7,181.92,140,25326,-2973.08858209,0.8951926231384277,3750.018310546875,22325,0.00073,-6176.34521484375,0.01673245057463646
3461,7,183.14,150,27326,-2908.3231659000007,0.7218061089515686,2449.12939453125,24325,0.00073,-4863.8330078125,0.7033931612968445
3740,7,183.14,160,29326,-2643.42081751,0.5377649664878845,1895.2724609375,26325,0.00073,-3724.394775390625,0.4289817214012146
4019,7,186.4,170,31326,-2382.4167384699995,0.4285716116428375,1265.280517578125,28325,0.00073,-2896.35009765625,1.6299257278442383
4297,7,187.96,180,33326,-1912.41958119,0.3418746590614319,789.6162109375,30325,0.00073,-2200.626708984375,-1.4188456535339355
4575,7,187.96,190,35326,-1686.9402000999999,0.29474636912345886,576.061279296875,32325,0.00073,-1755.6298828125,-2.7834672927856445
