time/episodes,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef
10,1851,46,39,-3608.1417942,185.1,,,,,,
20,3702,167,22,-2861.03252225,185.1,21.811870574951172,-22.592145919799805,701,-121.41558074951172,0.00073,0.6190273761749268
30,5702,421,13,-2253.122511233333,190.06666666666666,140.54696655273438,8.201704978942871,2701,-905.6377563476562,0.00073,0.3491029143333435
40,7702,678,11,-2454.3122651999997,192.55,808.1595458984375,2.4871068000793457,4701,-2567.95068359375,0.00073,0.7429444789886475
50,9533,915,10,-2336.52087176,190.66,1969.79052734375,0.229659304022789,6532,-4452.47998046875,0.00073,1.183085322380066
60,11451,1164,9,-2330.5019485000007,190.85,4408.42529296875,-0.6190457344055176,8450,-6643.291015625,0.00073,1.6133637428283691
70,12960,1361,9,-2319.903986214286,185.14285714285714,10110.453125,0.4961031377315521,9959,-8427.078125,0.00073,1.9061459302902222
80,14741,1593,9,-2578.6542042375,184.2625,9932.861328125,-0.9800189733505249,11740,-9942.083984375,0.00073,2.0689125061035156
90,16623,1840,9,-2551.1663096222223,184.7,10458.93359375,0.15481528639793396,13622,-10636.0146484375,0.00073,2.044558048248291
100,18362,2069,8,-2442.91121278,183.62,23168.9140625,0.6621532440185547,15361,-10327.53125,0.00073,1.9117789268493652
110,19904,2273,8,-2392.56351494,180.53,79330.3125,1.725440263748169,16903,-10234.08203125,0.00073,1.9513200521469116
120,21904,2535,8,-2418.4840571199998,182.02,9378.798828125,0.8437048196792603,18903,-9696.4609375,0.00073,1.721929669380188
130,23536,2749,8,-2654.45567499,178.34,7812.568359375,0.7389088869094849,20535,-8598.29296875,0.00073,1.4427034854888916
140,25432,2999,8,-2479.03184821,177.3,4848.2958984375,-0.36216598749160767,22431,-7490.2255859375,0.00073,1.263229489326477
150,27275,3239,8,-2440.67723286,177.42,6348.19140625,-0.07286401093006134,24274,-6323.404296875,0.00073,1.0616481304168701
160,29021,3467,8,-2461.57952626,175.7,5963.5693359375,0.08187557756900787,26020,-5465.67041015625,0.00073,0.8863070011138916
170,31021,3731,8,-2346.48943296,180.61,2528.779296875,-0.7764865159988403,28020,-4326.6982421875,0.00073,0.6984232664108276
180,33021,3994,8,-2009.88698092,182.8,1254.6943359375,-0.2435169368982315,30020,-3245.90283203125,0.00073,0.5165806412696838
190,35021,4259,8,-1817.2176152999998,183.98,847.522216796875,-0.5600062012672424,32020,-2414.3544921875,0.00073,0.38025403022766113
200,37021,4524,8,-1663.13517683,186.59,492.080810546875,-2.9167044162750244,34020,-1772.37548828125,0.00073,0.3028242290019989
210,39021,4787,8,-1360.30289297,191.17,311.2267150878906,2.0640196800231934,36020,-1290.3724365234375,0.00073,0.2303299903869629
220,40951,5043,8,-1172.75624171,190.47,1022.6150512695312,3.183572769165039,37950,-991.8743896484375,0.00073,0.18488509953022003
230,42951,5309,8,-846.89738419,194.15,154.4876251220703,3.282118558883667,39950,-749.9564819335938,0.00073,0.15332791209220886
240,44951,5577,8,-740.4305738600001,195.19,115.85572814941406,1.5448026657104492,41950,-628.6296997070312,0.00073,0.12857988476753235
250,46951,5842,8,-592.2426012499999,196.76,72.0484619140625,-0.14959678053855896,43950,-529.4156494140625,0.00073,0.11320008337497711
260,48951,6107,8,-351.0857002099999,199.3,59.7059326171875,-2.842832565307617,45950,-464.1298828125,0.00073,0.1024504154920578
270,50951,6372,7,-261.71274218,199.3,52.0281982421875,3.9999964237213135,47950,-412.0973815917969,0.00073,0.09092877060174942
280,52951,6637,7,-148.0945437,199.3,56.96434020996094,-0.9532163143157959,49950,-377.24859619140625,0.00073,0.0837751179933548
290,54951,6905,7,-58.145034719999984,199.3,46.946388244628906,-2.9569807052612305,51950,-356.61297607421875,0.00073,0.07977060228586197
300,56951,7173,7,-9.135999730000005,199.3,42.137840270996094,-1.7513670921325684,53950,-341.3179931640625,0.00073,0.07662271708250046
310,58951,7442,7,95.50392855,199.3,35.326873779296875,2.0208425521850586,55950,-331.81231689453125,0.00073,0.07421800494194031
320,60951,7709,7,154.11834467999998,200.0,32.8870849609375,-3.40816068649292,57950,-329.2933044433594,0.00073,0.07075691968202591
330,62951,7979,7,281.00660923000004,200.0,34.12142562866211,0.21402418613433838,59950,-309.09539794921875,0.00073,0.06574342399835587
340,64951,8251,7,410.71117975999994,200.0,28.638980865478516,2.9302306175231934,61950,-312.9025573730469,0.00073,0.06572265923023224
350,66951,8524,7,466.6346014400001,200.0,35.39160919189453,3.869107723236084,63950,-318.41033935546875,0.00073,0.06446568667888641
360,68951,8798,7,562.62985333,200.0,34.345211029052734,7.956295967102051,65950,-327.295166015625,0.00073,0.0647171139717102
370,70951,9069,7,707.7011085899999,200.0,29.345684051513672,-5.140739917755127,67950,-339.80499267578125,0.00073,0.06474406272172928
380,72951,9340,7,794.4956293999999,200.0,26.16461181640625,5.092496871948242,69950,-338.747314453125,0.00073,0.06307756900787354
390,74951,9612,7,893.36255964,200.0,26.0568790435791,-11.165657997131348,71950,-352.4395446777344,0.00073,0.0629015564918518
400,76951,9886,7,922.0362013600003,200.0,29.99225616455078,7.835713863372803,73950,-346.75701904296875,0.00073,0.06198659911751747
410,78951,10162,7,967.52673573,200.0,26.36559295654297,-4.222774982452393,75950,-347.5242614746094,0.00073,0.05969388037919998
420,80951,10438,7,1107.9122467200002,200.0,27.927875518798828,0.43059682846069336,77950,-349.1428527832031,0.00073,0.061800505965948105
430,82951,10710,7,1171.47248866,200.0,28.685483932495117,7.930368900299072,79950,-360.3318786621094,0.00073,0.06251318752765656
