rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef_loss,train/critic_loss,train/ent_coef
200.0,51,39,2000,-1829.1390746999998,10,,,,,,
200.0,207,19,4000,-2116.9537576499997,20,0.00073,-347.0308837890625,999,-19.078479766845703,36.673973083496094,0.5313783884048462
193.66666666666666,441,13,5810,-2235.7237986000005,30,0.00073,-1605.2388916015625,2809,11.31784439086914,552.1348876953125,0.5068696141242981
174.475,595,11,6979,-2186.358184525,40,0.00073,-3441.854248046875,3978,0.58668452501297,1536.013427734375,0.9671235084533691
171.4,803,10,8570,-2246.1739037,50,0.00073,-8009.05859375,5569,-9.309176445007324,57929.8984375,2.318824291229248
176.16666666666666,1066,9,10570,-2327.9631871666666,60,0.00073,-17506.185546875,7569,-2.7544422149658203,48448.3046875,4.6741743087768555
174.68571428571428,1285,9,12228,-2271.880420142858,70,0.00073,-24885.8359375,9227,0.5224844813346863,65077.40625,6.454897880554199
174.525,1516,9,13962,-2296.1717889875,80,0.00073,-31733.263671875,10961,-0.2639266848564148,170461.09375,7.518317222595215
177.35555555555555,1783,8,15962,-2362.872014888889,90,0.00073,-39126.62109375,12961,2.710505962371826,206703.6875,8.80506420135498
178.58,2038,8,17858,-2423.49360772,100,0.00073,-43837.9296875,14857,-3.298895835876465,396435.5,9.626440048217773
175.67,2266,8,19567,-2431.5530370799997,110,0.00073,-46436.796875,16566,-10.006939888000488,237607.53125,9.912870407104492
175.67,2533,8,21567,-2539.4977243099997,120,0.00073,-48810.796875,18566,-1.2140415906906128,315984.78125,10.084712028503418
176.18,2780,8,23428,-2556.8912136799995,130,0.00073,-47970.15625,20427,0.9040048718452454,262093.515625,9.718679428100586
182.65,3021,8,25244,-2544.2118432699995,140,0.00073,-44902.828125,22243,0.7192740440368652,284326.71875,9.011109352111816
184.99,3266,8,27069,-2572.5097179900004,150,0.00073,-42418.9921875,24068,2.598047971725464,190260.125,8.28507137298584
184.99,3534,8,29069,-2614.15824229,160,0.00073,-37277.82421875,26068,0.7018290162086487,174383.84375,7.08690071105957
187.76,3792,8,31004,-2706.7019253200006,170,0.00073,-32946.640625,28003,3.2490034103393555,131444.171875,6.278067588806152
188.67,4037,8,32829,-2772.9033924399996,180,0.00073,-28832.17578125,29828,0.581671416759491,102637.40625,5.335840702056885
188.67,4307,8,34829,-2646.75868596,190,0.00073,-24592.859375,31828,1.9205735921859741,77394.34375,4.4777679443359375
184.71,4509,8,36329,-2594.8007702100003,200,0.00073,-21524.521484375,33328,-0.33542680740356445,72665.8125,3.9923603534698486
187.62,4777,8,38329,-2610.51255634,210,0.00073,-17951.037109375,35328,-1.4280561208724976,50029.4296875,3.3438913822174072
185.26,5015,7,40093,-2442.12023278,220,0.00073,-14992.23046875,37092,2.401041030883789,37200.3984375,2.717677354812622
184.98,5261,7,41926,-2545.68217867,230,0.00073,-11932.20703125,38925,1.7191641330718994,22876.25,2.1506497859954834
