rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
-2635.1736317,1541,32,10,47,154.1,,,,,,
-2190.3062843,3233,25,20,128,161.65,-10.372706413269043,0.00073,32.507286071777344,0.8467418551445007,-71.80426025390625,232
-1973.6209980666665,4813,13,30,350,160.43333333333334,-4.8207221031188965,0.00073,151.64736938476562,0.41465458273887634,-707.7939453125,1812
-1907.9344015249997,6617,11,40,596,165.425,3.2255287170410156,0.00073,2218.451171875,0.8388912677764893,-2898.303466796875,3616
-2210.0927974799997,8518,9,50,856,170.36,-3.874596118927002,0.00073,7981.599609375,1.9803314208984375,-7054.80908203125,5517
-2500.085148383333,10335,9,60,1104,172.25,-0.27829623222351074,0.00073,17589.8984375,3.087496519088745,-11563.67578125,7334
-2387.184617142857,11990,9,70,1330,171.28571428571428,-4.361613750457764,0.00073,23453.20703125,3.668374538421631,-15587.9345703125,8989
-2406.4531831374998,13714,8,80,1565,171.425,-0.8065059781074524,0.00073,39110.1953125,4.1522603034973145,-18493.708984375,10713
-2368.9962617666665,15068,8,90,1750,167.42222222222222,0.9167831540107727,0.00073,44794.10546875,4.417153835296631,-20929.720703125,12067
-2457.20338172,16668,8,100,1967,166.68,5.57735013961792,0.00073,50348.93359375,4.7653374671936035,-23024.359375,13667
-2418.1813443200003,18668,8,110,2239,171.27,3.327742099761963,0.00073,50881.53515625,4.6701436042785645,-23473.0703125,15667
-2675.5713165999996,20668,8,120,2513,174.35,-3.0316574573516846,0.00073,48038.6953125,4.2611823081970215,-22775.4453125,17667
-2675.4987255899996,22372,8,130,2748,175.59,-1.8874341249465942,0.00073,53514.578125,4.002392768859863,-21501.126953125,19371
-2834.5673226599993,23781,8,140,2943,171.64,0.8699052929878235,0.00073,47296.2890625,3.865260124206543,-20917.09375,20780
-2804.0385091700005,25781,7,150,3229,172.63,0.0699833333492279,0.00073,42034.859375,3.30283260345459,-18859.69140625,22780
-2874.93354513,27419,7,160,3450,170.84,-2.952625274658203,0.00073,46903.453125,2.8729331493377686,-16411.546875,24418
-2972.4924958300007,29419,7,170,3718,174.29,0.02741090953350067,0.00073,19772.451171875,2.342615842819214,-13663.5947265625,26418
-2951.725257120001,31225,7,180,3961,175.11,-0.3558967709541321,0.00073,23306.40625,1.8840737342834473,-11374.1708984375,28224
-3066.1509355000003,32968,7,190,4198,179.0,0.9274247884750366,0.00073,22446.701171875,1.5674608945846558,-9385.1796875,29967
-3064.598314219999,34968,7,200,4468,183.0,0.45376747846603394,0.00073,7262.1953125,1.2432887554168701,-7422.7548828125,31967
-3135.4528991100005,36919,7,210,4730,182.51,-0.03326082602143288,0.00073,5109.1328125,0.9829385280609131,-5883.5302734375,33918
-2845.27435135,38919,7,220,4999,182.51,0.1606137752532959,0.00073,2447.389892578125,0.7255836725234985,-4536.3203125,35918
-2867.3176145299994,40919,7,230,5270,185.47,0.9794812798500061,0.00073,1779.01904296875,0.541569173336029,-3303.363525390625,37918
-2646.1701076699997,42563,7,240,5492,187.82,1.7121831178665161,0.00073,1473.35400390625,0.44968244433403015,-2603.094482421875,39562
-2436.6550497099997,44563,7,250,5762,187.82,4.357815742492676,0.00073,1022.5950927734375,0.3652629852294922,-2027.16259765625,41562
-1965.19640868,46563,7,260,6034,191.44,-3.137732982635498,0.00073,637.6143798828125,0.29937925934791565,-1547.796630859375,43562
-1704.3564519800004,48563,7,270,6309,191.44,-1.747352957725525,0.00073,562.7559204101562,0.24647629261016846,-1261.5721435546875,45562
