time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss
29,10,150.7,51,1507,-2325.7683513999996,,,,,,
22,20,166.5,149,3330,-2624.7603589999994,-71.37751007080078,0.00073,0.7913411259651184,329,-13.570331573486328,37.04505920410156
12,30,171.8,396,5154,-2233.2287846666663,-826.5973510742188,0.00073,0.3792758285999298,2153,0.7760085463523865,188.44161987304688
10,40,173.45,639,6938,-2252.008958575,-2745.575439453125,0.00073,0.7707568407058716,3937,3.8739805221557617,1212.188232421875
9,50,178.76,915,8938,-2514.5437874,-5389.77001953125,0.00073,1.3466589450836182,5937,-1.4572381973266602,3448.818115234375
9,60,177.2,1148,10632,-2576.0864976499997,-7236.134765625,0.00073,1.6286630630493164,7631,1.1785507202148438,6375.3232421875
8,70,175.04285714285714,1373,12253,-2657.0144973142856,-9047.638671875,0.00073,2.070465326309204,9252,-1.123469591140747,8319.8193359375
8,80,175.1125,1615,14009,-2534.594736325,-11087.8603515625,0.00073,2.40554141998291,11008,-1.5252125263214111,12672.078125
8,90,174.4777777777778,1851,15703,-2602.9968623888885,-12322.7021484375,0.00073,2.5014443397521973,12702,-3.0988762378692627,17222.2265625
8,100,177.03,2128,17703,-2435.20654989,-12973.5576171875,0.00073,2.382448196411133,14702,0.3420138359069824,13926.423828125
8,110,180.26,2383,19533,-2636.8810554700003,-12421.8662109375,0.00073,2.2338778972625732,16532,0.6559966802597046,13121.6796875
8,120,179.78,2618,21308,-2602.4301639400005,-11352.9267578125,0.00073,2.0039865970611572,18307,0.7196038961410522,11554.720703125
8,130,181.54,2896,23308,-2685.1227083199997,-10740.001953125,0.00073,2.024812936782837,20307,1.274229884147644,16495.37109375
8,140,180.91,3126,25029,-2704.8418165800003,-10122.287109375,0.00073,1.7939330339431763,22028,0.5594052076339722,12467.544921875
7,150,180.91,3393,27029,-2546.76743621,-8767.2666015625,0.00073,1.4478886127471924,24028,0.5410026907920837,7839.25244140625
7,160,180.26,3618,28658,-2560.0011491600003,-7388.73046875,0.00073,1.2128312587738037,25657,-0.11620839685201645,7596.7724609375
7,170,184.05,3896,30658,-2297.85558645,-6101.37939453125,0.00073,0.9979321956634521,27657,0.0006935677956789732,4328.56005859375
7,180,186.49,4214,32658,-2217.79604938,-4845.89501953125,0.00073,0.7732586860656738,29657,0.2723047137260437,3031.06689453125
7,190,189.55,4495,34658,-2039.9425965599999,-3679.77587890625,0.00073,0.6129392385482788,31657,0.0036208629608154297,1913.5687255859375
7,200,189.55,4772,36658,-1928.2439477100002,-2836.822021484375,0.00073,0.4715460538864136,33657,0.17541256546974182,1179.353515625
7,210,191.25,5051,38658,-1504.6948579099999,-2193.26708984375,0.00073,0.386543333530426,35657,-0.6663591265678406,901.7882080078125
7,220,193.5,5334,40658,-1253.39078233,-1864.78564453125,0.00073,0.33695971965789795,37657,-1.6869159936904907,597.8270263671875
7,230,193.5,5613,42658,-1066.55159746,-1431.213623046875,0.00073,0.2718835473060608,39657,0.09810982644557953,469.3168640136719
7,240,196.29,5891,44658,-795.6456947000001,-1233.7672119140625,0.00073,0.22837282717227936,41657,-0.3973228931427002,301.3365783691406
7,250,196.29,6171,46658,-634.3523291900002,-1036.268798828125,0.00073,0.19829289615154266,43657,-1.1842317581176758,262.9488525390625
7,260,200.0,6450,48658,-280.85398575000005,-912.1473999023438,0.00073,0.18201962113380432,45657,-0.2773756980895996,217.11227416992188
7,270,200.0,6728,50658,-194.10890846,-813.043701171875,0.00073,0.16248273849487305,47657,-0.5177236795425415,140.56333923339844
7,280,200.0,7007,52658,-79.26189511999999,-733.2232055664062,0.00073,0.1464231163263321,49657,0.3870479464530945,133.01454162597656
7,290,200.0,7288,54658,70.73601485000003,-683.1007690429688,0.00073,0.13866078853607178,51657,-6.585103988647461,121.77286529541016
7,300,200.0,7569,56658,82.74164728999999,-682.2926635742188,0.00073,0.1338636428117752,53657,1.7434515953063965,121.71269226074219
7,310,200.0,7851,58658,114.4781818,-596.3720703125,0.00073,0.13201089203357697,55657,1.3549667596817017,111.84586334228516
7,320,200.0,8131,60658,166.20483372,-600.8118896484375,0.00073,0.12412495166063309,57657,-3.5939016342163086,93.79209899902344
7,330,200.0,8412,62658,209.0341765,-568.93505859375,0.00073,0.1160106286406517,59657,9.258733749389648,97.30931091308594
