rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss
-226.048864,20.5,4,49,10,205,,,,,,
-224.33605565,20.05,9,41,20,401,,,,,,
-226.64802399999996,20.0,15,39,30,600,,,,,,
-227.58820720000003,20.175,20,39,40,807,,,,,,
-226.58695318,20.18,25,38,50,1009,,,,,,
-227.2137975166667,20.266666666666666,31,38,60,1216,,,,,,
-226.90022234285712,20.285714285714285,36,38,70,1420,,,,,,
-227.13915057499997,20.3625,42,38,80,1629,,,,,,
-227.78191877777775,20.31111111111111,47,38,90,1828,,,,,,
-227.25625996999995,20.3,53,38,100,2030,,,,,,
-227.63002649,20.26,58,37,110,2231,,,,,,
-228.79608056,20.34,64,37,120,2435,,,,,,
-229.8434286,20.48,70,37,130,2648,,,,,,
-230.05798030000003,20.48,76,37,140,2855,,,,,,
-230.38946168999996,20.49,88,34,150,3058,0.00073,-42.676605224609375,57,103.08323669433594,0.9599052667617798,-2.671612501144409
-231.06487646999994,20.49,115,28,160,3265,0.00073,-61.103580474853516,264,7.943164825439453,0.825519859790802,-12.470227241516113
-230.70075995,20.6,143,24,170,3480,0.00073,-59.05949401855469,479,14.431207656860352,0.7065290212631226,-22.031396865844727
-238.12535265000002,22.51,195,19,180,3880,0.00073,-50.021888732910156,879,11.529372215270996,0.5357781052589417,-34.32508087158203
-248.66460064999998,25.28,256,16,190,4356,0.00073,-33.8257942199707,1355,9.363409042358398,0.395600825548172,-45.791507720947266
-256.21845122,28.14,319,15,200,4844,0.00073,-17.65630531311035,1843,9.353080749511719,0.2904489040374756,-55.66134262084961
-257.33248293,30.05,369,14,210,5236,0.00073,-2.768477201461792,2235,8.346529006958008,0.22770504653453827,-61.397308349609375
-257.83389903000005,31.46,414,13,220,5581,0.00073,4.168196201324463,2580,8.043580055236816,0.18456599116325378,-63.97496032714844
-260.21568861000003,33.09,463,12,230,5957,0.00073,16.4704532623291,2956,9.628717422485352,0.1466638147830963,-72.66062927246094
-265.21367602,34.84,513,12,240,6339,0.00073,33.23054504394531,3338,8.611469268798828,0.11693787574768066,-71.76860046386719
-273.29780556000003,36.96,568,11,250,6754,0.00073,40.98154067993164,3753,7.8312907218933105,0.09234113246202469,-62.318809509277344
-275.33525381000004,38.77,619,11,260,7142,0.00073,49.37793731689453,4141,6.03577995300293,0.07512122392654419,-64.06790161132812
-274.93367415000006,39.59,658,11,270,7439,0.00073,54.04167556762695,4438,7.338655471801758,0.06455695629119873,-59.472896575927734
-271.21259532,39.63,711,11,280,7843,0.00073,54.225364685058594,4842,9.28824520111084,0.053474582731723785,-53.4743537902832
-272.22468175,39.45,773,10,290,8301,0.00073,57.301822662353516,5300,6.759334564208984,0.04395364597439766,-46.32386779785156
-267.5759919099999,38.37,824,10,300,8681,0.00073,60.19972610473633,5680,7.309613227844238,0.03851836547255516,-18.3773193359375
-277.8538792,40.5,904,10,310,9286,0.00073,60.03007888793945,6285,5.907439231872559,0.03288309648633003,-17.886873245239258
-276.79327394999996,41.45,963,10,320,9726,0.00073,60.42987060546875,6725,6.851962566375732,0.029387807473540306,-12.395442008972168
-273.62853808,40.81,1004,9,330,10038,0.00073,59.82530212402344,7037,6.823339939117432,0.027431674301624298,-11.470914840698242
-268.58097525,39.87,1043,9,340,10326,0.00073,63.20832443237305,7325,8.590452194213867,0.026290837675333023,-9.819648742675781
-269.66606257,40.43,1107,9,350,10797,0.00073,66.90422821044922,7796,6.698113918304443,0.025407511740922928,-0.24740225076675415
