time/fps,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/actor_loss
46,10,201,4,20.1,-226.2961956,,,,,,
39,20,399,10,19.95,-224.03329479999996,,,,,,
37,30,601,16,20.033333333333335,-226.22713550000006,,,,,,
36,40,806,22,20.15,-229.52727572499998,,,,,,
35,50,1014,28,20.28,-229.58750700000004,,,,,,
35,60,1213,34,20.216666666666665,-228.88189466666665,,,,,,
35,70,1410,39,20.142857142857142,-229.0485944428571,,,,,,
34,80,1611,46,20.1375,-229.41208418750003,,,,,,
34,90,1817,51,20.18888888888889,-229.40796559999995,,,,,,
34,100,2018,57,20.18,-228.72631359000002,,,,,,
34,110,2226,63,20.25,-228.77616127000002,,,,,,
34,120,2424,69,20.25,-229.58939334000002,,,,,,
34,130,2632,75,20.31,-229.60314823000004,,,,,,
34,140,2842,81,20.36,-228.40271403,,,,,,
32,150,3048,92,20.34,-228.35757141,112.106201171875,0.00073,47,-2.2003698348999023,0.9669386148452759,-40.703758239746094
27,160,3250,119,20.37,-228.83376065000002,10.862327575683594,0.00073,249,-11.70889663696289,0.8346936702728271,-54.90069580078125
23,170,3466,147,20.56,-228.99216646999994,21.340621948242188,0.00073,465,-21.520366668701172,0.7138901352882385,-51.05623245239258
20,180,3725,180,21.14,-228.57895563,9.716658592224121,0.00073,724,-31.206432342529297,0.5940706729888916,-51.11986541748047
17,190,4100,228,22.83,-234.96018299,9.515832901000977,0.00073,1099,-42.73759078979492,0.46188071370124817,-16.580459594726562
16,200,4463,275,24.45,-237.38154416,8.67177677154541,0.00073,1462,-49.90032958984375,0.3659714162349701,-14.40075397491455
14,210,4978,341,27.52,-252.36542922,9.17135238647461,0.00073,1977,-61.3953857421875,0.2659049332141876,-2.03139066696167
13,220,5307,383,28.83,-258.97006374000006,7.571722507476807,0.00073,2306,-68.1429214477539,0.21570536494255066,12.21912670135498
13,230,5627,424,29.95,-257.90276382,7.7748308181762695,0.00073,2626,-71.45967102050781,0.17581579089164734,37.23231887817383
12,240,5960,467,31.18,-257.85690252,8.07534122467041,0.00073,2959,-75.62223052978516,0.14299707114696503,38.76355743408203
12,250,6244,503,31.96,-256.35745734,7.414068698883057,0.00073,3243,-73.31517791748047,0.12009510397911072,54.555816650390625
12,260,6541,540,32.91,-255.99409276999998,6.844385147094727,0.00073,3540,-77.8001937866211,0.10074697434902191,54.24814224243164
11,270,6862,581,33.96,-257.56162344000006,9.464323043823242,0.00073,3861,-75.537109375,0.08382632583379745,63.440773010253906
11,280,7175,621,34.5,-259.96885796,5.971590995788574,0.00073,4174,-67.6980972290039,0.07067085057497025,69.64073944091797
11,290,7482,660,33.82,-254.14254602000005,7.488256454467773,0.00073,4481,-54.4166259765625,0.06069633364677429,61.547813415527344
11,300,7755,696,32.92,-249.57043707,6.485967636108398,0.00073,4754,-55.17815399169922,0.05365069955587387,64.88150787353516
10,310,8024,731,30.46,-230.76650358999999,6.0150604248046875,0.00073,5023,-52.4202995300293,0.047437071800231934,67.49314880371094
10,320,8368,777,30.61,-222.20437422000003,7.797816276550293,0.00073,5367,-42.15951156616211,0.04134348779916763,64.6339111328125
10,330,8717,822,30.9,-222.85073326999998,6.497140884399414,0.00073,5716,-31.300552368164062,0.037099678069353104,61.2174186706543
10,340,9028,862,30.68,-222.24360845000004,5.6853742599487305,0.00073,6027,-19.056346893310547,0.03406481072306633,62.90930938720703
10,350,9366,906,31.22,-221.91316173000004,5.740527629852295,0.00073,6365,-19.75188636779785,0.03194785490632057,61.69805145263672
10,360,9772,958,32.31,-224.79569156999997,5.079059600830078,0.00073,6771,-15.076900482177734,0.03024086356163025,59.37015914916992
10,370,10123,1004,32.61,-218.66607259,5.026559352874756,0.00073,7122,7.412426948547363,0.029142290353775024,60.41845703125
9,380,10502,1053,33.27,-213.31171187,7.26005220413208,0.00073,7501,-2.5145068168640137,0.02873712219297886,61.32840347290039
9,390,10887,1103,34.05,-212.90254747,5.908658027648926,0.00073,7886,11.167749404907227,0.02804417349398136,61.38742446899414
9,400,11348,1164,35.93,-211.93626722000002,5.374067306518555,0.00073,8347,1.6770110130310059,0.028364097699522972,62.973876953125
