time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/n_updates
4,10,46,-232.5685258,21.3,213,,,,,,
10,20,39,-233.49757265000002,21.15,423,,,,,,
16,30,37,-230.037279,20.766666666666666,623,,,,,,
22,40,37,-229.940483925,20.775,831,,,,,,
28,50,36,-229.29271139999997,20.66,1033,,,,,,
34,60,36,-231.1215273,20.65,1239,,,,,,
39,70,36,-231.0876213,20.52857142857143,1437,,,,,,
46,80,35,-230.662492475,20.5125,1641,,,,,,
51,90,35,-231.89339115555555,20.533333333333335,1848,,,,,,
58,100,35,-232.19737702000006,20.53,2053,,,,,,
63,110,35,-231.88563099000004,20.41,2254,,,,,,
69,120,35,-231.50677180000002,20.31,2454,,,,,,
75,130,35,-232.9463322,20.4,2663,,,,,,
81,140,35,-232.33410652999999,20.34,2865,,,,,,
94,150,32,-232.67482075,20.35,3068,0.9529109597206116,0.00073,100.91072082519531,-3.1582531929016113,-43.51132583618164,67
120,160,27,-231.30244549,20.34,3273,0.8207715153694153,0.00073,9.668859481811523,-12.820775985717773,-58.83003616333008,272
148,170,23,-230.20691001,20.52,3489,0.7022652626037598,0.00073,10.814231872558594,-22.398456573486328,-60.895355224609375,488
189,180,20,-233.51992001,21.66,3807,0.5623294711112976,0.00073,10.383338928222656,-33.98957061767578,-42.64668273925781,806
228,190,17,-236.60016473999997,22.56,4104,0.4620228111743927,0.00073,16.29107666015625,-40.314353942871094,-28.73649024963379,1103
276,200,16,-239.86478362000003,24.14,4467,0.36658573150634766,0.00073,10.00525951385498,-48.967350006103516,-18.71124267578125,1466
324,210,14,-242.53485414000002,25.89,4843,0.2886262834072113,0.00073,9.471977233886719,-57.94959259033203,1.8898859024047852,1842
371,220,13,-246.21996921,27.36,5190,0.23013423383235931,0.00073,8.38020133972168,-66.1535873413086,28.151525497436523,2189
420,230,13,-243.67994915999995,28.89,5552,0.18313519656658173,0.00073,6.88044548034668,-72.72547149658203,30.740562438964844,2551
492,240,12,-249.06966501,32.3,6095,0.1311884969472885,0.00073,7.2144341468811035,-74.37274169921875,45.64851379394531,3094
533,250,12,-249.85860208999998,33.47,6415,0.10830757021903992,0.00073,8.681070327758789,-78.986328125,54.53404235839844,3414
