rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/critic_loss,train/actor_loss,train/n_updates
-246.77010379999996,4,22.6,226,47,10,,,,,,
-247.92970109999996,11,22.65,453,39,20,,,,,,
-248.82409436666669,17,22.366666666666667,671,37,30,,,,,,
-247.49038745,23,22.225,889,37,40,,,,,,
-249.70170485999998,30,22.18,1109,36,50,,,,,,
-255.13654615000002,37,22.666666666666668,1360,36,60,,,,,,
-256.48577417142855,44,22.757142857142856,1593,35,70,,,,,,
-256.915610175,50,22.725,1818,35,80,,,,,,
-255.8194228222222,58,22.644444444444446,2038,34,90,,,,,,
-253.78890843000002,67,22.62,2262,33,100,,,,,,
-253.31175802,73,22.58,2484,33,110,,,,,,
-254.00731161999997,79,22.55,2708,34,120,,,,,,
-253.62896856,85,22.57,2928,34,130,,,,,,
-253.86412669,105,22.47,3136,29,140,-6.363645076751709,0.00073,0.9068431854248047,24.58198356628418,-50.99592208862305,135
-251.83645902,133,22.39,3348,25,150,-16.196083068847656,0.00073,0.7774006128311157,15.856661796569824,-62.28867721557617,347
-249.34442207999996,169,22.65,3625,21,160,-27.1610107421875,0.00073,0.6383640170097351,12.204011917114258,-54.843318939208984,624
-245.38106714999998,216,23.89,3982,18,170,-36.06236267089844,0.00073,0.5032711029052734,15.3003568649292,-65.24557495117188,981
-247.23044579000006,270,25.69,4387,16,180,-45.13115692138672,0.00073,0.3898451328277588,11.471399307250977,-47.11063003540039,1386
-247.08488031000002,313,26.8,4718,15,190,-52.32965850830078,0.00073,0.3164252042770386,10.790571212768555,-43.03902816772461,1717
-254.17499381999997,376,29.27,5189,13,200,-60.90106201171875,0.00073,0.23531776666641235,11.585455894470215,-23.546337127685547,2188
-258.24941302,433,31.32,5616,12,210,-63.904991149902344,0.00073,0.18087638914585114,10.17802619934082,2.375974416732788,2615
-264.82548333999995,486,33.09,6017,12,220,-66.0640869140625,0.00073,0.1427249163389206,9.796287536621094,8.849386215209961,3016
-265.9740717000001,528,34.03,6331,11,230,-65.26350402832031,0.00073,0.11929426342248917,9.807611465454102,22.004581451416016,3330
-270.05579707,571,35.13,6649,11,240,-56.6717643737793,0.00073,0.10043618083000183,12.13662052154541,30.39215087890625,3648
-278.18837525,645,38.54,7202,11,250,-43.919769287109375,0.00073,0.07777050882577896,8.666568756103516,26.864112854003906,4201
-279.93580256000007,716,41.07,7732,10,260,-32.28401184082031,0.00073,0.0641891285777092,7.176046371459961,19.67876625061035,4731
-285.90571235999994,779,42.11,8193,10,270,-17.905303955078125,0.00073,0.056722432374954224,7.978274822235107,24.322490692138672,5192
-284.02633577999995,851,43.48,8735,10,280,-18.707847595214844,0.00073,0.050412844866514206,9.468856811523438,25.00913429260254,5734
-290.95055100999997,920,45.28,9246,10,290,4.591611862182617,0.00073,0.046777982264757156,14.865976333618164,26.306875228881836,6245
-293.33398914,980,45.13,9702,9,300,-3.120415210723877,0.00073,0.045348212122917175,10.058256149291992,20.978973388671875,6701
-287.86197150000004,1036,45.04,10120,9,310,11.997580528259277,0.00073,0.044515207409858704,10.587947845458984,21.609086990356445,7119
-276.05353506000006,1125,47.61,10778,9,320,1.8168654441833496,0.00073,0.04752914234995842,9.957380294799805,16.884841918945312,7777
-280.80831184000004,1184,48.92,11223,9,330,-5.0489606857299805,0.00073,0.04693320766091347,13.01342487335205,13.558712005615234,8222
-280.01267531999997,1271,52.0,11849,9,340,-0.3080047369003296,0.00073,0.047893501818180084,13.226713180541992,9.78542423248291,8848
-264.93663463999997,1343,51.79,12381,9,350,5.312765121459961,0.00073,0.04900810867547989,15.74188232421875,7.422209739685059,9380
-258.09501940999996,1418,52.02,12934,9,360,-4.12076473236084,0.00073,0.049796268343925476,12.125198364257812,5.245611190795898,9933
-255.70506526,1492,52.98,13491,9,370,-4.725028038024902,0.00073,0.05460943281650543,11.444988250732422,-1.5600807666778564,10490
-254.01323407,1552,52.01,13936,8,380,0.347745805978775,0.00073,0.05214466154575348,14.375364303588867,-5.221621513366699,10935
-243.42982999,1630,52.7,14516,8,390,0.3696019649505615,0.00073,0.050581809133291245,11.07296371459961,-2.817413091659546,11515
-227.60235833000002,1716,54.43,15145,8,400,-3.578683853149414,0.00073,0.04992743954062462,9.830284118652344,-9.325218200683594,12144
-231.56428734000002,1790,55.76,15696,8,410,4.821510314941406,0.00073,0.05274297669529915,13.756723403930664,-13.009099960327148,12695
-225.88596809999999,1863,54.56,16234,8,420,3.499717950820923,0.00073,0.048005640506744385,11.32541275024414,-8.457865715026855,13233
-219.00464449999998,1912,53.73,16596,8,430,2.3177742958068848,0.00073,0.04680323973298073,14.96334457397461,-7.268501281738281,13595
-211.26205617000002,1993,53.43,17192,8,440,4.2823615074157715,0.00073,0.048222146928310394,14.574162483215332,3.6942739486694336,14191
-208.30113239,2071,53.79,17760,8,450,-2.8479251861572266,0.00073,0.0487518310546875,17.687152862548828,-4.6390862464904785,14759
-201.91584531,2155,54.52,18386,8,460,-0.6613988280296326,0.00073,0.052961353212594986,16.96027374267578,-2.3681867122650146,15385
-186.98038581,2252,56.18,19109,8,470,2.719182252883911,0.00073,0.05445994809269905,17.75440216064453,-18.302507400512695,16108
-180.63669589999998,2334,57.86,19722,8,480,-0.3904609680175781,0.00073,0.054578009992837906,19.50391960144043,-23.886157989501953,16721
-181.85148944000008,2396,56.62,20178,8,490,-2.9814436435699463,0.00073,0.052092984318733215,16.26376724243164,-17.163204193115234,17177
-184.57790105,2480,56.4,20785,8,500,-0.09271997213363647,0.00073,0.055271610617637634,22.4195556640625,-26.924890518188477,17784
-186.46800433,2540,55.24,21220,8,510,-6.041753768920898,0.00073,0.057117708027362823,21.22470474243164,-28.406959533691406,18219
-184.07553917999996,2633,56.73,21907,8,520,3.061375141143799,0.00073,0.05536787956953049,17.349990844726562,-25.857746124267578,18906
-180.99888258,2726,59.99,22595,8,530,2.878782033920288,0.00073,0.0600745864212513,23.973920822143555,-37.686710357666016,19594
-186.53369164,2817,60.65,23257,8,540,-0.4524872899055481,0.00073,0.060720909386873245,26.327484130859375,-33.83189392089844,20256
-193.49634214000002,2905,61.37,23897,8,550,-1.1233488321304321,0.00073,0.06075293943285942,26.609243392944336,-37.66743087768555,20896
-193.02430499,2978,60.44,24430,8,560,-4.445460796356201,0.00073,0.05990281701087952,23.177644729614258,-44.668697357177734,21429
-206.28193714,3040,57.75,24884,8,570,2.718848705291748,0.00073,0.06043300777673721,30.624752044677734,-44.65791320800781,21883
-200.60645557,3111,56.78,25400,8,580,2.8971750736236572,0.00073,0.0616888590157032,35.67884063720703,-47.960018157958984,22399
-185.02194238,3203,58.95,26073,8,590,8.793975830078125,0.00073,0.06466976553201675,25.084579467773438,-43.097625732421875,23072
-185.66272906999998,3276,58.29,26614,8,600,1.3108848333358765,0.00073,0.06574296951293945,31.76571273803711,-62.12209701538086,23613
-174.33363520999998,3350,59.4,27160,8,610,-4.418514251708984,0.00073,0.06611208617687225,31.629741668701172,-58.91407775878906,24159
-186.51756684000003,3411,56.96,27603,8,620,-1.6634472608566284,0.00073,0.06958191841840744,40.9969596862793,-70.24095916748047,24602
-188.31129120999998,3495,56.19,28214,8,630,-4.137007713317871,0.00073,0.071372851729393,46.48350524902344,-59.36613845825195,25213
-185.8691441,3576,55.47,28804,8,640,7.8483567237854,0.00073,0.07591298967599869,66.0997314453125,-70.01889038085938,25803
-186.97342518999997,3661,55.26,29423,8,650,5.110301971435547,0.00073,0.07727526128292084,53.76295852661133,-90.08761596679688,26422
-198.54445878999996,3736,55.45,29975,8,660,-0.4860081672668457,0.00073,0.07557304203510284,42.26270294189453,-91.04267120361328,26974
-195.58727212000005,3819,56.89,30573,8,670,5.125690937042236,0.00073,0.07682092487812042,54.49821472167969,-87.27901458740234,27572
-191.14305301000002,3922,59.22,31322,7,680,4.0142693519592285,0.00073,0.07596754282712936,47.84149169921875,-91.52831268310547,28321
-209.11230976,3992,57.64,31837,7,690,-9.268874168395996,0.00073,0.0778656154870987,42.38713073730469,-84.39057922363281,28836
-209.04633396,4051,56.52,32266,7,700,-3.4979896545410156,0.00073,0.07435201853513718,42.760345458984375,-83.60973358154297,29265
-209.81110045999998,4140,57.5,32910,7,710,-3.8785359859466553,0.00073,0.07193996012210846,47.941375732421875,-76.38954162597656,29909
-208.47055697,4226,59.35,33538,7,720,-3.4138455390930176,0.00073,0.07449027895927429,44.406951904296875,-89.63064575195312,30537
-206.96014124,4313,59.5,34164,7,730,-3.182543992996216,0.00073,0.07192827761173248,47.95610809326172,-71.67249298095703,31163
-200.36809334999995,4393,59.42,34746,7,740,0.6425989866256714,0.00073,0.07217241078615189,45.20044708251953,-91.95497131347656,31745
-195.14175345000004,4471,58.9,35313,7,750,-6.70737361907959,0.00073,0.07477722316980362,46.24594497680664,-73.24885559082031,32312
-191.72478918000002,4564,60.17,35992,7,760,-0.5834834575653076,0.00073,0.07319881021976471,46.55305480957031,-84.24829864501953,32991
-180.96849989000003,4662,61.38,36711,7,770,3.3918814659118652,0.00073,0.07315519452095032,39.51070785522461,-75.27459716796875,33710
-179.18541488000002,4746,60.09,37331,7,780,-3.364443778991699,0.00073,0.07296903431415558,45.130340576171875,-89.12654113769531,34330
