time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss
4,48,216,21.6,-240.48497829999997,10,,,,,,
11,41,452,22.6,-247.36842339999998,20,,,,,,
16,39,664,22.133333333333333,-248.38809746666666,30,,,,,,
23,38,898,22.45,-248.76934740000007,40,,,,,,
29,38,1129,22.58,-254.06348356,50,,,,,,
35,38,1355,22.583333333333332,-252.38926631666666,60,,,,,,
41,37,1581,22.585714285714285,-254.95904107142857,70,,,,,,
47,37,1796,22.45,-252.5943832375,80,,,,,,
53,37,2025,22.5,-253.4669123555556,90,,,,,,
59,37,2247,22.47,-254.58975959,100,,,,,,
65,37,2466,22.5,-254.70875500000005,110,,,,,,
71,37,2682,22.3,-252.00832846,120,,,,,,
77,37,2905,22.41,-251.60603215,130,,,,,,
95,32,3125,22.27,-250.95850497,140,0.9141076803207397,0.00073,124,-49.18772506713867,-5.848945617675781,22.596424102783203
123,27,3344,22.15,-246.96760793,150,0.7798281311988831,0.00073,343,-64.57518768310547,-15.978401184082031,15.731914520263672
165,22,3672,23.17,-246.80963480999998,160,0.6183329224586487,0.00073,671,-62.875038146972656,-28.375446319580078,12.879768371582031
211,19,4029,24.48,-248.97816061000006,170,0.4864709973335266,0.00073,1028,-55.0240478515625,-39.345115661621094,13.70499038696289
262,16,4421,26.25,-254.98581025,180,0.37749090790748596,0.00073,1420,-29.690494537353516,-48.131675720214844,9.603378295898438
309,15,4787,27.62,-255.9009531,190,0.29859864711761475,0.00073,1786,-13.164420127868652,-55.920753479003906,11.293827056884766
360,14,5179,29.32,-259.30371009000004,200,0.23288826644420624,0.00073,2178,2.846621036529541,-61.11590576171875,7.8874945640563965
409,13,5563,30.97,-263.48549218,210,0.183757483959198,0.00073,2562,16.512752532958984,-67.41213989257812,9.846480369567871
458,12,5945,32.63,-266.68843854999994,220,0.14699700474739075,0.00073,2944,21.550792694091797,-64.70761108398438,8.334978103637695
511,12,6363,34.58,-274.19457231,230,0.11577584594488144,0.00073,3362,33.22795867919922,-65.07400512695312,8.70468521118164
552,12,6680,35.55,-273.62742765,240,0.09756765514612198,0.00073,3679,38.858741760253906,-59.59770584106445,9.017169952392578
590,11,6975,36.31,-275.21113506,250,0.08424846082925797,0.00073,3974,43.006004333496094,-58.364559173583984,9.273462295532227
651,11,7457,37.85,-287.50797712,260,0.06795816123485565,0.00073,4456,42.21907043457031,-42.4450569152832,8.948945999145508
689,11,7745,37.16,-284.11148719000005,270,0.06073546037077904,0.00073,4744,42.609886169433594,-44.49689483642578,11.414064407348633
724,11,8021,36.0,-279.54717527,280,0.055232156068086624,0.00073,5020,43.64155197143555,-34.03583526611328,11.8745756149292
765,10,8329,35.42,-276.27308843,290,0.049854062497615814,0.00073,5328,44.6539421081543,-23.59224510192871,9.186564445495605
827,10,8798,36.19,-277.0103130199999,300,0.04371988773345947,0.00073,5797,48.149044036865234,-13.527484893798828,9.452740669250488
883,10,9205,36.42,-280.84015602999995,310,0.04131075367331505,0.00073,6204,46.49724197387695,-6.376304626464844,8.508955955505371
939,10,9615,36.7,-283.10667560999997,320,0.03948526456952095,0.00073,6614,44.46813201904297,0.3909415900707245,13.264673233032227
986,10,9976,36.13,-277.66534908,330,0.038204390555620193,0.00073,6975,50.81203079223633,-2.3853673934936523,10.923870086669922
1049,9,10467,37.87,-281.5361713799999,340,0.03904368355870247,0.00073,7466,43.42443084716797,2.4839248657226562,9.252140045166016
1115,9,10973,39.98,-288.77969031000003,350,0.0403108187019825,0.00073,7972,41.29733657836914,8.997762680053711,10.507057189941406
1178,9,11444,39.87,-284.38800330000004,360,0.03987487033009529,0.00073,8443,45.18162536621094,1.9305031299591064,10.727851867675781
1230,9,11832,40.87,-282.9598576899999,370,0.04107217863202095,0.00073,8831,41.437110900878906,9.340302467346191,9.495529174804688
1276,9,12181,41.6,-282.60860433999994,380,0.03896781802177429,0.00073,9180,44.65214538574219,-3.0437164306640625,13.76408863067627
1340,9,12659,43.3,-289.50750708,390,0.04105609282851219,0.00073,9658,42.52006912231445,7.5720109939575195,17.45443344116211
1400,9,13118,43.2,-278.35898764999996,400,0.04299698397517204,0.00073,10117,37.52014923095703,1.420226812362671,16.793346405029297
1465,9,13613,44.08,-276.1163262399999,410,0.04664731025695801,0.00073,10612,36.1992073059082,6.961954593658447,15.731826782226562
1517,9,14003,43.88,-272.52594529999993,420,0.04721314460039139,0.00073,11002,33.125030517578125,10.389083862304688,16.132658004760742
1568,9,14391,44.15,-268.43871323,430,0.04799032583832741,0.00073,11390,37.505943298339844,-0.39301782846450806,19.779296875
1639,9,14930,44.63,-273.83619604,440,0.04790661111474037,0.00073,11929,26.17403221130371,5.2760210037231445,23.1768741607666
1703,9,15414,44.41,-267.07823562,450,0.05169323459267616,0.00073,12413,23.217937469482422,12.374704360961914,22.39169692993164
1760,9,15845,44.01,-265.05142411,460,0.054899346083402634,0.00073,12844,17.175500869750977,18.08701515197754,28.92098045349121
1825,8,16352,45.2,-273.80495054999994,470,0.06016382947564125,0.00073,13351,10.878765106201172,-0.8974850177764893,30.977115631103516
1889,8,16848,46.67,-273.68943290999994,480,0.06250722706317902,0.00073,13847,12.116069793701172,4.755452632904053,35.28114318847656
1945,8,17275,46.16,-269.72050025,490,0.06649564951658249,0.00073,14274,5.2306718826293945,5.9448370933532715,41.10979461669922
2009,8,17755,46.37,-276.99561585,500,0.06924962997436523,0.00073,14754,-0.9525507688522339,3.7748894691467285,40.170772552490234
2069,8,18213,46.0,-271.02977082999996,510,0.0721544474363327,0.00073,15212,-9.12229061126709,-0.8461560606956482,42.237091064453125
2136,8,18722,47.19,-272.09374751999997,520,0.07331377267837524,0.00073,15721,-21.538616180419922,-5.268497467041016,44.808135986328125
2212,8,19307,49.16,-276.13691528,530,0.07792732864618301,0.00073,16306,-15.503517150878906,-1.1035254001617432,54.656192779541016
2275,8,19787,48.57,-273.15911164,540,0.080740787088871,0.00073,16786,-38.39799499511719,-4.223434925079346,46.47609329223633
2339,8,20273,48.59,-274.03489136,550,0.08195184916257858,0.00073,17272,-40.57547378540039,6.183168411254883,51.805233001708984
2402,8,20754,49.09,-272.12810547000004,560,0.08213063329458237,0.00073,17753,-49.02067565917969,2.5371198654174805,55.33671569824219
2450,8,21116,47.64,-266.86057113,570,0.08071961253881454,0.00073,18115,-60.822078704833984,2.4081194400787354,54.38416290283203
2504,8,21522,46.74,-269.45105731,580,0.08082905411720276,0.00073,18521,-44.87546157836914,-9.107208251953125,60.29875183105469
2585,8,22146,48.71,-266.09228198000005,590,0.08794334530830383,0.00073,19145,-62.31264877319336,5.668402194976807,61.34225082397461
2661,8,22710,49.55,-271.30801636,600,0.08943173289299011,0.00073,19709,-36.88369369506836,2.994715690612793,84.12669372558594
2724,8,23162,49.49,-279.09411777,610,0.08556444942951202,0.00073,20161,-47.04386901855469,0.3515127897262573,98.20341491699219
2794,8,23689,49.67,-286.26357669,620,0.08964390307664871,0.00073,20688,-52.801300048828125,0.7882810831069946,106.33988952636719
2870,8,24267,49.6,-285.39265019,630,0.09423118829727173,0.00073,21266,-68.13433837890625,-1.4855310916900635,105.36119079589844
2935,8,24761,49.74,-283.48426585,640,0.09581514447927475,0.00073,21760,-60.57878875732422,-1.7368943691253662,89.04338073730469
