time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef,train/ent_coef_loss,train/learning_rate
216,43,21.6,4,10,-238.10885720000002,,,,,,
429,36,21.45,11,20,-236.38035105,,,,,,
650,34,21.666666666666668,18,30,-245.47229443333333,,,,,,
869,33,21.725,26,40,-246.85846529999998,,,,,,
1088,31,21.76,34,50,-246.2478096,,,,,,
1307,30,21.783333333333335,42,60,-247.02892768333336,,,,,,
1541,30,22.014285714285716,51,70,-247.82069242857148,,,,,,
1777,29,22.2125,60,80,-252.11266765,,,,,,
2004,29,22.266666666666666,68,90,-250.3426586555555,,,,,,
2220,28,22.2,76,100,-249.52082681999997,,,,,,
2443,29,22.27,84,110,-250.39791958,,,,,,
2665,29,22.36,91,120,-250.63139609,,,,,,
2881,28,22.31,100,130,-249.96703404000004,,,,,,
3104,25,22.35,120,140,-250.15942234000002,-47.56019592285156,66.79499053955078,103,0.9281995892524719,-4.872758388519287,0.00073
3324,21,22.36,151,150,-252.13988357999997,-56.780487060546875,14.657577514648438,323,0.7910471558570862,-15.198415756225586,0.00073
3564,19,22.57,186,160,-250.90664665000003,-61.33082580566406,9.860185623168945,563,0.6654890775680542,-25.781808853149414,0.00073
3981,16,24.4,243,170,-255.43688316,-53.00095748901367,59.77228546142578,980,0.5011852979660034,-37.191619873046875,0.00073
4379,14,26.02,300,180,-258.73699120000003,-44.331504821777344,11.013650894165039,1378,0.38965341448783875,-47.512535095214844,0.00073
4763,13,27.59,357,190,-260.43733349,-28.85137939453125,9.429983139038086,1762,0.30599111318588257,-54.78174591064453,0.00073
5151,12,29.31,418,200,-268.52997513,-3.744973659515381,8.147052764892578,2150,0.2390819638967514,-59.89241027832031,0.00073
5502,11,30.59,469,210,-270.86189943,9.44642448425293,9.024717330932617,2501,0.19177880883216858,-67.58157348632812,0.00073
5944,11,32.79,531,220,-272.36968172,23.961593627929688,7.7384796142578125,2943,0.14653579890727997,-68.8648681640625,0.00073
6346,10,34.65,588,230,-271.62596677,28.82497787475586,8.492722511291504,3345,0.1162320002913475,-71.72836303710938,0.00073
6714,10,36.1,639,240,-272.17589558,36.30392837524414,11.020999908447266,3713,0.09474353492259979,-63.38068389892578,0.00073
7282,10,39.58,719,250,-274.97186777,34.41377258300781,6.799102783203125,4281,0.07154539972543716,-60.895469665527344,0.00073
7622,9,40.58,767,260,-277.70605899,39.93193817138672,7.125207901000977,4621,0.061304718255996704,-48.875335693359375,0.00073
8139,9,41.58,840,270,-273.04106719,42.233028411865234,5.431427001953125,5138,0.049509819597005844,-41.655548095703125,0.00073
