time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
10,204,48,-16.462573900000002,4,20.4,,,,,,
20,413,40,-16.62274765,10,20.65,,,,,,
30,624,37,-16.690396866666667,16,20.8,,,,,,
40,822,37,-16.415141875,22,20.55,,,,,,
50,1027,36,-16.33165746,28,20.54,,,,,,
60,1227,36,-16.321267033333335,33,20.45,,,,,,
70,1432,36,-16.329058357142856,39,20.457142857142856,,,,,,
80,1639,35,-16.42636425,45,20.4875,,,,,,
90,1835,35,-16.3145956,51,20.38888888888889,,,,,,
100,2036,35,-16.29015178,57,20.36,,,,,,
110,2236,35,-16.282055,62,20.32,,,,,,
120,2425,35,-16.07668118,68,20.12,,,,,,
130,2632,35,-16.01737951,74,20.08,,,,,,
140,2845,35,-16.189964760000002,79,20.23,,,,,,
150,3054,33,-16.243469989999998,91,20.27,0.9627252221107483,0.00073,-51.656734466552734,-2.4747347831726074,76.95509338378906,53
160,3261,27,-16.47732184,118,20.34,0.8299466371536255,0.00073,-106.83164978027344,-11.49804973602295,91.92418670654297,260
170,3588,22,-17.98075075,161,21.56,0.6612918376922607,0.00073,-167.84812927246094,-22.94939422607422,26.752784729003906,587
180,4088,17,-20.694443570000004,227,24.49,0.48197460174560547,0.00073,-216.13241577148438,-33.620628356933594,18.206636428833008,1087
190,4551,15,-22.665556000000002,289,27.16,0.36533302068710327,0.00073,-240.70933532714844,-40.049983978271484,20.161602020263672,1550
200,4828,14,-23.47661762,325,27.92,0.309016615152359,0.00073,-237.7612762451172,-42.20383834838867,22.962099075317383,1827
210,5139,14,-24.638944830000003,366,29.03,0.2598855495452881,0.00073,-247.39169311523438,-40.267215728759766,32.96308135986328,2138
220,5404,13,-25.43110164,401,29.79,0.22324466705322266,0.00073,-240.36343383789062,-48.38604736328125,42.203041076660156,2403
