rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/n_updates
-16.904742199999998,20.6,206,4,10,51,,,,,,
-17.15328275,20.95,419,9,20,42,,,,,,
-16.991129133333335,20.8,624,15,30,39,,,,,,
-17.1672752,20.95,838,21,40,38,,,,,,
-17.211698600000002,20.98,1049,27,50,37,,,,,,
-17.34311595,21.1,1266,33,60,37,,,,,,
-17.431473157142854,21.142857142857142,1480,39,70,37,,,,,,
-17.282336800000003,21.025,1682,45,80,37,,,,,,
-17.159618355555555,20.955555555555556,1886,50,90,37,,,,,,
-17.23899665,21.03,2103,56,100,36,,,,,,
-17.14543755,21.0,2306,62,110,36,,,,,,
-17.16636304,20.99,2518,68,120,36,,,,,,
-17.23785891,21.03,2727,73,130,36,,,,,,
-17.13625498,20.95,2933,79,140,36,,,,,,
-17.045356219999995,20.85,3134,98,150,31,0.00073,73.354248046875,-6.0397868156433105,0.9084911942481995,-73.61369323730469,133
-17.17972832,20.73,3339,124,160,26,0.00073,63.094970703125,-15.014123916625977,0.7850122451782227,-125.35688781738281,338
-19.37300107,22.81,3761,179,170,20,0.00073,17.013261795043945,-27.572145462036133,0.5901680588722229,-195.59500122070312,760
-21.802755870000002,25.6,4242,242,180,17,0.00073,15.428573608398438,-34.4254150390625,0.4380013942718506,-214.50140380859375,1241
-23.126418100000002,27.28,4614,292,190,15,0.00073,17.922101974487305,-43.94331741333008,0.35092005133628845,-236.7351531982422,1613
-24.99824009,29.3,5033,348,200,14,0.00073,19.289173126220703,-46.75472640991211,0.2732715606689453,-230.08712768554688,2032
-27.177812,31.71,5477,411,210,13,0.00073,15.548770904541016,-47.156898498535156,0.21374845504760742,-234.86221313476562,2476
-27.608567909999998,32.05,5723,444,220,12,0.00073,25.442272186279297,-50.39032745361328,0.18619590997695923,-229.66603088378906,2722
-29.097257389999996,33.47,6074,490,230,12,0.00073,16.883630752563477,-39.0775032043457,0.15489186346530914,-228.39329528808594,3073
-31.253658130000005,35.53,6486,544,240,11,0.00073,14.7578125,-50.435420989990234,0.12466666102409363,-213.82798767089844,3485
-33.01399885,37.3,6864,594,250,11,0.00073,18.86136245727539,-32.64889907836914,0.10465622693300247,-207.6210479736328,3863
-33.884316590000005,38.54,7193,638,260,11,0.00073,10.515480041503906,-18.51797866821289,0.0932106003165245,-206.533935546875,4192
-31.661006229999995,36.45,7406,666,270,11,0.00073,32.385520935058594,-26.593624114990234,0.08684035390615463,-202.9488983154297,4405
-31.10635256,35.76,7818,722,280,10,0.00073,14.323394775390625,-24.279521942138672,0.07540535181760788,-197.29071044921875,4817
-32.31753629,36.81,8295,787,290,10,0.00073,7.1762566566467285,-16.31975555419922,0.06356675922870636,-180.06686401367188,5294
-32.010196920000006,37.34,8767,850,300,10,0.00073,7.171499252319336,-14.314437866210938,0.05757371708750725,-173.81346130371094,5766
-32.209412719999996,37.65,9242,914,310,10,0.00073,5.0685224533081055,-1.500702977180481,0.051200274378061295,-160.74822998046875,6241
-32.459608280000005,38.1,9533,953,320,10,0.00073,8.22398567199707,-6.746545791625977,0.04651833325624466,-147.28787231445312,6532
-32.32658035,39.32,10006,1016,330,9,0.00073,6.1029438972473145,4.087952136993408,0.04442865401506424,-143.6907958984375,7005
-30.847152500000007,38.26,10312,1057,340,9,0.00073,8.67048454284668,-14.546510696411133,0.04116799309849739,-135.90660095214844,7311
-30.411285640000003,38.07,10671,1106,350,9,0.00073,4.992602348327637,-11.911652565002441,0.03617696836590767,-126.20336151123047,7670
-31.690016479999993,39.78,11171,1173,360,9,0.00073,2.318883180618286,-6.368804931640625,0.03170165419578552,-110.11569213867188,8170
-32.54061236,41.31,11537,1222,370,9,0.00073,1.891884446144104,-4.619968891143799,0.02747979387640953,-101.34127807617188,8536
-30.643442070000003,39.41,11759,1252,380,9,0.00073,2.4887146949768066,-13.295754432678223,0.027308544144034386,-94.30386352539062,8758
-28.45864142,37.88,12083,1297,390,9,0.00073,2.7350900173187256,3.163817882537842,0.023308001458644867,-84.64088439941406,9082
-28.665556329999994,37.85,12552,1359,400,9,0.00073,1.3719539642333984,1.318965196609497,0.018962983042001724,-71.16472625732422,9551
-25.42870971,38.1,13052,1426,410,9,0.00073,0.9257293939590454,-11.373907089233398,0.017595987766981125,-63.046077728271484,10051
-24.693462940000003,38.0,13333,1464,420,9,0.00073,1.0012035369873047,-14.510372161865234,0.016429230570793152,-57.55080032348633,10332
-22.3719735,34.48,13454,1480,430,9,0.00073,5.419449806213379,-19.182079315185547,0.015495844185352325,-56.9436149597168,10453
-21.272774079999998,33.14,13626,1503,440,9,0.00073,1.3388020992279053,-15.806354522705078,0.015206660144031048,-53.436832427978516,10625
-21.38502147,34.55,14126,1570,450,8,0.00073,0.49407315254211426,-16.665279388427734,0.0122303431853652,-44.079647064208984,11125
-20.005935429999997,34.55,14626,1638,460,8,0.00073,0.37786853313446045,-10.894292831420898,0.009786318056285381,-35.40324020385742,11625
-18.019307540000003,35.89,15126,1705,470,8,0.00073,0.2727469801902771,-14.622041702270508,0.00861000083386898,-27.82472801208496,12125
-17.390417420000002,38.67,15626,1772,480,8,0.00073,0.19825100898742676,-3.0209293365478516,0.007438565604388714,-21.129398345947266,12625
