rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
20.8,4,208,-12.891124999999999,10,43,,,,,,
21.05,10,421,-14.960522050000003,20,38,,,,,,
20.633333333333333,16,619,-14.846771266666666,30,37,,,,,,
20.625,22,825,-14.004553475,40,36,,,,,,
20.74,29,1037,-13.0542917,50,35,,,,,,
21.0,35,1260,-13.078197333333334,60,35,,,,,,
20.957142857142856,42,1467,-13.328369614285712,70,34,,,,,,
21.025,48,1682,-13.3621162375,80,34,,,,,,
20.988888888888887,54,1889,-13.623486577777776,90,34,,,,,,
21.08,60,2108,-13.910416240000002,100,34,,,,,,
21.18,67,2326,-14.19417475,110,34,,,,,,
21.03,72,2524,-14.024287249999997,120,34,,,,,,
21.09,78,2728,-14.40200048,130,34,,,,,,
21.21,85,2946,-14.960808570000001,140,34,,,,,,
20.9,103,3127,-15.685389330000003,150,30,0.00073,-5.791816711425781,96.77593994140625,0.9130093455314636,-71.9237060546875,126
20.85,131,3345,-15.924754599999998,160,25,0.00073,-15.097070693969727,63.02458953857422,0.7818577289581299,-127.47547912597656,344
23.09,187,3776,-17.895062449999998,170,20,0.00073,-26.801525115966797,19.594642639160156,0.5864619016647339,-201.86865234375,775
25.56,247,4238,-20.98687801,180,17,0.00073,-34.447505950927734,18.967395782470703,0.44217267632484436,-252.90304565429688,1237
27.75,302,4664,-23.14053774,190,15,0.00073,-40.66115188598633,20.36661148071289,0.343787282705307,-267.99853515625,1663
29.07,347,5015,-24.11465109,200,14,0.00073,-44.82656478881836,16.798269271850586,0.2822888195514679,-270.9180908203125,2014
29.65,383,5291,-24.67966079,210,13,0.00073,-45.10035705566406,27.83098602294922,0.24202975630760193,-261.8748474121094,2290
31.79,436,5703,-26.16497147,220,13,0.00073,-39.80916976928711,18.8737850189209,0.19589000940322876,-259.316162109375,2702
33.6,487,6088,-27.264468179999998,230,12,0.00073,-35.685890197753906,20.22838592529297,0.16215281188488007,-263.5374450683594,3087
34.71,530,6417,-29.09325045,240,12,0.00073,-45.15468215942383,18.956562042236328,0.13982103765010834,-253.62269592285156,3416
37.07,585,6834,-30.22583874,250,11,0.00073,-37.326908111572266,16.569766998291016,0.11691805720329285,-239.25511169433594,3833
37.3,617,7075,-30.05779867,260,11,0.00073,-31.402143478393555,18.50811004638672,0.10511437058448792,-226.2002410888672,4074
35.49,649,7325,-23.29152579,270,11,0.00073,-13.462198257446289,14.235599517822266,0.09547987580299377,-217.78475952148438,4324
34.98,703,7736,-21.624437540000002,280,10,0.00073,-21.991348266601562,14.257328033447266,0.08464035391807556,-220.37139892578125,4735
34.6,754,8124,-12.516186960000002,290,10,0.00073,-6.159292221069336,12.35882568359375,0.07911620289087296,-225.50457763671875,5123
34.65,801,8480,-10.995431759999999,300,10,0.00073,-4.864633560180664,18.88241195678711,0.07535179704427719,-227.40447998046875,5479
35.37,847,8828,-11.426711010000002,310,10,0.00073,-0.7627522945404053,28.680927276611328,0.07181667536497116,-222.0051727294922,5827
33.59,878,9062,0.7196794400000005,320,10,0.00073,-7.322068214416504,20.12216567993164,0.07019918411970139,-229.2109375,6061
33.54,929,9442,-0.3401023500000001,330,10,0.00073,-2.698029041290283,19.532554626464844,0.06900027394294739,-215.92318725585938,6441
33.37,970,9754,3.9349760300000014,340,10,0.00073,10.46866512298584,40.32695770263672,0.06872943043708801,-222.75079345703125,6753
33.34,1024,10168,3.5601347000000008,350,9,0.00073,1.726947546005249,47.779144287109375,0.06635995209217072,-211.33810424804688,7167
34.26,1068,10501,8.919877520000002,360,9,0.00073,4.914209842681885,36.710540771484375,0.0655161514878273,-215.12274169921875,7500
34.04,1098,10729,5.7796472199999975,370,9,0.00073,-3.784677267074585,21.96703338623047,0.06643196195363998,-212.973388671875,7728
34.93,1165,11229,28.452966049999997,380,9,0.00073,14.250530242919922,37.17267608642578,0.07548847794532776,-235.6258544921875,8228
34.75,1214,11599,21.17807291,390,9,0.00073,5.368743419647217,61.46026611328125,0.0805610716342926,-253.06568908691406,8598
34.76,1261,11956,21.71355841,400,9,0.00073,3.9222469329833984,47.06126022338867,0.08490372449159622,-266.5794982910156,8955
34.4,1303,12268,23.226005100000002,410,9,0.00073,-3.326712131500244,36.43506622314453,0.09094429016113281,-281.9678649902344,9267
36.51,1362,12713,13.41184706,420,9,0.00073,0.439752995967865,42.556068420410156,0.097024105489254,-317.863525390625,9712
37.21,1420,13163,14.766145049999999,430,9,0.00073,3.0376219749450684,48.39582061767578,0.09871836751699448,-338.8844299316406,10162
39.09,1486,13663,17.571943050000005,440,9,0.00073,-6.915503025054932,33.654884338378906,0.10470554232597351,-340.1180725097656,10662
38.28,1530,13996,35.505218060000004,450,9,0.00073,-0.2721869945526123,59.27391052246094,0.1049395352602005,-353.0227966308594,10995
38.09,1571,14310,69.84557957000001,460,9,0.00073,2.600158214569092,143.62184143066406,0.11241275817155838,-374.5987854003906,11309
39.21,1615,14650,68.65145726,470,9,0.00073,0.3268774151802063,58.03364181518555,0.11556054651737213,-422.6580810546875,11649
37.8,1662,15009,65.11763279,480,9,0.00073,-2.729003429412842,68.85244750976562,0.12660759687423706,-410.9382019042969,12008
38.33,1718,15432,85.98585762,490,8,0.00073,4.244567394256592,109.96186828613281,0.13447609543800354,-447.67694091796875,12431
39.76,1783,15932,94.28435672999998,500,8,0.00073,-4.0380988121032715,120.30973815917969,0.1521555632352829,-482.77484130859375,12931
41.0,1840,16368,90.97625098,510,8,0.00073,-0.2068498134613037,98.44410705566406,0.15749730169773102,-537.587158203125,13367
40.41,1891,16754,111.49285421,520,8,0.00073,5.071620941162109,84.38700103759766,0.1608951985836029,-556.9882202148438,13753
40.91,1956,17254,135.98124334000002,530,8,0.00073,0.3267420530319214,131.67239379882812,0.16665007174015045,-604.8001708984375,14253
40.31,2013,17694,154.13660326000002,540,8,0.00073,0.6496777534484863,176.56964111328125,0.1705687791109085,-641.9249267578125,14693
41.68,2076,18164,184.48033503000002,550,8,0.00073,-0.32602161169052124,114.85408020019531,0.1787634938955307,-662.3571166992188,15163
42.68,2132,18578,143.41851368000002,560,8,0.00073,-7.717211723327637,195.9637451171875,0.18155713379383087,-664.7535400390625,15577
43.69,2191,19019,140.50599576000005,570,8,0.00073,-1.370730996131897,208.13552856445312,0.1841055452823639,-734.5677490234375,16018
44.18,2245,19427,123.14731336000003,580,8,0.00073,-2.6575570106506348,221.52938842773438,0.1843816488981247,-761.7866821289062,16426
44.37,2303,19869,105.09214646000001,590,8,0.00073,-0.9091617465019226,173.1988067626953,0.19011595845222473,-799.80419921875,16868
43.46,2357,20278,112.35883830999997,600,8,0.00073,-1.7493170499801636,171.5391082763672,0.19134782254695892,-778.491943359375,17277
42.66,2405,20634,120.13965987000002,610,8,0.00073,4.955193996429443,375.968994140625,0.19533835351467133,-838.8277587890625,17633
42.46,2453,21000,111.24294124000002,620,8,0.00073,-3.6625001430511475,192.93511962890625,0.19473735988140106,-838.991455078125,17999
41.75,2510,21429,85.29141483000001,630,8,0.00073,0.13584169745445251,377.39166259765625,0.18885669112205505,-813.832763671875,18428
