time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss,train/n_updates
203,20.3,-18.7730248,50,4,10,,,,,,
412,20.6,-15.73178425,42,9,20,,,,,,
614,20.466666666666665,-15.033745833333334,41,14,30,,,,,,
818,20.45,-15.763038900000002,41,19,40,,,,,,
1026,20.52,-14.796880520000002,41,24,50,,,,,,
1220,20.333333333333332,-14.736503533333336,40,29,60,,,,,,
1426,20.37142857142857,-15.096650242857143,41,34,70,,,,,,
1639,20.4875,-14.514899975,40,40,80,,,,,,
1869,20.766666666666666,-14.424076366666668,40,46,90,,,,,,
2073,20.73,-14.902640410000002,40,51,100,,,,,,
2278,20.75,-14.7510554,40,56,110,,,,,,
2482,20.7,-14.554059109999999,40,61,120,,,,,,
2701,20.87,-15.46142432,40,67,130,,,,,,
2925,21.07,-14.644819719999997,40,72,140,,,,,,
3137,21.11,-13.477049949999998,34,92,150,0.00073,-6.240235328674316,-74.55313873291016,0.9065015316009521,82.56637573242188,136
3361,21.41,-13.674650870000002,27,120,160,0.00073,-15.27074146270752,-130.75526428222656,0.7732148170471191,63.82577133178711,360
3769,23.43,-15.099714079999998,21,172,170,0.00073,-26.219615936279297,-203.300048828125,0.5899699926376343,24.098146438598633,768
4269,26.3,-17.86902918,18,236,180,0.00073,-32.88945007324219,-239.10052490234375,0.4368076026439667,23.011314392089844,1268
4696,28.27,-19.447849650000002,16,291,190,0.00073,-34.93450927734375,-254.93386840820312,0.3410428464412689,25.048566818237305,1695
5079,30.06,-21.147144289999996,14,340,200,0.00073,-28.596481323242188,-279.5265808105469,0.27981093525886536,33.90370178222656,2078
5258,29.8,-20.65580756,14,363,210,0.00073,-36.36621856689453,-279.1995544433594,0.255304217338562,74.38279724121094,2257
5540,30.58,-21.329903450000003,13,399,220,0.00073,-37.618408203125,-285.85394287109375,0.22277316451072693,37.284934997558594,2539
5728,30.27,-20.19155098,13,424,230,0.00073,-33.412437438964844,-282.527099609375,0.20410214364528656,53.819480895996094,2727
6172,32.47,-22.15433628,12,481,240,0.00073,-28.966217041015625,-275.1216735839844,0.16748183965682983,29.276458740234375,3171
6642,35.05,-25.515287549999996,12,542,250,0.00073,-24.054513931274414,-272.1856689453125,0.13977079093456268,16.437538146972656,3641
6861,35.0,-25.25803201,12,571,260,0.00073,-24.07870864868164,-268.4869689941406,0.12817317247390747,33.41896057128906,3860
7164,33.95,-25.000377409999995,11,610,270,0.00073,-28.19310760498047,-264.6696472167969,0.11431647092103958,35.72621536254883,4163
7493,32.24,-21.976077950000004,11,653,280,0.00073,-17.135351181030273,-258.5716552734375,0.10180564969778061,33.597877502441406,4492
7885,31.89,-21.45039112,11,704,290,0.00073,-13.443061828613281,-255.308837890625,0.09111063927412033,18.83256721496582,4884
8385,33.06,-21.871074270000005,10,769,300,0.00073,-8.63936710357666,-239.8566131591797,0.0795912891626358,12.27800464630127,5384
8855,35.97,-25.541694670000005,10,830,310,0.00073,-15.853487968444824,-218.64950561523438,0.06999806314706802,9.174076080322266,5854
9355,38.15,-26.489331980000003,10,896,320,0.00073,-15.255139350891113,-208.6952362060547,0.06315580755472183,6.6388163566589355,6354
9634,39.06,-27.986322409999993,10,932,330,0.00073,-2.707474946975708,-199.23269653320312,0.057670969516038895,14.387048721313477,6633
9793,36.21,-25.883673279999996,10,953,340,0.00073,-12.130392074584961,-193.39999389648438,0.05452454462647438,17.691612243652344,6792
10154,35.12,-24.40542987,10,1000,350,0.00073,-5.177511692047119,-180.76333618164062,0.04986808821558952,8.909883499145508,7153
