rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates
-330.2467503,25,100.0,1000,39,10,,,,,,
-333.58700635,53,100.0,2000,37,20,,,,,,
-333.6443211666666,79,100.0,3000,37,30,,,,,,
-331.395963,209,100.0,4000,19,40,0.00073,-37.2714958190918,-257.9316101074219,8.416245460510254,0.49705955386161804,999
-330.94309891999995,341,100.0,5000,14,50,0.00073,-37.33597946166992,-400.4925537109375,20.279834747314453,0.2793515920639038,1999
-333.0033972333333,472,100.0,6000,12,60,0.00073,0.7156936526298523,-603.730712890625,35.711936950683594,0.20875835418701172,2999
-336.05801938571426,602,100.0,7000,11,70,0.00073,19.099777221679688,-930.7159423828125,69.81414031982422,0.24094243347644806,3999
-336.9452256625,733,100.0,8000,10,80,0.00073,11.343366622924805,-1284.3524169921875,198.85018920898438,0.3288068473339081,4999
-335.82027036666665,863,100.0,9000,10,90,0.00073,1.7319047451019287,-1699.801025390625,256.8215637207031,0.43320903182029724,5999
-334.45403567999995,995,100.0,10000,10,100,0.00073,-0.11083900928497314,-2095.439453125,413.72564697265625,0.520894467830658,6999
-335.47809144999997,1126,100.0,11000,9,110,0.00073,0.33925384283065796,-2484.2421875,533.004150390625,0.6078492999076843,7999
-334.17825250000004,1257,100.0,12000,9,120,0.00073,0.9720829725265503,-2908.21044921875,688.0337524414062,0.6972013711929321,8999
-335.73424064,1387,100.0,13000,9,130,0.00073,-0.10529724508523941,-3281.06201171875,838.4439697265625,0.7749921083450317,9999
-337.51875706,1519,100.0,14000,9,140,0.00073,0.24555566906929016,-3624.982177734375,907.37060546875,0.8454158306121826,10999
-338.46839085,1650,100.0,15000,9,150,0.00073,-0.11643704771995544,-3921.7294921875,1162.339599609375,0.8959785103797913,11999
-338.04560308,1783,100.0,16000,8,160,0.00073,0.03140578791499138,-4254.8193359375,1333.18994140625,0.9475469589233398,12999
-337.27858034,1915,100.0,17000,8,170,0.00073,-0.015502857975661755,-4484.341796875,1330.4505615234375,0.9780535697937012,13999
-335.97606106,2048,100.0,18000,8,180,0.00073,-0.008437279611825943,-4681.91162109375,1822.274169921875,1.0300296545028687,14999
-338.94046153999994,2181,100.0,19000,8,190,0.00073,-0.02417260780930519,-4865.18701171875,2335.890625,1.0636101961135864,15999
-341.34896155,2313,100.0,20000,8,200,0.00073,0.22712619602680206,-5025.8349609375,2225.19287109375,1.1053454875946045,16999
-342.1740781699999,2445,100.0,21000,8,210,0.00073,0.1023651733994484,-5222.8447265625,2199.208984375,1.1214683055877686,17999
-343.2910657800001,2577,100.0,22000,8,220,0.00073,0.1008715033531189,-5302.31982421875,2718.89794921875,1.130672812461853,18999
-342.59965042999994,2709,100.0,23000,8,230,0.00073,0.12210889905691147,-5390.3984375,2229.64306640625,1.1327489614486694,19999
-340.98431263000003,2842,100.0,24000,8,240,0.00073,0.06003328040242195,-5382.7353515625,2355.00927734375,1.1222318410873413,20999
-341.92761884999993,2976,100.0,25000,8,250,0.00073,0.23929248750209808,-5338.43017578125,2128.0966796875,1.08763587474823,21999
-342.08088210999995,3109,100.0,26000,8,260,0.00073,-0.022012993693351746,-5253.54296875,1915.401611328125,1.0630024671554565,22999
-341.33713542000004,3242,100.0,27000,8,270,0.00073,0.0401977002620697,-5083.384765625,2044.40771484375,1.017695426940918,23999
-342.31584640999995,3376,100.0,28000,8,280,0.00073,-0.033369291573762894,-4994.81982421875,1957.91748046875,0.9773128628730774,24999
-341.28246348999994,3509,100.0,29000,8,290,0.00073,0.0668933317065239,-4750.1494140625,1445.248779296875,0.9415311813354492,25999
-340.74804894,3644,100.0,30000,8,300,0.00073,0.11049342155456543,-4570.53662109375,1600.3297119140625,0.8877796530723572,26999
-338.20929118999993,3777,100.0,31000,8,310,0.00073,0.21032467484474182,-4406.7138671875,1538.42138671875,0.8426291346549988,27999
-339.26410567,3912,100.0,32000,8,320,0.00073,0.005271501839160919,-4231.845703125,1350.986572265625,0.8075166940689087,28999
-339.25549966,4046,100.0,33000,8,330,0.00073,-0.0786748006939888,-4014.9833984375,1288.7293701171875,0.7337222099304199,29999
-340.82418847,4178,100.0,34000,8,340,0.00073,0.3192124366760254,-3743.6298828125,1103.9447021484375,0.6861473321914673,30999
-340.49129851,4311,100.0,35000,8,350,0.00073,0.036205172538757324,-3447.45849609375,856.2709350585938,0.6432318091392517,31999
-342.0310898800001,4443,100.0,36000,8,360,0.00073,0.5854800939559937,-3272.4970703125,942.427734375,0.595504105091095,32999
-341.24026796,4576,100.0,37000,8,370,0.00073,0.9647070169448853,-3043.369140625,712.1868896484375,0.5377967953681946,33999
-341.78023799000005,4708,100.0,38000,8,380,0.00073,1.4375221729278564,-2788.00732421875,604.5118408203125,0.49706652760505676,34999
-340.65122365,4840,100.0,39000,8,390,0.00073,1.8322951793670654,-2541.568603515625,581.3596801757812,0.4555845856666565,35999
-340.4853058600001,4973,100.0,40000,8,400,0.00073,-0.449140727519989,-2344.841552734375,444.99072265625,0.41664794087409973,36999
-342.1501387800001,5108,100.0,41000,8,410,0.00073,-2.000767946243286,-2115.77294921875,399.8048095703125,0.37649622559547424,37999
-342.25261609,5241,100.0,42000,8,420,0.00073,0.5512129068374634,-1932.6800537109375,343.0220031738281,0.3463714122772217,38999
-341.64800461000004,5374,100.0,43000,8,430,0.00073,1.2523579597473145,-1733.4017333984375,247.12890625,0.3101670742034912,39999
-340.0931733,5508,100.0,44000,7,440,0.00073,-0.9972367286682129,-1584.2286376953125,214.91448974609375,0.27050912380218506,40999
-341.81465786,5643,100.0,45000,7,450,0.00073,1.6964540481567383,-1406.9493408203125,209.44046020507812,0.24297642707824707,41999
-340.01189356,5777,100.0,46000,7,460,0.00073,-1.4969565868377686,-1256.16015625,124.00733947753906,0.21839578449726105,42999
-340.55777121,5911,100.0,47000,7,470,0.00073,0.7442131042480469,-1096.1871337890625,106.30580139160156,0.19686083495616913,43999
-340.30245099,6047,100.0,48000,7,480,0.00073,-1.2486274242401123,-970.909912109375,93.59912109375,0.16683149337768555,44999
-339.66870696000007,6182,100.0,49000,7,490,0.00073,-0.6460508108139038,-848.0439453125,68.337646484375,0.14394733309745789,45999
-339.79450612000005,6316,100.0,50000,7,500,0.00073,0.6369427442550659,-728.2562255859375,58.19989776611328,0.12831194698810577,46999
-340.21224807999994,6449,100.0,51000,7,510,0.00073,-0.4443510174751282,-629.0447998046875,46.739349365234375,0.1098913699388504,47999
-339.8834076,6582,100.0,52000,7,520,0.00073,-3.1382365226745605,-538.7405395507812,38.052005767822266,0.09187329560518265,48999
-339.82530963000005,6716,100.0,53000,7,530,0.00073,1.106027364730835,-443.5538330078125,24.672412872314453,0.0785306766629219,49999
-340.21125894,6851,100.0,54000,7,540,0.00073,6.280941963195801,-366.6452941894531,20.408958435058594,0.06907431036233902,50999
-336.52898457000003,6985,100.0,55000,7,550,0.00073,2.104740619659424,-301.2972412109375,17.714969635009766,0.0582190677523613,51999
-336.24109670999997,7120,100.0,56000,7,560,0.00073,0.778100848197937,-254.04147338867188,14.351435661315918,0.04867070913314819,52999
-336.26584849999995,7253,100.0,57000,7,570,0.00073,-4.232011795043945,-194.64407348632812,9.437156677246094,0.03838197514414787,53999
-336.8820173099999,7389,100.0,58000,7,580,0.00073,0.8982405662536621,-146.43299865722656,6.91673469543457,0.03180282935500145,54999
-337.01747925,7526,100.0,59000,7,590,0.00073,1.265101432800293,-106.20439147949219,6.299736976623535,0.02702380158007145,55999
-335.27253449999995,7661,100.0,60000,7,600,0.00073,-8.706833839416504,-70.04300689697266,4.693065643310547,0.022569559514522552,56999
-331.46258544000005,7797,100.0,61000,7,610,0.00073,-2.634620428085327,-45.59791946411133,3.7090065479278564,0.019278444349765778,57999
-326.57688686,7931,100.0,62000,7,620,0.00073,1.8561325073242188,-21.049890518188477,3.5373337268829346,0.015791913494467735,58999
-324.86440904000006,8065,100.0,63000,7,630,0.00073,1.5098333358764648,-1.221632480621338,2.853588581085205,0.013596625998616219,59999
-323.32355644,8199,100.0,64000,7,640,0.00073,-0.6987214088439941,13.770546913146973,2.502373456954956,0.011953380890190601,60999
-321.59844266999994,8333,100.0,65000,7,650,0.00073,-9.144613265991211,26.75959587097168,2.514080286026001,0.010710569098591805,61999
-317.76334173,8466,100.0,66000,7,660,0.00073,1.1872931718826294,37.791324615478516,2.1189606189727783,0.009627623483538628,62999
-314.0943353,8600,100.0,67000,7,670,0.00073,9.617650985717773,46.03364181518555,1.8553802967071533,0.009064901620149612,63999
-309.09666558000004,8735,100.0,68000,7,680,0.00073,3.525249719619751,49.95570755004883,1.8609592914581299,0.00868066307157278,64999
-305.44717666,8869,100.0,69000,7,690,0.00073,-1.3946760892868042,53.897483825683594,1.7262558937072754,0.00791987869888544,65999
-303.03628846000004,9005,100.0,70000,7,700,0.00073,-4.610081195831299,60.05256271362305,1.4778141975402832,0.007605545222759247,66999
-301.85186037,9141,100.0,71000,7,710,0.00073,-0.2158563733100891,65.81512451171875,1.381965160369873,0.007065147161483765,67999
-301.93872879,9277,100.0,72000,7,720,0.00073,-6.504185676574707,69.80186462402344,1.1655142307281494,0.006879427004605532,68999
-299.3692795,9413,100.0,73000,7,730,0.00073,-0.8823176622390747,71.86662292480469,1.096374273300171,0.0064966073259711266,69999
-296.71560745000005,9549,100.0,74000,7,740,0.00073,-13.591014862060547,72.5561294555664,1.0559998750686646,0.006307013798505068,70999
-295.24046848,9685,100.0,75000,7,750,0.00073,3.890106678009033,76.36073303222656,1.067089557647705,0.006043959408998489,71999
-296.91280610000007,9821,100.0,76000,7,760,0.00073,3.4663236141204834,78.93842315673828,0.9549658298492432,0.005806897766888142,72999
-293.97915777000003,9957,100.0,77000,7,770,0.00073,18.714433670043945,80.57917022705078,0.9505035281181335,0.0054920329712331295,73999
-291.86769774999993,10095,100.0,78000,7,780,0.00073,-15.502931594848633,81.237060546875,0.8600641489028931,0.005442746914923191,74999
-289.85050051999997,10232,100.0,79000,7,790,0.00073,4.724164962768555,82.71945190429688,0.8167550563812256,0.005468446295708418,75999
-289.07483666,10369,100.0,80000,7,800,0.00073,-3.0812387466430664,83.89002227783203,0.7855868339538574,0.0049657211638987064,76999
-286.18690956,10508,100.0,81000,7,810,0.00073,2.9948463439941406,87.57793426513672,0.8029805421829224,0.0049462271854281425,77999
-284.13928816,10645,100.0,82000,7,820,0.00073,-6.113731861114502,87.4009017944336,0.8006522059440613,0.005030166823416948,78999
-282.16377457,10783,100.0,83000,7,830,0.00073,-1.6443578004837036,91.63580322265625,0.8733806014060974,0.004925146698951721,79999
-280.5178902099999,10920,100.0,84000,7,840,0.00073,-2.698369026184082,92.08033752441406,0.6656550168991089,0.00481819361448288,80999
-279.32289091,11057,100.0,85000,7,850,0.00073,-0.02663743495941162,94.29096221923828,0.8697938323020935,0.004755361471325159,81999
-275.10515617,11193,100.0,86000,7,860,0.00073,-3.8447623252868652,94.50010681152344,0.7137741446495056,0.004788452759385109,82999
-273.52100169,11329,100.0,87000,7,870,0.00073,4.768126964569092,95.93370819091797,0.6474000215530396,0.004543408285826445,83999
-271.6410606900001,11464,100.0,88000,7,880,0.00073,4.883855819702148,96.87216186523438,0.7606702446937561,0.004567883908748627,84999
-270.58149618000004,11601,100.0,89000,7,890,0.00073,-2.694171905517578,95.9091567993164,0.7210834622383118,0.004401414189487696,85999
-267.05883550000004,11739,100.0,90000,7,900,0.00073,-0.620686948299408,97.28850555419922,0.7282428741455078,0.004437400959432125,86999
