rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss
-322.1939165,1000,24,10,100.0,41,,,,,,
-325.69998419999996,2000,25,20,100.0,77,,,,,,
-327.9717855666666,3000,25,30,100.0,115,,,,,,
-327.98287527499997,4000,15,40,100.0,255,0.49856331944465637,999,-262.2244567871094,0.00073,9.170692443847656,-36.67283248901367
-330.2331776,5000,12,50,100.0,399,0.28132104873657227,1999,-405.7676086425781,0.00073,21.232025146484375,-39.99957275390625
-329.09530155,6000,11,60,100.0,540,0.20333538949489594,2999,-575.29638671875,0.00073,43.055850982666016,-14.090127944946289
-331.31849195714284,7000,10,70,100.0,679,0.21960465610027313,3999,-838.7067260742188,0.00073,66.30406951904297,8.676591873168945
-332.5280832125,8000,9,80,100.0,818,0.3106641471385956,4999,-1186.9259033203125,0.00073,120.45732116699219,9.293248176574707
-332.4090877555555,9000,9,90,100.0,961,0.3995630741119385,5999,-1542.41357421875,0.00073,214.864013671875,1.0627188682556152
-334.12172263,10000,9,100,100.0,1101,0.5095342397689819,6999,-1960.4920654296875,0.00073,291.8400573730469,0.20313575863838196
-334.78515924,11000,8,110,100.0,1241,0.6286205649375916,7999,-2395.922119140625,0.00073,561.7295532226562,0.10770860314369202
-335.88995473999995,12000,8,120,100.0,1379,0.7488031387329102,8999,-2880.012451171875,0.00073,678.2015380859375,0.3105069696903229
-335.88320272,13000,8,130,100.0,1519,0.8391167521476746,9999,-3388.859375,0.00073,806.1414794921875,0.22286036610603333
-333.95282889000003,14000,8,140,100.0,1656,0.9495189189910889,10999,-3922.7509765625,0.00073,1166.146240234375,-0.040918391197919846
-335.39624899999995,15000,8,150,100.0,1796,1.0347429513931274,11999,-4489.1591796875,0.00073,1621.18408203125,-0.047081395983695984
-337.15095778,16000,8,160,100.0,1934,1.1320291757583618,12999,-4864.60986328125,0.00073,1969.6475830078125,0.09733834862709045
