time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates
10,100.0,1000,26,-321.36412340000004,37,,,,,,
20,100.0,2000,52,-323.38704955,37,,,,,,
30,100.0,3000,80,-326.8424442,37,,,,,,
40,100.0,4000,207,-327.79202354999995,19,0.4990012049674988,0.00073,9.501102447509766,-260.0267639160156,-37.31015396118164,999
50,100.0,5000,335,-329.20842858000003,14,0.2848060429096222,0.00073,24.36220359802246,-427.048095703125,-34.90406036376953,1999
60,100.0,6000,463,-330.9365485166666,12,0.2198018729686737,0.00073,44.90933609008789,-655.7755126953125,1.0616309642791748,2999
70,100.0,7000,590,-331.2697732,11,0.2514202892780304,0.00073,83.803466796875,-972.71630859375,11.131428718566895,3999
80,100.0,8000,718,-332.847863525,11,0.3335255980491638,0.00073,172.23619079589844,-1303.6275634765625,2.9644622802734375,4999
90,100.0,9000,846,-332.9974224888889,10,0.4150814414024353,0.00073,214.28817749023438,-1659.95947265625,-0.24293272197246552,5999
100,100.0,10000,974,-333.64577210000004,10,0.4894874095916748,0.00073,360.0783996582031,-2017.8585205078125,-1.4880670309066772,6999
110,100.0,11000,1101,-337.23653433999993,9,0.5869443416595459,0.00073,458.2726135253906,-2418.46435546875,0.5783295631408691,7999
120,100.0,12000,1231,-338.5450198999999,9,0.6608061790466309,0.00073,760.7200927734375,-2800.5927734375,0.8783701062202454,8999
130,100.0,13000,1360,-339.13539566,9,0.72077876329422,0.00073,796.94775390625,-3152.529296875,-0.1165846660733223,9999
140,100.0,14000,1489,-340.5908665200001,9,0.7848891615867615,0.00073,754.1622924804688,-3559.69970703125,0.7641268372535706,10999
150,100.0,15000,1619,-341.12773393000003,9,0.8491391539573669,0.00073,954.0983276367188,-3770.01708984375,-0.3286556005477905,11999
160,100.0,16000,1748,-339.8936356300001,9,0.8776817321777344,0.00073,1382.582763671875,-4086.24072265625,-0.28779226541519165,12999
170,100.0,17000,1876,-342.13792524,9,0.9040403962135315,0.00073,1280.900390625,-4297.53076171875,-0.11584535986185074,13999
180,100.0,18000,2007,-343.4177387800001,8,0.9551360607147217,0.00073,1276.7420654296875,-4563.39013671875,-0.05470592528581619,14999
190,100.0,19000,2137,-345.14822485,8,0.9876872897148132,0.00073,1751.22509765625,-4774.107421875,-0.01906907744705677,15999
200,100.0,20000,2267,-345.4768724599999,8,0.9924389123916626,0.00073,1782.87939453125,-4905.19287109375,0.011110429652035236,16999
210,100.0,21000,2397,-343.9438037499999,8,0.9941719174385071,0.00073,1832.951416015625,-4977.36962890625,0.0003744587302207947,17999
220,100.0,22000,2526,-343.18640904,8,0.9963049292564392,0.00073,1702.3807373046875,-4931.70263671875,0.0017693247646093369,18999
230,100.0,23000,2654,-343.75774917999996,8,0.9781005382537842,0.00073,1817.0650634765625,-4895.36181640625,-0.027276799082756042,19999
240,100.0,24000,2783,-343.0888093599999,8,0.944456934928894,0.00073,1516.26123046875,-4823.8896484375,-0.03209853917360306,20999
250,100.0,25000,2913,-344.83261657,8,0.9198384284973145,0.00073,1638.071044921875,-4664.333984375,0.07383372634649277,21999
260,100.0,26000,3045,-347.32563191,8,0.8614580035209656,0.00073,1370.22509765625,-4470.20751953125,-0.10954522341489792,22999
270,100.0,27000,3174,-346.7503420000001,8,0.8316961526870728,0.00073,1344.3382568359375,-4321.6689453125,0.09479423612356186,23999
280,100.0,28000,3303,-344.1469731,8,0.8046051859855652,0.00073,1610.39453125,-4181.22314453125,-0.3470509946346283,24999
290,100.0,29000,3434,-343.44809792,8,0.7662674784660339,0.00073,1233.048828125,-4026.40771484375,-0.16985248029232025,25999
300,100.0,30000,3565,-343.88580556999995,8,0.7298139929771423,0.00073,925.51953125,-3841.292724609375,-0.21972154080867767,26999
310,100.0,31000,3696,-344.08670081000014,8,0.6733132004737854,0.00073,747.7279052734375,-3679.84228515625,-0.09339995682239532,27999
320,100.0,32000,3825,-343.85781811999993,8,0.645189642906189,0.00073,853.6693115234375,-3460.693603515625,-0.5304332375526428,28999
330,100.0,33000,3954,-344.2663771599999,8,0.5997476577758789,0.00073,661.6287841796875,-3230.96875,0.5811134576797485,29999
340,100.0,34000,4085,-343.50057788,8,0.5617291331291199,0.00073,695.34716796875,-3139.887939453125,0.3562900722026825,30999
350,100.0,35000,4215,-343.47943570999996,8,0.5075600743293762,0.00073,661.9136962890625,-2872.230712890625,0.026426367461681366,31999
360,100.0,36000,4344,-341.5520070600001,8,0.4680235683917999,0.00073,525.1051635742188,-2662.83984375,0.4228646755218506,32999
370,100.0,37000,4473,-340.6032298100001,8,0.433499813079834,0.00073,416.05792236328125,-2477.662109375,-0.37191084027290344,33999
380,100.0,38000,4603,-341.31927543999996,8,0.3956357538700104,0.00073,444.9361572265625,-2279.13134765625,0.4385823905467987,34999
390,100.0,39000,4734,-343.4201996,8,0.36347633600234985,0.00073,344.3249816894531,-2124.87548828125,-0.42227303981781006,35999
400,100.0,40000,4863,-342.83356646,8,0.3293835520744324,0.00073,257.96270751953125,-1898.1533203125,1.0093677043914795,36999
410,100.0,41000,4992,-343.50268622999994,8,0.2936689257621765,0.00073,209.61740112304688,-1726.956787109375,-0.486444890499115,37999
420,100.0,42000,5123,-345.34653582,8,0.26847538352012634,0.00073,203.15951538085938,-1582.75634765625,0.8534756302833557,38999
430,100.0,43000,5252,-345.0851482300001,8,0.24618098139762878,0.00073,171.4232177734375,-1435.755615234375,-0.13757449388504028,39999
440,100.0,44000,5383,-348.0956555000001,8,0.21736599504947662,0.00073,158.8247528076172,-1294.8214111328125,1.6010067462921143,40999
450,100.0,45000,5514,-347.00367267,8,0.19521968066692352,0.00073,130.39276123046875,-1124.3760986328125,-4.325673580169678,41999
460,100.0,46000,5643,-348.84824457999997,8,0.17396992444992065,0.00073,109.27332305908203,-1026.0137939453125,0.24949538707733154,42999
470,100.0,47000,5774,-349.2552891800001,8,0.15247780084609985,0.00073,76.12651062011719,-898.0137939453125,-0.5347943902015686,43999
