time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss
49,131,-44.9315946,10,2,13.1,,,,,,
41,262,-44.5310062,20,6,13.1,,,,,,
39,382,-45.140762999999986,30,9,12.733333333333333,,,,,,
38,506,-44.956860625000004,40,13,12.65,,,,,,
38,643,-44.08692252000001,50,16,12.86,,,,,,
37,778,-43.63324326666666,60,20,12.966666666666667,,,,,,
37,915,-43.94965358571429,70,24,13.071428571428571,,,,,,
36,1054,-43.7400963875,80,28,13.175,,,,,,
35,1185,-44.05350273333333,90,32,13.166666666666666,,,,,,
35,1322,-43.94888431,100,36,13.22,,,,,,
35,1451,-43.582661599999994,110,40,13.2,,,,,,
35,1581,-43.46470282999999,120,44,13.19,,,,,,
35,1710,-43.03616621000001,130,48,13.28,,,,,,
35,1842,-43.132892670000004,140,52,13.36,,,,,,
35,1973,-43.44298612999999,150,56,13.3,,,,,,
35,2106,-43.28091689000001,160,60,13.28,,,,,,
35,2238,-43.111747320000006,170,63,13.23,,,,,,
35,2376,-42.8278425,180,67,13.22,,,,,,
35,2495,-42.40231223,190,71,13.1,,,,,,
34,2655,-42.03645481,200,75,13.33,,,,,,
34,2795,-42.1757597,210,80,13.44,,,,,,
34,2919,-42.402009959999994,220,83,13.38,,,,,,
32,3052,-42.815353009999995,230,92,13.42,0.9641145467758179,214.7908172607422,-50.76748275756836,0.00073,51,-2.388826370239258
23,3436,-41.947381879999995,240,143,15.94,0.742443323135376,123.12491607666016,-167.1623077392578,0.00073,435,-14.449297904968262
17,4099,-36.51878404,250,229,21.26,0.5053709745407104,77.30545043945312,-327.17828369140625,0.00073,1098,-23.207212448120117
14,5012,-22.00900871,260,351,29.06,0.3558141887187958,109.61071014404297,-585.0514526367188,0.00073,2011,-5.429869174957275
12,5848,-14.139681369999998,270,462,36.1,0.3383568525314331,213.58233642578125,-827.0836791992188,0.00073,2847,5.40023946762085
