time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss
125,2,57,-43.2136959,12.5,10,,,,,,
250,5,44,-44.427823700000005,12.5,20,,,,,,
382,9,40,-44.33324906666667,12.733333333333333,30,,,,,,
523,13,40,-44.126275675,13.075,40,,,,,,
659,16,39,-43.90584558,13.18,50,,,,,,
786,20,39,-44.06669311666666,13.1,60,,,,,,
924,23,39,-43.86439675714285,13.2,70,,,,,,
1052,27,38,-43.7918332375,13.15,80,,,,,,
1173,30,38,-44.08175351111111,13.033333333333333,90,,,,,,
1318,34,38,-44.11227500999998,13.18,100,,,,,,
1441,37,38,-44.434449759999985,13.16,110,,,,,,
1568,41,38,-44.39748422999999,13.18,120,,,,,,
1706,44,38,-44.72828059,13.24,130,,,,,,
1832,48,38,-44.94382101,13.09,140,,,,,,
1974,52,37,-45.195914280000004,13.15,150,,,,,,
2109,55,37,-45.36940784,13.23,160,,,,,,
2251,59,37,-45.45325110000001,13.27,170,,,,,,
2397,63,37,-45.526697920000004,13.45,180,,,,,,
2548,67,37,-45.08982104999999,13.75,190,,,,,,
2677,71,37,-45.06063018999999,13.59,200,,,,,,
2832,75,37,-44.83138039000001,13.91,210,,,,,,
2972,78,37,-44.613243110000006,14.04,220,,,,,,
3301,118,27,-43.45273977000001,15.95,230,45.483821868896484,0.00073,0.8111619353294373,300,-11.412298202514648,-128.50112915039062
4301,248,17,-36.71087259,24.69,240,123.52893829345703,0.00073,0.4879745841026306,1300,-14.10294246673584,-614.3463134765625
4954,332,14,-33.927143619999995,29.8,250,179.43948364257812,0.00073,0.39836251735687256,1953,-7.450906753540039,-868.48876953125
5681,427,13,-31.692759780000006,35.72,260,409.51519775390625,0.00073,0.38952818512916565,2680,4.8781232833862305,-1111.644775390625
6440,528,12,-27.4667024,41.89,270,1125.1597900390625,0.00073,0.45496389269828796,3439,0.38054949045181274,-1406.35107421875
7209,627,11,-18.731354160000002,48.12,280,675.2691650390625,0.00073,0.4998231828212738,4208,0.5985000133514404,-1587.0877685546875
8124,747,10,-11.490793120000005,55.76,290,717.78515625,0.00073,0.5873774886131287,5123,0.20433713495731354,-1860.869140625
9124,880,10,-3.843575359999999,64.47,300,1677.0501708984375,0.00073,0.619507908821106,6123,-0.8981146812438965,-2105.4638671875
10039,1001,10,1.2344596899999996,72.07,310,1240.535400390625,0.00073,0.6435862183570862,7038,-0.7793608903884888,-2254.32421875
10982,1126,9,5.755005700000002,80.1,320,1351.931396484375,0.00073,0.6190609931945801,7981,0.7207208275794983,-2312.6181640625
11895,1247,9,7.987685459999998,85.94,330,1421.3206787109375,0.00073,0.6190114617347717,8894,-1.535746693611145,-2389.62646484375
12811,1369,9,5.827738040000002,85.1,340,1176.759765625,0.00073,0.5999470949172974,9810,0.16480737924575806,-2350.37841796875
13700,1485,9,8.895466109999997,87.46,350,1005.3764038085938,0.00073,0.5638144016265869,10699,-1.1117515563964844,-2283.0390625
14534,1597,9,10.16368099,88.53,360,1277.735595703125,0.00073,0.5368432402610779,11533,0.5650730729103088,-2238.775390625
15495,1725,8,12.387492909999997,90.55,370,656.2666015625,0.00073,0.4805113971233368,12494,1.0043143033981323,-2123.51318359375
16414,1847,8,7.10267095,92.05,380,676.38427734375,0.00073,0.4444972276687622,13413,-1.0034494400024414,-1974.4102783203125
17409,1978,8,4.537194090000001,92.85,390,3137.287109375,0.00073,0.3967572748661041,14408,2.585909843444824,-1811.4364013671875
18409,2111,8,2.5090302300000005,92.85,400,413.39288330078125,0.00073,0.3387012779712677,15408,-2.884873390197754,-1653.1243896484375
19319,2232,8,2.4613451900000003,92.8,410,490.71221923828125,0.00073,0.30008456110954285,16318,-0.9166474342346191,-1487.2703857421875
20319,2366,8,5.67464652,93.37,420,551.8154296875,0.00073,0.26436448097229004,17318,-2.3790571689605713,-1330.7962646484375
21249,2491,8,7.517848449999999,93.54,430,245.4606170654297,0.00073,0.22658437490463257,18248,1.8189808130264282,-1180.3079833984375
22163,2613,8,8.99667465,93.52,440,394.94854736328125,0.00073,0.20276190340518951,19162,1.7242096662521362,-1046.028076171875
23054,2732,8,8.172251010000002,93.54,450,146.5463409423828,0.00073,0.17286217212677002,20053,-2.463683605194092,-944.8746337890625
23561,2800,8,6.70008024,90.27,460,380.58660888671875,0.00073,0.1650911569595337,20560,2.1254029273986816,-886.4161987304688
24424,2915,8,3.4764797199999986,89.29,470,137.6380157470703,0.00073,0.1484249085187912,21423,-2.1820764541625977,-802.246337890625
25424,3051,8,4.027454709999999,90.1,480,100.3896713256836,0.00073,0.12887555360794067,22423,-5.693989276885986,-698.802001953125
26362,3180,8,6.83124177,89.53,490,66.14421081542969,0.00073,0.1145511046051979,23361,1.7115530967712402,-622.2171020507812
27310,3306,8,14.906834320000003,89.01,500,39.417694091796875,0.00073,0.09702491015195847,24309,-1.743469476699829,-552.4154052734375
28131,3417,8,17.727034919999998,88.12,510,56.91767120361328,0.00073,0.08803708106279373,25130,13.034290313720703,-496.8994140625
29124,3553,8,25.565965550000005,88.05,520,38.34096145629883,0.00073,0.07611052691936493,26123,1.7651551961898804,-435.2030944824219
30095,3684,8,27.57715972,88.46,530,43.6495361328125,0.00073,0.06534375995397568,27094,-1.713896632194519,-377.55419921875
31095,3818,8,38.73437595,89.32,540,25.811779022216797,0.00073,0.056583307683467865,28094,-1.0106151103973389,-335.2677001953125
32095,3952,8,47.74999468,90.41,550,22.403255462646484,0.00073,0.048216089606285095,29094,1.8222167491912842,-292.4826965332031
33095,4086,8,58.63153769,95.34,560,12.215279579162598,0.00073,0.04253261536359787,30094,-0.8182976841926575,-256.7886047363281
34095,4220,8,80.83340398,96.71,570,10.815875053405762,0.00073,0.039873216301202774,31094,11.162160873413086,-232.2010498046875
35095,4354,8,113.08979741000002,96.71,580,12.235770225524902,0.00073,0.03870635852217674,32094,-0.6656479835510254,-217.29908752441406
36095,4489,8,138.37154284000002,97.33,590,7.100149154663086,0.00073,0.03733403608202934,33094,-0.5307289361953735,-209.32151794433594
