time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/critic_loss
57,-44.5809873,2,135,10,13.5,,,,,,
43,-45.14920275,6,265,20,13.25,,,,,,
42,-45.52438376666668,9,405,30,13.5,,,,,,
41,-45.502057924999995,12,540,40,13.5,,,,,,
41,-45.40012218000001,16,674,50,13.48,,,,,,
41,-44.8724907,19,811,60,13.516666666666667,,,,,,
40,-44.819618842857146,23,940,70,13.428571428571429,,,,,,
40,-44.570604025,26,1065,80,13.3125,,,,,,
39,-44.657135044444445,30,1196,90,13.28888888888889,,,,,,
38,-44.162081130000004,34,1328,100,13.28,,,,,,
38,-43.86510103999999,37,1454,110,13.19,,,,,,
38,-43.51357599999999,41,1590,120,13.25,,,,,,
38,-43.28870464999999,44,1715,130,13.1,,,,,,
38,-42.81136843,48,1855,140,13.15,,,,,,
38,-42.832440489999996,51,1979,150,13.05,,,,,,
38,-42.88205921000001,55,2123,160,13.12,,,,,,
38,-42.966032850000005,58,2253,170,13.13,,,,,,
38,-43.21179668999999,62,2379,180,13.14,,,,,,
38,-43.08154522999999,65,2505,190,13.09,,,,,,
38,-43.7194247,68,2634,200,13.06,,,,,,
38,-44.15409014,72,2778,210,13.24,,,,,,
38,-44.46112948000001,75,2906,220,13.16,,,,,,
36,-44.82810249999999,82,3032,230,13.17,0.9783174991607666,31,-1.4384475946426392,-43.96342086791992,0.00073,424.10626220703125
25,-44.36625403,136,3458,240,16.03,0.7327488660812378,457,-15.161144256591797,-170.3230438232422,0.00073,41.091285705566406
16,-36.29601846,264,4458,250,24.79,0.4542061388492584,1457,-15.647820472717285,-581.566162109375,0.00073,261.52252197265625
14,-34.52405868,349,5119,260,29.96,0.37006446719169617,2118,-6.148166656494141,-715.969970703125,0.00073,202.52870178222656
12,-31.60319663,473,6085,270,38.32,0.3128851056098938,3084,-3.036219596862793,-846.9629516601562,0.00073,213.2777862548828
11,-27.128832100000004,575,6885,280,45.06,0.3316710591316223,3884,4.2118120193481445,-955.9558715820312,0.00073,200.84527587890625
11,-19.42367666,702,7885,290,53.8,0.36103424429893494,4884,-0.9146642684936523,-1150.728759765625,0.00073,308.539306640625
10,-13.41221073,818,8798,300,61.64,0.34808051586151123,5797,-0.6691163182258606,-1202.7623291015625,0.00073,321.94354248046875
10,-8.676749549999998,948,9798,310,70.2,0.3165193200111389,6797,-1.142896294593811,-1186.8870849609375,0.00073,252.25894165039062
10,-4.46977314,1071,10752,320,78.46,0.29904690384864807,7751,-1.448020339012146,-1156.7109375,0.00073,210.07745361328125
9,1.25505689,1176,11586,330,85.54,0.2900002896785736,8585,1.1538479328155518,-1123.665771484375,0.00073,176.82586669921875
9,4.865075870000002,1295,12508,340,90.5,0.25780045986175537,9507,1.5121586322784424,-1117.5126953125,0.00073,210.70220947265625
9,-2.6698871099999995,1343,12886,350,84.28,0.2666836977005005,9885,-1.8554335832595825,-1097.9595947265625,0.00073,296.52899169921875
9,-0.32150473000000035,1467,13843,360,87.24,0.2581809461116791,10842,-3.981532335281372,-1117.765625,0.00073,236.70974731445312
9,2.501424540000001,1596,14843,370,87.58,0.23933346569538116,11842,-3.8496856689453125,-1075.5272216796875,0.00073,225.66006469726562
9,0.15237541000000007,1702,15661,380,87.76,0.22453829646110535,12660,-0.8717290759086609,-1010.9365234375,0.00073,206.3798828125
9,-0.03213702000000014,1831,16661,390,87.76,0.20425929129123688,13660,1.7546427249908447,-962.9698486328125,0.00073,220.0782470703125
9,-4.14349696,1925,17387,400,85.89,0.19242790341377258,14386,0.8750908374786377,-912.9056396484375,0.00073,654.01220703125
8,-5.11292745,2031,18208,410,84.1,0.17371855676174164,15207,-0.125421941280365,-869.6438598632812,0.00073,159.1539306640625
8,1.0107811100000001,2163,19208,420,84.56,0.16295598447322845,16207,-0.022268682718276978,-818.2493286132812,0.00073,126.98485565185547
8,1.2193350699999994,2293,20208,430,86.22,0.1566016972064972,17207,0.10297101736068726,-761.99609375,0.00073,111.42698669433594
8,3.0920593100000007,2423,21208,440,87.0,0.14182701706886292,18207,-0.9557235836982727,-707.097412109375,0.00073,85.89041137695312
8,15.310833810000002,2553,22208,450,93.22,0.12334654480218887,19207,1.3948636054992676,-657.6665649414062,0.00073,165.24266052246094
8,16.31778773,2683,23208,460,93.65,0.1074824184179306,20207,-1.303860068321228,-586.32080078125,0.00073,68.73594665527344
8,14.453307709999999,2803,24136,470,92.93,0.09742767363786697,21135,-5.341210842132568,-533.7822265625,0.00073,56.19822692871094
