time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
450,-49.0662966,4.0,40,0,10,,,,,,
84,-48.623686549999995,3.75,75,0,20,,,,,,
50,-49.083757433333325,4.166666666666667,125,2,30,,,,,,
45,-49.152509574999996,3.95,158,3,40,,,,,,
40,-49.250140439999996,4.18,209,5,50,,,,,,
38,-48.715370416666666,4.4,264,6,60,,,,,,
37,-48.98694232857143,4.285714285714286,300,7,70,,,,,,
37,-49.1835444,4.15,332,8,80,,,,,,
36,-49.26849533333333,4.188888888888889,377,10,90,,,,,,
36,-49.23666102999999,4.38,438,12,100,,,,,,
35,-49.399800840000005,4.4,480,13,110,,,,,,
35,-49.6434944,4.42,517,14,120,,,,,,
35,-49.53313240000001,4.48,573,16,130,,,,,,
34,-49.54322378,4.56,614,17,140,,,,,,
34,-49.293064339999994,4.51,660,18,150,,,,,,
34,-49.395297600000006,4.65,729,21,160,,,,,,
34,-49.01218529999999,4.79,779,22,170,,,,,,
34,-48.96145667,5.0,832,24,180,,,,,,
34,-48.66436133000001,5.17,894,26,190,,,,,,
33,-48.78315766,4.87,925,27,200,,,,,,
33,-48.665461220000005,4.89,969,28,210,,,,,,
33,-48.56558065,5.31,1048,31,220,,,,,,
33,-48.50281265999999,5.16,1089,32,230,,,,,,
33,-48.457555060000004,5.11,1125,33,240,,,,,,
33,-48.81030287000001,5.04,1164,35,250,,,,,,
33,-49.11727223999999,4.94,1223,36,260,,,,,,
33,-49.27308053000001,5.2,1299,39,270,,,,,,
33,-48.901270249999996,5.43,1375,41,280,,,,,,
33,-49.132155620000006,5.36,1430,42,290,,,,,,
33,-49.148195959999995,5.47,1472,44,300,,,,,,
33,-48.97858227,5.7,1539,46,310,,,,,,
33,-49.0070124,5.34,1582,47,320,,,,,,
33,-49.10311057999999,5.45,1634,48,330,,,,,,
33,-49.175762060000004,5.68,1693,50,340,,,,,,
33,-48.97556574,5.69,1733,52,350,,,,,,
33,-48.637361889999994,5.86,1809,54,360,,,,,,
33,-48.802068649999995,5.58,1857,56,370,,,,,,
33,-49.02257964999999,5.41,1916,58,380,,,,,,
32,-48.90074148999998,5.42,1972,59,390,,,,,,
32,-48.83053218999999,5.49,2021,61,400,,,,,,
32,-48.85078372,5.34,2073,63,410,,,,,,
32,-48.69257580000001,5.37,2119,64,420,,,,,,
32,-48.53738997000001,5.42,2176,66,430,,,,,,
32,-48.479154529999995,5.29,2222,68,440,,,,,,
32,-48.491667549999995,5.39,2272,69,450,,,,,,
32,-48.71699645000002,5.26,2335,71,460,,,,,,
32,-48.57182576,5.39,2396,73,470,,,,,,
32,-48.50038728,5.46,2462,75,480,,,,,,
32,-48.672508320000006,5.53,2525,77,490,,,,,,
32,-48.49625324999999,5.43,2564,78,500,,,,,,
32,-48.66066092,5.45,2618,80,510,,,,,,
32,-48.70112985000001,5.43,2662,81,520,,,,,,
32,-48.739938470000006,5.41,2717,83,530,,,,,,
32,-48.84098423999999,5.56,2778,85,540,,,,,,
32,-48.936204370000006,5.38,2810,86,550,,,,,,
32,-48.84742258,5.34,2869,88,560,,,,,,
32,-48.896058120000006,5.11,2907,89,570,,,,,,
32,-48.83546821,4.97,2959,90,580,,,,,,
31,-48.434216310000004,4.99,3024,95,590,0.00073,23,0.9840515851974487,-34.4721565246582,930.89453125,-1.0539138317108154
29,-48.63287991,5.24,3088,104,600,0.00073,87,0.939237117767334,-41.5323371887207,737.632568359375,-3.962219476699829
26,-48.48499234,5.88,3206,120,610,0.00073,205,0.8693264722824097,-84.58116149902344,325.77655029296875,-6.3791351318359375
24,-48.712972629999996,6.35,3297,132,620,0.00073,296,0.8242440819740295,-105.9378662109375,473.64874267578125,-8.359673500061035
21,-48.85731853,7.86,3503,159,630,0.00073,502,0.7315828204154968,-161.41488647460938,292.55364990234375,-11.718408584594727
18,-45.21456512999999,11.27,3905,212,640,0.00073,904,0.6123381853103638,-349.9342346191406,564.3079833984375,-6.737009525299072
15,-41.56907855999999,16.29,4439,283,650,0.00073,1438,0.6563934087753296,-910.159912109375,1986.2783203125,7.7124738693237305
14,-36.193510090000004,20.36,4905,344,660,0.00073,1904,0.8665987253189087,-1517.799072265625,4923.060546875,3.284372091293335
13,-35.05752911,22.67,5174,380,670,0.00073,2173,1.03519868850708,-1820.1160888671875,9819.302734375,-0.7169424295425415
