time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef,train/critic_loss
10,0,-50.3796248,48,4.8,461,,,,,,
20,1,-50.40846915,99,4.95,68,,,,,,
30,2,-50.095221733333325,139,4.633333333333334,55,,,,,,
40,3,-49.95850395,185,4.625,50,,,,,,
50,5,-49.92531038,248,4.96,45,,,,,,
60,6,-49.48227000000001,305,5.083333333333333,43,,,,,,
70,8,-49.41405738571429,369,5.271428571428571,42,,,,,,
80,9,-49.5545794625,399,4.9875,41,,,,,,
90,10,-49.51156593333334,447,4.966666666666667,41,,,,,,
100,12,-49.32820267,504,5.04,40,,,,,,
110,13,-49.18324970999999,563,5.15,40,,,,,,
120,15,-49.057025589999995,611,5.12,39,,,,,,
130,16,-49.18763584000001,658,5.19,39,,,,,,
140,17,-49.239038220000005,711,5.26,39,,,,,,
150,19,-49.034550409999994,771,5.23,39,,,,,,
160,20,-49.374256880000004,811,5.06,39,,,,,,
170,22,-49.257827649999996,879,5.1,39,,,,,,
180,23,-49.02356428,915,5.16,39,,,,,,
190,24,-48.96984551,953,5.06,39,,,,,,
200,25,-49.21672952000001,985,4.81,38,,,,,,
210,26,-49.27856418,1031,4.68,38,,,,,,
220,27,-49.15437857999999,1077,4.66,38,,,,,,
230,29,-49.01239272,1138,4.8,38,,,,,,
240,31,-48.97718346999999,1194,4.83,38,,,,,,
250,32,-48.91255578000001,1238,4.67,38,,,,,,
260,33,-48.82508921000001,1302,4.91,38,,,,,,
270,35,-48.96066756000001,1352,4.73,38,,,,,,
280,36,-49.10540608,1404,4.89,38,,,,,,
290,37,-49.146790329999995,1442,4.89,38,,,,,,
300,39,-48.86281795,1500,5.15,38,,,,,,
310,40,-48.81226404,1537,5.06,38,,,,,,
320,41,-49.081513320000006,1574,4.97,38,,,,,,
330,41,-49.044434970000005,1608,4.7,38,,,,,,
340,43,-48.922593070000005,1664,4.7,38,,,,,,
350,44,-49.06845388,1698,4.6,38,,,,,,
360,45,-49.006305349999984,1745,4.43,38,,,,,,
370,46,-48.80228469999998,1793,4.41,38,,,,,,
380,47,-48.90532907,1832,4.28,38,,,,,,
390,48,-48.86979280999999,1874,4.32,38,,,,,,
400,49,-49.112234660000006,1904,4.04,38,,,,,,
410,50,-49.289331139999994,1953,4.16,38,,,,,,
420,51,-49.021912130000004,2000,4.26,38,,,,,,
430,53,-49.22960239,2068,4.6,38,,,,,,
440,54,-49.41934297000001,2088,4.24,38,,,,,,
450,55,-49.60008865999999,2135,4.37,38,,,,,,
460,57,-49.529606480000005,2189,4.44,38,,,,,,
470,59,-49.79799893000001,2255,4.62,38,,,,,,
480,60,-49.46440635999999,2316,4.84,38,,,,,,
490,61,-49.651666070000005,2348,4.74,38,,,,,,
500,62,-49.700649139999996,2385,4.81,38,,,,,,
510,64,-49.384775530000006,2439,4.86,38,,,,,,
520,65,-49.625002540000004,2485,4.85,37,,,,,,
530,67,-49.17835518,2549,4.81,37,,,,,,
540,68,-48.86143438999999,2601,5.13,37,,,,,,
550,69,-48.78092313,2649,5.14,37,,,,,,
560,71,-48.85087108,2696,5.07,37,,,,,,
570,72,-48.764339549999995,2758,5.03,37,,,,,,
580,74,-49.024432589999996,2804,4.88,37,,,,,,
590,75,-48.79540649,2845,4.97,37,,,,,,
600,76,-48.73094851,2893,5.08,37,,,,,,
610,78,-48.94774206,2959,5.2,37,,,,,,
620,80,-48.627354110000006,3006,5.21,37,-0.190953329205513,0.00073,5,-27.22623062133789,0.9970836043357849,1079.853515625
630,87,-48.80695004000001,3055,5.06,35,-2.5314385890960693,0.00073,54,-40.66535949707031,0.9620112776756287,781.4505615234375
640,97,-48.68536606,3135,5.34,32,-5.4707932472229,0.00073,134,-48.85957336425781,0.9087575674057007,426.6140441894531
650,108,-48.65314655,3217,5.68,29,-6.570398330688477,0.00073,216,-83.17362976074219,0.863571286201477,453.7917785644531
660,158,-44.81356686000001,3615,9.19,22,-10.248068809509277,0.00073,614,-219.67665100097656,0.6902595162391663,520.1411743164062
670,205,-43.41838671000001,3992,12.34,19,2.297924757003784,0.00073,991,-498.6373596191406,0.6279240250587463,1440.88037109375
680,260,-33.477211940000004,4432,16.28,17,7.095449447631836,0.00073,1431,-1299.64453125,0.7675247192382812,4051.72900390625
690,305,-30.61878229,4789,19.44,15,-2.2231056690216064,0.00073,1788,-2331.673583984375,1.055132508277893,11753.234375
700,355,-26.61520394,5184,22.91,14,-12.489269256591797,0.00073,2183,-3339.237060546875,1.4495000839233398,27465.197265625
710,422,-21.921724370000003,5718,27.59,13,-21.80694580078125,0.00073,2717,-4932.40380859375,2.138242244720459,40134.01171875
720,455,-21.35936952,5979,29.73,13,-25.32129669189453,0.00073,2978,-5542.556640625,2.506171941757202,108957.03125
730,510,-19.4821993,6416,33.61,12,-26.658857345581055,0.00073,3415,-6741.521484375,3.1965010166168213,96665.203125
740,555,-17.667758910000003,6780,36.45,12,-24.5084285736084,0.00073,3779,-7422.443359375,3.8475682735443115,111926.5546875
750,621,-13.866831929999998,7298,40.81,11,-22.74069595336914,0.00073,4297,-9275.310546875,4.9443559646606445,152264.875
760,701,-6.058714990000003,7933,43.18,11,-17.550851821899414,0.00073,4932,-11605.11328125,6.536136150360107,191846.15625
770,814,-0.030018779999998895,8820,48.28,10,-3.337465763092041,0.00073,5819,-14116.17578125,8.600736618041992,289708.4375
780,877,-4.630873510000002,9316,48.84,10,-2.0729246139526367,0.00073,6315,-14879.8447265625,9.30309772491455,653138.25
790,950,-2.6383897200000006,9891,51.02,10,-9.950141906738281,0.00073,6890,-16584.39453125,10.090211868286133,374712.5625
800,1026,1.95114183,10489,53.05,10,-4.859025001525879,0.00073,7488,-18361.15234375,10.956674575805664,1168078.0
810,1081,0.05557084000000119,10916,51.98,10,-0.6630303859710693,0.00073,7915,-18718.84375,11.018363952636719,678130.8125
820,1145,5.773329960000002,11414,54.35,9,-1.880204677581787,0.00073,8413,-19724.423828125,11.379375457763672,491125.03125
830,1150,3.751409600000001,11453,50.37,9,-3.383305072784424,0.00073,8452,-19484.2265625,11.419188499450684,1686406.25
840,1233,10.372193870000004,12098,53.18,9,-1.3418943881988525,0.00073,9097,-21008.759765625,11.786636352539062,546528.875
850,1360,24.705536460000005,13098,58.0,9,-0.7798518538475037,0.00073,10097,-22768.962890625,12.5204439163208,519894.5
860,1420,19.97520383,13567,56.34,9,-0.4276626706123352,0.00073,10566,-23581.53125,12.988975524902344,642523.625
870,1488,24.510741079999992,14095,52.75,9,-5.398398399353027,0.00073,11094,-24132.572265625,12.498748779296875,1120105.75
880,1535,22.51055946,14466,51.5,9,0.3686709403991699,0.00073,11465,-24584.490234375,12.978011131286621,1583435.625
890,1602,20.08318241,14991,51.0,9,0.4305441975593567,0.00073,11990,-25381.724609375,13.107355117797852,661963.625
900,1640,12.133252620000002,15289,48.0,9,-1.3709412813186646,0.00073,12288,-25762.74609375,13.25735855102539,3374087.75
910,1732,18.534155390000002,16008,50.92,9,-3.4044768810272217,0.00073,13007,-26794.8671875,13.563036918640137,3625361.75
920,1827,26.304616260000003,16745,53.31,9,1.0206074714660645,0.00073,13744,-28102.9296875,13.943867683410645,3146366.0
930,1929,36.14833901,17527,60.74,9,-0.19056916236877441,0.00073,14526,-29792.6796875,14.234481811523438,891732.5
940,2000,33.026362660000004,18074,59.76,9,3.9560461044311523,0.00073,15073,-31012.994140625,15.025918960571289,1589081.75
950,2091,25.473220700000002,18774,56.76,8,2.841238498687744,0.00073,15773,-31225.630859375,15.377177238464355,1062222.75
960,2181,24.291003750000005,19461,58.94,8,6.289835453033447,0.00073,16460,-32746.154296875,15.50699234008789,1025481.375
970,2287,19.61549139,20280,61.85,8,1.6987557411193848,0.00073,17279,-33635.71875,15.87266731262207,1004959.875
980,2368,22.111085229999993,20899,64.33,8,-1.5593901872634888,0.00073,17898,-34408.7734375,16.489925384521484,1323532.5
990,2430,23.979230469999997,21379,63.88,8,3.2860374450683594,0.00073,18378,-35931.390625,17.627578735351562,5968086.5
1000,2501,28.25830987,21922,66.33,8,5.28706693649292,0.00073,18921,-37526.21875,17.733976364135742,1457703.25
1010,2595,30.700272880000004,22648,66.4,8,2.554719924926758,0.00073,19647,-38928.5859375,18.110584259033203,1384298.25
1020,2710,24.500450589999996,23528,67.83,8,7.904350757598877,0.00073,20527,-39381.26171875,18.368663787841797,4120664.5
1030,2781,22.32539358000001,24072,65.45,8,0.5670549869537354,0.00073,21071,-39235.54296875,18.053462982177734,1759020.25
1040,2881,22.516091410000005,24852,67.78,8,-0.5721362829208374,0.00073,21851,-39165.4140625,17.825397491455078,1564434.0
1050,2933,13.10090731,25249,64.75,8,0.5043021440505981,0.00073,22248,-38973.6640625,17.873533248901367,2494550.5
1060,2996,14.657672529999997,25741,62.8,8,-2.847658395767212,0.00073,22740,-39501.109375,18.514659881591797,1697082.125
1070,3122,25.173736180000006,26703,64.23,8,5.008001327514648,0.00073,23702,-39038.69921875,17.68551254272461,1603066.875
1080,3252,27.9578636,27703,68.04,8,-0.3595670461654663,0.00073,24702,-39495.171875,17.010225296020508,3035028.5
1090,3331,31.278530919999998,28314,69.35,8,5.031114101409912,0.00073,25313,-38332.40625,16.40471839904785,1403399.375
1100,3414,34.06014704999999,28956,70.34,8,-2.9649133682250977,0.00073,25955,-37219.75,15.725484848022461,1289138.0
1110,3501,25.641493319999995,29629,69.81,8,3.0704472064971924,0.00073,26628,-38193.2109375,15.77492904663086,1261774.75
1120,3540,19.70804044999999,29933,64.05,8,0.9149386286735535,0.00073,26932,-36339.21484375,14.871302604675293,1327612.0
1130,3550,11.939736859999998,30012,59.4,8,-1.2918082475662231,0.00073,27011,-35726.16796875,14.929692268371582,5345673.0
1140,3613,10.54814297,30502,56.5,8,2.990591049194336,0.00073,27501,-36226.2421875,15.052323341369629,1467773.75
1150,3726,21.383226650000005,31365,61.16,8,0.3854093551635742,0.00073,28364,-35179.06640625,14.430901527404785,1081520.25
