time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss
114,10,-48.245701700000005,68,6.8,0,,,,,,
56,20,-48.7530392,122,6.1,2,,,,,,
46,30,-48.87423799999999,165,5.5,3,,,,,,
43,40,-49.02131365,206,5.15,4,,,,,,
41,50,-49.02992706,274,5.48,6,,,,,,
40,60,-49.22846463333333,340,5.666666666666667,8,,,,,,
39,70,-49.43209368571428,378,5.4,9,,,,,,
38,80,-49.4602124125,431,5.3875,11,,,,,,
38,90,-49.47183725555556,478,5.311111111111111,12,,,,,,
38,100,-49.59216406999999,519,5.19,13,,,,,,
37,110,-49.651165170000006,571,5.03,15,,,,,,
37,120,-49.44097687000001,619,4.97,16,,,,,,
37,130,-49.47596084999999,658,4.93,17,,,,,,
37,140,-49.292210180000005,710,5.04,18,,,,,,
37,150,-49.35824682000001,768,4.94,20,,,,,,
37,160,-49.27384641,829,4.89,22,,,,,,
36,170,-49.169704419999995,878,5.0,23,,,,,,
36,180,-49.18820404,916,4.85,24,,,,,,
36,190,-49.138819510000005,957,4.79,26,,,,,,
35,200,-48.92067615,1013,4.94,28,,,,,,
35,210,-49.11895299,1063,4.92,30,,,,,,
34,220,-49.26856326,1103,4.84,31,,,,,,
34,230,-49.395145539999994,1147,4.89,32,,,,,,
35,240,-49.607640679999996,1207,4.97,34,,,,,,
35,250,-49.640859680000005,1260,4.92,35,,,,,,
34,260,-49.50659616,1313,4.84,37,,,,,,
34,270,-49.62965336,1365,4.87,39,,,,,,
34,280,-49.541543680000004,1398,4.82,40,,,,,,
34,290,-49.70988572000001,1445,4.88,41,,,,,,
35,300,-49.877907060000005,1506,4.93,42,,,,,,
35,310,-49.600308720000015,1559,4.96,44,,,,,,
35,320,-49.62463854999999,1615,5.12,45,,,,,,
35,330,-49.62923314999999,1662,5.15,47,,,,,,
35,340,-49.609563869999995,1736,5.29,49,,,,,,
35,350,-49.31623107999999,1782,5.22,50,,,,,,
35,360,-49.16182699000001,1840,5.27,51,,,,,,
35,370,-48.873286740000005,1887,5.22,53,,,,,,
35,380,-48.902799079999994,1941,5.43,54,,,,,,
35,390,-48.68231374,2002,5.57,56,,,,,,
35,400,-48.7434613,2049,5.43,58,,,,,,
35,410,-48.67508918999999,2111,5.52,59,,,,,,
35,420,-48.43689981000001,2170,5.55,61,,,,,,
35,430,-48.447799180000004,2224,5.62,63,,,,,,
35,440,-48.50380306,2281,5.45,64,,,,,,
35,450,-48.65867976,2322,5.4,66,,,,,,
35,460,-49.03904104000001,2393,5.53,68,,,,,,
35,470,-49.28629001000001,2445,5.58,69,,,,,,
35,480,-49.20959492000001,2502,5.61,71,,,,,,
35,490,-49.304976419999996,2545,5.43,72,,,,,,
35,500,-49.274818839999995,2572,5.23,73,,,,,,
35,510,-49.597728509999996,2606,4.95,74,,,,,,
35,520,-49.63247385,2661,4.91,75,,,,,,
35,530,-49.53371811000001,2703,4.79,77,,,,,,
35,540,-49.4355148,2776,4.95,79,,,,,,
35,550,-49.57319088,2830,5.08,80,,,,,,
35,560,-49.22941874999999,2886,4.93,82,,,,,,
35,570,-48.99685977000001,2944,4.99,83,,,,,,
35,580,-49.21855865999999,2986,4.84,85,,,,,,
33,590,-49.155506439999996,3040,4.95,91,0.9726099967956543,-41.40440368652344,39,-1.821094274520874,0.00073,749.7193603515625
31,600,-48.959697610000006,3099,5.27,98,0.9318296313285828,-45.54290771484375,98,-4.450478553771973,0.00073,550.0318603515625
29,610,-48.462463299999996,3180,5.74,109,0.8831173777580261,-73.38371276855469,179,-5.956394672393799,0.00073,445.11297607421875
25,620,-48.697110269999996,3366,7.05,133,0.7915821075439453,-124.45201110839844,365,-9.945301055908203,0.00073,361.0206604003906
22,630,-48.43075426,3555,8.52,157,0.7065387964248657,-165.87734985351562,554,-13.49887466430664,0.00073,319.038818359375
21,640,-48.652821780000004,3641,8.65,168,0.6730101108551025,-188.40740966796875,640,-12.892481803894043,0.00073,295.68743896484375
16,650,-44.33749174,4327,14.97,256,0.5992938280105591,-729.5967407226562,1326,8.976934432983398,0.00073,1433.0111083984375
15,660,-43.507548109999995,4652,17.66,298,0.7018943428993225,-1099.1239013671875,1651,7.818538665771484,0.00073,3392.481689453125
13,670,-34.64061915,5367,24.23,391,1.1248167753219604,-2150.50732421875,2366,-2.187140703201294,0.00073,8097.51416015625
12,680,-27.79112166,5903,29.17,461,1.5303895473480225,-2700.544189453125,2902,-5.226925849914551,0.00073,8882.115234375
12,690,-22.011289520000005,6265,32.25,509,1.759932518005371,-2828.33544921875,3264,-3.1350674629211426,0.00073,10630.521484375
11,700,-20.20682064,6550,34.51,546,1.8857684135437012,-3019.017822265625,3549,-2.594264507293701,0.00073,55089.890625
11,710,-16.03192139,7015,38.35,607,2.015658140182495,-3264.966796875,4014,-1.4937562942504883,0.00073,18844.04296875
11,720,-13.8478567,7273,39.07,640,2.054089307785034,-3287.0869140625,4272,1.6723098754882812,0.00073,22663.57421875
11,730,-14.110289819999998,7340,37.85,649,2.060197353363037,-3311.41650390625,4339,-2.9384732246398926,0.00073,47345.4609375
10,740,-3.317082450000001,8070,44.29,745,2.1238646507263184,-3618.76025390625,5069,0.6858903169631958,0.00073,13879.296875
10,750,-0.7339768400000014,8537,42.1,807,2.166147232055664,-3844.948974609375,5536,1.2339390516281128,0.00073,59946.49609375
10,760,-1.8410282299999994,8589,39.37,814,2.170780658721924,-3866.086669921875,5588,-0.004566892981529236,0.00073,25822.107421875
10,770,-10.852453090000001,8635,32.68,820,2.2065465450286865,-3853.507568359375,5634,-2.88755202293396,0.00073,128855.46875
10,780,-17.29972415,8706,28.03,829,2.2139267921447754,-3769.265869140625,5705,-1.696474313735962,0.00073,43095.59375
10,790,-21.335968279999996,8961,26.96,863,2.1782724857330322,-3779.94921875,5960,1.1890333890914917,0.00073,18562.25390625
10,800,-18.127928049999998,9483,29.33,932,2.1719305515289307,-4089.40576171875,6482,-1.349130392074585,0.00073,36220.1484375
10,810,-22.152022450000004,9748,27.33,966,2.24556827545166,-4172.0859375,6747,-0.0813177078962326,0.00073,18072.61328125
9,820,-13.676743150000002,10279,30.06,1036,2.3220019340515137,-4555.6552734375,7278,0.14227822422981262,0.00073,17539.837890625
9,830,-11.0973365,10654,33.14,1087,2.3370914459228516,-4680.728515625,7653,-0.004715248942375183,0.00073,38941.19921875
9,840,-19.773951120000003,11007,29.37,1134,2.5899553298950195,-4915.3583984375,8006,-1.0314340591430664,0.00073,99187.734375
9,850,-23.26945976,11355,28.18,1180,2.3533732891082764,-4981.875,8354,1.3388749361038208,0.00073,44509.359375
9,860,-21.484835430000004,11642,30.53,1218,2.3281474113464355,-4880.892578125,8641,-0.13766339421272278,0.00073,43637.6484375
9,870,-13.55626348,12441,38.06,1325,2.240525960922241,-4956.97412109375,9440,0.32173359394073486,0.00073,24509.33203125
9,880,-7.8027807000000005,12957,42.51,1393,2.219536304473877,-5092.3740234375,9956,0.7668288946151733,0.00073,22012.9140625
