iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,2.7829930782318115,65.4690988669668,191.0787944503381,632.9445935319898,-162.29698763245412,55.208333333333336,3.72568162374379,0.1,0.0795893669128418,0.5678207874298096,0.04830589,0.027837923,65.4690988669668,-0.6563075964657873,0.6540409678643572,55.208333333333336,9600,0.9042418003082275,0.9994077637329235,0.8771656702140421,-8.116525800823483,31.25
1,2.5922582149505615,128.4135222195316,201.74546976280735,686.3900465462498,-157.01155485050842,75.0,2.8068520182770946,0.1,0.04180717468261719,0.5124053955078125,0.060840417,0.0407128,71.76354120222328,-0.5590717053701907,1.2810624374356376,75.0,9600,1.2002074718475342,0.8024062671550302,0.6722347160981872,28.64163225208467,0.0
2,2.5306406021118164,263.96635254569367,210.09606101961222,744.8915447278476,-98.3885482438415,94.79166666666667,2.972833520628256,0.1,0.010988235473632812,0.3311734199523926,0.05875287,0.033913355,90.98382233657031,-0.34582877018316593,2.6357530760158228,94.79166666666667,9600,0.7156105041503906,0.5630353772058363,0.4251051787747376,235.69505059014088,37.5
3,2.552902936935425,300.74889852155997,202.34801098463439,723.8931407839196,-40.39126457329094,96.875,3.6181414259108546,0.1,0.04566478729248047,0.34472084045410156,0.055436835,0.03016806,111.96032995506928,-0.3130167328373122,3.002768834398998,96.875,9600,0.9350354671478271,0.38833989417785203,0.31774313968976303,311.37562558865886,56.25
4,2.610464096069336,366.4754530454899,188.15427553071441,731.8462661777005,-28.795894732503136,96.875,3.2717527975025305,0.1,0.03790879249572754,0.3168981075286865,0.05745856,0.032210514,137.41184226411136,-0.25471949474544603,3.663498734661887,96.875,9600,1.2573297023773193,0.27059174243052897,0.22317171238368264,414.3118393844644,81.25
5,2.7309041023254395,455.2568154001826,162.03932393821353,774.8882293312982,56.400873507757744,98.95833333333333,3.241047496898082,0.1,0.06546235084533691,0.3469204902648926,0.061291795,0.03140595,169.19633957771848,-0.20858592860316746,4.549458246910006,98.95833333333333,9600,1.234435796737671,0.15633651418255093,0.1193561712265601,596.6608186289037,87.5
6,2.856947183609009,498.64422740695846,151.29003371776932,754.8395848046899,120.7805225475227,98.95833333333333,2.970799808887508,0.1,0.019343137741088867,0.36778783798217773,0.058374926,0.031932697,202.14112836064248,-0.18380613431830017,4.979409489312363,98.95833333333333,9600,1.708977460861206,0.0980409483210865,0.08606966303718176,731.2258328562089,100.0
7,2.8049838542938232,594.1251039376133,106.9007586217016,747.5809569659331,155.67159996581694,100.0,2.482581830960415,0.1,0.022995471954345703,0.29781079292297363,0.056807943,0.03684116,241.33952591833958,-0.14735682581645446,5.934672997489304,100.0,9600,1.518226146697998,0.05966969645895994,0.033132690947868734,745.6285500335143,100.0
8,2.822664260864258,611.6044023037812,111.50628845942799,774.9658074232657,170.15107188756429,100.0,2.4526914502656174,0.1,0.052500247955322266,0.29984259605407715,0.0579442,0.039180916,278.36601355688373,-0.14426978067413754,6.110334726924225,100.0,9600,2.3153812885284424,0.03400266000284557,0.02882052849729805,754.7100190556195,100.0
9,2.5368592739105225,648.2198729320241,102.79986400878495,774.6132434907538,162.6339820708143,100.0,2.572063566769863,0.1,0.0208892822265625,0.37502336502075195,0.05339581,0.04170175,315.35139949439775,-0.12903563308717445,6.475190500669496,100.0,9600,2.609201669692993,0.02283744275556627,0.019926245066433673,760.5231217021243,100.0
10,2.606518030166626,679.8764217600259,84.18099784900883,774.9604324714971,306.7615123782179,100.0,2.7607668625230355,0.1,0.04268932342529297,0.41630029678344727,0.05831155,0.032973245,351.80390172096054,-0.11789366806415602,6.791737888761915,100.0,9600,1.8579659461975098,0.012923009717107503,0.011358197386482699,767.3869245157634,100.0
11,2.632725954055786,703.9857012781935,71.83110182379006,777.1813629796246,328.1468227998869,100.0,2.65501752613631,0.1,0.02225661277770996,0.30617451667785645,0.052954078,0.033453647,387.02208167668385,-0.10421020331459374,7.032454914542779,100.0,9600,2.275665521621704,0.008970022771201746,0.007720442158327538,769.1168173012833,100.0
12,2.6295790672302246,721.7053456629895,49.2912350436079,777.5725828168993,491.1375091244027,100.0,2.380057977768457,0.1,0.027858972549438477,0.37912988662719727,0.04522938,0.039251674,420.4904080753144,-0.09830178276892325,7.209660465762815,100.0,9600,2.1377460956573486,0.005070763421842829,0.003951481622418802,769.5054340383251,100.0
13,2.807278633117676,721.0229329377368,64.21173674734871,778.6660855062046,429.56548255655605,100.0,3.0162232434552383,0.1,0.011631011962890625,0.30105066299438477,0.053427417,0.034566235,450.5436605615567,-0.09573478367495904,7.202770887416169,100.0,9600,2.5305275917053223,0.004825963299520992,0.0042909339658383245,770.1667336114772,100.0
14,2.8881938457489014,735.335612445595,45.07962734353026,778.5248709354624,475.5268771475709,100.0,2.7388691188101055,0.1,0.01926565170288086,0.34342145919799805,0.052476317,0.060953762,479.0228557499605,-0.08394537903279171,7.345932406837974,100.0,9600,2.5884318351745605,0.0028178329100055186,0.0023663170671578025,770.8202108386082,100.0
15,2.7613561153411865,737.2034407102183,36.4162114241596,777.1297259027573,486.6024459619766,100.0,3.2113781480243127,0.1,0.020358562469482422,0.27708005905151367,0.052186392,0.029582862,504.8409142459863,-0.0831950773510826,7.36500676794153,100.0,9600,2.168123722076416,0.0017181498336869701,0.0014123332672141885,771.2128647037965,100.0
16,2.811166763305664,736.5647354683039,42.15938831523267,779.0443563347056,549.3220757918249,100.0,2.628078712148818,0.1,0.03508400917053223,0.2784252166748047,0.052071147,0.046953537,528.0132963682181,-0.08601447232353038,7.358647374856992,100.0,9600,2.017714738845825,0.0017025694443767543,0.00166110190879512,771.9081505980812,100.0
17,2.657684326171875,742.2420503386411,35.12154784168207,780.6014684658248,548.8678665516984,100.0,2.6186625064287266,0.1,0.014114856719970703,0.3493211269378662,0.048384212,0.034296278,549.4361717652605,-0.07937045157837043,7.414965537574105,100.0,9600,3.1844258308410645,0.0010836991323227676,0.00099400634129953,772.3338748656861,100.0
18,2.6208269596099854,740.9754857975016,39.066079125466466,779.03992004604,523.9591883915792,100.0,3.3266823351612054,0.1,0.05445075035095215,0.34888696670532227,0.050968546,0.028305015,568.5901031684846,-0.08047582668743646,7.402343821816783,100.0,9600,2.3867878913879395,0.0010326324346573307,0.0010148486114667794,771.404702242111,100.0
19,2.6254665851593018,747.777278528903,28.49978762570039,780.2086900423219,582.2002823543063,100.0,2.869805901925038,0.1,0.038739919662475586,0.37056899070739746,0.057261378,0.04084909,586.5088207045264,-0.07462265905415284,7.4703380698161945,100.0,9600,1.943140983581543,0.0004996059736937799,0.0003732001578668335,770.1120145708555,100.0
20,2.6719653606414795,746.9701101826246,29.147441499293173,779.5930017418825,547.5802912485063,100.0,2.457063927130271,0.1,0.048157691955566406,0.34487318992614746,0.054333284,0.040273976,602.5549496523363,-0.07264054967378424,7.462239346627986,100.0,9600,1.9302847385406494,0.0007306956239427234,0.0007468648236383084,771.1142954682595,100.0
