iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.5636701583862305,-114.65615487545172,46.73673743531405,103.1389604352429,-186.15305574577084,1.0416666666666667,3.7434189280903487,0.1,0.05030059814453125,0.1835179328918457,0.05308037,0.027159305,-114.65615487545172,-1.1016436369775466,-1.1459085127672002,1.0416666666666667,9600,1.0747435092926025,1.0009706241995258,0.28926875497812254,-94.85810767594683,0.0
1,1.8063201904296875,-92.30872584860326,87.61017487127381,384.4506894205251,-186.70891609859837,4.166666666666667,3.2740146709064133,0.1,0.027998924255371094,0.24463605880737305,0.05264691,0.031777527,-112.42141197276688,-1.0708297416442494,-0.9227180123986881,4.166666666666667,9600,1.517249345779419,0.5846839036332764,0.4806366240934358,-41.13338143508925,6.25
2,1.533216953277588,-98.54943043409038,61.17672677690902,186.51098021727142,-187.20452668843072,2.0833333333333335,3.259475158770255,0.1,0.013723611831665039,0.1941359043121338,0.05728836,0.0317599,-111.03421381889923,-1.0420955001444032,-0.9855936323575865,2.0833333333333335,9600,1.4604542255401611,0.33429612941877707,0.17096935641105013,24.19124895522703,37.5
3,1.5762238502502441,-90.03661726743663,105.11694414493084,354.1829845174456,-180.3522482002571,8.333333333333334,3.189303898611649,0.1,0.011609315872192383,0.23427057266235352,0.056340765,0.032708988,-108.93445416375297,-1.0655076614292225,-0.8999326778830242,8.333333333333334,9600,1.3252484798431396,0.4633845237926747,0.38903782724905417,88.45180551581565,43.75
4,1.5907962322235107,-65.5671856865108,97.43236246859534,246.9637141693696,-177.0215290333137,8.333333333333334,2.814980453496323,0.1,0.03771376609802246,0.5153398513793945,0.05990121,0.039154027,-104.59772731602875,-0.9413082150707033,-0.6552841458881516,8.333333333333334,9600,1.302098274230957,0.3682255627366077,0.3425100624667462,190.4999343926332,56.25
5,1.5680224895477295,-60.35168018669916,119.79609935073762,469.49886313140166,-181.69449553217353,5.208333333333333,3.290286391318833,0.1,0.0089111328125,0.2962300777435303,0.049502265,0.034188297,-100.1731226030958,-0.947659596421197,-0.6045694744452618,5.208333333333333,9600,1.176896572113037,0.49330343481656197,0.45487757406702223,101.70001561278613,62.5
6,1.5098528861999512,-63.98472813321852,110.11158290334565,410.45655311728046,-190.94538055071632,7.291666666666667,3.403468486418614,0.1,0.04208183288574219,0.3947174549102783,0.057224255,0.032699056,-96.55428315610808,-0.9440917876887259,-0.6395173128443622,7.291666666666667,9600,1.9229564666748047,0.4975927255425369,0.45580981572081136,103.2181911835495,56.25
7,1.5578293800354004,-32.229561663018025,127.57839575423974,374.2877486806448,-171.3085482807412,12.5,3.7181235215481165,0.1,0.010599374771118164,0.30179572105407715,0.051975586,0.025887245,-90.12181100679908,-0.8675234657444589,-0.32241180696203897,12.5,9600,2.38570499420166,0.6931684914496741,0.5923971278848161,21.269921110521555,18.75
8,1.6693837642669678,2.674173060092348,174.20605463751812,612.3121320817693,-182.37020595715526,16.666666666666668,3.7132741292545286,0.1,0.0518949031829834,0.3066892623901367,0.054657638,0.02739246,-80.84221260010993,-0.8226501167269652,0.02672945472916553,16.666666666666668,9600,2.639742612838745,0.7839318688621915,0.6115882082772243,29.77197644148761,25.0
9,1.7516703605651855,-8.022415577426154,157.27062893543294,681.5961041313321,-177.52783747017236,14.583333333333334,3.066675405473445,0.1,0.030063390731811523,0.3719310760498047,0.055390675,0.035648383,-73.56023289784156,-0.8185689339216511,-0.08135192719531,14.583333333333334,9600,2.7727208137512207,0.6369799906593275,0.5440056648050436,139.8499970527126,43.75
10,1.5885796546936035,14.664632743862546,175.5137228276707,705.12537466231,-153.62415701185552,17.708333333333332,3.5098004893471515,0.1,0.029880285263061523,0.281158447265625,0.048899215,0.026235247,-64.73774633367115,-0.7645215619716007,0.14640375488360316,17.708333333333332,9600,1.7518820762634277,0.5755202814566175,0.49487503176779984,246.2231130707309,68.75
11,1.538863182067871,41.546276678982245,203.54910139684725,623.5019735338808,-151.3213085527665,25.0,2.9467997664186107,0.1,0.015056610107421875,0.27222251892089844,0.055293594,0.034288596,-54.109344032405815,-0.7443012294411201,0.4139617541581899,25.0,9600,2.2221224308013916,0.5771874238573759,0.44577140399909015,281.98203742046326,68.75
12,1.543271541595459,16.528834616359386,173.51104296006855,665.270482002403,-161.57269791469471,26.041666666666668,3.1696809422668295,0.1,0.014112710952758789,0.24954843521118164,0.055938426,0.030228402,-47.045526167529296,-0.7761759747660895,0.16458506436902112,26.041666666666668,9600,2.0103578567504883,0.4913545676700809,0.4348405977591838,255.37989149926514,75.0
13,1.575124979019165,14.985144686343014,174.58674015419925,710.8092621977822,-157.6202635776802,15.625,3.1090304927787633,0.1,0.014314413070678711,0.2532837390899658,0.05127601,0.032596234,-40.842459082142064,-0.766237166789999,0.1482690212879905,15.625,9600,2.528449058532715,0.46546462512339165,0.42628028979284033,252.73683772033476,68.75
14,1.5083105564117432,29.38763781527042,180.24635783094354,695.7945941420735,-164.38036320828004,19.791666666666668,3.5442386900067735,0.1,0.014539480209350586,0.3050408363342285,0.050159555,0.0330219,-33.81944939240081,-0.7366620660304511,0.29308950024133923,19.791666666666668,9600,2.4447507858276367,0.49590576435891903,0.43959937068206234,171.66877797259298,62.5
15,1.553635597229004,42.32649931229414,160.77949853555097,503.39110190174836,-150.80165163795164,21.875,2.8647607904331425,0.1,0.02972126007080078,0.2785344123840332,0.043791544,0.033070263,-26.204854521931317,-0.710245879028078,0.42204211204265035,21.875,9600,2.4205684661865234,0.46363771843545243,0.38487369739388183,217.56869517984882,75.0
16,1.5405328273773193,66.46293489892733,180.65683438170166,552.1984222426722,-155.7810745225497,30.208333333333332,3.3852977479778734,0.1,0.02996659278869629,0.2101154327392578,0.049434014,0.03180966,-16.938075579845453,-0.6919045574491172,0.6607130982554389,30.208333333333332,9600,1.8314802646636963,0.4199822291844144,0.3834872510905797,236.02285177755948,62.5
17,1.6659736633300781,106.44110845691996,195.92759704575215,651.3808604449223,-140.110942678872,34.375,2.907146087237096,0.1,0.014119625091552734,0.26170849800109863,0.050890338,0.034974113,-4.60015717616891,-0.6405672665194656,1.0613879490594726,34.375,9600,2.078367233276367,0.44198273956144324,0.3817220389753759,340.70572370016447,62.5
