iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.7185280323028564,-25.116057492832258,5.578949255583902,15.215780855707465,-28.180931144714066,0.0,2.609363339702006,0.1,0.047786712646484375,0.266507625579834,0.04924979,0.04250568,-25.116057492832258,-0.25761814714033854,-0.2509514804736719,0.0,9600,1.0276403427124023,1.0131704436033317,0.17798824719106515,-19.531625269493816,0.0
1,1.7311758995056152,-10.431732187924844,16.188177022490535,79.54296766028213,-27.83911375645108,0.0,3.135992740464661,0.1,0.006968498229980469,0.28566455841064453,0.06468982,0.034690194,-23.647624962341517,-0.14467248248062156,-0.10425581581395489,0.0,9600,0.6139321327209473,1.2323607423020304,0.42229816244975166,-18.916740677217444,0.0
2,1.5570001602172852,-3.8587672730068703,13.929240286298024,38.77276079226686,-27.73752294314654,0.0,2.973296822470133,0.1,0.007845640182495117,0.28778529167175293,0.06295189,0.03891328,-21.668739193408054,-0.0997493762269747,-0.0384993762269747,0.0,9600,0.6923747062683105,0.5058756570666961,0.4413617321882393,-19.07128326942437,0.0
3,1.775106430053711,8.384169858919735,17.127073429054022,63.14059914744914,-26.226150399277035,0.0,3.2411946277906054,0.1,0.009345769882202148,0.301952600479126,0.055364642,0.03183339,-18.663448288175275,-0.08064484750419297,0.08393848582914037,0.0,9600,0.8903825283050537,0.9604680633580225,0.7307937210403113,-15.069068331660343,0.0
4,1.6015257835388184,17.285700419066217,25.70222395584518,83.8741545353624,-27.043500820356012,0.0,3.3210778591640673,0.1,0.013333559036254883,0.28351616859436035,0.05827084,0.029357623,-15.068533417451125,-0.10085719873016193,0.17164280126983808,0.0,9600,0.8907248973846436,0.6933186552144215,0.5629259264209938,-7.771036034018893,0.0
5,1.7054688930511475,21.85443757503064,27.6866858376741,120.35177019949263,-26.693640229738712,0.0,3.3080667453055623,0.1,0.009559869766235352,0.29857635498046875,0.06366189,0.032294847,-11.376236318202949,-0.08931004242711578,0.2181899575728842,0.0,9600,1.2394638061523438,0.5681881079255482,0.5191150194294585,-7.211654936509931,0.0
6,1.5900940895080566,41.10507787679316,29.837621138111544,164.7763487109413,-23.11678308330418,1.0416666666666667,2.986035960111563,0.1,0.009386539459228516,0.28096652030944824,0.05642144,0.03620629,-6.128104898703337,-0.05974162157558902,0.4106750450910776,1.0416666666666667,9600,1.5699844360351562,0.4841374011800722,0.36959770669515984,-5.780911070362607,0.0
7,1.585397481918335,58.62530619933426,33.45832062038604,120.21013430695191,-26.333779143534557,4.166666666666667,2.7755292596308596,0.1,0.01109004020690918,0.2730731964111328,0.05747816,0.037676524,0.347236211100423,-0.056631684598312526,0.5862849820683542,4.166666666666667,9600,1.6074190139770508,0.31941113113227443,0.24340381273345985,-4.768480624634572,0.0
8,1.7427153587341309,87.68832576108552,39.073968387274775,180.94116333990965,-10.479141791024286,11.458333333333334,2.5814753630714367,0.1,0.028573989868164062,0.26253414154052734,0.059503853,0.043267414,9.081345166098933,-0.046440178112927756,0.875226488553739,11.458333333333334,9600,1.5586624145507812,0.2572519963375593,0.18257512791508387,24.84524857688419,0.0
9,1.6234948635101318,133.84931557611344,41.02903812781678,241.3023595502605,48.65099692653487,37.5,2.567511998128964,0.1,0.022759675979614258,0.26807737350463867,0.057811793,0.041717876,21.558142207100385,-0.03566681721670847,1.3372498494499583,37.5,9600,1.6163458824157715,0.2176543155258342,0.11441978566046068,370.0233363487236,0.0
