iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.7219460010528564,-27.344779448806857,12.860176524737522,35.0291444799198,-68.51385740964741,0.0,2.9055642635616077,0.1,0.05586957931518555,0.20003628730773926,0.04910292,0.02770087,-27.344779448806857,-0.2515508077047371,-0.2628142347549014,0.0,9114,1.1274409294128418,1.0073773208024501,0.34193351799534927,-18.315649740926943,0.0
1,1.6593546867370605,-23.49725595345701,15.75033305845707,46.826441733256615,-62.19130331162362,0.0,3.7015786514559337,0.1,0.028026580810546875,0.22888422012329102,0.051880594,0.027093716,-26.960027099271876,-0.21017390322360563,-0.2295607994634843,0.0,8930,0.7466769218444824,0.5063026900408929,0.31708852675404503,-21.164556028079986,0.0
2,1.5876703262329102,-10.416793077089821,28.674804859907947,196.88610362063127,-67.99583537692406,1.0416666666666667,4.023323933615746,0.1,0.04081916809082031,0.26463842391967773,0.053089924,0.029196795,-25.305703697053673,-0.1580530941273182,-0.10401665220516089,1.0416666666666667,9567,0.8631777763366699,0.8722733778436765,0.7746123516211622,-22.74096072192931,0.0
3,1.7686727046966553,-11.335493341587854,22.075406254138812,99.0697500060204,-72.2320454088993,0.0,3.302964684720468,0.1,0.01400136947631836,0.2341010570526123,0.05303106,0.030791929,-23.908682661507093,-0.14091759628758857,-0.11325360072844605,0.0,9305,1.3293020725250244,0.7843058732178246,0.736167385787799,-23.380834762806604,0.0
4,1.576427936553955,-11.69982845829424,8.04131662762948,44.16347705798856,-21.947649269572356,0.0,3.523921668547249,0.1,0.040045738220214844,0.3101809024810791,0.057333954,0.033986427,-22.68779724118581,-0.13067508679240628,-0.11692508679240628,0.0,9600,2.073047637939453,0.36935818090573913,0.274366713427783,-23.483935461448525,0.0
5,1.6181316375732422,-8.970373652665144,13.588425794012513,82.67046460734191,-27.46052224212984,1.0416666666666667,4.085451290601906,0.1,0.02833080291748047,0.2904360294342041,0.054630354,0.030226465,-21.31605488233374,-0.11922691812937274,-0.08964358479603941,1.0416666666666667,9600,2.2965540885925293,0.8059069181620799,0.7703594159523661,-20.64993377495997,0.0
6,1.6156806945800781,-8.367411211789571,13.706440305741559,79.51086456616177,-18.857662103703873,0.0,3.990156951997849,0.1,0.014386177062988281,0.20891070365905762,0.062057935,0.0275477,-20.021190515279326,-0.11609021956637566,-0.08359021956637568,0.0,9600,1.7346274852752686,0.7877572355899661,0.7528200807926555,-16.418693432731292,0.0
7,1.8076701164245605,-9.175851145528299,8.88776445546494,49.00775123076555,-18.354782176268163,0.0,3.9555776211624027,0.1,0.01412057876586914,0.22628092765808105,0.05785605,0.032084566,-18.936656578304223,-0.1116962260004861,-0.0916962260004861,0.0,9600,1.6839845180511475,0.6494731680418684,0.6103424873666246,-16.961617061983958,0.0
8,1.6641743183135986,-5.219106350495307,18.951806092847423,93.6094601205837,-19.611198806449682,0.0,3.8377930661297195,0.1,0.006981372833251953,0.2523627281188965,0.04659064,0.026560409,-17.56490155552333,-0.10840262566556362,-0.05256929233223029,0.0,9600,2.170165777206421,0.9152264394789366,0.8652008061325311,-19.238375984122982,0.0
9,1.7480394840240479,-3.9846998240980604,18.82379802566083,99.37286669396427,-19.681522766606875,0.0,4.274033794012361,0.1,0.008255720138549805,0.21424627304077148,0.046368945,0.023631455,-16.206881382380804,-0.1010329814209,-0.03978298142090002,0.0,9600,2.000300168991089,0.8984983807795898,0.8671774699469208,-15.989721441933337,0.0
