iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.9062635898590088,-549.390951845433,5.13342168799419,-538.5465141802753,-566.46751186373,0.0,0.4279387684551225,0.1,0.029323577880859375,0.21303391456604004,0.05808826,0.24060111,-549.390951845433,-0.1581898088717989,-2.538175082907877,0.0,1702,0.17119646072387695,0.9998584706159627,0.981702593250912,-610.8621824572697,0.0
1,1.511308193206787,-548.749067408312,4.62380145290684,-539.7181201827818,-561.3000329837298,0.0,0.5503771291612362,0.1,0.0531771183013916,0.26552629470825195,0.05230534,0.183896,-549.326763401721,-0.156929144076444,-2.5349305939317914,0.0,1703,0.12851977348327637,0.9816398496257503,0.8072132132717189,-614.128341251643,0.0
2,1.3086192607879639,-549.0305117928141,4.748667469580919,-538.9827990461747,-563.3396725504355,0.0,0.5434866450793879,0.1,0.03472018241882324,0.19915366172790527,0.051556233,0.18206911,-549.2971382408303,-0.15837327335846305,-2.5363466506054437,0.0,1702,0.23972797393798828,0.8066051746006627,0.3318158876532731,-609.7360062235687,0.0
3,1.7128753662109375,-549.0531901664955,4.424913806211479,-539.3863368085246,-562.853743917145,0.0,0.5616669118323072,0.1,0.030658483505249023,0.2734031677246094,0.052848853,0.16691439,-549.2727434333968,-0.15470669937384526,-2.5363385567741825,0.0,1719,0.1596531867980957,0.33351231424849037,0.02906884652693576,-599.5587849610089,0.0
4,1.7631447315216064,-549.3564897220316,6.020727389034727,-538.7060182728214,-573.9390132173771,0.0,0.6186628665772581,0.1,0.05487680435180664,0.2557697296142578,0.053459365,0.1446619,-549.2811180622604,-0.15360060278899398,-2.5378857018116685,0.0,1761,0.21420621871948242,0.0283562182417794,0.019986302029239594,-611.3035488347527,0.0
5,1.4041354656219482,-548.5806535149223,4.979040610949344,-539.8829912753228,-567.804945621021,0.0,0.5327644477492104,0.1,0.025533199310302734,0.29602980613708496,0.049560644,0.14441502,-549.2110716075266,-0.15458290573349653,-2.534158272264078,0.0,1743,0.274644136428833,0.019760802305861462,0.017444753749313573,-606.744660829756,0.0
6,1.3505194187164307,-548.2018995602814,4.221923759329564,-540.231501823296,-561.8628090728214,0.0,0.5747876116447185,0.1,0.04928874969482422,0.22771525382995605,0.054144505,0.14904585,-549.1101544028021,-0.15639120245053192,-2.5322029951909015,0.0,1685,0.12103557586669922,0.018248578485487853,0.015379603404152975,-663.7945574944549,0.0
7,1.4453551769256592,-550.5131807287935,5.215226094433835,-537.8862189209386,-564.5216577458039,0.0,0.5692984115986911,0.1,0.010149955749511719,0.35505223274230957,0.05367034,0.1491637,-549.2504570354013,-0.1635409928458589,-2.543679524384225,0.0,1731,0.20464515686035156,0.016178073097793073,0.012717320413300358,-644.7585592014758,0.0
8,1.2932510375976562,-550.3319174786706,5.159239323023736,-540.1183126197161,-565.5097680568947,0.0,0.6357641455932216,0.1,0.04471993446350098,0.3141043186187744,0.053584192,0.15317373,-549.3586030797283,-0.1650787906172649,-2.5427392501964765,0.0,1707,0.25756406784057617,0.01304119402925556,0.009436015004268002,-613.712592082799,0.0
9,1.421621322631836,-548.9319249537112,5.224982068647857,-539.5353838691651,-570.5565572506963,0.0,0.5781395814345016,0.1,0.009118318557739258,0.21265935897827148,0.04882566,0.13172771,-549.3159352671266,-0.15901396055152392,-2.535671938939887,0.0,1721,0.2884068489074707,0.008931184292936819,0.006026090524819037,-571.7043141727087,0.0
10,1.4192521572113037,-547.7155514024755,4.462647832379561,-538.0479007022584,-558.5460332411558,0.0,0.5969478835933596,0.1,0.009134054183959961,0.1743772029876709,0.051469028,0.10935399,-549.1558968806615,-0.15386222513427192,-2.5297401069946583,0.0,1695,0.10919475555419922,0.005989677401018957,0.0038514416298973952,-583.9698339519445,0.0
11,1.2869846820831299,-548.5192445775073,5.778666362019174,-539.1178743387022,-575.9302380928174,0.0,0.5319316788602849,0.1,0.004629850387573242,0.13607025146484375,0.051881187,0.14143156,-549.0922316503461,-0.1543759566922949,-2.5339011924508466,0.0,1714,0.22391200065612793,0.003836707936579074,0.00240549460785626,-602.5863994738428,0.0
12,1.3254320621490479,-547.1385423157438,4.856905476806114,-538.2786041389102,-558.4427811251247,0.0,0.5241725733024801,0.1,0.00997781753540039,0.2783780097961426,0.049297,0.1474683,-548.896862716886,-0.15456665765309988,-2.526919949946494,0.0,1705,0.1323542594909668,0.002371017313664153,0.0014574187331873167,-567.385918808425,0.0
13,1.569709062576294,-548.3817116808003,5.104277859175694,-536.8082427484334,-565.3617482623298,0.0,0.56183723713768,0.1,0.029585838317871094,0.2251904010772705,0.048251256,0.16004549,-548.8453476132775,-0.16128132758129615,-2.533155325774468,0.0,1713,0.16697478294372559,0.0016083398942364233,0.001016979184622577,-566.5714418544131,0.0
14,1.4584779739379883,-547.6732331824577,4.4510088422353355,-540.4695830627126,-560.6551214304519,0.0,0.5744118268071179,0.1,0.009397506713867188,0.2174522876739502,0.05129261,0.15757015,-548.7281361701955,-0.15576889035239946,-2.5296331880926726,0.0,1716,0.1406078338623047,0.0009857069801835832,0.0006628188110476463,-564.1350348541893,0.0
15,1.466193437576294,-548.7946707597977,5.781918802600036,-538.246287901608,-578.4212903239086,0.0,0.5506488127557065,0.1,0.010719537734985352,0.3240549564361572,0.051776577,0.17010294,-548.7347896291558,-0.16015926817809376,-2.5351273608352822,0.0,1747,0.22050094604492188,0.0006566728388514763,0.0004752364109615665,-561.5013255034942,0.0
16,1.8307666778564453,-546.9954074445612,4.535870646130032,-537.9507599217895,-559.4128818114609,0.0,0.554121092900009,0.1,0.010827064514160156,0.2780330181121826,0.048527777,0.1767547,-548.5608514106964,-0.15548385694236558,-2.5260270080919587,0.0,1712,0.2669103145599365,0.0004884827784971674,0.00036702956248597685,-562.8951791325222,0.0
17,1.4859952926635742,-546.6555451857415,5.470051616858123,-538.6497031015326,-576.2512843936215,0.0,0.5622120328561905,0.1,0.0428156852722168,0.2966279983520508,0.050618887,0.17673442,-548.370320788201,-0.15196970972639604,-2.524574210381217,0.0,1760,0.22701025009155273,0.0004258102156703505,0.0003609528002186701,-560.9215452338888,0.0
18,1.4931409358978271,-546.6499279357546,4.671671153638596,-538.0378848952563,-563.2671645413153,0.0,0.519299256159423,0.1,0.004755973815917969,0.29485058784484863,0.051065266,0.20124693,-548.1982815029563,-0.15275136488801827,-2.52443164008736,0.0,1712,0.16530513763427734,0.00030923397719292045,0.0002735480624062291,-562.9419406408925,0.0
19,1.556978464126587,-546.7813640218902,5.593968764482052,-535.5076771377376,-563.1207293251563,0.0,0.5517020465784701,0.1,0.02445197105407715,0.3289341926574707,0.049787335,0.18200263,-548.0565897548497,-0.1581099455725317,-2.525044448058924,0.0,1698,0.16597342491149902,0.00028517510991795937,0.0002612223142298081,-563.3020995009662,0.0
20,1.5222299098968506,-545.9810947350825,5.908372032663707,-535.3605579101409,-570.9054230459542,0.0,0.556182965540292,0.1,0.030706167221069336,0.3288559913635254,0.051063474,0.18376411,-547.849040252873,-0.15480937367479597,-2.5211511564377247,0.0,1715,0.19287586212158203,0.0002487971297658068,0.00022735555478676188,-577.8740540541048,0.0
21,1.370485544204712,-545.1592974957997,5.562881510911842,-533.3065070529691,-559.5914556684693,0.0,0.5287059250632388,0.1,0.05797576904296875,0.24864554405212402,0.050441023,0.20331272,-547.5800659771656,-0.15528775616353205,-2.5169448671761625,0.0,1698,0.23761606216430664,0.00029743307309822165,0.0002369539382125471,-566.8280778585829,0.0
