iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,8.845625638961792,-2902.507093018777,2663.051765596443,827.4598932889622,-9221.235990133975,0.0,1.370455945102017,0.1,0.045716285705566406,0.529137134552002,0.056570206,0.07378606,-2902.507093018777,0.7147045133510573,-14.51485907426535,0.0,16176,1.8813927173614502,1.000011185973535,0.5206395860017928,-2318.9302888530774,0.0
1,9.422930717468262,-2317.529497229321,2232.055074091228,1015.1393910531609,-9224.627353644342,0.0,1.6949611670521036,0.1,0.030032634735107422,0.565377950668335,0.04852683,0.05610977,-2844.0093334398316,0.6324776506067592,-11.59097482552797,0.0,17241,1.9588394165039062,0.6363261830907888,0.5042415796833702,-1635.8740663253984,0.0
2,11.65718150138855,-2385.3724012677144,2306.615427467919,1965.6068103433267,-9068.076372748252,0.0,1.834938807964028,0.1,0.01676034927368164,0.5853714942932129,0.056060288,0.054931942,-2798.14564022262,0.7098603761436953,-11.926216987523048,0.0,17362,1.8750131130218506,0.5117942698325252,0.3766289302741743,-1455.729204698944,0.0
3,9.50029468536377,-2177.527136004675,2312.891707656562,1000.000102868605,-8649.636795064409,0.0,1.715818837000295,0.1,0.018387794494628906,0.6531963348388672,0.05169248,0.05752318,-2736.0837898008253,0.5869432459228932,-10.887993880306432,0.0,16768,3.2300422191619873,0.41439239331216937,0.33231970562015695,-1116.3391180161025,0.0
4,9.60563349723816,-2585.6226512679837,2596.502891013009,924.8120028694545,-9365.786240901823,0.0,1.758966890885239,0.1,0.018938302993774414,0.6323666572570801,0.054682378,0.057836864,-2721.037675947541,0.7067928145300998,-12.926803241534158,0.0,17949,3.037231206893921,0.2772148716142529,0.21887395057829206,-1315.2567424485437,0.0
5,9.479597568511963,-1992.0177801001375,2434.3632496772943,1037.0858852115962,-9514.882490586288,0.0,1.6980567979140506,0.1,0.053540945053100586,0.5540969371795654,0.048445348,0.058032792,-2648.1356863628007,0.7678847353557873,-9.96350522662411,0.0,17684,3.245453119277954,0.3448080864374134,0.29704740593103257,-762.8540728102058,0.0
6,9.898514986038208,-1982.0153389193565,2476.2497484769724,1310.792192329111,-8631.2728250528,0.0,1.668512403047869,0.1,0.0213165283203125,0.6204025745391846,0.051537625,0.058942374,-2581.5236516184564,0.7101719274411739,-9.914326230017231,0.0,18388,3.5746450424194336,0.26410034606490873,0.2345165680935401,-2749.6885023611444,0.0
7,9.588561058044434,-1853.7748531482969,2173.115550140156,983.1873778645539,-8799.436374039433,0.0,1.6646675304886405,0.1,0.02410292625427246,0.6374623775482178,0.051695738,0.059450503,-2508.7487717714407,0.5037533352138955,-9.270301097105994,0.0,17424,3.5130202770233154,0.34799098681825064,0.2946001942476108,-2868.3183728676686,0.0
8,9.432142496109009,-2101.3494456286426,2286.58970510292,1586.5876250415204,-8629.074375516664,0.0,1.639675343562318,0.1,0.024855375289916992,0.5954911708831787,0.05075471,0.05865672,-2468.008839157161,0.5984887898765523,-10.508585463457184,0.0,17934,3.562059164047241,0.2582748065108527,0.22301147135774615,-3627.7702593682397,0.0
9,11.06986117362976,-1292.8137005804438,1838.6885681892495,1257.554808305154,-7265.182760194793,0.0,1.6910568031185718,0.1,0.01798844337463379,0.6109941005706787,0.050783187,0.058633443,-2350.48932529949,0.8254248050618159,-6.471378803299342,0.0,17909,3.628840446472168,0.36063825928842896,0.3117152169821012,-3614.422577456347,0.0
