iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.82719087600708,-16.940116794537307,2.936240891273021,-9.639405821233614,-23.730804515697045,0.0,0.46878451823598577,0.1,0.18482589721679688,2.536673069000244,0.06572343,0.21643648,-16.940116794537307,-0.20709475022832927,-0.3283321245424784,0.0,2013,0.2197895050048828,0.9994727528628605,0.15031793036208746,-7.069428555200529,0.0
1,1.4710798263549805,-15.440524205159528,2.957624945116484,-9.62830889699569,-24.510276357453357,0.0,0.6461761561259286,0.1,0.022429466247558594,2.260293960571289,0.050834972,0.15525441,-16.79015753559953,-0.16643790063633757,-0.29828714355609454,0.0,1886,0.2895340919494629,0.13328053230895998,0.0993814307842326,-6.745196038099338,0.0
2,1.4804434776306152,-14.720894116183624,2.747681593561802,-8.503038537269061,-21.04164730470065,0.0,0.621942868296871,0.1,0.09773850440979004,1.8098247051239014,0.05215137,0.16184299,-16.58323119365794,-0.14593609903812657,-0.28406804122257595,0.0,1833,0.3682518005371094,0.0953151978798042,0.06717374962283246,-6.829435897864421,0.0
3,1.4144635200500488,-14.149131735550553,2.712470531887455,-7.741297013771584,-21.045636435654075,0.0,0.5936895940748463,0.1,0.1300954818725586,2.219238519668579,0.051741134,0.17223644,-16.339821247847205,-0.12588946920607344,-0.2725809032798225,0.0,1805,0.2503063678741455,0.06793124479657638,0.048172371525935814,-4.701876067793664,0.0
4,1.3632347583770752,-13.892862329458104,2.4596903844705964,-9.080087852658135,-19.365053145631467,0.0,0.6499716384552929,0.1,0.08682012557983398,0.44985508918762207,0.05127708,0.16146919,-16.095125356008296,-0.12303681763480838,-0.26760788802120555,0.0,1763,0.25331759452819824,0.042084598706303156,0.03587570546499425,-3.9165438776955535,0.0
5,1.2886900901794434,-12.88007240694578,2.851239919254891,-7.782805021231001,-20.949418076734425,0.0,0.6246581503016253,0.1,0.1352531909942627,2.4193947315216064,0.050990205,0.15540923,-15.773620061102044,-0.08499761335415663,-0.24733068773629507,0.0,1687,0.2085425853729248,0.05990432745994252,0.05116308414465183,-3.8119634306134893,0.0
6,1.2999224662780762,-11.55245919379415,2.1818844184575146,-6.868773124182434,-18.63998109246584,0.0,0.5759628202407643,0.1,0.12736749649047852,1.8465476036071777,0.054868262,0.17698207,-15.351503974371253,-0.03747735982107641,-0.22114798833998317,0.0,1589,0.16347980499267578,0.050520197279991796,0.034722073647100844,-3.572665081543395,0.0
7,1.3072319030761719,-11.387414618655407,2.4284024391042283,-6.187786294475041,-16.81402633378521,0.0,0.5761504791825504,0.1,0.1425788402557373,1.6034550666809082,0.05184352,0.18317582,-14.95509503879967,-0.026762871300502977,-0.2178485839025306,0.0,1577,0.2586996555328369,0.045206159401053325,0.04366558633607434,-4.159158098822829,0.0
8,1.1222789287567139,-9.868631615468232,1.8317059235402373,-6.810792883969608,-18.29986016550449,0.0,0.5798613848218928,0.1,0.11025357246398926,1.4649064540863037,0.050868608,0.16548729,-14.446448696466526,0.03484459066161092,-0.18761540521411857,0.0,1452,0.14768147468566895,0.0569518048614443,0.0316747671920706,-3.7213574617072354,0.0
9,1.1505534648895264,-9.254356185980681,1.4827475716228253,-6.231918791594982,-13.244899246663689,0.0,0.5972637175422465,0.1,0.13376069068908691,0.615288257598877,0.051207226,0.17111921,-13.927239445417943,0.06392789509922003,-0.1752916810556661,0.0,1406,0.19486618041992188,0.02436254212574077,0.022096441949030068,-3.300341494642121,0.0
