iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.32100248336792,-13.509813285593793,15.378950984943991,49.37402101900723,-34.40147065190517,0.0,0.4721426091582167,0.1,0.06032061576843262,0.30423426628112793,0.053137816,0.31432524,-13.509813285593793,-0.13595142515979583,-0.25976624586490143,0.0,2027,0.38349127769470215,1.0023532007598486,0.324292928340111,3.7977972649011162,0.0
1,1.0167484283447266,-13.823883449519707,13.162748441289757,40.489798355520605,-35.42652530942782,0.0,0.7250748948328167,0.1,0.004882097244262695,0.2870972156524658,0.048694327,0.1393617,-13.541220301986385,-0.14489890150695245,-0.26640169597123203,0.0,1963,0.21844077110290527,0.2932167848633227,0.23893213599813273,5.318536896274171,0.0
2,1.0256364345550537,-14.120721743192236,12.9113751645769,51.59235213450145,-31.643028310837174,0.0,0.6920508217264885,0.1,0.03435111045837402,0.2176811695098877,0.049848042,0.17091934,-13.599170446106971,-0.1496818150016719,-0.272172755687608,0.0,1953,0.21501755714416504,0.23271455363141175,0.17951111568755118,1.634649007843969,0.0
3,1.0182547569274902,-13.042438847268242,16.188441520491015,60.946985891319244,-31.888877057472957,0.0,0.6593774129766266,0.1,0.006667137145996094,0.2977426052093506,0.053677324,0.22028175,-13.543497286223099,-0.17905004795463264,-0.2507998198904575,0.0,1938,0.22017526626586914,0.22593771605978116,0.17637145622151756,4.294412610330529,0.0
4,1.2434935569763184,-12.19826785080077,14.564696171834507,87.70051114743355,-33.84048859405366,0.0,0.6972276741759778,0.1,0.051618337631225586,0.30495595932006836,0.052353896,0.264443,-13.408974342680866,-0.08715718650856723,-0.23379927605047968,0.0,1907,0.12955617904663086,0.15412248128982411,0.12266213691771176,2.522785461407433,0.0
5,1.3055150508880615,-13.377258314018611,13.353356102710615,52.293605067225755,-34.49582483048552,0.0,0.5998697371430907,0.1,0.04320883750915527,0.28112292289733887,0.058203492,0.6442747,-13.405802739814641,-0.1333753636897083,-0.2576612871084634,0.0,1914,0.15522170066833496,0.13785203673996943,0.11217991895433825,0.5248464114950389,0.0
6,1.0271120071411133,-14.073995138979527,14.770249889841022,89.89803714997787,-37.343461246061885,0.0,0.6019143894408213,0.1,0.03125500679016113,0.22277140617370605,0.05112204,3.4151766,-13.47262197973113,-0.18246631338708227,-0.2713452780380324,0.0,1862,0.18374896049499512,0.10139784483840253,0.09142731223379555,2.626561129450784,0.0
7,1.279869556427002,-11.634100926984592,16.781821674317307,61.87982859799188,-32.493754938586385,0.0,0.5965502201140711,0.1,0.014678239822387695,0.23857951164245605,0.046407916,0.38294446,-13.288769874456477,-0.1283674600343729,-0.22231093200100696,0.0,1885,0.266369104385376,0.15390357200814023,0.13768106551791207,4.984887553088459,0.0
8,1.2873528003692627,-9.044708411670674,20.737329458996342,151.43542533207307,-29.703668038470862,0.0,0.642593966760627,0.1,0.028112173080444336,0.2505757808685303,0.054285094,1.8725014,-12.864363728177896,-0.033652696969541186,-0.17117841831857775,0.0,1820,0.1635744571685791,0.20577275702662684,0.19407560539634472,3.9226511107133835,0.0
9,1.2637581825256348,-12.908521621395614,16.302033558177264,101.22890694072412,-30.932802501274633,0.0,0.6548715955264993,0.1,0.0057523250579833984,0.23300433158874512,0.05112046,1.1753931,-12.868779517499668,-0.18546275723027303,-0.2483802057516312,0.0,1808,0.25699853897094727,0.10180084999528527,0.09240571903574968,3.245657572269819,0.0
10,1.2493681907653809,-9.822517714857357,16.112632197638735,62.766408969986976,-34.65120582386251,0.0,0.5655049475133129,0.1,0.005901813507080078,0.2586040496826172,0.04920903,0.40392688,-12.564153337235437,-0.057365654808579046,-0.18672092458207565,0.0,1767,0.14833545684814453,0.1582878895898736,0.1458834411432422,2.4240560059286693,0.0
11,1.2245843410491943,-10.869612299479854,18.24056441145379,91.60550113118032,-27.61071869576697,0.0,0.5925736407570313,0.1,0.013118743896484375,0.2627859115600586,0.0494795,0.5521906,-12.394699233459878,-0.14084089248226786,-0.2071276526425776,0.0,1754,0.18167853355407715,0.13861773117859924,0.1301848132216221,2.9125097558398325,0.0
12,1.378150463104248,-11.094419937380147,14.360118921081487,72.9209423733347,-27.793703480562193,0.0,0.6044862646814302,0.1,0.035758256912231445,0.2893693447113037,0.050910972,0.6650158,-12.264671303851905,-0.1097974478939893,-0.21184255638279526,0.0,1796,0.16120648384094238,0.13262534620607655,0.1281511682052558,1.2342263086418188,0.0
13,1.1703922748565674,-11.98055791710805,9.310061495603684,30.981579167028002,-27.467303420372907,0.0,0.6004286216674399,0.1,0.010623931884765625,0.3175954818725586,0.049730483,0.43948942,-12.23625996517752,-0.07957875715052369,-0.22963251788048203,0.0,1770,0.18221402168273926,0.03517378466328486,0.032483014920333925,3.7506168789609378,0.0
14,0.9729721546173096,-10.619491295734319,12.357685885578997,43.35849574492792,-28.8069033035068,0.0,0.578307472239906,0.1,0.02110910415649414,0.2459113597869873,0.04908358,0.3924764,-12.0745830982332,-0.06339887533716983,-0.20271798622553175,0.0,1727,0.1643662452697754,0.08816081975142082,0.07816148834587487,3.1963973075672176,0.0
15,0.9779989719390869,-2.7258947784124223,34.14169160027621,223.6586358371116,-27.264276725395195,0.0,0.5737824242136393,0.1,0.013469219207763672,0.26770639419555664,0.04824069,1.9803047,-11.139714266251122,-0.004558834779942668,-0.04496427668644907,0.0,1721,0.12256383895874023,0.5435690245122883,0.5176210994608066,3.6163710752141336,0.0
16,1.4322009086608887,-9.74362497167448,14.940847844196854,101.8887908911506,-27.649368488315968,0.0,0.592471595051711,0.1,0.027185916900634766,0.2578716278076172,0.051237226,2.0793703,-11.000105336793458,-0.04567565397393542,-0.1848160837354518,0.0,1714,0.13941049575805664,0.11232918900449212,0.09901355260911628,5.1858001125174775,0.0
17,1.364518642425537,-8.723901329898787,13.551986828324864,52.299674920490624,-29.415252046739514,0.0,0.5518624117883107,0.1,0.04144716262817383,0.26224350929260254,0.050102767,1.5877464,-10.772484936103991,-0.008719258585768835,-0.16496229201156523,0.0,1649,0.1333482265472412,0.0987867603608303,0.09336411923169657,3.8848635620721703,0.0
18,1.3895673751831055,-6.831093841630935,17.087295875590446,72.87070521546603,-31.025202798348218,0.0,0.5784860959112913,0.1,0.02465081214904785,0.23975038528442383,0.04871664,0.3503291,-10.378345826656686,0.03736417709827039,-0.12667960048818092,0.0,1630,0.12652969360351562,0.1797322142854611,0.17450039267828124,10.072288257514181,0.0
19,1.0628600120544434,-10.57117005455759,10.622343865278978,51.25328335906697,-25.524051439319287,0.0,0.5946699343462221,0.1,0.02108478546142578,0.31236910820007324,0.05020244,0.834191,-10.397628249446775,-0.07975151352939301,-0.20157009909449478,0.0,1559,0.18324589729309082,0.06501107542963108,0.058975831175206606,3.8537061457111013,0.0
20,1.3141353130340576,-8.413689423733592,13.768324505744822,62.70656472153109,-22.384058604742204,0.0,0.5844816932449727,0.1,0.013335943222045898,0.2629985809326172,0.049574174,0.54136306,-10.199234366875457,-0.030672073832977736,-0.15807016595224788,0.0,1577,0.11889481544494629,0.12046604902290314,0.11538959835847924,3.8789501062223115,0.0
21,1.2517595291137695,-10.475916841263993,9.554627426479176,31.79263538658326,-24.836069931224337,0.0,0.515677362116457,0.1,0.0395047664642334,0.22027349472045898,0.051054046,0.66206115,-10.22690261431431,-0.06171307017862748,-0.19958016730361341,0.0,1539,0.2089076042175293,0.034282930389758076,0.03032767264764051,2.3491864476688518,0.0
22,1.3380916118621826,-5.749188130538723,22.64461638985747,173.3684774377098,-21.892784569684036,0.0,0.5371303962615143,0.1,0.006655454635620117,0.2351987361907959,0.048788473,5.4848137,-9.779131165936752,0.03428729369378747,-0.10510522828061948,0.0,1520,0.16831231117248535,0.35343198985825447,0.34343816916385134,3.0597550608798008,0.0
23,1.0733394622802734,-7.712523919513427,15.984383861675798,102.43074134211304,-22.300945943041043,0.0,0.5612710977449558,0.1,0.007030010223388672,0.20940470695495605,0.049098223,0.4837044,-9.57247044129442,0.013024949034434602,-0.14429027269250191,0.0,1471,0.12227797508239746,0.33246583169013694,0.32313399646549135,3.2559211585074426,0.0
24,1.264596700668335,-5.62360688482703,19.25996562188073,103.48387130553526,-23.629059404858634,0.0,0.5553862311195711,0.1,0.007410526275634766,0.18460345268249512,0.05098768,0.41844413,-9.177584085647682,0.05790662963475753,-0.1033031530313993,0.0,1451,0.10904645919799805,0.4198993842189661,0.4099155519068326,9.213493445084524,0.0
25,1.0116384029388428,-10.018598654864926,12.093554534876445,62.102146717073786,-28.232715042370927,0.0,0.5641872475429719,0.1,0.024651288986206055,0.22359967231750488,0.050060622,0.43376708,-9.261685542569406,-0.09223496594223667,-0.1901894372759613,0.0,1394,0.17730212211608887,0.15674148664713736,0.14821147887582953,11.059121168344122,0.0
