iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,4.908122539520264,-407.48071153079576,10.694169601979207,-377.62920421330756,-433.9438912291485,0.0,1.0351258948376982,0.1,0.06738924980163574,0.39145445823669434,0.06629001,0.107359186,-407.48071153079576,-4.001118239770082,-4.072753009298153,0.0,9600,1.7562980651855469,0.9993257913971357,0.20115975536351016,-360.6592632335627,0.0
1,4.685224294662476,-408.3148642606888,10.867558948258624,-375.1761967982906,-439.0867676473264,0.0,1.747345424155203,0.1,0.018173933029174805,0.48030662536621094,0.04986441,0.05911001,-407.56412680378503,-4.009513091565155,-4.0809668720922625,0.0,9600,1.534440517425537,0.20062845181231906,0.0860081752692643,-368.17410754148386,0.0
2,4.783820390701294,-409.3493369289258,9.610098810730248,-381.3769267549813,-433.6146609553734,0.0,1.5540718930227058,0.1,0.019897937774658203,0.4533355236053467,0.049286123,0.06924404,-407.7426478162991,-4.0197062697504995,-4.09135773576963,0.0,9600,0.8325119018554688,0.0946244710065364,0.06539322374575375,-369.2977593884043,0.0
3,4.78629207611084,-408.9383319839744,7.968689440521915,-382.1809018000131,-433.6735726234662,0.0,1.6810250426553253,0.1,0.013461828231811523,0.2974982261657715,0.049384728,0.058132846,-407.86221623306665,-4.015433218619272,-4.0872205454673685,0.0,9600,0.8793759346008301,0.06449206720566111,0.047324098460216915,-360.2931068224104,0.0
4,4.692687511444092,-406.15822295182744,8.87733407344267,-379.3911983033197,-438.1867594013881,0.0,1.785415993195842,0.1,0.010915040969848633,0.3359062671661377,0.049589135,0.058894668,-407.69181690494275,-3.9874750881900773,-4.0594930037857795,0.0,9600,1.4410147666931152,0.0486442436371952,0.031197618584784228,-352.5492102598849,0.0
5,4.759568929672241,-406.55439773825475,10.47855937215155,-364.84634218438987,-435.3476137848029,0.0,1.6233665382077325,0.1,0.017084598541259766,0.33060240745544434,0.049871825,0.06448553,-407.57807498827395,-3.991287237038886,-4.063466921775068,0.0,9600,2.0221424102783203,0.03539174275946195,0.020469733143054194,-350.46807796368347,0.0
6,4.854867458343506,-403.92675919728254,9.97263960043222,-374.065440537907,-432.22384380913076,0.0,1.728300427489808,0.1,0.01857781410217285,0.3872566223144531,0.049384974,0.05906838,-407.21294340917484,-3.9652102133793647,-4.037226307915816,0.0,9600,2.0015311241149902,0.021200159739548953,0.011571908601294164,-352.241993839804,0.0
7,4.892259359359741,-406.7980058149583,10.745235391570509,-371.3997256663475,-435.47974273424404,0.0,1.714829675879281,0.1,0.029401063919067383,0.3289508819580078,0.04968799,0.0583296,-407.1714496497532,-3.9935854479910007,-4.065899222025517,0.0,9600,2.072850465774536,0.0139054531098959,0.006763829164787655,-354.6301490876121,0.0
8,5.018633127212524,-406.63790234973277,10.362074387527107,-380.7986544003548,-438.2519781709515,0.0,1.7216078289910497,0.1,0.013952970504760742,0.4192652702331543,0.052499637,0.056979816,-407.1180949197511,-3.991459266637745,-4.064269439487616,0.0,9600,2.936235189437866,0.006653997031993432,0.0030564952537922153,-369.5650655380074,0.0
9,4.935069561004639,-404.3915194847811,10.840484294521707,-375.82658432314514,-435.0387049756675,0.0,1.735777299596266,0.1,0.017867088317871094,0.41157960891723633,0.051424343,0.058838505,-406.84543737625415,-3.9693542293140744,-4.041769366773214,0.0,9600,3.0470733642578125,0.003298681759144134,0.001624275614886186,-369.7207367232355,0.0
10,5.010588884353638,-400.817909925386,12.664357786678128,-369.1314867401561,-433.4324335945477,0.0,1.5440446892490343,0.1,0.01622796058654785,0.3586764335632324,0.05073546,0.06598018,-406.2426846311673,-3.9335946320100574,-4.006159217053111,0.0,9600,2.708221435546875,0.002133000309924017,0.001166575933160304,-361.03354981725755,0.0
11,4.77491307258606,-391.8944756190708,11.900261638084514,-358.7765750468985,-414.0258818800268,0.0,1.4512792086751494,0.1,0.01617431640625,0.47676992416381836,0.052152906,0.07047359,-404.8078637299577,-3.8441675260632695,-3.916942073793789,0.0,9600,2.851320266723633,0.001632200250087539,0.0009538161336908877,-334.8397801442201,0.0
12,4.8016626834869385,-387.97516498368947,11.028066891791669,-365.2850002243583,-412.492218048038,0.0,1.5276260654700555,0.1,0.016837120056152344,0.358262300491333,0.05125894,0.06543989,-403.12459385533094,-3.805073036781184,-3.8777808474227293,0.0,9600,2.8114147186279297,0.000999817031486873,0.0007637878410347274,-299.92847396281576,0.0
13,4.772100448608398,-379.0220548003117,11.514718396389629,-341.5103415615784,-413.81170147474023,0.0,1.4047615327369989,0.1,0.01659417152404785,0.32786035537719727,0.052067738,0.074929155,-400.714339949829,-3.7155143706228557,-3.7883314176146974,0.0,9600,1.8390140533447266,0.0009584999876554605,0.000703090426455664,-281.96477212483626,0.0
14,4.729867219924927,-366.6548382299789,11.06463201914319,-322.4655907822276,-391.1459779256138,0.0,1.4034578292673685,0.1,0.02962946891784668,0.3393208980560303,0.051834926,0.07226244,-397.308389777844,-3.5918741028453383,-3.6647193249608327,0.0,9600,2.991190195083618,0.0010035032031897675,0.0007266076508936267,-259.7706247510155,0.0
15,4.740746021270752,-354.25354176484797,12.215506376503114,-323.4182094324251,-389.17571236513584,0.0,1.3651481028864465,0.1,0.012289047241210938,0.5182232856750488,0.052301876,0.077327654,-393.0029049765444,-3.4680164190868923,-3.5408571297600115,0.0,9600,2.841264009475708,0.0013641428181746004,0.0009020823660475695,-241.21129115665923,0.0
