iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,4.993094205856323,-336.10594699784724,27.978204032378393,-265.78622129729627,-408.6393906587972,0.0,1.0458485616732431,0.1,0.056783199310302734,0.41283631324768066,0.052848257,0.09928478,-336.10594699784724,-3.2889262617299653,-3.3605505448359305,0.0,9600,0.9495928287506104,0.9995907454146161,0.20968125318998496,-299.1615244222374,0.0
1,4.733037233352661,-334.69152999307966,26.28360830963978,-277.1881041319808,-401.47977279457695,0.0,1.2863872189233783,0.1,0.014864683151245117,0.41221070289611816,0.04606981,0.07556633,-335.96450529737047,-3.274809479147308,-3.3464858812581504,0.0,9600,0.95343017578125,0.2099935713925024,0.10821996166494754,-298.76778355252947,0.0
2,4.776029825210571,-336.99339390442384,29.849501793405828,-264.23455183569604,-404.7648963266221,0.0,1.2555173373578639,0.1,0.015678882598876953,0.4350769519805908,0.052856103,0.083873995,-336.06739415807584,-3.2976091943491315,-3.369437940010668,0.0,9600,0.9100797176361084,0.11462893563147432,0.0822205879039857,-296.94217223780555,0.0
3,4.7688422203063965,-335.9126982231556,30.8514100072267,-249.5290222321206,-407.3699419252361,0.0,1.2454791062988884,0.1,0.01224207878112793,0.4122753143310547,0.047844805,0.081249796,-336.0519245645838,-3.2870828461520936,-3.3585969534027367,0.0,9600,0.9883785247802734,0.09124157502349525,0.057475245238996976,-299.2388275721991,0.0
4,4.773768663406372,-332.6749716097028,26.31480463483498,-259.36367630362537,-399.38942681783516,0.0,1.2187188863929919,0.1,0.03088688850402832,0.4441714286804199,0.0509727,0.08708231,-335.7142292690957,-3.2545035967645624,-3.326210429000716,0.0,9600,1.0729904174804688,0.05857381076809264,0.02701697456959914,-302.1361651952575,0.0
5,4.7434327602386475,-334.7646993556867,28.780036259163815,-281.1377714404768,-394.7552204848878,0.0,1.2003766020016076,0.1,0.035172462463378906,0.40061140060424805,0.04879836,0.084494166,-335.6192762777548,-3.2757605269250285,-3.347217883524029,0.0,9600,1.6994702816009521,0.033923764670537246,0.011336432427716005,-298.93576653297043,0.0
6,4.969309091567993,-339.13502363882543,27.896164927138663,-272.95503165027446,-399.47748232149405,0.0,1.2246875609102887,0.1,0.01434779167175293,0.4095876216888428,0.049551804,0.082076825,-335.9708510138619,-3.319276522726438,-3.390726889063993,0.0,9600,2.069990634918213,0.012800894579872131,0.004955050467167833,-300.0184158275717,0.0
7,4.952370643615723,-337.7899718620287,28.891912112763055,-268.39648772820755,-399.5713928313045,0.0,1.1876753994472156,0.1,0.020145416259765625,0.4086599349975586,0.051492754,0.08651963,-336.1527630986785,-3.3058083097068605,-3.377425534223324,0.0,9600,1.8843235969543457,0.0060648357017291914,0.0034896424945670794,-297.4889172060607,0.0
8,4.850168228149414,-329.37527753100335,27.529285160031442,-271.754480925945,-392.7678357770142,0.0,1.1799374044730808,0.1,0.014858245849609375,0.40044522285461426,0.049274143,0.08275471,-335.475014541911,-3.221721887510602,-3.2933406291425023,0.0,9600,2.0554680824279785,0.004940172626081197,0.003040984591603059,-294.40471025615864,0.0
9,4.95681095123291,-334.4027364636811,28.857324563658914,-267.48836045509773,-413.665279556037,0.0,1.2010895505914834,0.1,0.012984514236450195,0.3923192024230957,0.052556124,0.08179089,-335.367786734088,-3.2715199158745567,-3.34323670515164,0.0,9600,2.0808780193328857,0.004042911881420156,0.0026306222950274304,-294.67135681711426,0.0
