iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.639899730682373,-20.38247801490778,7.958097577286267,14.732946386656508,-35.888992505819886,0.0,0.4289148675992566,0.1,0.2567155361175537,0.8715815544128418,0.05315844,0.2890407,-20.38247801490778,-0.15817072023898537,-0.16399561670848448,0.0,1698,0.2736983299255371,1.0010866990778906,0.7999566207119845,22.529406538053102,0.0
1,1.3874707221984863,-19.528906297863056,9.094581290392798,17.763035467999586,-36.58397805256514,0.0,0.6375259051155033,0.1,0.1280529499053955,0.35460686683654785,0.053072635,0.19734974,-20.29712084320331,-0.15416601659715198,-0.15545798456154347,0.0,1720,0.15421104431152344,0.7993496058859471,0.034540822058138,284.9147131892635,100.0
2,1.570568561553955,-18.172932106973917,9.054810198323603,6.144385437585207,-36.028291581876196,0.0,0.6723229426601302,0.1,0.14629745483398438,0.47681283950805664,0.05417831,0.19229987,-20.084701969580372,-0.15666022185739334,-0.1419000739892369,0.0,1955,0.16190218925476074,0.03346997275514123,0.02749585586842856,50.84848665907341,100.0
3,1.614457368850708,-13.564812147442696,10.418703713983875,18.183356123513498,-31.513850075005408,0.0,0.6711727649037853,0.1,0.16997194290161133,0.7048735618591309,0.063234195,0.22904867,-19.432712987366607,-0.15264272866387865,-0.09581746525451484,0.0,2085,0.18036341667175293,0.046052042840424565,0.03858740650931298,-22.59701403873688,0.0
4,1.632995367050171,-5.032671747239248,12.322058117041916,40.03111424671736,-25.3275955743624,0.0,0.7490409218660706,0.1,0.16412043571472168,0.6995053291320801,0.055317324,0.16152726,-17.99270886335387,-0.14640926230323179,-0.010495759499434903,0.0,2295,0.42099952697753906,0.07975673155019154,0.05842126864852548,-17.69455252065471,0.0
5,1.931251049041748,5.428948753144444,21.24421159219205,116.33422573735413,-27.15448214572455,2.0833333333333335,0.778590589126503,0.1,0.16377878189086914,0.6561462879180908,0.05527963,0.1567391,-15.65054310170404,-0.1438383995514493,0.09412122099895286,2.0833333333333335,2647,0.31986451148986816,0.18823776677507406,0.1277433235680183,-24.624165782509326,0.0
6,2.0864784717559814,14.317738108105226,19.717031451187854,67.82432151486644,-23.555241414686368,6.25,0.8828903693960332,0.1,0.14055085182189941,0.6792001724243164,0.052519593,0.12426632,-12.653714980723114,-0.14179796837473557,0.18300734941484376,6.25,3046,0.3107273578643799,0.145207981378214,0.09387934244935524,-28.150592236307027,0.0
7,2.305488109588623,26.20748847315706,20.147361454196734,97.48421612645515,-12.505130603266913,12.5,0.9228493339179302,0.1,0.05284237861633301,0.3157167434692383,0.051986605,0.13001579,-8.767594635335097,-0.13909171602520376,0.30190351996936765,12.5,3579,0.3923780918121338,0.14118381118271206,0.1182266289077687,-28.7324959048605,0.0
8,2.7556748390197754,31.508868462741606,24.128596956644316,114.30017102502634,-18.242846989981054,6.25,1.0695281655586444,0.1,0.06890487670898438,0.5476808547973633,0.051715694,0.098264664,-4.739948325527427,-0.14055316609938998,0.35491729937679284,6.25,4024,0.46243786811828613,0.18873671812770582,0.1582477357585738,-28.354558329943696,0.0
9,3.4466493129730225,66.63398679981164,44.200629975822046,211.45870981234424,-13.849909772067377,4.166666666666667,1.2935411041832274,0.1,0.006186246871948242,0.15519428253173828,0.051252425,0.08263678,2.397445187006479,-0.13718038072079877,0.7061701318636651,4.166666666666667,5687,0.7390012741088867,0.6565101806912058,0.37761104612315105,-28.343403817359068,0.0
