iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.2257843017578125,-29.94678485131696,7.622326459491445,-7.26816716093542,-42.836286363262616,0.0,0.34051132854193317,0.1,0.05431032180786133,0.20111727714538574,0.058130328,0.45135522,-29.94678485131696,-0.14382946293912155,-0.2596786927735133,0.0,939,0.11804866790771484,1.0011052895659271,0.9635903649824333,-7.436472249019072,0.0
1,1.068443775177002,-29.47825265058886,7.493720553373556,-7.707489374812923,-42.83231841032776,0.0,0.4676800678642053,0.1,0.004325151443481445,0.19598841667175293,0.050216068,0.26817283,-29.899931631244147,-0.13945106517603773,-0.2549931043701819,0.0,909,0.10224795341491699,0.9633762636955866,0.7714923173972249,7.454420965166448,0.0
2,1.028496265411377,-30.038476842370738,7.779533698738855,-7.835142804396654,-43.10525347528505,0.0,0.5428949598317305,0.1,0.0371553897857666,0.159468412399292,0.053297263,0.21179979,-29.913786152356806,-0.14151951199610768,-0.26059471491192443,0.0,970,0.061556100845336914,0.7722712578866147,0.25055286540578314,31.52364162374917,0.0
3,1.1841113567352295,-28.518766590201484,11.589485692378755,22.30793415163994,-44.10802921636438,0.0,0.5398227433571466,0.1,0.004190206527709961,0.0851738452911377,0.05321612,0.23873422,-29.774284196141277,-0.1397036747452107,-0.24539977424589396,0.0,1049,0.06997299194335938,0.2564097681376589,0.04358769848482161,88.63137582587638,0.0
4,1.0961034297943115,-25.982685727300183,9.315375364649807,15.981436996281026,-42.815238527918375,0.0,0.5304032844345385,0.1,0.004278421401977539,0.08487629890441895,0.055928823,0.237148,-29.395124349257166,-0.1402001184310311,-0.22003939098932787,0.0,1134,0.08761048316955566,0.03960302993485443,0.030705183106115586,-2.518385671845097,0.0
5,1.2874181270599365,-23.235757340493887,13.486374694289589,39.39029038452175,-39.21361911862452,0.0,0.5634734905620886,0.1,0.010274648666381836,0.355806827545166,0.05406658,0.24098952,-28.779187648380837,-0.13839872133353742,-0.19256758220647482,0.0,1266,0.09722757339477539,0.062331989791238114,0.06035234931015293,-11.647233395931611,0.0
6,1.3243839740753174,-23.111713727509425,10.055489146332624,31.57197850610121,-41.00703496079188,0.0,0.5882810325803579,0.1,0.01251077651977539,0.2808654308319092,0.05239303,0.19800001,-28.212440256293696,-0.13876170374720426,-0.1913276597031397,0.0,1380,0.13464093208312988,0.0364166672936995,0.03389956400468005,-21.933153815976837,0.0
7,1.2796666622161865,-19.117715929228225,10.62373443665794,12.423276225152463,-40.31205863649836,0.0,0.6089941516653218,0.1,0.013533830642700195,0.27663087844848633,0.05148327,0.20078431,-27.30296782358715,-0.1365727819267216,-0.15138728392072173,0.0,1476,0.17226672172546387,0.04631311926988894,0.039361706327106914,-27.440327096542795,0.0
8,1.3634388446807861,-20.376552359370933,9.60509679643871,11.678819731233766,-35.74392341980585,0.0,0.6775898800878764,0.1,0.02175617218017578,0.21198415756225586,0.049858056,0.17361256,-26.61032627716553,-0.13488621060094783,-0.16397899646191647,0.0,1478,0.1353902816772461,0.03281228791110166,0.027632645894477333,-28.539794970963055,0.0
9,1.5555698871612549,-18.19853423328293,14.678849321143478,41.21382615238972,-39.656782395449284,0.0,0.6778940979148976,0.1,0.0048716068267822266,0.20531177520751953,0.050174378,0.17986578,-25.769147072777272,-0.1349081822313534,-0.1421980882283988,0.0,1723,0.21374297142028809,0.06909852963261545,0.06081408866106354,-29.26835518575644,0.0
10,1.409841775894165,-15.470438188689707,12.870192273793036,22.726355249926264,-36.23589513147107,0.0,0.6232598854450322,0.1,0.009921789169311523,0.3358919620513916,0.051823817,0.19841936,-24.739276184368517,-0.13219379614120874,-0.11491766274718085,0.0,1683,0.12453770637512207,0.042531062934426496,0.03851246568562203,-31.383358148999783,0.0
11,1.68839430809021,-13.916438978184729,14.908466077908715,39.46394667767454,-38.07715179883739,0.0,0.6825632235165597,0.1,0.06201577186584473,0.34122395515441895,0.050822146,0.16500306,-23.65699246375014,-0.13376736774730233,-0.09937770920979204,0.0,1874,0.1936798095703125,0.05955320757212185,0.055738338359011076,-31.19328266762068,0.0
12,1.419219970703125,-14.666630085780186,15.445572370913075,34.32437792591226,-39.05039540862907,0.0,0.7392761761404529,0.1,0.024075031280517578,0.2937135696411133,0.050484452,0.1693343,-22.757956225953144,-0.13341917396305317,-0.10687822902753168,0.0,1950,0.4540224075317383,0.062059138606237144,0.06123907927153503,-31.159652999600375,0.0
13,1.4688384532928467,-9.142180737693215,20.636050258914093,77.62497820299552,-35.43865563800047,0.0,0.742568889705238,0.1,0.03595280647277832,0.3758664131164551,0.052654773,0.16040754,-21.396378677127153,-0.1310491731517618,-0.05163545952882548,0.0,2058,0.15626811981201172,0.11411583309717373,0.10750270088322955,-32.36589400783399,0.0
14,1.6990418434143066,-10.793148123326889,19.7080110643102,62.19272103226283,-35.51827203320415,0.0,0.7512123384572195,0.1,0.050864458084106445,0.24754953384399414,0.05180899,0.14933066,-20.33605562174713,-0.13341990989707894,-0.06814363669890093,0.0,2152,0.1588289737701416,0.0896244158424516,0.08665928161727442,-32.58025071674979,0.0
15,1.8236849308013916,-4.133111242463737,28.659020240508664,141.44727703649892,-43.154323768459534,1.0416666666666667,0.7873893782990334,0.1,0.01277303695678711,0.3438231945037842,0.051389586,0.15075728,-18.71576118381879,-0.13381188800688046,-0.0015439702386762487,1.0416666666666667,2512,0.3048818111419678,0.22737411519078962,0.21412195144037582,-33.80952785768758,0.0
16,1.8248257637023926,-4.752368617049446,22.082112989343912,53.28459487250734,-44.16321587273612,1.0416666666666667,0.8016019362613209,0.1,0.039411306381225586,0.30561113357543945,0.050541356,0.14445688,-17.319421927141857,-0.13317002084962917,-0.0077365353695561315,1.0416666666666667,2690,0.31545042991638184,0.11261390781693054,0.11089310454062669,-34.30416496844556,0.0
17,2.0709035396575928,-4.384268526747452,30.39737899273485,185.37196100052773,-38.07376454495076,3.125,0.8578119576568519,0.1,0.02896881103515625,0.29885315895080566,0.050375454,0.14164948,-16.025906587102416,-0.13424541827452166,-0.004053793965319765,3.125,2839,0.3674607276916504,0.21974743010635386,0.21715994744773198,-33.80041285200386,0.0
18,1.9324007034301758,0.9384586150028665,28.155358862189914,84.57876606390252,-43.05498726835417,2.0833333333333335,0.876246060081973,0.1,0.005109548568725586,0.11444687843322754,0.05074107,0.12925267,-14.329470066891888,-0.1326147653717783,0.04917081943111005,2.0833333333333335,3049,0.21461939811706543,0.1611078586995117,0.15583142073672646,-32.36190672930965,0.0
19,2.1026358604431152,5.955321259911973,31.444413470467577,92.66255135275975,-36.56038659084477,3.125,0.9553156916095465,0.1,0.0056514739990234375,0.13697099685668945,0.050647266,0.11416287,-12.300990934211503,-0.1306367653295211,0.09933958415601209,3.125,3124,0.40872883796691895,0.22770503343795945,0.2206978615267828,-32.141485387414754,0.0
20,2.234815835952759,4.263800096959208,33.299970777223955,147.79655581789513,-35.33272403131441,2.0833333333333335,0.9089122007085151,0.1,0.012812376022338867,0.35021495819091797,0.050732408,0.12484372,-10.644511831094432,-0.13061465538921466,0.08242450569310349,2.0833333333333335,3278,0.4196505546569824,0.2647781977072786,0.26030300485609326,-30.667586802944555,0.0
21,2.614879846572876,18.791104615233923,43.74949411419065,187.27810484336408,-46.31247521547721,7.291666666666667,0.9536837276303736,0.1,0.005970954895019531,0.3310708999633789,0.051492054,0.11954454,-7.700950186461597,-0.13061098140453858,0.22769742888035907,7.291666666666667,4022,0.38034796714782715,0.37798017632618786,0.37452908730672174,-30.64078371028055,0.0
22,2.640207529067993,16.372584022316882,47.880730439045095,241.63716556402755,-41.46174522334991,7.291666666666667,0.9933944388091871,0.1,0.06725549697875977,0.4097404479980469,0.05042539,0.11224131,-5.293596765583749,-0.1324414229346019,0.20351328792992054,7.291666666666667,3910,0.37638425827026367,0.4379989430602133,0.4237474474316835,-29.900004371799692,0.0
23,2.813899517059326,17.20577943636071,41.13876506702903,213.58793205244322,-34.55559399292263,3.125,1.1596410228270262,0.1,0.026591777801513672,0.30411767959594727,0.05013181,0.10683055,-3.043659145389303,-0.13212583208301823,0.21184423097929997,3.125,4362,0.7362878322601318,0.30483459562794707,0.29793076438602234,-29.677811036275262,0.0
24,2.7875680923461914,28.78991465606384,49.336970546333305,232.47259335111931,-39.29443717931076,8.333333333333334,1.033534448519808,0.1,0.026934146881103516,0.38341665267944336,0.05037461,0.11158894,0.13969823475601117,-0.13058081007639097,0.3276851947469566,8.333333333333334,4586,0.7669825553894043,0.42466472612316114,0.4063034836985868,-26.499324518679177,0.0
25,3.269047975540161,27.472790716429717,51.11209708428713,212.98905247641017,-37.08385076114304,9.375,1.1846815965093425,0.1,0.04942679405212402,0.33673572540283203,0.04977928,0.09051167,2.873007482923382,-0.13164198889621656,0.3145146153388874,9.375,5339,1.2851793766021729,0.4237794865579448,0.41176432300434046,-25.024194620164476,0.0
26,3.5111656188964844,37.5283913172409,68.06658817230823,389.36488798707876,-39.541320551405065,5.208333333333333,1.3008344636744809,0.1,0.011178255081176758,0.36152148246765137,0.05008104,0.08565914,6.338545866355135,-0.13306044333802733,0.4098604144952466,5.208333333333333,6171,1.4192028045654297,0.6593133073404874,0.616494015125702,-24.112478240020806,0.0
27,3.9623942375183105,67.55818549755108,87.35138571420154,381.42616445280834,-32.20106596337922,4.166666666666667,1.3676410852585885,0.1,0.010800600051879883,0.3537099361419678,0.05059315,0.078100465,12.46050982947473,-0.13323831632620103,0.7153675181715732,4.166666666666667,6936,1.5920422077178955,0.8129061530215016,0.7231147515832194,-24.854424589028383,0.0
28,4.388585805892944,116.34674571281478,119.24754991774586,435.47690541866666,-39.04485073045413,8.333333333333334,1.4863932708647583,0.1,0.011497974395751953,0.39247870445251465,0.050348822,0.0694285,22.849133417808737,-0.12914319509328306,1.1871986811135653,8.333333333333334,8173,1.969897985458374,0.7875776179000509,0.6371228351005571,-24.602548603852735,0.0
