hip_flexion_l,hip_adduction_l,hip_rotation_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_l,osl_knee_angle_r,ankle_angle_l,osl_ankle_angle_r,pelvis_euler_roll,pelvis_euler_pitch,pelvis_euler_yaw,pelvis_vel_X,pelvis_vel_Y,pelvis_vel_Z,l_foot_relative_X,l_foot_relative_Y,l_foot_relative_Z,r_foot_relative_X,r_foot_relative_Y,r_foot_relative_Z
0.482554915,0.016533679,-0.118054769,-0.297110191,0.027959302,-0.250894571,-0.051825632,0.102300729,0.105687017,0.255768403,0.012550139,0.067847231,-1.561603852,1.29439,0.12196,-0.23504,0.46466,-0.11492,-0.74614,-0.18441,0.10426,-0.85992
0.486526721,0.018594032,-0.107967268,-0.296376956,0.021547094,-0.248998469,-0.050761664,0.110195345,0.110943172,0.250559097,0.015729345,0.071461634,-1.564150911,1.307553688,0.127931434,-0.215534458,0.466787704,-0.112943251,-0.744225277,-0.186616401,0.107787233,-0.86017886
0.488675299,0.022429312,-0.097104646,-0.296786264,0.012989809,-0.245460768,-0.047356919,0.118770651,0.115900762,0.243271056,0.020240108,0.073531139,-1.567761805,1.317836098,0.132701615,-0.190638243,0.466989865,-0.110135165,-0.743844715,-0.189856348,0.11254671,-0.860401585
0.488841676,0.02756267,-0.088164485,-0.29920886,0.00350194,-0.240288485,-0.041591279,0.127209924,0.118366846,0.234526936,0.025344801,0.073716043,-1.571942411,1.330372636,0.139595454,-0.1636042,0.465258311,-0.106884623,-0.745215989,-0.194561446,0.117954361,-0.860320677
0.486944313,0.033506904,-0.083680839,-0.304403685,-0.005739719,-0.233538668,-0.033433093,0.134753434,0.116376401,0.224929012,0.030327313,0.071753131,-1.576207516,1.349907299,0.151603669,-0.137688803,0.461620525,-0.103565347,-0.748507815,-0.201097432,0.123443724,-0.859693573
0.483801801,0.039654454,-0.084286745,-0.311829952,-0.013996655,-0.225850033,-0.022716691,0.141303985,0.110613924,0.214842631,0.034721681,0.068268357,-1.580175487,1.376633974,0.167831983,-0.116190683,0.456518469,-0.10037482,-0.753319783,-0.209064315,0.128653026,-0.858567554
0.480813462,0.045320111,-0.089388776,-0.320108343,-0.020813118,-0.218236561,-0.00918994,0.147191824,0.10347328,0.204480279,0.038223324,0.064461335,-1.583531523,1.407810987,0.184879669,-0.102435671,0.450661516,-0.097396823,-0.758884308,-0.217568092,0.133352549,-0.857176896
0.479379655,0.049822178,-0.098360219,-0.327850048,-0.025744093,-0.211711957,0.007392512,0.152756638,0.097360745,0.194052185,0.040534395,0.061534485,-1.585965374,1.440635011,0.199315073,-0.09970342,0.444761731,-0.094712472,-0.764430508,-0.225710285,0.137316784,-0.855758346
0.480382254,0.052767459,-0.109803733,-0.333935444,-0.028706071,-0.206898006,0.026782516,0.158477157,0.093717768,0.183785795,0.041599644,0.060285108,-1.587373188,1.471538889,0.208357292,-0.108475637,0.439425505,-0.092356816,-0.769357073,-0.232818178,0.140440673,-0.854509907
0.483899487,0.054209932,-0.121127499,-0.337662148,-0.030175874,-0.20380902,0.047967003,0.165047624,0.092490316,0.17393525,0.041739841,0.060882563,-1.587971029,1.49577153,0.210234091,-0.124897218,0.435095428,-0.090293493,-0.773325526,-0.23856898,0.142805847,-0.85356953
0.48994045,0.054242041,-0.129636948,-0.338363666,-0.030678525,-0.202407055,0.069867101,0.173180819,0.093495717,0.164756987,0.041308104,0.063442195,-1.588002481,1.50848,0.20326,-0.14474,0.4322,-0.08848,-0.77602,-0.24267,0.14451,-0.85307
0.498166141,0.053070205,-0.133291131,-0.335787698,-0.030721784,-0.202479986,0.091333522,0.183372812,0.096155548,0.156315727,0.040625536,0.067822747,-1.587715587,1.506704005,0.187140069,-0.163620199,0.430949787,-0.086860505,-0.77731565,-0.24506677,0.145667274,-0.853073532
0.506845165,0.051356747,-0.132663583,-0.331338719,-0.030744363,-0.203118959,0.110935304,0.195252832,0.098308392,0.147909336,0.039885181,0.072856568,-1.587376232,1.495053821,0.167141416,-0.176531544,0.430683614,-0.085325865,-0.777851731,-0.246657708,0.146457604,-0.853360064
0.51389803,0.049877967,-0.128981456,-0.326835397,-0.031167711,-0.203240941,0.127171067,0.208233396,0.097397088,0.138643967,0.03924807,0.077119407,-1.587254758,1.480032363,0.149921675,-0.178312144,0.430522373,-0.083753611,-0.77845852,-0.248579451,0.147077371,-0.853638963
0.517390962,0.049383725,-0.123472349,-0.323987247,-0.0324039,-0.201833582,0.138681264,0.221736738,0.091057867,0.127654542,0.038881468,0.079286384,-1.587601358,1.467915262,0.141783215,-0.164302567,0.42963318,-0.082015131,-0.779917445,-0.25189372,0.147733085,-0.85363768
0.517084148,0.050316569,-0.11736901,-0.323234906,-0.034756001,-0.198706268,0.145755177,0.235298052,0.079175169,0.114410461,0.039025163,0.079187811,-1.588431986,1.462335932,0.144898417,-0.135684469,0.427720494,-0.079910418,-0.782442074,-0.256791318,0.148748969,-0.85329389
0.513830653,0.052920777,-0.111907512,-0.324200376,-0.03845676,-0.194198531,0.14974585,0.248525411,0.063083892,0.098596915,0.039965728,0.077399282,-1.589611471,1.46522313,0.15877516,-0.097407953,0.424835453,-0.077193404,-0.78587961,-0.262901168,0.150525196,-0.8526809
0.508505026,0.05743216,-0.108310471,-0.32648644,-0.04373407,-0.188657027,0.152023051,0.261036022,0.044145786,0.079914944,0.041987059,0.074510856,-1.591001833,1.478428882,0.182840002,-0.054487724,0.4210379,-0.073620278,-0.790069078,-0.26984074,0.153458429,-0.851874556
0.502177729,0.063776611,-0.10698975,-0.329361215,-0.050594862,-0.182325482,0.153896375,0.272922313,0.023883116,0.058800739,0.045165726,0.071235012,-1.592447649,1.500905759,0.214305094,-0.012046131,0.416563478,-0.069128691,-0.79472526,-0.277102456,0.157658998,-0.850967611
0.496222895,0.071399663,-0.107100547,-0.331574096,-0.058703582,-0.175288088,0.156582147,0.285013302,0.004066949,0.036829982,0.049256941,0.068473978,-1.593766461,1.527112188,0.246950242,0.024627628,0.41192032,-0.063937561,-0.799370356,-0.283984904,0.162793411,-0.850079022
0.492040779,0.079705522,-0.107689956,-0.331829851,-0.067695213,-0.167615313,0.161288669,0.298201371,-0.013510245,0.015676373,0.05398827,0.067146307,-1.594773486,1.55112,0.27426,0.05023,0.40764,-0.05829,-0.80351,-0.28977,0.16849,-0.84933
0.49056752,0.088098719,-0.10786763,-0.32919764,-0.077132997,-0.159592261,0.168878485,0.313259323,-0.027358194,-0.003421612,0.059016654,0.06784096,-1.595301071,1.568098243,0.291109583,0.060955496,0.404062986,-0.052466116,-0.806795872,-0.293995661,0.174342084,-0.848791333
0.490882785,0.095985075,-0.106993429,-0.324204166,-0.086293205,-0.152362589,0.178831116,0.330481657,-0.037195425,-0.020966391,0.06371653,0.069828529,-1.595250099,1.577604825,0.297936848,0.05899087,0.400765338,-0.046893999,-0.809463832,-0.297223806,0.179802934,-0.848332115
0.491602125,0.10277073,-0.104489773,-0.317740521,-0.094380366,-0.147284591,0.190280325,0.35004329,-0.043042663,-0.037895602,0.067391709,0.072050014,-1.594538584,1.580294872,0.296570315,0.04802094,0.397132009,-0.042038735,-0.811895786,-0.300272357,0.184290807,-0.847771015
0.491399523,0.107896363,-0.09987809,-0.310696894,-0.100653004,-0.14562191,0.202393901,0.372031394,-0.044941651,-0.055152581,0.06939659,0.07348531,-1.593101665,1.576997058,0.288957967,0.031849875,0.392573008,-0.03833209,-0.814455996,-0.30392522,0.187268596,-0.84693685
0.489628246,0.11120416,-0.093830844,-0.303952967,-0.104997372,-0.14753784,0.214735206,0.395513027,-0.043178479,-0.07374683,0.069673687,0.073566478,-1.591073555,1.570557575,0.27843656,0.015669317,0.386789577,-0.035818463,-0.817303603,-0.308570879,0.188718061,-0.845776398
0.486079807,0.11279534,-0.087763098,-0.298381643,-0.107704702,-0.152485777,0.227122805,0.418897118,-0.038196876,-0.094730549,0.068544945,0.072017302,-1.588716902,1.565124238,0.26923883,0.00556605,0.37967085,-0.034292343,-0.820465417,-0.314342705,0.188955723,-0.84431254
0.480562234,0.112782198,-0.083096408,-0.294841227,-0.109077068,-0.15989562,0.239378297,0.440595437,-0.030453769,-0.119136391,0.066341938,0.068576659,-1.586294435,1.564806453,0.265563208,0.0075801,0.371116427,-0.033540753,-0.823963801,-0.321362244,0.188305907,-0.842570747
0.473436083,0.11168253,-0.080899343,-0.293320848,-0.109661825,-0.168497377,0.251250042,0.459848536,-0.021040328,-0.146781831,0.063594816,0.063597436,-1.583945192,1.570107476,0.268653842,0.024050691,0.361465805,-0.033152755,-0.827686916,-0.329296597,0.187226725,-0.840655933
0.46591833,0.110642657,-0.081693335,-0.292462409,-0.110386521,-0.175936226,0.262372883,0.477181575,-0.012030803,-0.175600809,0.06114152,0.058384241,-1.581616497,1.575941025,0.275175738,0.051580809,0.35174033,-0.032410563,-0.8313149,-0.337108476,0.186383652,-0.838796139
0.459299624,0.110862965,-0.085952753,-0.290791925,-0.112211406,-0.179764026,0.272371894,0.493230221,-0.005584006,-0.203365241,0.059846467,0.054323548,-1.579239183,1.57674,0.2814,0.08628,0.34302,-0.03057,-0.83451,-0.3437,0.18646,-0.83723
0.454640482,0.113318912,-0.09375792,-0.286974162,-0.115860553,-0.178359308,0.280983576,0.508785485,-0.003428498,-0.228182093,0.060379078,0.052541573,-1.57674421,1.567724794,0.284094239,0.123956243,0.336174799,-0.027065432,-0.837005002,-0.348178709,0.187968493,-0.836129883
0.452080898,0.118086234,-0.103612975,-0.280228899,-0.121113319,-0.173407284,0.288390115,0.525259758,-0.005571821,-0.249498528,0.062628787,0.053123507,-1.574063062,1.547265766,0.282012106,0.159211258,0.331234662,-0.022045405,-0.838814862,-0.350473825,0.190739491,-0.83540309
0.451530732,0.125015736,-0.113628013,-0.269914667,-0.12751288,-0.167419838,0.294885122,0.544220778,-0.011591269,-0.267096758,0.066290033,0.055894283,-1.571127352,1.51452077,0.274403763,0.186345196,0.328019511,-0.015837011,-0.840025074,-0.350719994,0.194432764,-0.834890653
0.452840985,0.133886327,-0.121998071,-0.255529454,-0.13457944,-0.162800828,0.300786488,0.567072145,-0.020938621,-0.280872703,0.071020106,0.060614731,-1.567883265,1.469122595,0.260728339,0.200224342,0.326300159,-0.00879845,-0.840733504,-0.34910187,0.198685626,-0.834433634
0.455178355,0.143641147,-0.127905637,-0.238192407,-0.141566128,-0.16069834,0.3066944,0.593309378,-0.031606622,-0.292044126,0.07604447,0.066300455,-1.564446392,1.416225162,0.242874222,0.202296251,0.325276519,-0.001649526,-0.841181809,-0.346385484,0.202874335,-0.8338734
0.457268058,0.152684127,-0.131170267,-0.220068584,-0.14755377,-0.161450282,0.31339117,0.621196974,-0.0406467,-0.302681594,0.080309986,0.071486273,-1.561041619,1.364544412,0.224297065,0.198254459,0.323780185,0.004656656,-0.841704411,-0.34371195,0.206206722,-0.833051518
0.457838329,0.159423654,-0.131630774,-0.203323242,-0.151629351,-0.165364039,0.3216504,0.648987499,-0.045122849,-0.314846966,0.08276801,0.074712911,-1.55789336,1.3227995,0.208447989,0.193831023,0.320648146,0.009171302,-0.842634124,-0.342216798,0.207895601,-0.831812199
0.456239868,0.163074858,-0.129644384,-0.18908766,-0.153421979,-0.171725713,0.331541119,0.675448754,-0.04379451,-0.329227016,0.082918105,0.075356369,-1.555088374,1.296340315,0.196938903,0.192823219,0.315409368,0.011437368,-0.844114328,-0.342325542,0.207620969,-0.83015812
0.452788202,0.164103316,-0.126371862,-0.17689045,-0.153401049,-0.178238421,0.34204026,0.700147153,-0.038049051,-0.34437713,0.081109548,0.074087326,-1.552500057,1.285294384,0.188530939,0.196029414,0.308665387,0.011760022,-0.845994786,-0.34336317,0.20578696,-0.828337578
0.447881855,0.163082169,-0.123043094,-0.166122358,-0.152108237,-0.182469112,0.352030816,0.722717805,-0.029499904,-0.35866935,0.077764716,0.071687828,-1.54998345,1.28934,0.18174,0.20399,0.30111,0.01051,-0.8481,-0.34456,0.20286,-0.82662
0.441863493,0.160628645,-0.12059505,-0.156122517,-0.150062988,-0.182696319,0.360512533,0.743085102,-0.019730453,-0.370519406,0.073341691,0.068875526,-1.547457062,1.307279864,0.175405801,0.216428868,0.293351869,0.008092731,-0.850286407,-0.345229325,0.199310601,-0.825196577
