controls,,,,,,,,
version=1,,,,,,,,
nRows=530,,,,,,,,
nColumns=7,,,,,,,,
inDegrees=no,,,,,,,,
endheader,,,,,,,,
time,TRIlong,TRIlat,TRImed,BIClong,BICshort,BRA,r_shoulder_elev,r_elbow_flex
0.03,0.0359337,0.02894616,0.02880336,0.02,0.02,0.02,0,0.00040527
0.03019809,0.02,0.03,0.028,0.03218517,0.02475259,0.02,0,0.00041322
0.03039618,0.02,0.03,0.028,0.03218517,0.02475259,0.02,0,0.00042127
0.03138662,0.02,0.03,0.028,0.03218517,0.02475259,0.02,0.00000002,0.00046302
0.03521808,0.02,0.03,0.028,0.03218517,0.02475259,0.02,0.00000048,0.00064836
0.03904954,0.02,0.03,0.028,0.03218517,0.02475259,0.02,0.0000018,0.00087466
0.04,0.02,0.03,0.028,0.03218517,0.02475259,0.02,0.0000023,0.0009376
0.040929,0.02,0.028,0.022,0.03467364,0.02519319,0.02,0.00000286,0.00100185
0.041858,0.02,0.028,0.022,0.03467364,0.02519319,0.02,0.00000351,0.00106882
0.04650298,0.02,0.028,0.022,0.03467364,0.02519319,0.02,0.00000807,0.00144636
0.05,0.02,0.028,0.022,0.03467364,0.02519319,0.02,0.00001306,0.00178026
0.05041428,0.02,0.022,0.022,0.03946333,0.02914499,0.02,0.00001374,0.00182278
0.05082855,0.02,0.022,0.022,0.03946333,0.02914499,0.02,0.00001445,0.00186594
0.05289994,0.02,0.022,0.022,0.03946333,0.02914499,0.02,0.00001822,0.00209155
0.05803037,0.02,0.022,0.022,0.03946333,0.02914499,0.02,0.00002899,0.00272559
0.06,0.02,0.022,0.022,0.03946333,0.02914499,0.02,0.00003335,0.00299985
0.06048154,0.02,0.028,0.026,0.04460774,0.02858342,0.02,0.00003441,0.00306966
0.06096307,0.02,0.028,0.026,0.04460774,0.02858342,0.02,0.00003546,0.00314058
0.06337075,0.02,0.028,0.026,0.04460774,0.02858342,0.02,0.00004063,0.00351211
0.07,0.02,0.028,0.026,0.04460774,0.02858342,0.02,0.00005396,0.00468689
0.07042433,0.02,0.026,0.026,0.04866579,0.03339372,0.02,0.0000548,0.00476986
0.07084867,0.02,0.026,0.026,0.04866579,0.03339372,0.02,0.00005564,0.00485377
0.07297034,0.02,0.026,0.026,0.04866579,0.03339372,0.02,0.00005994,0.00528756
0.07825948,0.02,0.026,0.026,0.04866579,0.03339372,0.02,0.00007147,0.00647435
0.08,0.02,0.026,0.026,0.04866579,0.03339372,0.02,0.00007557,0.00689862
0.08041307,0.02,0.022,0.026,0.05447397,0.03486213,0.022,0.00007658,0.00700181
0.08082615,0.02,0.022,0.026,0.05447397,0.03486213,0.022,0.00007759,0.00710595
0.08289152,0.02,0.022,0.026,0.05447397,0.03486213,0.022,0.00008277,0.00764137
0.08620904,0.02,0.022,0.026,0.05447397,0.03486213,0.022,0.0000908,0.00855556
0.08952655,0.02,0.022,0.026,0.05447397,0.03486213,0.022,0.00009717,0.00954197
0.09,0.02,0.022,0.026,0.05447397,0.03486213,0.022,0.00009788,0.00968892
0.09037848,0.02,0.026,0.026,0.0616761,0.026,0.02,0.0000984,0.00980752
0.09075696,0.02,0.026,0.026,0.0616761,0.026,0.02,0.00009889,0.00992714
0.09264935,0.02,0.026,0.026,0.0616761,0.026,0.02,0.00010078,0.01054049
0.09814882,0.02,0.026,0.026,0.0616761,0.026,0.02,0.00010167,0.01246812
0.1,0.02,0.026,0.026,0.0616761,0.026,0.02,0.00010092,0.01316516
0.10031296,0.02,0.022,0.022,0.06905748,0.03811235,0.02,0.00010077,0.01328537
0.10062592,0.02,0.022,0.022,0.06905748,0.03811235,0.02,0.00010061,0.01340626
0.10219073,0.02,0.022,0.022,0.06905748,0.03811235,0.02,0.00009977,0.01402085
0.10691938,0.02,0.022,0.022,0.06905748,0.03811235,0.02,0.00009713,0.01598132
0.11,0.02,0.022,0.022,0.06905748,0.03811235,0.02,0.00009555,0.01734337
0.11062077,0.02,0.024,0.024,0.07327559,0.026,0.022,0.00009525,0.01762608
0.11124155,0.02,0.024,0.024,0.07327559,0.026,0.022,0.00009496,0.01791158
0.11434542,0.02,0.024,0.024,0.07327559,0.026,0.022,0.00009349,0.01938148
0.11836766,0.02,0.024,0.024,0.07327559,0.026,0.022,0.00009133,0.02139349
0.12,0.02,0.024,0.024,0.07327559,0.026,0.022,0.00009036,0.022245
0.12034498,0.02,0.024,0.022,0.08164562,0.03668804,0.022,0.00009015,0.02242755
0.12068997,0.02,0.024,0.022,0.08164562,0.03668804,0.022,0.00008994,0.02261101
0.12241488,0.02,0.024,0.022,0.08164562,0.03668804,0.022,0.00008889,0.02354185
0.1278711,0.02,0.024,0.022,0.08164562,0.03668804,0.022,0.00008598,0.02663568
0.13,0.02,0.024,0.022,0.08164562,0.03668804,0.022,0.00008515,0.02790487
0.13046106,0.02,0.022,0.022,0.0866199,0.0399441,0.022,0.000085,0.02818435
0.13092212,0.02,0.022,0.022,0.0866199,0.0399441,0.022,0.00008487,0.02846548
0.1332274,0.02,0.022,0.022,0.0866199,0.0399441,0.022,0.00008439,0.02989587
0.13871875,0.02,0.022,0.022,0.0866199,0.0399441,0.022,0.00008423,0.03347209
0.14,0.02,0.022,0.022,0.0866199,0.0399441,0.022,0.00008429,0.03434142
0.14040856,0.02,0.024,0.022,0.09383048,0.03836918,0.022,0.00008431,0.03462144
0.14081712,0.02,0.024,0.022,0.09383048,0.03836918,0.022,0.00008433,0.03490283
0.14285991,0.02,0.024,0.022,0.09383048,0.03836918,0.022,0.00008441,0.03633034
0.15,0.02,0.024,0.022,0.09383048,0.03836918,0.022,0.00008434,0.04159226
0.15040017,0.02,0.024,0.022,0.10099634,0.04204672,0.022,0.00008432,0.04189981
0.15080034,0.02,0.024,0.022,0.10099634,0.04204672,0.022,0.00008431,0.0422087
0.15280119,0.02,0.024,0.022,0.10099634,0.04204672,0.022,0.00008423,0.04377338
0.15799015,0.02,0.024,0.022,0.10099634,0.04204672,0.022,0.00008384,0.04798991
0.16,0.02,0.024,0.022,0.10099634,0.04204672,0.022,0.00008349,0.0496856
0.16045178,0.02,0.022,0.024,0.10755023,0.03849533,0.02,0.00008338,0.05007162
0.16090355,0.02,0.022,0.024,0.10755023,0.03849533,0.02,0.00008327,0.05045942
0.16316244,0.02,0.022,0.024,0.10755023,0.03849533,0.02,0.00008255,0.05242533
0.17,0.02,0.022,0.024,0.10755023,0.03849533,0.02,0.00007883,0.05865095
0.17043554,0.02,0.02406252,0.024,0.11449673,0.04327051,0.022,0.00007852,0.05906154
0.17087107,0.02,0.02406252,0.024,0.11449673,0.04327051,0.022,0.00007821,0.05947382
0.17233461,0.02,0.02406252,0.024,0.11449673,0.04327051,0.022,0.00007713,0.06087154
0.17497255,0.02,0.02406252,0.024,0.11449673,0.04327051,0.022,0.00007494,0.06343913
0.17964426,0.02,0.02406252,0.024,0.11449673,0.04327051,0.022,0.00006984,0.0681407
0.18,0.02,0.02406252,0.024,0.11449673,0.04327051,0.022,0.00006937,0.06850689
0.18032314,0.02,0.024,0.02708774,0.12024635,0.04939999,0.02,0.00006893,0.06884053
0.18064629,0.02,0.024,0.02708774,0.12024635,0.04939999,0.02,0.00006847,0.06917514
0.18226201,0.02,0.024,0.02708774,0.12024635,0.04939999,0.02,0.00006606,0.07086252
0.18608948,0.02,0.024,0.02708774,0.12024635,0.04939999,0.02,0.00006014,0.0749532
0.18991695,0.02,0.024,0.02708774,0.12024635,0.04939999,0.02,0.00005568,0.07917076
0.19,0.02,0.024,0.02708774,0.12024635,0.04939999,0.02,0.00005561,0.07926365
0.19034631,0.02,0.024,0.022,0.12892139,0.04222623,0.02,0.00005534,0.07965162
0.19069262,0.02,0.024,0.022,0.12892139,0.04222623,0.02,0.00005509,0.08004059
0.19242418,0.02,0.024,0.022,0.12892139,0.04222623,0.02,0.00005423,0.08200052
0.19650162,0.02,0.024,0.022,0.12892139,0.04222623,0.02,0.00005434,0.08671612
0.2,0.02,0.024,0.022,0.12892139,0.04222623,0.02,0.00005599,0.09087718
0.2003777,0.02,0.02575285,0.022,0.13719946,0.04697359,0.02,0.00005621,0.09133291
0.20075539,0.02,0.02575285,0.022,0.13719946,0.04697359,0.02,0.00005644,0.09178992
0.20264387,0.02,0.02575285,0.022,0.13719946,0.04697359,0.02,0.00005764,0.0940941
0.20679196,0.02,0.02575285,0.022,0.13719946,0.04697359,0.02,0.00006084,0.09926709
0.21,0.02,0.02575285,0.022,0.13719946,0.04697359,0.02,0.00006406,0.10337269
0.21053176,0.02,0.024,0.026,0.14354624,0.03799533,0.02,0.00006466,0.10406208
0.21106352,0.02,0.024,0.026,0.14354624,0.03799533,0.02,0.00006527,0.10475399
0.21372232,0.02,0.024,0.026,0.14354624,0.03799533,0.02,0.00006856,0.1082514
0.21892596,0.02,0.024,0.026,0.14354624,0.03799533,0.02,0.00007601,0.11527907
0.22,0.02,0.024,0.026,0.14354624,0.03799533,0.02,0.00007767,0.1167598
0.22017973,0.02,0.02875009,0.0262463,0.14882506,0.05939497,0.02,0.00007796,0.1170086
0.22035946,0.02,0.02875009,0.0262463,0.14882506,0.05939497,0.02,0.00007824,0.11725768
0.22125812,0.02,0.02875009,0.0262463,0.14882506,0.05939497,0.02,0.00007966,0.11850745
0.22404783,0.02,0.02875009,0.0262463,0.14882506,0.05939497,0.02,0.00008449,0.12243233
0.22683754,0.02,0.02875009,0.0262463,0.14882506,0.05939497,0.02,0.00009072,0.12642336
0.23,0.02,0.02875009,0.0262463,0.14882506,0.05939497,0.02,0.00010014,0.13102573
0.23030288,0.02,0.024,0.02662365,0.15935443,0.0322554,0.02,0.00010118,0.13147085
0.23060576,0.02,0.024,0.02662365,0.15935443,0.0322554,0.02,0.00010223,0.13191674
0.23212018,0.02,0.024,0.02662365,0.15935443,0.0322554,0.02,0.00010783,0.13415767
0.23591585,0.02,0.024,0.02662365,0.15935443,0.0322554,0.02,0.00012351,0.13985996
0.23971152,0.02,0.024,0.02662365,0.15935443,0.0322554,0.02,0.00013995,0.14568935
0.24,0.02,0.024,0.02662365,0.15935443,0.0322554,0.02,0.00014118,0.14613774
0.2403315,0.02,0.02932916,0.02641223,0.16576485,0.05834809,0.02,0.00014258,0.14665393
0.24066299,0.02,0.02932916,0.02641223,0.16576485,0.05834809,0.02,0.00014397,0.14717114
0.24232048,0.02,0.02932916,0.02641223,0.16576485,0.05834809,0.02,0.00015077,0.14977232
0.24579118,0.02,0.02932916,0.02641223,0.16576485,0.05834809,0.02,0.00016426,0.15530051
0.24926187,0.02,0.02932916,0.02641223,0.16576485,0.05834809,0.02,0.00017672,0.16093871
0.25,0.02,0.02932916,0.02641223,0.16576485,0.05834809,0.02,0.00017919,0.1621521
0.25034765,0.02,0.02960805,0.02829169,0.17485904,0.06145492,0.022,0.00018032,0.16272533
0.2506953,0.02,0.02960805,0.02829169,0.17485904,0.06145492,0.022,0.00018144,0.16329969
0.25243356,0.02,0.02960805,0.02829169,0.17485904,0.06145492,0.022,0.00018674,0.16618829
0.25566051,0.02,0.02960805,0.02829169,0.17485904,0.06145492,0.022,0.00019524,0.1716251
0.25959719,0.02,0.02960805,0.02829169,0.17485904,0.06145492,0.022,0.00020256,0.17839023
0.26,0.02,0.02960805,0.02829169,0.17485904,0.06145492,0.022,0.00020306,0.17909082
0.26046054,0.02,0.0314044,0.0302781,0.18154751,0.06324247,0.02,0.00020356,0.17989377
0.26092109,0.02,0.0314044,0.0302781,0.18154751,0.06324247,0.02,0.00020398,0.18069878
0.26322381,0.02,0.0314044,0.0302781,0.18154751,0.06324247,0.02,0.00020515,0.18475428
0.26552654,0.02,0.0314044,0.0302781,0.18154751,0.06324247,0.02,0.00020538,0.18885849
0.26950178,0.02,0.0314044,0.0302781,0.18154751,0.06324247,0.02,0.00020553,0.1960521
0.27,0.02,0.0314044,0.0302781,0.18154751,0.06324247,0.02,0.00020559,0.19696312
0.27035141,0.02,0.03147319,0.02965749,0.19217611,0.06196438,0.02,0.00020565,0.19760692
0.27070281,0.02,0.03147319,0.02965749,0.19217611,0.06196438,0.02,0.00020571,0.19825176
0.27245984,0.02,0.03147319,0.02965749,0.19217611,0.06196438,0.02,0.0002061,0.20149148
0.2762204,0.02,0.03147319,0.02965749,0.19217611,0.06196438,0.02,0.00020679,0.20851389
0.27998096,0.02,0.03147319,0.02965749,0.19217611,0.06196438,0.02,0.00020553,0.21566122
0.28,0.02,0.03147319,0.02965749,0.19217611,0.06196438,0.02,0.00020552,0.21569773
0.28047812,0.02,0.03277784,0.03182852,0.19800693,0.06566791,0.02,0.0002051,0.21661575
0.28095624,0.02,0.03277784,0.03182852,0.19800693,0.06566791,0.02,0.00020462,0.21753588
0.28268317,0.02,0.03277784,0.03182852,0.19800693,0.06566791,0.02,0.00020237,0.22087666
0.28528271,0.02,0.03277784,0.03182852,0.19800693,0.06566791,0.02,0.00019793,0.22595526
0.28876653,0.02,0.03277784,0.03182852,0.19800693,0.06566791,0.02,0.00019097,0.23285163
0.29,0.02,0.03277784,0.03182852,0.19800693,0.06566791,0.02,0.00018831,0.23531768
0.29027686,0.02,0.03430149,0.03421149,0.20845289,0.07175971,0.02,0.0001877,0.23587295
0.29055373,0.02,0.03430149,0.03421149,0.20845289,0.07175971,0.02,0.00018708,0.23642886
0.29193804,0.02,0.03430149,0.03421149,0.20845289,0.07175971,0.02,0.00018393,0.23921786
0.29436126,0.02,0.03430149,0.03421149,0.20845289,0.07175971,0.02,0.00017866,0.2441364
0.29678448,0.02,0.03430149,0.03421149,0.20845289,0.07175971,0.02,0.00017441,0.24909899
0.3,0.02,0.03430149,0.03421149,0.20845289,0.07175971,0.02,0.00017077,0.25575055
0.30038976,0.02,0.03525698,0.03320608,0.21553631,0.07690625,0.02,0.00017047,0.25656196
0.30077952,0.02,0.03525698,0.03320608,0.21553631,0.07690625,0.02,0.00017019,0.2573745
0.3027283,0.02,0.03525698,0.03320608,0.21553631,0.07690625,0.02,0.00016909,0.26145423
0.30797182,0.02,0.03525698,0.03320608,0.21553631,0.07690625,0.02,0.00016622,0.27257845
0.31,0.02,0.03525698,0.03320608,0.21553631,0.07690625,0.02,0.00016373,0.2769424
0.31024148,0.02,0.03838505,0.03674994,0.22871198,0.028,0.02,0.00016333,0.27746436
0.31048296,0.02,0.03838505,0.03674994,0.22871198,0.028,0.02,0.00016292,0.27798684
0.31169035,0.02,0.03838505,0.03674994,0.22871198,0.028,0.02,0.00016052,0.28060683
0.31381429,0.02,0.03838505,0.03674994,0.22871198,0.028,0.02,0.00015554,0.28524475
0.31593822,0.02,0.03838505,0.03674994,0.22871198,0.028,0.02,0.00015081,0.28991604
0.32,0.02,0.03838505,0.03674994,0.22871198,0.028,0.02,0.00014613,0.2989306
0.32015766,0.02,0.03910269,0.03704428,0.23301943,0.0833009,0.022,0.00014611,0.2992825
